aircraft_type,distance_km,passengers,fuel_kg,load_factor_pct,engine_type,co2_kg
B737,12644,101,33538,80,CFM56,105500
A350,6407,273,77974,53,GE90,246277
B737,8878,125,77382,70,PW1100,244858
B787,9034,357,60179,97,PW1100,190731
B737,1971,369,44263,76,PW1100,140174
B787,4432,180,37060,73,Trent1000,117317
A380,4635,291,39936,65,GE90,126708
A350,10695,103,65198,62,PW1100,205518
A320,6651,87,27277,63,CFM56,86515
A380,12138,101,45371,85,CFM56,142824
B777,743,154,36632,87,CFM56,114807
B737,9473,352,15276,80,CFM56,48404
B787,715,425,49959,56,GE90,157640
A320,4187,433,42466,93,CFM56,134416
B737,9364,459,68299,99,PW1100,216164
B787,2607,243,26746,98,PW1100,84535
B777,1000,319,69835,77,CFM56,220697
B777,5295,385,36237,74,Trent1000,114017
B737,8698,359,66099,80,PW1100,208427
A380,4252,293,27621,68,CFM56,87650
A320,5899,394,60512,50,PW1100,191122
A350,2943,499,55767,90,Trent1000,176295
A380,12684,374,72707,93,CFM56,228784
B737,10655,136,30913,89,GE90,97197
A320,13406,438,72489,72,GE90,228583
B737,8508,74,66363,66,PW1100,209851
B787,7080,278,76915,88,Trent1000,243156
A320,2261,373,17656,94,PW1100,56088
A380,10782,277,61565,66,PW1100,194907
A380,12842,155,56754,52,Trent1000,178595
B787,11564,51,21292,52,Trent1000,68412
A380,5546,78,50300,71,CFM56,158642
B737,714,298,23673,64,CFM56,75335
B737,11157,455,22913,57,Trent1000,72687
B777,12976,299,67907,51,CFM56,214464
B787,6994,259,38004,79,Trent1000,120769
A320,6839,354,51447,50,PW1100,162637
A350,10228,205,32773,75,CFM56,103479
A380,10075,155,51516,98,GE90,162323
B737,5354,320,73997,53,Trent1000,233898
B737,10922,189,28369,54,PW1100,89917
B777,7973,313,75086,52,CFM56,237105
A380,5420,88,61503,86,CFM56,194613
A320,8557,398,68185,96,GE90,215330
B777,4070,295,76404,68,CFM56,240439
B787,1001,478,8027,62,CFM56,24653
B737,12082,208,74731,68,CFM56,235783
B777,12046,335,44335,67,Trent1000,140574
A320,13366,343,71970,53,CFM56,227291
B787,13468,239,43995,70,Trent1000,139597
A350,2215,267,30716,72,PW1100,97115
B737,12727,323,78622,90,PW1100,247858
A320,2104,65,14137,66,CFM56,44621
B777,13978,230,25869,98,PW1100,81315
B777,11453,67,32248,62,Trent1000,101240
B787,2513,193,54025,68,GE90,170678
B777,5625,333,72730,53,GE90,229190
A350,11435,432,16418,54,CFM56,51782
A350,13953,237,75448,80,Trent1000,237631
B787,13043,244,20255,58,CFM56,63718
A350,10391,180,6884,62,GE90,21718
B777,9274,319,34224,69,Trent1000,107888
B787,6649,256,22073,70,GE90,69882
A320,10109,326,66719,91,CFM56,210208
B777,11128,90,40532,52,Trent1000,128073
A350,12432,131,39232,66,PW1100,123439
B737,5198,289,19455,72,CFM56,60834
B737,6331,472,42015,51,GE90,132279
A320,12306,260,30121,72,Trent1000,95616
B777,2318,281,68686,66,Trent1000,216602
A350,12515,150,72020,63,PW1100,227536
B737,1053,382,72864,54,Trent1000,230839
B787,11755,260,32531,88,GE90,102591
B777,2352,426,41564,95,Trent1000,131143
A350,9802,254,78171,54,PW1100,247249
A380,6942,90,9982,76,PW1100,31741
A350,3196,498,41705,81,Trent1000,130886
A350,13540,339,29849,90,PW1100,95027
A380,859,186,65714,85,PW1100,207662
B737,1745,57,53024,51,PW1100,167163
A380,8036,347,58899,54,PW1100,186162
A320,10672,269,60922,98,GE90,192427
B787,7859,388,78815,78,PW1100,248913
B777,7130,437,44077,56,Trent1000,139224
B777,7081,105,55720,86,CFM56,175179
B737,12956,433,73747,52,GE90,232937
B777,754,370,79759,91,GE90,252118
A380,9904,362,21374,84,Trent1000,67580
B777,9176,344,23112,69,CFM56,73690
A350,5423,102,19208,93,Trent1000,61119
A320,5117,494,11733,88,GE90,37004
A380,2315,297,39348,88,CFM56,124391
A350,7616,353,52846,50,GE90,167391
B737,3417,494,77759,94,GE90,245100
B777,13256,196,50369,97,PW1100,158475
A320,7051,157,22102,72,Trent1000,69412
A320,11796,420,51512,89,Trent1000,162413
B787,3796,163,72068,58,CFM56,227854
B737,7047,411,24586,74,GE90,77167
B777,12103,472,70340,93,CFM56,222902
A350,5917,282,54145,81,GE90,171475
B787,13194,140,66355,59,CFM56,209257
B787,10799,300,49151,54,GE90,155343
B777,1697,331,61746,64,CFM56,195376
A350,4754,384,79895,84,GE90,252460
A320,6133,393,21006,94,GE90,65621
B777,13157,356,45954,52,CFM56,144834
A350,10656,484,73561,93,GE90,232718
B787,6660,311,70821,90,Trent1000,223805
A320,4782,441,72570,79,GE90,228677
B737,11195,269,55932,81,PW1100,177122
A350,7668,231,26094,95,GE90,82726
B777,3184,391,9418,61,PW1100,29635
A320,8464,124,58909,92,CFM56,186579
A350,13768,354,5426,88,PW1100,16823
B737,12922,319,45905,77,CFM56,144883
A320,5834,220,20969,58,CFM56,66433
B737,4274,107,10823,59,GE90,33872
B777,796,392,77263,94,Trent1000,244248
A350,4200,198,39111,62,Trent1000,123442
B737,5700,238,22458,58,GE90,71439
A320,10782,372,17737,77,Trent1000,55780
A350,2736,321,22130,72,PW1100,70638
A380,5629,470,36012,90,PW1100,112896
A380,2606,130,35923,77,CFM56,113833
B787,12538,391,61687,88,Trent1000,194455
B737,7988,376,6041,92,PW1100,19385
A320,3481,453,21431,50,CFM56,66997
B777,12688,340,27502,59,CFM56,86791
A380,6365,334,44492,66,CFM56,141061
B737,8206,272,22684,75,CFM56,71516
A350,8884,283,20203,70,Trent1000,63871
A350,11849,435,35069,68,GE90,111008
A320,5728,349,30922,95,Trent1000,97360
A380,2774,422,73948,84,GE90,234129
B777,13977,266,39216,69,Trent1000,123394
B787,12011,441,18595,81,CFM56,58888
A350,1719,362,24320,85,CFM56,76268
A380,10997,271,49879,50,Trent1000,157601
B777,7080,175,14155,55,PW1100,44827
B737,13382,360,23893,98,PW1100,76974
B777,3191,96,65028,58,PW1100,205916
A350,10301,494,65170,52,CFM56,205186
B787,4025,235,53788,81,PW1100,169073
A380,5028,324,36294,92,PW1100,114589
A350,12220,348,72712,52,GE90,229891
A380,11898,117,13822,92,PW1100,43736
A320,7092,314,53484,67,GE90,169320
A350,1945,156,70059,59,CFM56,221433
B737,13630,282,43360,76,PW1100,136784
A380,5801,175,51002,74,CFM56,161417
A320,11691,83,17239,50,GE90,54474
B777,8155,51,38850,78,Trent1000,122204
A350,860,172,56799,85,CFM56,180362
A380,12742,95,25182,50,CFM56,79241
B777,787,159,12453,90,GE90,39841
A380,5717,304,29667,97,PW1100,93460
A380,9296,101,78594,95,CFM56,247991
B737,11558,267,43881,73,PW1100,137660
B787,11151,258,19342,56,GE90,60790
B787,11158,204,57992,93,CFM56,182452
A320,10541,111,14516,96,CFM56,46482
B737,11734,359,27321,82,GE90,85072
A380,9828,472,13781,96,Trent1000,43524
A350,1404,458,50341,79,PW1100,159584
A350,958,444,74424,69,PW1100,234972
B787,2631,493,34642,58,PW1100,108474
A380,13505,84,55530,60,CFM56,175116
B787,851,213,20704,80,GE90,65273
B777,6571,66,16425,70,CFM56,51277
A380,1274,72,54680,50,CFM56,172600
A320,2330,224,58655,63,GE90,185474
B777,9784,63,36155,81,Trent1000,113998
A350,1915,381,22661,64,GE90,71186
B777,7775,79,30041,90,GE90,95244
B787,5285,358,28119,92,Trent1000,89040
B777,5592,425,62076,55,GE90,195939
A380,10309,455,28526,50,PW1100,90899
B777,10676,332,23934,66,GE90,76699
B777,1351,228,69837,60,GE90,219668
A320,8291,250,14978,50,Trent1000,47470
A350,5536,54,54983,81,PW1100,174481
A350,4248,141,45076,71,PW1100,142727
B777,7892,417,62154,63,GE90,196146
B777,11458,377,37664,75,PW1100,118867
A320,7705,269,47942,68,GE90,152651
B737,1063,325,32658,90,Trent1000,102977
B737,7198,278,15420,68,CFM56,48837
B777,6334,143,42437,94,Trent1000,134416
B787,7498,351,62677,69,CFM56,198175
B787,1345,348,60392,91,GE90,190997
B777,12304,226,15711,59,GE90,49795
B787,12994,70,61658,95,PW1100,195096
B777,10929,402,5923,85,GE90,18422
A350,6244,379,40378,52,CFM56,128250
B777,1402,116,40520,51,CFM56,127924
B787,4751,383,78913,55,PW1100,249351
B777,999,353,8658,94,CFM56,27375
B787,3648,84,52555,59,PW1100,165903
B777,13454,237,37575,53,GE90,118454
A350,12800,325,14441,91,Trent1000,44828
A380,11800,221,15617,66,Trent1000,50219
A350,5333,282,14360,51,Trent1000,44674
B787,4934,427,50308,88,Trent1000,159622
B777,13925,219,57389,73,CFM56,181546
A350,6475,254,19942,94,CFM56,63167
A320,5887,66,42958,90,Trent1000,135518
A350,7724,77,51026,63,PW1100,161837
A380,5085,186,66587,97,GE90,210736
A380,6666,182,58919,69,CFM56,186230
A380,5147,423,43723,87,PW1100,137993
A380,2497,215,55912,50,Trent1000,176456
B737,1143,67,40506,63,CFM56,127775
B787,11641,325,52531,59,GE90,164759
A350,10569,240,14132,84,GE90,45088
B777,9970,228,29975,95,GE90,94655
B777,6267,314,45627,57,CFM56,144072
A320,7171,162,71950,97,PW1100,226574
A350,3107,451,63264,55,GE90,199163
A350,6257,130,11081,89,GE90,36352
B787,1502,425,52018,89,PW1100,164741
B777,13961,459,73764,77,Trent1000,233023
A350,13589,302,17137,62,Trent1000,54215
A380,11291,413,74249,65,CFM56,234569
B787,12891,199,23983,63,PW1100,75722
B777,8364,124,27452,55,CFM56,86573
B787,10151,299,23665,68,CFM56,74691
B787,1667,117,73455,73,PW1100,231658
A320,9671,469,42816,64,Trent1000,134894
A350,1373,387,65572,71,CFM56,206813
A350,10408,205,6990,87,GE90,21701
A350,6527,447,29644,69,CFM56,93558
A350,8065,319,78112,71,GE90,246315
A380,10092,351,20945,79,PW1100,65379
B787,10906,237,18233,74,CFM56,57205
B777,11184,380,13752,76,Trent1000,43671
B777,13409,158,69092,63,Trent1000,217791
B787,11255,420,64243,96,CFM56,203051
B777,10558,247,8663,83,GE90,27117
B787,12514,276,55243,82,CFM56,174439
A320,7318,401,58508,71,CFM56,184394
B737,5000,186,61839,54,Trent1000,196432
B737,9082,166,18943,70,GE90,59583
A350,10754,128,39522,55,PW1100,124472
B787,5924,339,52467,61,GE90,165866
A320,10973,440,16116,70,PW1100,51479
A380,2879,289,21452,61,PW1100,67913
B737,6112,291,17807,62,CFM56,57116
B787,13288,90,13487,96,Trent1000,42960
A350,7472,298,74767,75,Trent1000,236414
B777,13744,287,70322,73,PW1100,222459
B737,6979,496,62353,83,CFM56,197280
B787,4943,374,10842,85,Trent1000,34056
A350,6045,209,66670,89,PW1100,210562
A350,2009,386,10022,79,CFM56,31450
B787,12576,376,27616,97,Trent1000,87484
B737,3711,72,52658,86,PW1100,165982
A350,2266,252,27549,64,PW1100,86835
A350,2111,359,73572,65,Trent1000,232950
A320,3256,70,40098,85,PW1100,127119
A320,3272,379,42764,65,CFM56,135361
B737,10932,425,52734,74,GE90,166727
B787,4789,255,10334,96,GE90,32723
B777,6293,343,59502,86,CFM56,187856
B737,13011,119,20718,96,GE90,64492
B777,5290,138,7468,59,Trent1000,24166
B777,3986,359,46544,99,PW1100,146577
B777,9065,249,13011,93,CFM56,41270
A320,10560,259,29233,54,CFM56,92516
B787,2709,358,26094,69,PW1100,82883
B777,10806,268,45244,79,Trent1000,143122
B737,12311,499,56453,59,CFM56,179138
B787,4120,257,18551,82,PW1100,58834
A320,11339,443,34861,63,CFM56,109208
A350,9409,201,39330,83,GE90,123843
B787,8668,326,72192,54,CFM56,228269
A320,1156,278,40101,52,PW1100,126822
A350,8326,420,75129,61,CFM56,237391
B777,7720,313,13227,88,PW1100,42378
A380,12138,272,26120,52,Trent1000,81809
B737,11847,300,78985,69,Trent1000,250062
A350,10772,381,74536,98,GE90,235942
B777,11091,410,46784,52,Trent1000,147240
A350,13123,212,24005,95,CFM56,75465
B737,13963,176,72805,80,Trent1000,229747
A350,7756,227,17462,78,Trent1000,55155
B777,12744,496,22864,94,Trent1000,71988
B737,6056,172,18650,64,Trent1000,58912
B787,3472,82,6620,63,PW1100,20517
A350,12441,160,57894,95,Trent1000,182643
B777,8883,93,13792,73,GE90,43158
A380,2361,367,68199,79,Trent1000,215520
A380,5687,230,16162,72,GE90,50201
B777,11718,456,36806,64,Trent1000,117259
A380,2234,70,13193,94,GE90,41692
B737,12143,220,54962,52,CFM56,173223
B777,7338,157,60923,77,Trent1000,192543
A350,9205,363,52903,85,CFM56,167670
B777,11279,444,15712,98,CFM56,49854
A350,9607,452,41327,63,GE90,130061
B737,3772,253,7398,80,PW1100,23327
B737,7816,83,24681,86,CFM56,78435
A320,2549,234,21174,56,Trent1000,66750
B787,13484,402,29695,81,PW1100,93876
A320,13493,247,21835,87,CFM56,68810
B777,5776,120,9498,82,GE90,30194
B777,13933,495,38649,82,Trent1000,122488
B787,12480,391,53659,56,CFM56,170733
B737,8550,443,61823,77,CFM56,195289
B777,12051,112,70559,85,PW1100,222970
A350,5276,185,78634,54,Trent1000,248472
A350,7989,214,20743,93,CFM56,65585
A350,5830,86,7409,87,CFM56,24115
B737,6185,139,71598,62,CFM56,226462
B787,1603,344,45615,91,Trent1000,143961
A350,8352,215,33549,56,GE90,106219
B737,3768,208,71802,79,Trent1000,227088
A380,12780,158,39528,91,Trent1000,124292
A320,5282,135,69325,57,CFM56,219132
B737,2087,167,47910,63,CFM56,151886
A350,8731,279,20517,91,GE90,64251
B737,13851,463,75400,58,GE90,239212
B737,8247,228,72563,84,Trent1000,228414
A350,9687,396,7030,86,Trent1000,21700
B787,4013,326,49224,88,Trent1000,155177
A320,7944,275,40331,56,PW1100,127203
B787,8686,238,28896,60,PW1100,91542
A380,3299,300,75459,67,PW1100,238667
A350,12599,236,7155,70,Trent1000,23535
A350,2342,285,76942,92,CFM56,243381
A350,4822,315,32864,79,PW1100,104204
A350,8774,91,8172,87,GE90,26597
B787,5604,141,5316,74,CFM56,16447
B737,1924,52,13516,53,CFM56,42711
A380,2895,444,66527,85,CFM56,210325
A380,7954,208,11915,83,GE90,38334
A380,10845,194,28545,71,GE90,89822
B737,4893,177,42701,72,Trent1000,135290
B787,10351,331,20006,75,PW1100,63360
A380,9017,254,52162,70,PW1100,164667
A350,4970,336,45566,83,PW1100,143754
A380,3168,218,41362,80,CFM56,130461
A380,13425,160,34209,73,CFM56,108368
B777,2049,245,36803,71,Trent1000,117587
B777,5375,319,61448,67,PW1100,194582
A380,13433,102,29372,72,CFM56,93495
A350,862,210,65217,81,Trent1000,205720
B737,7341,374,13479,99,GE90,42361
B737,10036,241,18658,55,GE90,58771
B787,7749,187,20392,55,CFM56,65179
B737,3797,167,24242,54,GE90,76763
B787,4824,359,19619,51,PW1100,61921
B777,5041,169,23381,51,GE90,73837
A320,7780,149,45622,86,PW1100,144368
A350,8257,361,29600,78,GE90,93467
A320,4477,393,63834,55,CFM56,201241
B787,725,276,30736,69,PW1100,97561
A350,10626,170,53929,98,Trent1000,170438
B737,10170,117,45461,94,PW1100,142576
A380,8515,436,22551,58,Trent1000,70373
A350,9462,376,70664,65,Trent1000,224012
B787,711,421,61684,92,GE90,194611
A380,6962,243,49075,75,Trent1000,155343
A320,13650,84,75165,91,PW1100,236639
A380,12363,392,36663,91,CFM56,115826
A350,10055,285,7094,53,PW1100,22705
A380,8328,278,47990,78,Trent1000,151678
A320,4187,247,67254,90,Trent1000,211840
B737,1265,198,47327,91,GE90,149903
B787,3390,270,66721,57,CFM56,211256
A380,4141,297,29403,61,PW1100,93211
A320,12107,81,70111,69,PW1100,222050
A380,6739,382,59620,63,PW1100,189049
B777,7178,452,57996,61,CFM56,183093
A380,2140,205,55066,69,PW1100,174511
A320,13386,235,33175,97,PW1100,104889
A380,8013,89,26935,97,CFM56,85430
A320,6186,93,18453,88,Trent1000,58342
A350,12436,204,41219,97,PW1100,130684
A380,8367,466,56042,50,Trent1000,177919
A320,1079,442,32482,85,GE90,101992
A380,5050,265,46145,53,CFM56,145446
B787,8181,64,9917,57,PW1100,31086
B737,12344,351,23163,85,PW1100,72627
A320,9974,352,12979,87,PW1100,40834
B777,12129,494,19881,50,GE90,62748
B737,4332,131,78581,79,GE90,247883
B777,7480,407,14969,81,PW1100,47556
A380,6313,469,36701,52,GE90,114936
B787,12195,76,53393,76,PW1100,168678
B787,10045,93,74571,74,PW1100,235629
A350,11023,321,13446,78,CFM56,42530
B787,5357,147,73389,75,CFM56,231466
A320,10275,52,65310,80,CFM56,206060
A350,13592,98,72689,64,Trent1000,229170
A320,11116,436,30146,91,PW1100,95502
B777,11246,99,30546,62,CFM56,97309
A380,11531,319,47821,63,CFM56,150896
B737,10256,68,21647,75,GE90,67716
B777,10381,485,63273,84,GE90,200350
B787,3454,265,59326,84,PW1100,187081
B777,8796,209,73407,67,CFM56,231419
A320,8684,110,29809,77,CFM56,93860
B737,3588,285,38078,63,PW1100,120376
B787,8213,400,7340,54,GE90,24079
B737,2023,206,75780,82,CFM56,239568
A350,11452,265,7989,99,GE90,25825
B737,5879,56,78662,64,PW1100,248326
A350,13152,249,14980,85,Trent1000,47400
B737,4699,243,19766,94,CFM56,63513
A380,757,119,31456,62,PW1100,99792
A380,4808,100,47899,77,Trent1000,151304
B777,1262,340,27993,86,Trent1000,88736
B777,12362,485,51810,54,PW1100,163272
A350,9718,72,57882,69,CFM56,182462
B737,2438,447,30435,83,Trent1000,96384
A350,8915,294,25037,93,GE90,78743
B787,8488,118,51421,89,GE90,162703
A320,10485,94,45960,83,Trent1000,144963
A350,13217,88,66229,66,GE90,209687
A380,2365,312,34022,54,Trent1000,107278
B737,2728,386,54494,71,CFM56,172161
A350,11527,383,25503,65,GE90,80725
B737,10323,71,69967,63,PW1100,221896
A380,8965,252,32301,90,GE90,102166
A350,10723,462,65836,66,CFM56,207922
B737,7139,186,68959,55,Trent1000,217928
B787,10460,266,65783,53,PW1100,208193
A320,5780,388,47827,50,PW1100,151681
B777,9461,264,43511,71,PW1100,137818
A350,2874,346,50534,90,CFM56,160667
A380,12972,201,47416,94,GE90,150236
B737,10582,106,31242,89,Trent1000,98713
B787,12707,104,5631,63,CFM56,17649
A320,6616,401,5340,68,GE90,16679
A320,2055,253,32675,53,Trent1000,102891
B787,4093,146,75382,89,PW1100,238864
B787,1259,278,53927,54,GE90,171293
A320,13894,453,51398,66,Trent1000,162586
B777,10158,278,64165,51,GE90,202489
B787,956,202,59978,94,CFM56,189404
B787,6696,50,50998,73,PW1100,161526
A320,11980,299,59746,60,CFM56,188784
A380,8533,290,13500,74,CFM56,42786
A380,12503,185,25108,76,Trent1000,78260
B737,12445,126,23171,83,PW1100,72615
B787,2869,166,60209,77,CFM56,190279
A320,1014,385,47862,93,CFM56,151751
A320,12031,89,11843,56,PW1100,37503
A320,10165,124,57644,50,GE90,182223
A380,3545,228,14552,68,CFM56,46336
A350,9570,481,28200,98,Trent1000,89144
B777,5433,197,66152,87,PW1100,208632
B737,13387,406,41405,53,PW1100,131057
A350,4940,406,67122,70,PW1100,210582
B737,9483,385,11494,98,PW1100,35986
A380,2312,128,74868,58,Trent1000,236435
A320,816,265,38481,80,GE90,122002
B777,9828,163,12819,95,PW1100,40651
B777,12032,68,50883,65,GE90,162338
B777,6472,396,43458,71,Trent1000,137231
A320,11013,487,38058,78,Trent1000,120927
A320,3463,387,13294,82,GE90,41367
B737,1911,444,55407,52,Trent1000,175008
A380,6230,439,62026,78,GE90,196174
B737,7777,426,56824,88,CFM56,180097
B737,7914,387,62899,71,GE90,198469
A320,3306,56,54977,90,PW1100,173463
B777,8534,204,59713,83,GE90,188887
A350,8423,136,71653,64,PW1100,227292
A380,11392,147,57518,96,GE90,181729
B777,2931,318,19947,80,GE90,63170
A350,3458,226,64267,93,CFM56,202482
A380,11473,288,77117,82,GE90,243257
A320,4610,305,76055,62,Trent1000,240151
B787,10730,222,9964,65,Trent1000,31273
B777,974,434,62176,91,CFM56,195440
A320,697,266,31910,73,Trent1000,101045
A380,4997,299,71566,64,CFM56,225903
A320,1694,188,56746,94,CFM56,179210
B777,9659,203,17448,79,CFM56,54680
B737,2918,367,55739,91,GE90,176595
B787,6128,401,9192,65,CFM56,28469
B777,12581,446,73170,79,Trent1000,231994
B787,8029,109,45035,71,Trent1000,142126
A320,5959,298,32717,72,PW1100,102603
A380,12166,451,51036,82,PW1100,161111
A320,12198,99,72830,65,CFM56,230274
A380,6434,430,20006,89,PW1100,63878
A350,7921,305,31017,86,PW1100,98158
A320,1892,405,6517,54,CFM56,19962
B787,12280,281,70896,82,Trent1000,224782
A350,3190,123,11973,59,GE90,37668
B777,8025,415,60302,64,Trent1000,190829
A350,13529,291,9158,83,CFM56,28315
A320,7372,408,73246,64,CFM56,231485
A320,661,411,19717,67,CFM56,62085
B787,4315,465,8782,80,PW1100,27081
A350,11592,195,55400,73,Trent1000,175505
B737,7853,363,29849,95,Trent1000,94440
B787,3413,345,25506,62,Trent1000,80564
B737,4777,427,60083,97,Trent1000,189981
B787,3908,404,38906,73,Trent1000,123414
B777,4668,483,65051,80,GE90,205892
A320,10346,417,13999,67,PW1100,43143
A320,7022,148,51819,67,PW1100,163292
B777,10108,458,74639,77,Trent1000,236314
B777,2838,121,49998,92,GE90,159198
B737,5609,473,6101,68,PW1100,20107
B737,13136,233,9579,73,CFM56,29644
B777,5725,296,11000,88,PW1100,35088
B787,10399,261,67766,81,GE90,213864
B737,1099,325,18547,97,CFM56,58812
B787,13611,401,30054,97,PW1100,94943
B777,8488,364,16076,53,PW1100,50600
B787,11816,202,25633,76,CFM56,80478
A350,5164,385,14934,83,PW1100,47870
B777,10407,170,39607,69,GE90,125285
B737,10006,81,43640,73,CFM56,138248
A320,6472,96,63083,65,PW1100,200042
B737,8530,301,55500,96,Trent1000,175724
B777,2573,441,26723,90,PW1100,85017
B737,4238,115,65657,69,PW1100,206926
B777,11998,127,49933,82,GE90,157283
A350,7859,189,55333,87,Trent1000,174665
A320,2009,280,76559,54,Trent1000,241454
A320,5028,321,51137,94,CFM56,160842
B777,9446,114,76810,99,GE90,242409
A320,4989,100,6097,55,Trent1000,19317
B737,9876,463,46836,83,PW1100,147426
A350,6947,433,5563,75,CFM56,16902
A320,10656,423,70335,61,Trent1000,222107
A320,7017,197,73182,52,PW1100,232199
B787,5164,355,79449,56,PW1100,251287
A380,10228,408,14158,51,Trent1000,45478
A380,873,378,44685,91,GE90,141221
B787,3214,421,6205,87,CFM56,19312
A320,10973,458,61045,73,CFM56,192555
A380,2671,444,50874,96,PW1100,161175
B737,4122,328,23366,83,CFM56,73455
A380,5273,92,74049,65,GE90,234150
B787,3205,180,10391,63,Trent1000,33284
B777,5664,446,26352,89,CFM56,83164
B737,10123,310,50878,79,PW1100,161799
A350,3613,133,37955,95,GE90,119533
B777,4538,268,78576,78,Trent1000,248501
B737,8062,393,31278,87,GE90,99487
B777,6828,412,65071,72,GE90,205683
A350,2048,151,51537,92,CFM56,162489
B777,5143,387,63215,83,CFM56,200000
A350,11218,333,27109,56,GE90,86583
A350,2249,101,46119,70,GE90,145727
A320,13708,196,74542,55,GE90,235595
A320,821,97,62257,73,PW1100,196658
A320,10666,468,54576,56,Trent1000,172487
A380,10601,232,16563,69,GE90,52716
B787,10724,392,19241,85,Trent1000,61236
B737,12537,298,36296,64,CFM56,115324
A380,820,436,68970,79,PW1100,217333
B777,924,484,62794,75,GE90,199238
B777,742,410,12680,58,CFM56,39826
A380,8743,255,10042,80,GE90,31641
A380,3964,64,77537,57,GE90,244857
B787,10945,212,49561,68,Trent1000,156357
A380,5678,434,65600,74,Trent1000,207627
B737,7548,254,62268,98,CFM56,197088
A380,5120,302,38179,64,CFM56,121389
A350,10837,235,74975,59,CFM56,236531
A320,9067,284,43964,88,Trent1000,138377
B777,13610,82,53570,73,GE90,169693
A380,9907,109,75911,80,GE90,239714
B787,6478,445,74408,95,Trent1000,234962
A380,3245,50,44052,89,CFM56,138686
A380,7097,465,72972,53,PW1100,230687
B787,3842,350,53036,93,GE90,166879
B777,10379,203,66058,82,CFM56,208496
A350,10469,388,74472,97,PW1100,235324
A380,2950,51,8284,84,GE90,26971
B777,743,254,9317,94,PW1100,30166
B777,2324,173,69889,81,GE90,220264
B787,8046,54,48260,87,CFM56,152063
A320,2709,172,9975,77,Trent1000,31250
B787,5137,456,58094,52,CFM56,184271
A380,3284,417,26871,60,PW1100,84401
A350,5188,252,50880,50,CFM56,160654
A380,3003,414,56997,87,GE90,179918
B777,8599,124,52969,78,Trent1000,167177
B777,889,420,39211,86,CFM56,124606
A320,3496,352,33069,60,GE90,104014
B787,13709,179,7036,90,GE90,22560
B787,5086,224,61371,58,CFM56,193950
B737,2265,386,49620,94,GE90,157052
A320,589,108,41319,65,CFM56,130273
B737,9820,320,18035,52,CFM56,56721
B787,13097,100,79797,70,Trent1000,252845
A380,8255,224,22916,79,GE90,71918
A320,10408,362,66432,86,GE90,210333
B737,11770,94,8056,73,GE90,23898
B737,6266,129,7730,80,CFM56,24347
B777,1264,384,14322,72,Trent1000,46365
B737,8200,322,17964,77,GE90,55734
A350,10146,309,36747,78,Trent1000,116315
A380,12768,437,68421,78,GE90,216522
A380,2973,258,31812,62,GE90,100681
A350,7247,149,71837,60,CFM56,226911
A380,8104,416,15872,58,GE90,49407
B777,4147,320,77986,66,PW1100,246353
B787,12432,482,66500,60,CFM56,209677
A380,4293,394,66625,98,PW1100,210619
B787,10994,169,33551,98,PW1100,105637
B737,5805,431,49409,87,CFM56,155925
A350,10428,242,12429,91,PW1100,38709
A380,10248,246,7837,97,PW1100,24193
A350,8110,442,16267,88,Trent1000,52143
A380,11024,320,29842,88,GE90,94640
B787,601,275,54586,98,CFM56,173319
B777,6949,350,41850,90,PW1100,132247
B787,8397,180,55926,77,GE90,176364
B787,8847,173,77667,50,PW1100,244865
A350,11091,406,69596,51,CFM56,220620
A320,4856,336,62157,62,CFM56,196195
B777,10751,314,72828,86,CFM56,230169
A320,10022,188,27686,58,PW1100,86469
A320,6775,248,45478,62,Trent1000,143926
A320,7570,59,8003,57,PW1100,25260
B777,8273,148,10484,99,CFM56,33551
A320,7229,295,17060,62,GE90,53963
A320,10580,395,73607,77,GE90,233036
A380,4138,473,73277,71,Trent1000,231408
A320,12575,496,51721,78,CFM56,164026
B787,501,405,22432,54,GE90,70920
A380,12154,424,79447,66,CFM56,250581
B777,9274,154,5172,63,CFM56,16526
A350,11433,481,31937,53,Trent1000,101652
A350,12620,287,38525,52,CFM56,122060
A350,6528,143,51899,72,Trent1000,164225
B787,9319,320,22176,97,GE90,70149
B787,9286,353,62199,57,PW1100,197272
B787,5009,358,44981,50,PW1100,142568
B787,6842,55,35649,87,GE90,112438
B777,5221,492,70578,97,Trent1000,222713
B737,5688,82,5781,53,PW1100,18198
B787,1123,412,64634,92,GE90,204014
B737,597,482,31957,65,Trent1000,101542
B737,7951,440,10686,89,CFM56,34146
B737,3402,376,68173,63,CFM56,216556
A350,4355,268,33536,53,GE90,105840
B737,2935,136,31064,70,PW1100,98081
B737,11711,299,47304,83,CFM56,148989
A350,9793,252,48579,84,Trent1000,153752
B777,5859,350,73495,87,PW1100,232365
A350,9305,150,35656,61,Trent1000,112738
B737,7926,346,14969,71,PW1100,47846
B777,7877,119,46523,68,GE90,147315
B777,6853,112,8837,87,PW1100,28620
B777,9341,50,72816,85,Trent1000,229924
A320,11011,280,39256,75,GE90,124232
B737,12511,222,27302,78,PW1100,86462
A380,3929,268,23450,88,Trent1000,74648
B787,6243,301,32896,96,Trent1000,104320
B777,1449,51,72520,91,GE90,229700
B787,10811,223,20929,69,GE90,66198
B737,5874,151,60325,54,CFM56,190854
A380,2918,401,49405,52,CFM56,156655
A380,1007,372,43595,59,Trent1000,137808
B777,12247,392,17935,77,CFM56,56641
