aircraft_type,distance_km,passengers,cargo_kg,altitude_ft,wind_speed_kmh,temperature_c,engine_age_years,fuel_kg
B787,13962,419,3215,27350,78.4,14.9,18,67710
B777,3036,99,19594,33784,95.5,-12.4,8,21818
B777,5326,321,7092,29526,55.6,13.3,15,27129
A350,7066,330,315,27108,44.3,24.1,6,34294
A350,12826,431,14164,25837,99.6,37.1,12,66244
A350,3775,423,3776,29719,85.5,7.6,4,21364
A320,4278,432,8262,39430,59.9,27.3,11,27565
B787,9060,267,11740,29761,61.8,10.5,12,48111
B777,2620,308,15686,31040,26.6,-5.2,2,21328
B777,3524,401,15705,27042,51.4,26.0,7,24545
A320,10562,190,10251,31724,97.8,14.7,14,55295
B777,13774,74,13743,29640,8.0,39.7,6,66895
A320,516,332,12728,41462,84.1,43.3,7,9677
A380,11195,107,4349,35080,15.0,18.3,9,52661
B737,8706,223,10988,26163,42.8,22.1,12,45308
B787,8622,128,18909,40550,16.2,-0.7,4,47254
A320,8387,465,6763,32415,29.2,15.2,17,42504
A350,8761,433,3188,37220,84.6,31.6,6,43555
A350,9696,472,6008,39593,45.1,14.9,1,50867
A380,13866,170,7356,32574,15.9,21.2,19,65468
B737,13307,172,3014,40514,24.2,28.4,15,61796
A320,8652,255,7757,41268,38.0,39.4,11,44832
A350,5262,307,10955,29147,30.8,-1.1,6,29869
A380,1438,464,5804,36879,17.5,35.8,13,11761
B777,11992,132,5887,32123,97.1,33.7,12,56826
A380,12506,301,10429,35193,39.3,22.0,8,63297
B777,1570,153,18418,34232,32.7,15.4,18,14703
B737,5996,287,10725,36287,86.8,-4.1,10,34355
B787,4738,212,1585,26546,75.1,22.6,11,24946
A320,8556,265,18619,32366,33.3,-0.9,2,45483
A320,11695,361,4091,38157,35.9,22.7,1,57999
B737,1680,444,16535,32546,77.6,40.5,12,17979
A350,9269,389,2847,40519,23.3,12.6,13,45180
B777,12242,408,15457,27205,47.3,36.3,10,64092
B737,4975,380,5490,39898,5.7,10.4,7,26961
B777,4512,447,11546,25714,11.1,24.8,17,27046
A380,11959,116,19866,28810,76.3,22.9,2,60361
B787,9805,90,2328,30810,23.6,29.4,2,45217
B737,13315,185,19821,41291,15.5,43.2,11,67377
A350,10229,283,3418,31224,94.4,3.5,10,50097
A350,2383,79,1587,33789,69.0,34.6,16,11127
A320,3599,116,6158,34557,87.6,35.6,14,18835
A350,12523,406,10640,37692,11.8,41.7,9,65126
B737,2851,64,12112,40733,43.0,21.0,3,15471
B787,2138,240,13485,28619,67.4,1.0,2,15761
A320,5003,93,12718,39653,83.6,12.9,15,28301
A380,12901,319,19866,33779,53.6,24.1,3,67883
A350,5038,78,2875,26492,97.3,42.7,5,23374
B787,8452,113,19733,25384,46.1,45.9,4,45926
B787,4622,479,2349,29809,9.5,34.8,2,25529
B737,1949,141,8318,28619,91.2,33.9,12,15074
A380,7468,371,18966,28572,66.7,20.7,16,41037
B737,12319,105,12727,34647,93.5,18.5,18,60384
B787,13035,349,1425,33168,34.6,4.1,1,65332
A320,5428,97,6254,34772,96.8,50.8,5,27714
B777,13519,333,6177,27236,19.3,21.4,12,66294
A320,5176,304,1116,36148,76.3,10.5,6,27473
B787,6407,433,12284,38552,14.2,18.8,4,37803
B777,12460,225,5386,40268,12.7,1.5,4,59808
B777,9852,257,5690,32909,0.9,24.6,19,49106
A320,4968,154,5124,36204,99.3,14.2,9,25211
A320,3214,483,17023,36435,93.2,11.4,14,23590
B777,12014,365,19041,30763,41.6,13.6,17,63520
A320,11579,53,6158,41907,48.5,-2.4,6,52891
A350,2087,176,15285,35539,93.3,24.4,17,13302
B777,4549,387,5896,32235,85.8,20.8,19,26961
B787,8299,456,15013,28376,93.9,23.4,3,46817
A320,11962,223,16495,29760,81.7,31.7,16,60608
A320,3980,288,3558,30014,28.8,41.5,19,22236
A380,2699,372,525,33492,99.4,-6.4,11,14981
A380,7120,456,15825,37719,81.5,21.2,16,41048
A380,1154,148,10946,29476,51.3,6.1,8,10940
B777,11289,456,13324,31786,88.5,13.6,3,58844
B777,1519,298,1176,40025,6.1,41.4,19,10830
A350,1388,223,14010,26598,23.1,35.3,7,12574
A320,1626,474,17253,39230,38.8,33.1,5,16991
A350,6617,327,1581,31150,68.0,-5.6,12,34453
B737,13619,255,15910,38145,65.6,29.1,18,67994
A350,10803,480,15541,39057,0.3,48.1,17,58908
A350,2153,156,9746,26605,96.6,0.4,19,12232
A350,4506,417,10933,25056,4.7,29.2,4,28602
A380,6276,153,15544,28909,38.0,2.3,13,35876
B787,10823,353,13123,40830,19.6,21.4,3,58007
B737,11084,251,8001,27781,23.6,16.0,11,54202
B777,8887,368,3016,31372,1.9,4.0,3,43151
A320,2705,325,6552,25294,97.0,24.0,9,19906
A320,6303,321,9441,38610,78.0,61.3,18,33858
A320,9003,109,17184,30713,30.5,-3.8,19,47079
B737,7199,214,17784,26128,30.8,-4.1,10,39774
B777,4611,273,8791,35511,58.9,54.1,2,27035
B737,10640,481,3687,34713,26.4,23.0,4,55195
A320,2540,342,15943,34483,71.6,34.5,4,20783
A380,9449,399,17359,28105,96.3,27.1,10,52307
B737,1791,499,1215,26543,95.3,-14.3,14,12946
A380,9476,235,16646,40548,87.0,20.4,15,49578
B737,588,55,8045,40482,20.7,0.4,11,5000
A320,1284,424,17386,37627,92.7,30.1,2,15969
B737,9136,369,3920,41543,78.0,19.5,5,45052
B777,4572,393,3850,32907,70.4,31.8,15,26755
A350,8798,257,12158,29165,47.6,29.7,2,45605
B737,12790,265,3498,32459,72.7,39.8,11,61771
B737,2949,105,418,32208,0.7,15.9,3,14956
A380,11036,356,16644,28289,33.0,16.9,4,58064
A320,13482,335,15076,41534,98.0,23.5,11,68626
A380,6452,371,5766,29570,46.9,13.4,10,32289
A380,3883,439,5212,34403,61.3,12.4,6,22326
A380,9462,129,2822,37137,37.7,29.1,5,45112
A380,7184,454,9328,29151,0.8,23.3,1,39862
A320,3920,476,5899,40978,33.6,8.3,4,23685
A380,3201,375,12726,30832,92.2,29.7,18,21825
A380,10698,357,16082,32822,29.4,15.0,14,58223
B777,4645,209,15976,27609,26.0,28.4,19,27390
A320,8158,328,4428,27733,37.9,1.5,17,42505
A320,13015,278,7417,25261,74.1,29.4,18,64248
A350,7055,303,11059,39837,87.2,-19.3,10,39573
A350,6119,389,11524,40705,82.1,15.6,18,33410
A350,12947,282,1240,40586,96.5,38.5,6,61275
B787,9960,168,15999,28172,29.6,-2.3,15,52276
A380,4956,158,1865,41530,0.2,24.2,4,25176
A350,7745,88,9835,25966,97.6,3.7,1,36730
B787,11124,350,18520,31491,27.4,13.8,16,57111
A380,897,479,13899,41263,96.1,41.4,17,12323
A350,11382,328,17600,41958,46.2,12.0,17,60933
A350,1539,499,9314,32037,8.2,-5.2,16,15019
A350,7223,169,3728,38966,59.4,20.1,8,35260
B737,2339,121,6650,39699,97.8,28.2,2,13905
A320,8001,203,17597,40497,58.5,12.7,11,42219
B737,12264,497,13015,28428,97.8,14.8,18,65332
A380,3345,397,11078,35663,0.5,46.8,12,22240
B787,9494,189,5962,41778,54.0,-4.0,5,47565
B737,8382,58,3900,32245,24.9,17.0,2,40959
B787,4491,361,11744,26717,1.3,26.7,9,26522
A350,11342,468,79,33317,72.1,10.8,7,54379
A320,10871,492,1495,28232,84.4,34.7,12,53412
B777,13031,243,12011,25104,59.9,26.1,10,63851
A380,7879,235,15417,40706,9.6,19.0,14,42245
A320,13738,274,1060,39232,27.9,24.7,9,65962
A350,9038,80,11501,26493,1.2,16.0,8,44884
B737,2053,89,7811,37877,23.6,30.3,2,11730
A380,8473,111,16408,28648,79.2,5.7,14,43643
B737,12453,194,2309,38211,98.2,32.8,3,58943
B777,13533,62,14432,34013,25.8,1.4,17,65730
B787,1328,352,15501,33378,21.1,47.4,4,13681
A350,5631,125,2173,36410,85.6,40.1,19,27367
A350,12167,349,12836,31997,83.4,11.6,14,60751
B787,12432,166,13034,41589,76.9,-6.1,2,60612
A380,4961,211,6148,34611,33.9,-2.2,12,25995
B777,2634,351,8726,41443,67.6,22.3,16,19732
A380,5510,99,17989,27203,86.5,24.1,8,28835
A380,4386,495,15106,37372,59.6,29.7,12,32281
A380,8487,322,4261,34669,88.3,7.4,2,44311
A380,9149,290,5978,28517,8.1,11.0,4,46001
A350,9818,288,13846,27314,57.3,29.2,19,48716
B787,13427,257,19952,25825,25.5,13.2,11,71837
A350,7807,150,8356,29612,83.4,9.0,11,38288
B777,12553,379,3623,28762,64.0,16.8,18,61397
A380,7091,191,1018,25868,58.9,33.6,16,34374
A350,9484,399,15753,38709,3.0,26.6,19,51483
A320,5879,299,7801,38300,62.5,34.8,11,32235
A320,8164,485,19038,32271,74.8,26.2,19,47730
A380,2381,328,16922,25480,78.3,32.5,3,18457
B777,5616,399,3297,32798,94.8,15.8,14,29257
B737,4132,348,18457,41091,20.7,18.7,11,26547
A320,4819,137,17355,26043,93.9,3.8,1,29101
A380,8558,322,6355,28975,51.3,28.3,5,42342
B777,6911,409,12181,34967,8.5,28.9,3,37915
B777,13101,391,5035,30883,4.9,10.2,15,66197
A380,8986,348,16155,27809,69.1,15.9,3,46928
B787,13884,365,18892,28916,90.2,16.9,4,70379
A350,1358,319,14866,25232,94.5,4.2,18,15926
A320,13412,283,14938,34366,1.3,29.6,13,67754
A320,3170,243,16388,29557,31.5,38.4,13,21650
B777,11936,359,2561,34578,63.7,6.0,6,55878
A320,7000,176,7051,28560,34.1,40.1,19,34073
B787,11456,410,1037,36441,61.2,30.9,3,57252
B787,9228,151,7450,33740,93.6,42.1,9,43262
B737,5859,343,12240,30787,33.9,-1.3,4,33935
B777,3375,412,16321,41971,20.3,-2.9,13,24452
A350,1832,106,12606,32890,82.0,28.7,18,13274
A320,2813,354,6483,38073,51.3,25.8,14,19287
A350,12506,283,14190,40109,51.5,17.1,8,62908
B787,6610,67,606,28170,73.8,23.2,6,32459
A320,10902,106,8154,38266,8.2,37.6,5,53918
B787,13936,276,3492,32368,33.9,17.7,12,66569
A380,5235,424,1200,29905,100.0,15.2,3,28279
A320,4307,263,14223,39228,17.3,15.5,8,27266
B737,4719,344,6150,28344,37.5,0.7,18,26873
A320,3290,167,6933,41097,79.1,7.3,1,18198
A380,12632,216,10495,30158,21.8,24.7,6,63295
B777,12604,283,2903,33877,16.9,22.7,13,59946
A350,11695,100,13015,32742,30.8,23.9,8,57058
A380,6535,156,476,31972,30.0,25.6,14,30037
A350,10212,109,15847,27046,53.1,14.8,15,53287
A320,5478,400,7005,39112,9.6,21.5,5,30625
B777,12232,359,8031,40548,78.2,38.1,16,61451
B737,9191,365,19700,30742,52.5,33.8,16,51612
A350,9816,60,14048,27484,82.3,0.2,13,47869
B787,8225,456,5652,29588,99.0,28.3,7,42740
A320,2427,363,3126,36096,37.5,24.2,10,14083
B777,7987,161,11956,37978,50.0,48.1,8,41890
B737,9362,377,8269,35813,92.6,33.7,4,47154
A350,8801,434,9995,34898,25.0,36.2,3,46042
B777,13728,357,15876,36225,91.5,33.6,18,69078
B737,741,457,8812,33537,88.2,-9.3,4,11956
B777,13528,77,14544,25262,43.6,7.1,12,64911
B737,1479,58,9124,37499,10.9,1.6,18,9747
B777,11903,141,170,39604,58.0,22.9,9,54248
B737,6578,161,13935,39185,81.2,23.6,18,35170
A380,12241,81,15694,34977,46.8,32.2,9,59244
B737,5380,227,7206,35754,8.5,18.7,13,27895
A320,7525,223,4591,32559,88.2,28.7,11,34442
B777,11893,240,6171,38314,32.1,5.4,10,57979
A380,5701,445,14140,27155,6.7,22.6,5,32568
A380,1978,219,11040,31252,18.8,36.8,18,14314
A380,7207,77,19279,36302,14.9,35.9,5,36925
B787,13094,244,13055,30415,57.3,30.1,14,66282
A350,6117,402,8045,25989,91.0,31.2,1,34171
A350,5531,312,15436,30095,38.0,31.0,4,33121
B737,4454,125,10175,37540,56.4,9.6,9,24284
A350,3899,304,9514,34873,27.6,17.8,12,22439
B787,5684,241,7691,27729,96.8,28.3,7,30748
A320,2236,144,19072,25218,99.2,-3.1,14,18330
A320,5324,269,17864,40855,88.5,18.8,2,33620
A380,4102,205,10686,32924,12.8,3.7,5,20361
B787,13781,222,4344,26681,72.1,24.3,7,65066
A380,4773,286,9297,41466,19.7,8.1,12,26196
B787,8925,62,19534,33379,30.6,11.9,7,46090
A350,12341,487,9089,25805,35.2,24.9,15,62693
B737,11189,57,12090,25087,49.7,42.2,1,54931
B737,1731,172,18847,41398,97.2,24.1,16,14348
B777,10099,368,8346,33504,67.3,-12.4,14,51019
A350,10704,161,3926,36909,2.4,29.9,8,52648
B777,9737,181,17629,35928,54.2,-1.0,10,51111
B737,9918,374,12549,41875,69.7,9.0,1,52286
A320,4055,155,4139,33854,23.9,25.4,10,20023
B737,2792,58,13119,38683,92.4,20.3,13,17951
B737,6009,338,872,29559,2.3,17.8,9,31840
B787,12904,153,5559,34380,15.9,22.2,8,60160
A350,11322,69,1466,28310,66.6,19.6,17,54501
A350,914,255,18690,31074,68.4,33.2,12,12818
A320,5785,256,10251,36843,88.5,22.9,17,31271
B777,6012,444,11624,31213,38.0,54.6,9,34598
B777,1664,246,18580,32241,48.5,11.6,8,14652
B787,1207,325,11550,32080,38.1,-6.5,13,11697
B777,7092,381,10820,40713,99.7,22.7,19,38132
A350,3227,105,3133,37430,96.8,30.1,12,16242
B787,6445,497,12372,38774,44.7,13.1,15,40009
A380,11489,277,8907,39098,64.8,38.0,10,57712
B787,9805,128,11059,30703,18.5,37.3,8,47514
B777,9980,140,821,32851,62.0,-6.4,1,45939
A380,10604,140,13538,33232,36.5,35.9,7,53291
B787,5231,485,12507,26645,40.4,-12.6,16,31589
B777,9438,330,3998,39560,41.2,20.4,14,46998
A350,7222,379,14123,37109,12.4,29.2,1,39439
B737,4447,205,2054,29558,27.8,-2.4,6,22511
A380,7800,292,1263,26359,33.7,16.4,19,38121
B787,2674,404,7904,38850,52.6,5.0,11,19980
A380,2503,116,787,35806,20.0,38.1,4,13507
A380,3227,341,14868,38965,8.5,24.1,7,22255
B737,8589,354,8104,29425,61.9,23.9,13,44952
B737,9671,118,4156,28359,5.2,16.6,12,46744
A380,1405,472,9127,32610,50.8,50.2,16,13301
B777,5917,418,12222,35910,18.8,6.3,8,34512
A380,8006,52,1753,27517,90.5,17.7,2,36926
B777,12136,210,3969,36529,94.6,12.4,11,59991
A380,7449,492,7454,39881,0.4,4.2,5,40144
B787,6936,144,11649,27214,68.2,4.0,6,35774
A380,1111,476,12641,40358,33.0,26.1,1,13840
A380,3766,270,6295,35935,9.4,7.5,17,21269
B787,4640,334,7574,34356,76.3,47.6,8,27051
A350,4656,446,3411,41766,96.3,47.8,16,26737
A320,1842,191,7277,41010,33.0,9.0,10,12261
B737,9925,296,4296,30172,31.7,10.8,11,48016
B787,11931,351,3318,39613,13.5,-5.4,11,56639
A380,5649,489,12411,33187,67.4,14.3,5,35019
B777,11356,323,18361,27499,83.5,36.0,19,60859
B737,11812,215,7712,32544,4.7,25.7,11,58177
B777,5706,79,1142,37250,64.9,32.3,8,27685
A320,12682,316,12482,32059,72.9,20.8,16,64927
A380,13756,82,14014,32657,56.3,11.6,14,67134
B777,8741,146,2659,26447,29.0,7.3,7,40704
A380,6172,144,626,38388,21.6,26.2,18,29973
B787,9712,303,4551,30120,5.0,13.7,9,48836
A380,12429,298,11153,35487,18.1,25.7,1,62063
B777,7557,73,18904,34792,97.5,1.5,10,40289
A350,3258,317,15606,30567,59.0,34.4,14,22510
B737,6149,361,4916,34356,16.2,25.4,5,32346
A350,1404,132,12180,33317,66.8,28.4,19,11409
A350,4687,180,6899,38667,71.8,9.0,3,24029
B777,4240,194,7440,34622,39.1,18.6,2,23538
B777,3774,297,15475,34806,53.8,21.6,12,23639
B777,9031,198,5245,37205,38.1,23.5,1,42918
A350,12804,95,13741,30909,26.0,21.8,15,63714
A320,11239,78,18568,39396,38.4,24.1,19,55598
B737,8091,458,4405,36919,87.0,10.6,18,43062
B787,9644,416,16666,36417,54.5,24.0,10,52245
A380,3695,447,11766,30577,34.6,31.5,1,22764
A350,4287,497,17,33236,59.4,12.5,1,23603
B737,6974,187,3502,25302,23.4,21.2,18,33856
B787,2341,66,6221,29819,30.2,33.2,3,12303
B777,13158,161,15647,31678,22.3,20.2,17,63633
B737,13561,76,8978,39717,88.6,16.5,18,63670
A380,2402,204,10386,29460,75.0,34.1,3,16023
A380,6073,89,7103,33365,80.2,-11.4,3,31132
B777,4688,318,12435,40691,22.5,11.7,18,28104
A320,7036,197,7330,27773,10.1,14.6,3,37171
B777,1532,123,2431,31809,96.4,31.2,11,9218
A320,1081,321,12145,38986,46.4,-5.7,4,12243
A320,3865,442,4451,29852,6.4,0.5,9,22126
B737,12130,108,12601,32610,99.1,21.3,9,59384
A320,5683,456,3763,35432,69.5,19.6,7,30355
B777,840,252,4760,27815,10.0,11.6,11,7930
A350,7974,350,8679,27991,70.1,13.2,9,40244
B787,11375,212,17242,35194,27.0,2.2,16,57608
B777,763,487,17155,34565,62.6,40.8,17,13397
B777,1980,50,10867,28797,84.5,35.7,6,12655
A350,9943,223,2643,41886,65.5,-6.1,11,47949
B777,9637,494,5768,36836,12.1,37.7,8,47504
A320,11922,456,7104,32787,25.5,12.7,5,59709
A350,625,443,212,27042,83.4,9.4,2,7632
B787,1680,380,4247,36867,54.1,32.3,10,12421
A320,10901,254,4334,28177,7.6,10.8,19,53815
B777,3353,399,14648,30991,80.5,44.6,15,22455
A320,6963,255,11370,38114,3.7,29.7,11,37869
A380,6230,419,15009,39261,58.5,-2.2,9,36510
B737,12034,281,16692,36840,77.2,32.0,19,59101
A320,1221,105,10168,25048,64.4,15.6,18,11517
A350,5026,406,1146,32881,98.1,3.0,12,28065
B737,2356,181,895,30196,56.4,17.2,3,11447
A380,5187,466,13745,31734,49.9,6.7,1,33797
A320,11878,138,18710,41060,27.8,10.5,5,59729
A380,10418,473,10526,25110,57.7,31.7,15,55563
A320,1460,471,7607,29947,98.7,12.2,5,14797
A320,3488,409,18874,35775,44.6,-0.0,13,25489
A380,1311,454,730,35852,38.5,6.1,16,10578
B737,8691,299,17498,27679,67.5,11.2,17,48315
A350,10076,464,15785,39570,28.6,-6.0,1,55910
A350,10932,437,14626,37377,5.1,-0.1,3,60897
A320,4562,206,8369,33128,72.6,7.9,2,25397
A380,2034,362,16789,33623,93.4,9.4,14,19185
A380,2329,105,15457,26497,44.2,24.5,11,17092
B777,3073,200,6059,26474,39.2,16.4,10,14796
A320,11562,304,9288,26039,12.0,42.4,9,57711
B737,9124,251,10974,25808,15.9,25.2,18,45588
B737,5896,51,16144,25484,75.1,10.4,8,30683
A350,5893,171,18703,25630,98.7,5.7,14,32813
B777,7787,303,14691,35776,12.6,21.3,15,42796
B787,589,168,14761,40870,97.8,13.0,7,7944
A350,13217,256,13285,31215,77.5,-4.1,8,66743
B737,3837,90,1,26412,87.3,10.7,4,18548
B787,1618,449,13348,30939,84.3,23.1,5,16364
A320,8673,281,1058,32121,64.2,44.9,1,42225
A350,7078,140,10803,26856,75.0,51.5,16,35473
B787,11385,333,1906,28717,98.5,34.3,15,54609
B787,9805,236,10301,36830,48.2,-10.4,14,51357
A350,7436,405,13257,35187,80.5,19.3,16,42222
B787,12201,315,13956,31723,53.5,0.6,7,63014
B737,2313,378,17589,36852,64.2,14.1,15,20409
A350,1307,467,19179,38392,75.0,38.6,8,16410
A320,12775,478,16572,40423,19.7,13.2,17,67956
B737,12606,495,4295,34676,66.3,5.0,9,61364
A320,5328,181,11632,27285,3.3,-4.9,19,28976
A350,9276,477,10355,28815,31.9,39.9,7,50719
A320,4827,496,16743,25322,17.0,21.3,19,31905
B737,11707,285,18072,32681,56.2,30.1,9,61283
A350,10260,233,341,38172,49.7,31.7,18,47715
B787,8111,66,6923,32174,7.2,4.3,19,38347
B777,9713,111,1744,37413,2.2,13.1,14,44842
A350,6447,173,17402,25991,9.8,42.1,3,36222
A320,8353,262,1251,30683,53.4,40.3,19,40695
B737,11589,479,12859,39729,2.5,22.6,9,60234
A320,9908,166,12174,28760,37.0,40.9,8,49412
B737,1465,420,13789,25499,69.3,36.2,8,14960
A380,9162,187,8337,32246,8.9,46.4,16,45238
B737,12501,327,4698,26346,24.2,28.1,4,61665
B787,7899,379,19765,26745,62.7,-0.6,7,47602
A380,3568,298,19082,37379,81.8,13.7,5,24885
B737,11099,439,19319,26282,58.6,43.8,16,59797
B737,2880,406,5442,25686,52.1,17.5,8,18294
A320,12233,361,9380,35363,12.5,6.3,15,61063
A380,7053,467,4376,29050,61.4,10.4,1,36563
A320,2207,276,14085,40585,20.0,5.5,9,18725
B777,6373,308,17506,27097,21.8,23.4,18,37133
B787,5496,90,5445,34462,89.4,-0.4,6,27855
A350,2342,365,17698,25516,23.5,29.9,7,18154
A350,12760,154,17208,37237,41.3,15.3,9,65322
B777,11355,445,18557,32211,37.5,3.2,10,61886
B737,5857,356,9658,41666,39.2,32.6,9,32995
B777,3899,247,1769,36076,88.6,9.6,1,21706
A380,9812,399,11931,37419,97.4,31.0,10,52594
A350,13182,209,9611,36073,29.2,29.9,5,63734
A320,685,316,2166,36747,82.7,36.7,7,5079
A380,12147,151,4816,38740,7.4,29.9,13,57736
B787,10788,294,16748,32109,92.4,38.9,3,57038
A320,13938,472,13033,39388,88.0,27.2,9,71325
A380,6341,454,12368,27314,31.9,25.4,13,36134
B777,8146,248,12367,32401,98.4,7.7,9,42835
A380,1646,166,4592,34961,87.3,5.0,13,10343
A350,10443,375,2538,26430,55.0,21.3,19,51567
B737,6564,441,18052,29011,53.4,12.1,1,41540
B737,8215,65,12252,32816,10.3,37.1,8,41999
B787,11437,175,9502,27444,2.7,-4.3,13,57362
A380,11164,125,312,36103,75.8,33.5,18,52325
B787,8722,227,16491,39604,28.9,0.3,5,48275
A380,11686,191,3213,38246,93.3,-7.1,6,55574
A380,728,323,16309,32454,95.6,26.7,18,12244
A380,11514,169,6326,36624,89.5,-0.5,10,54175
B787,2492,149,266,33929,7.8,-1.8,7,13169
A320,10370,347,17524,39922,98.5,2.6,19,54762
A350,4042,62,13532,38716,21.0,-9.1,12,22724
A320,3203,463,6306,33455,85.9,37.1,4,22111
A320,11307,216,7344,37912,95.6,59.5,17,56051
A350,11108,426,4523,41602,62.8,24.5,12,56525
B737,8168,467,12955,41296,28.5,30.1,15,43303
A380,7266,66,365,38404,83.1,45.5,2,34712
A350,13591,326,7127,32024,47.1,13.5,9,65239
A350,2604,223,6720,36135,19.4,21.8,14,16574
A350,5348,344,16504,27688,25.2,48.4,17,31003
A350,3473,497,10269,33309,19.5,17.8,4,22242
B737,13730,241,1479,39472,85.3,20.8,13,64439
B787,12759,158,8655,35680,74.7,34.7,9,60319
A380,2299,56,14536,37887,37.1,4.1,13,15497
A350,5965,210,9079,29246,18.1,20.4,18,31911
B737,4041,283,16349,40322,43.7,19.0,5,25108
B777,7810,275,5027,36856,29.9,43.5,8,38105
B787,3534,93,12378,40199,20.2,35.4,15,19913
B737,11203,307,2241,39521,91.7,21.3,15,55013
A380,1950,270,16463,28477,11.9,0.7,12,16819
B777,3333,166,7277,31680,74.8,30.2,18,19251
A320,6498,245,3602,30593,77.1,13.1,15,33606
A320,1195,301,17379,38792,70.9,43.3,10,13058
A350,1754,428,5990,34236,63.0,35.5,15,12247
A320,13525,466,9578,36675,64.4,18.7,19,66841
A350,10585,324,17872,33429,64.1,24.2,13,54989
A380,4072,227,2701,31506,90.0,0.3,19,21435
B777,12141,77,11093,37688,30.1,48.3,15,58584
B737,6000,330,16123,38597,83.4,20.2,9,36256
B787,7010,89,16168,33404,15.7,12.3,18,36578
B787,3453,327,8882,36240,6.9,20.0,10,21294
B737,1520,217,11602,34487,43.0,17.9,9,11759
A380,10076,143,18321,32847,16.4,-2.1,1,51951
A350,3966,207,8500,34313,29.0,16.5,13,22370
A350,7878,369,14171,36338,66.0,22.3,3,44401
A350,4438,428,4034,26649,98.8,54.0,10,26416
A350,894,232,13053,40625,50.3,23.0,3,9593
A380,1007,413,17306,41593,90.0,-5.6,19,12491
B777,3875,409,18567,25935,42.0,53.5,4,26073
A380,8892,407,7931,32309,39.8,25.5,6,44955
B737,2757,421,7547,41424,88.6,20.3,16,19973
A350,7476,223,17526,36543,30.8,12.3,7,42567
A350,7514,457,3286,27891,44.2,18.4,5,39297
B777,5711,141,15930,37732,3.7,1.5,7,31993
A380,5576,349,934,39606,94.5,10.0,19,28024
A320,11870,248,18601,30613,37.4,19.5,8,61149
A380,5044,400,16235,26054,53.9,35.9,16,31226
A320,1651,172,12476,30221,59.4,26.4,13,13734
B777,12080,393,14798,26739,54.0,35.6,17,62328
B737,8299,374,18162,41489,41.3,14.7,9,46494
A320,2178,399,17927,25604,17.2,41.6,4,19342
A350,3865,329,14795,34149,65.5,9.1,2,26552
A320,3216,52,5385,25645,94.9,-2.9,13,14988
B737,11805,360,13629,28766,54.5,-0.3,12,59143
B737,2880,282,10851,38960,0.4,57.0,14,18907
B787,10460,418,17076,35563,32.2,36.0,5,56081
A320,13601,302,8576,31228,21.3,11.8,17,66491
B787,13851,354,1401,34083,30.3,7.8,2,65510
B737,12400,419,9001,25880,49.7,19.5,10,62736
A380,4373,315,8366,35205,97.1,43.6,2,26802
B777,4710,357,9010,39337,67.4,26.1,15,28952
B787,6432,51,8106,29144,39.5,-0.1,4,32982
A350,10667,318,590,25978,86.2,2.9,9,51932
B787,13117,235,12687,41350,82.2,-2.0,4,64689
B737,2803,295,16315,32571,14.6,-19.3,3,20770
B787,5411,53,2085,32307,43.4,-5.9,11,25078
A350,6285,378,6920,25734,16.8,-2.3,15,35134
B777,8295,315,19403,40782,2.3,45.7,2,45794
B777,1345,124,1437,28468,26.9,8.7,7,9206
B737,2974,148,8777,36829,58.4,19.7,16,17510
A380,7242,299,2772,27079,71.9,7.5,2,36256
B777,3413,389,13085,35963,61.9,-1.2,11,21554
A380,2472,87,11497,29079,68.7,14.5,4,14215
A320,8935,467,7211,39955,17.8,-3.6,15,48502
A380,939,481,2638,37067,7.0,37.8,10,9117
A350,5305,256,10537,31679,98.9,3.2,5,30812
A350,10448,325,17596,29176,9.1,27.3,3,55046
A350,7579,305,11800,30710,8.5,17.0,17,40592
B787,4332,94,3887,28962,9.9,-3.0,3,21005
A320,5560,75,10092,26621,84.2,24.5,14,29618
A380,4986,109,567,39464,91.5,20.0,14,24064
B787,1603,286,14584,40099,12.8,27.1,13,14786
B737,10657,443,15858,25765,71.2,45.5,16,57575
A380,4364,449,1530,29265,25.6,48.1,12,24188
A380,5282,106,8489,30815,13.7,-7.7,17,27659
B777,5113,204,2570,37145,83.8,17.0,19,23950
A380,7201,146,947,29749,33.7,35.2,17,33328
A350,1023,242,10494,34282,94.4,36.3,3,12558
B777,12471,494,14879,38872,69.5,20.0,7,67302
A350,2359,301,12638,40920,24.5,4.6,16,17575
B777,12957,78,11915,26717,78.5,42.7,13,62775
B787,10094,465,17465,39508,90.5,30.2,15,55659
A350,2758,219,19686,28759,76.7,-2.0,1,20203
A320,2345,219,12188,25287,12.4,46.0,8,15608
A380,13498,351,9273,25111,29.2,12.2,10,66441
A380,13947,77,5456,40627,7.9,26.7,18,64673
B787,942,84,18343,37924,47.3,5.1,1,10217
A320,6374,325,9110,40585,2.5,6.5,5,35323
B737,5560,323,16864,31383,96.8,-1.9,3,34221
B737,6958,140,806,35182,39.8,36.5,3,33226
B787,2721,51,5507,38485,80.4,25.5,2,14611
B737,7504,448,6368,40793,73.0,-1.2,6,40383
B787,1298,229,17670,32303,6.8,-3.7,17,12279
B787,10122,438,2952,37247,61.5,46.4,2,52787
B777,10541,101,1672,36747,44.7,12.0,14,50614
B737,5263,428,4356,32983,29.1,0.4,1,28996
B787,13341,345,3991,41480,19.4,38.9,6,64649
