origin,destination,days_before_departure,season,seat_class,airline,distance_km,demand_score,competitor_price,is_holiday,price_usd
SYD,SYD,279,spring,Business,SkyMind,11200,0.75,1994,1,753
SYD,FRA,275,spring,Economy,SkyMind,13073,0.91,709,1,876
BOM,LHR,221,spring,Business,AsiaJet,1528,0.44,688,1,647
LHR,NRT,285,autumn,Business,PacificAir,10868,0.36,1587,1,619
SYD,BOM,146,winter,First,AeroGulf,5551,0.43,536,0,1078
LAX,CDG,69,winter,First,EuroWings,1170,0.32,971,1,92
FRA,CDG,140,winter,Business,AsiaJet,5094,0.65,1602,0,370
NRT,DXB,10,spring,Economy,SkyMind,13894,0.93,1956,0,5291
FRA,LHR,111,summer,Economy,AeroGulf,2355,0.13,1492,1,215
JFK,JFK,37,summer,First,PacificAir,13929,0.56,1502,0,2648
LAX,SYD,81,autumn,Economy,EuroWings,3929,0.9,210,0,999
DXB,FRA,96,winter,Business,EuroWings,5776,0.1,222,0,1072
JFK,CDG,55,spring,Economy,SkyMind,10770,0.49,153,1,732
LHR,NRT,132,autumn,First,SkyMind,7486,0.87,1594,0,561
LHR,LAX,223,spring,Business,AsiaJet,10698,0.9,1329,0,2081
JFK,FRA,63,autumn,Business,EuroWings,10380,0.51,266,0,755
FRA,SYD,12,winter,Economy,EuroWings,4931,0.02,1089,1,1814
SYD,LAX,146,spring,Economy,EuroWings,1069,0.11,534,1,271
CDG,JFK,264,winter,Business,EuroWings,6956,0.59,1911,1,2565
LAX,BOM,32,winter,First,AeroGulf,13386,0.12,1059,1,4826
FRA,LAX,49,spring,First,PacificAir,1646,0.15,700,1,265
FRA,LHR,360,winter,Economy,AeroGulf,12466,0.77,1134,1,747
JFK,SIN,187,autumn,First,PacificAir,9556,0.75,1506,1,3604
NRT,LHR,343,autumn,Business,AeroGulf,7014,0.84,1597,1,1391
LAX,SYD,99,autumn,First,AsiaJet,5400,0.11,608,1,1980
JFK,SIN,167,winter,Business,PacificAir,13101,0.2,663,1,783
BOM,CDG,306,spring,Economy,EuroWings,527,0.83,824,0,191
LAX,BOM,213,winter,First,PacificAir,5849,0.72,1177,1,2243
SYD,CDG,199,winter,Business,EuroWings,1529,0.81,346,0,611
CDG,SIN,246,autumn,Economy,AsiaJet,7116,0.99,680,0,2689
CDG,CDG,154,spring,Business,PacificAir,2496,0.86,1642,0,313
CDG,DXB,96,summer,First,SkyMind,1841,0.52,239,0,455
NRT,CDG,63,summer,Business,EuroWings,9940,0.31,970,0,3576
SYD,FRA,194,spring,Economy,PacificAir,10828,0.57,504,0,2011
SYD,BOM,322,spring,Economy,AeroGulf,2587,0.64,605,1,104
SYD,SIN,359,autumn,First,PacificAir,9372,0.34,1347,0,534
JFK,LAX,302,spring,Economy,EuroWings,874,0.77,680,0,400
CDG,CDG,272,spring,First,SkyMind,12061,0.09,446,1,2239
LAX,CDG,90,winter,Economy,SkyMind,3545,0.78,962,0,1463
LAX,SIN,328,winter,First,AeroGulf,13829,0.03,473,0,802
SIN,BOM,272,summer,Economy,AsiaJet,6775,0.5,1327,1,2556
LAX,NRT,85,autumn,First,SkyMind,11029,0.86,732,0,4139
LHR,DXB,295,autumn,Business,AsiaJet,6449,0.09,391,1,1109
BOM,SYD,36,spring,Business,EuroWings,1305,0.52,376,1,253
LHR,BOM,18,autumn,First,PacificAir,6852,0.16,1432,0,2535
NRT,CDG,77,summer,Economy,AsiaJet,6970,0.89,353,0,2692
CDG,SYD,49,winter,Economy,EuroWings,11731,0.83,758,0,4443
LHR,SYD,359,summer,First,EuroWings,7146,0.93,102,0,1312
LAX,SIN,236,summer,Economy,EuroWings,778,0.87,1311,1,149
CDG,SIN,44,spring,First,AeroGulf,1905,0.74,1460,1,903
BOM,DXB,109,winter,Business,AeroGulf,9479,0.18,1473,1,3425
SIN,LHR,129,spring,First,AsiaJet,7650,0.3,1223,0,2838
JFK,JFK,7,summer,Economy,EuroWings,13739,0.5,556,0,972
SIN,NRT,304,summer,Economy,AsiaJet,1832,0.59,517,0,335
DXB,FRA,112,autumn,First,SkyMind,8565,0.78,256,0,1691
DXB,LAX,213,autumn,First,AsiaJet,13064,0.23,301,0,4726
BOM,NRT,304,autumn,First,PacificAir,3647,0.13,983,1,1247
DXB,CDG,307,autumn,First,EuroWings,11037,0.48,796,1,1977
NRT,SYD,363,summer,Business,AsiaJet,8492,0.16,428,1,1532
FRA,SIN,66,autumn,Economy,AeroGulf,3949,0.69,139,1,812
LAX,BOM,31,winter,Economy,PacificAir,932,0.58,1429,1,463
JFK,CDG,295,summer,First,AsiaJet,8526,0.74,814,0,3231
FRA,DXB,265,summer,First,AsiaJet,1509,0.06,246,1,220
LHR,CDG,297,winter,First,AsiaJet,7779,0.96,341,1,1434
NRT,LHR,319,spring,Business,AeroGulf,12541,0.0,278,1,710
LHR,SIN,14,autumn,Business,AsiaJet,5691,0.33,1172,0,2138
FRA,SIN,58,summer,First,SkyMind,9008,0.68,279,0,671
DXB,FRA,344,winter,Economy,SkyMind,5807,0.05,761,1,1033
LAX,FRA,242,spring,Business,SkyMind,4716,0.08,980,0,1669
FRA,NRT,353,spring,Economy,AsiaJet,1865,0.08,1057,0,724
LAX,FRA,248,winter,Business,PacificAir,7296,0.58,850,1,497
DXB,LHR,98,summer,First,AeroGulf,13091,0.9,1439,0,932
SIN,CDG,162,summer,First,SkyMind,9627,0.56,1843,0,713
NRT,JFK,247,autumn,Economy,SkyMind,4018,0.6,308,0,251
LHR,LAX,326,autumn,First,PacificAir,12479,0.35,1611,1,4425
LAX,CDG,342,winter,Economy,SkyMind,3268,0.02,1370,1,588
LAX,JFK,4,winter,First,AeroGulf,995,0.02,1642,1,280
LAX,JFK,306,summer,First,PacificAir,4092,0.89,730,0,688
BOM,NRT,261,summer,Economy,EuroWings,2732,0.1,1560,1,105
CDG,CDG,331,winter,First,AeroGulf,12710,1.0,642,0,2353
DXB,SIN,45,winter,Business,AeroGulf,8548,0.16,448,0,522
FRA,NRT,211,spring,First,AsiaJet,3435,0.67,618,1,321
NRT,JFK,244,spring,Economy,EuroWings,13500,0.95,1870,1,2482
BOM,FRA,203,spring,First,EuroWings,7219,0.36,486,0,1354
SIN,SIN,203,spring,Business,PacificAir,4945,0.73,1404,0,1074
BOM,BOM,27,spring,First,SkyMind,2867,0.35,1541,1,1069
CDG,BOM,118,winter,First,EuroWings,11276,0.3,900,1,788
DXB,DXB,226,autumn,Business,PacificAir,7055,0.2,706,0,2596
DXB,SIN,360,winter,First,EuroWings,1405,0.82,443,0,181
JFK,LHR,205,spring,First,AeroGulf,8668,0.26,1161,1,3182
DXB,SIN,247,winter,Economy,EuroWings,11919,0.28,465,0,4321
SIN,NRT,49,summer,Economy,SkyMind,8400,1.0,480,0,1776
JFK,DXB,253,winter,Economy,PacificAir,10519,0.33,1249,0,1940
SYD,NRT,78,winter,Economy,SkyMind,12414,0.42,1895,0,826
LAX,SYD,257,autumn,Business,AsiaJet,11272,0.99,1299,1,767
SYD,NRT,120,spring,Economy,SkyMind,5097,0.37,1084,1,1921
NRT,SYD,35,spring,Economy,SkyMind,8153,0.37,1224,1,1605
DXB,LAX,312,winter,First,PacificAir,13965,0.83,1952,0,797
NRT,BOM,143,winter,Business,AeroGulf,5509,0.31,590,0,451
DXB,DXB,197,spring,Business,EuroWings,7735,0.23,292,1,2758
CDG,FRA,260,summer,Economy,EuroWings,10207,0.42,180,0,3748
BOM,FRA,84,spring,First,PacificAir,7708,0.7,977,0,2940
SYD,LHR,192,summer,Business,PacificAir,13314,0.04,1578,0,2338
DXB,CDG,22,winter,Business,AeroGulf,8458,0.37,1457,1,638
BOM,NRT,24,winter,Economy,AeroGulf,5788,0.35,1696,0,398
LAX,DXB,75,summer,Economy,AsiaJet,8313,0.24,228,0,609
FRA,LHR,134,spring,Economy,EuroWings,13498,0.65,1129,1,4947
LHR,JFK,167,winter,First,EuroWings,6636,0.29,1581,1,1166
DXB,FRA,110,spring,Economy,AsiaJet,11695,0.61,120,1,4414
CDG,NRT,90,winter,Business,PacificAir,8803,0.5,1318,0,3291
SIN,SYD,37,autumn,Business,EuroWings,7106,0.22,950,1,1381
SYD,CDG,310,autumn,Economy,SkyMind,10364,0.27,127,0,1835
JFK,JFK,51,autumn,Business,PacificAir,2802,0.17,549,1,958
JFK,CDG,60,summer,First,PacificAir,10342,0.06,1022,1,1960
BOM,SIN,72,spring,Economy,AeroGulf,7825,0.62,1615,1,2965
SYD,JFK,128,autumn,Business,AsiaJet,4895,0.67,1027,1,448
NRT,SIN,307,summer,Business,PacificAir,13745,0.17,751,0,2515
JFK,BOM,62,autumn,Economy,AeroGulf,11166,0.62,932,0,807
DXB,DXB,305,winter,Business,SkyMind,4495,0.98,1553,0,868
JFK,JFK,179,autumn,Business,SkyMind,10582,0.07,334,1,3899
LAX,FRA,28,spring,Economy,EuroWings,8998,0.49,523,0,3373
DXB,BOM,240,spring,First,AsiaJet,8812,0.73,704,1,3294
NRT,FRA,232,summer,Business,AsiaJet,8269,0.05,1260,1,2882
SIN,LAX,153,spring,First,AeroGulf,11793,0.78,181,0,4437
CDG,JFK,333,autumn,First,EuroWings,9969,0.98,417,1,3538
LHR,LAX,7,winter,First,AsiaJet,1927,0.09,464,1,423
SIN,FRA,65,winter,First,EuroWings,6113,0.82,864,1,1322
LAX,FRA,123,summer,First,AeroGulf,3602,0.38,839,1,286
NRT,SIN,36,winter,Business,EuroWings,9877,0.14,499,1,1810
BOM,SIN,238,summer,Business,PacificAir,1955,0.49,1990,0,390
LHR,SYD,73,summer,First,PacificAir,9871,0.07,455,0,568
LAX,CDG,30,summer,Economy,PacificAir,1846,0.52,1575,1,243
SYD,FRA,227,spring,First,PacificAir,9320,0.02,1035,1,3467
SYD,JFK,303,autumn,Economy,SkyMind,1714,0.73,334,0,205
LHR,BOM,347,spring,Business,SkyMind,13987,0.49,134,1,802
BOM,NRT,285,winter,Economy,AsiaJet,2461,0.46,738,0,486
LAX,LHR,5,spring,Business,SkyMind,3495,0.2,438,0,1322
FRA,FRA,65,summer,Economy,EuroWings,5112,0.36,1577,1,388
NRT,JFK,235,spring,First,EuroWings,13632,0.18,1602,1,4876
JFK,SYD,115,spring,Business,SkyMind,10239,0.74,1982,1,3860
JFK,FRA,319,winter,Economy,EuroWings,6190,0.2,1382,0,421
CDG,LAX,246,autumn,First,AsiaJet,13607,0.62,1763,0,835
DXB,DXB,349,summer,Economy,AeroGulf,3358,0.28,1176,1,302
FRA,CDG,17,spring,Economy,SkyMind,1261,0.66,1735,1,340
LAX,LAX,307,winter,Economy,PacificAir,5958,0.54,542,0,2198
CDG,SYD,37,winter,Business,EuroWings,11058,0.42,519,0,2042
LAX,JFK,344,summer,Business,EuroWings,12898,0.67,805,0,4674
JFK,SYD,219,winter,First,AeroGulf,10533,0.42,851,0,3856
FRA,LHR,137,autumn,Economy,AsiaJet,8547,0.82,348,1,3256
JFK,FRA,246,winter,Economy,EuroWings,5402,0.73,392,0,475
FRA,LHR,38,spring,Business,PacificAir,8605,0.54,306,1,652
SYD,DXB,251,autumn,Business,AeroGulf,1996,0.88,1224,0,544
SYD,JFK,53,autumn,Economy,EuroWings,12611,0.83,1338,0,2503
SIN,DXB,346,winter,Economy,PacificAir,11780,0.53,1423,0,2114
BOM,BOM,309,summer,Economy,EuroWings,9935,0.07,1699,0,3699
LHR,BOM,203,summer,Business,PacificAir,5082,0.57,534,1,1032
DXB,SIN,49,summer,Economy,AeroGulf,13598,0.36,338,1,4966
DXB,DXB,122,spring,Economy,AsiaJet,2543,0.54,1247,1,264
LHR,LHR,326,winter,Business,SkyMind,3876,0.65,617,0,1447
CDG,LHR,16,summer,Business,SkyMind,9208,0.64,836,1,728
BOM,LHR,269,spring,Business,AsiaJet,1334,0.67,1960,1,139
JFK,LAX,236,autumn,Business,EuroWings,1123,0.68,248,1,233
CDG,SYD,121,summer,Economy,AeroGulf,1547,0.11,156,1,80
BOM,LAX,139,autumn,Business,PacificAir,2064,0.19,255,0,412
LAX,FRA,87,summer,Business,AeroGulf,4482,0.63,1720,0,957
BOM,FRA,130,winter,Economy,AsiaJet,13943,0.41,635,0,2615
SYD,LHR,252,autumn,First,EuroWings,5940,0.76,214,0,2180
SIN,NRT,350,winter,Economy,EuroWings,996,0.12,703,1,113
JFK,DXB,275,spring,Economy,AsiaJet,11121,0.19,430,0,1967
SYD,LHR,360,autumn,Economy,AeroGulf,10955,0.56,1314,0,712
DXB,SIN,301,spring,Economy,SkyMind,1042,0.5,1657,0,368
SYD,FRA,47,summer,Economy,AeroGulf,1415,0.27,465,1,303
CDG,DXB,79,summer,Economy,EuroWings,2301,0.41,1617,0,494
JFK,BOM,298,summer,Economy,EuroWings,11774,0.03,1669,0,2090
JFK,CDG,364,spring,First,AsiaJet,581,0.04,1372,0,80
LHR,DXB,342,summer,Economy,AeroGulf,13781,0.09,985,0,785
DXB,LAX,219,winter,Economy,SkyMind,1679,0.58,1160,1,240
NRT,DXB,111,spring,Economy,AeroGulf,8857,0.86,396,1,1807
SYD,SIN,227,spring,Economy,EuroWings,10947,0.26,564,1,2062
SYD,NRT,275,autumn,Economy,AeroGulf,2571,0.03,946,0,537
CDG,LAX,256,summer,First,EuroWings,9498,0.71,1344,0,1655
FRA,LHR,39,autumn,Business,EuroWings,7530,0.86,837,1,1603
CDG,LAX,135,spring,Business,PacificAir,11430,0.14,972,0,682
SYD,DXB,295,autumn,Economy,SkyMind,831,0.39,910,1,227
BOM,SIN,98,winter,First,AsiaJet,7645,0.16,1913,1,2750
NRT,SYD,34,summer,First,SkyMind,12282,0.11,1982,0,2187
DXB,SIN,68,spring,First,AeroGulf,10226,0.65,585,1,700
SYD,BOM,191,autumn,Business,PacificAir,7479,0.97,498,1,1469
LHR,SYD,199,summer,Business,EuroWings,8872,0.68,1656,0,3332
NRT,CDG,48,winter,First,SkyMind,10008,0.98,1175,0,2069
SYD,NRT,259,summer,Business,EuroWings,6612,0.43,871,0,2357
SYD,FRA,213,autumn,Business,EuroWings,9798,0.9,1554,1,3747
LAX,JFK,162,winter,Economy,PacificAir,2089,0.21,1013,0,192
NRT,BOM,113,spring,Economy,SkyMind,2986,0.12,1962,0,1138
CDG,SIN,137,winter,Economy,PacificAir,6334,0.7,1331,0,1335
FRA,BOM,317,summer,First,EuroWings,3090,0.37,985,0,1044
CDG,DXB,12,spring,Economy,SkyMind,10932,0.32,1542,0,2015
DXB,LHR,359,summer,First,EuroWings,9179,0.67,1583,0,1696
FRA,LHR,238,spring,Economy,EuroWings,9303,0.33,618,0,1668
SYD,CDG,284,winter,First,SkyMind,3920,0.57,1292,0,729
FRA,NRT,176,spring,Business,AsiaJet,5708,0.3,1773,0,385
SYD,FRA,225,summer,First,PacificAir,11886,0.78,801,0,2165
SIN,FRA,75,autumn,Business,AeroGulf,10089,0.31,1263,1,661
SIN,SYD,135,autumn,Economy,EuroWings,7714,0.53,446,1,2922
CDG,LHR,82,autumn,Business,PacificAir,1956,0.02,1791,1,393
JFK,LAX,83,spring,Business,PacificAir,10885,0.79,157,1,4157
FRA,LHR,142,autumn,Economy,SkyMind,11766,0.62,1819,0,870
CDG,DXB,209,autumn,First,SkyMind,10029,0.19,1889,0,1849
SIN,LHR,215,summer,First,SkyMind,13114,0.22,757,1,2403
FRA,JFK,310,winter,First,PacificAir,10892,0.26,1572,0,677
BOM,CDG,255,spring,Economy,SkyMind,4997,0.58,1308,0,1820
NRT,SYD,188,autumn,First,AeroGulf,3367,0.55,277,0,230
BOM,CDG,247,summer,Business,PacificAir,5083,0.27,1610,0,1821
LAX,DXB,255,spring,Economy,SkyMind,12574,0.69,564,0,4572
SIN,LAX,323,summer,First,EuroWings,10806,0.89,1250,1,3888
DXB,BOM,162,winter,Business,PacificAir,10828,0.04,1168,1,1976
FRA,LHR,345,autumn,Business,AsiaJet,5754,0.42,289,1,362
SYD,DXB,167,spring,First,AsiaJet,6845,0.59,1485,1,1343
SYD,SYD,78,spring,Economy,PacificAir,7071,0.59,465,1,581
NRT,JFK,175,autumn,Business,PacificAir,7583,0.02,292,1,2792
NRT,JFK,20,summer,Business,AsiaJet,5798,0.21,666,1,1102
DXB,FRA,96,winter,Business,EuroWings,578,0.06,393,1,167
JFK,LAX,180,spring,Business,EuroWings,6152,0.57,871,1,1219
DXB,LHR,95,spring,First,EuroWings,877,0.65,1110,0,516
SYD,NRT,71,winter,Economy,AeroGulf,664,0.16,626,0,159
NRT,SIN,190,spring,Business,AeroGulf,13536,0.33,248,0,4949
SIN,DXB,132,winter,Business,EuroWings,8467,0.33,248,1,1592
SYD,CDG,139,autumn,Business,AsiaJet,10412,0.82,350,1,2031
LAX,CDG,275,winter,Economy,AeroGulf,11676,0.19,534,1,4193
CDG,DXB,102,winter,Business,SkyMind,6441,0.55,1889,1,1253
LAX,SYD,283,summer,Economy,AeroGulf,8846,0.78,313,1,1689
CDG,CDG,29,winter,Economy,AsiaJet,1646,0.83,719,1,279
FRA,SIN,18,autumn,Economy,AsiaJet,9755,0.67,134,1,857
LAX,SYD,244,spring,Economy,PacificAir,2716,0.3,480,0,185
CDG,JFK,175,summer,First,AsiaJet,11531,0.82,871,0,963
LAX,FRA,89,winter,First,EuroWings,5949,0.74,326,1,490
JFK,CDG,20,summer,First,AsiaJet,1963,0.7,319,1,328
NRT,CDG,326,autumn,Business,AeroGulf,3970,0.07,1263,0,699
NRT,FRA,356,autumn,Economy,AeroGulf,2016,0.04,1689,1,323
FRA,CDG,18,spring,Economy,AeroGulf,11742,0.7,897,0,957
BOM,JFK,38,autumn,First,AsiaJet,4923,0.94,364,1,1969
SYD,FRA,89,autumn,First,EuroWings,2026,0.77,886,0,262
LHR,NRT,340,winter,Economy,EuroWings,12302,0.83,435,0,2260
LHR,DXB,150,autumn,First,PacificAir,11084,0.54,1060,1,4122
SYD,CDG,204,autumn,Business,SkyMind,1288,0.3,1745,1,433
FRA,SYD,233,autumn,Business,EuroWings,7020,0.68,1680,1,2630
FRA,NRT,104,spring,Business,AeroGulf,7921,0.71,1402,1,1584
SIN,NRT,111,winter,Economy,PacificAir,7077,0.68,431,0,2643
CDG,CDG,225,winter,First,EuroWings,3048,0.95,872,0,618
LAX,SYD,221,summer,Business,EuroWings,7752,0.37,823,0,1337
FRA,SIN,26,autumn,Business,SkyMind,13349,0.04,1318,1,897
SIN,SYD,64,summer,Business,SkyMind,5108,0.91,730,0,1195
SYD,NRT,254,summer,Business,SkyMind,9207,0.16,805,0,3264
LAX,SYD,249,autumn,Business,EuroWings,7140,0.7,1166,1,1391
DXB,DXB,224,winter,First,EuroWings,7245,0.87,1079,1,1376
FRA,FRA,314,autumn,Business,AeroGulf,3562,0.31,1381,0,272
LHR,LHR,131,summer,Business,AsiaJet,5781,0.83,787,0,481
LAX,LHR,30,spring,Business,SkyMind,5262,0.33,541,0,1019
NRT,SYD,275,summer,Economy,AeroGulf,10259,0.79,1419,1,1890
SIN,LAX,10,winter,First,AeroGulf,10140,0.07,710,0,1812
SYD,SYD,89,spring,Business,PacificAir,1466,0.66,536,1,307
NRT,CDG,147,summer,First,AeroGulf,6576,0.68,1831,1,561
DXB,JFK,127,autumn,Business,SkyMind,6194,0.49,1058,1,2331
LAX,NRT,186,winter,Economy,AsiaJet,9055,0.69,1752,0,3412
BOM,FRA,124,spring,Economy,AeroGulf,607,0.92,1799,1,319
JFK,LHR,107,winter,Economy,EuroWings,7681,0.73,1931,0,2858
FRA,LAX,341,summer,Economy,EuroWings,11786,0.96,1001,1,749
JFK,CDG,6,winter,Business,AeroGulf,9314,0.45,1521,0,728
JFK,LAX,51,spring,First,SkyMind,4916,0.53,1248,0,1035
SYD,LAX,314,autumn,Business,AsiaJet,1009,0.26,1620,0,280
LHR,SYD,136,spring,Economy,AsiaJet,7315,0.99,1992,0,1449
LAX,NRT,2,winter,Economy,SkyMind,9756,0.06,900,1,1794
SIN,SIN,18,autumn,Business,EuroWings,4365,0.36,1487,0,485
SYD,DXB,249,autumn,Business,EuroWings,8995,0.3,1270,1,1708
BOM,LAX,185,winter,First,PacificAir,9660,0.39,1583,1,1875
NRT,CDG,222,spring,First,AeroGulf,10130,0.92,270,1,732
BOM,LHR,228,autumn,First,AeroGulf,12213,0.37,409,1,791
SIN,SYD,348,autumn,First,EuroWings,4371,0.92,1836,1,223
FRA,CDG,194,winter,Economy,AeroGulf,6013,0.42,1078,0,467
LHR,SIN,312,autumn,Economy,SkyMind,7008,0.85,451,1,2556
JFK,CDG,210,spring,First,AsiaJet,13776,0.52,959,0,5060
CDG,CDG,299,autumn,First,PacificAir,7664,0.31,1471,0,2777
FRA,NRT,329,summer,Economy,SkyMind,4000,0.45,1474,0,747
CDG,DXB,72,autumn,Economy,SkyMind,2699,0.42,1696,0,1068
SYD,JFK,117,summer,Economy,SkyMind,13046,0.26,1095,1,846
SIN,SYD,264,spring,First,AeroGulf,4401,0.29,240,1,1658
BOM,LHR,5,summer,First,AsiaJet,8258,0.19,1293,1,488
BOM,FRA,269,autumn,Economy,PacificAir,6570,0.34,1348,0,2317
SYD,FRA,7,autumn,Economy,EuroWings,2770,0.62,845,0,1200
JFK,DXB,21,winter,Business,SkyMind,5885,0.39,1909,1,535
JFK,BOM,37,winter,Business,SkyMind,729,0.71,320,1,319
LHR,SYD,173,autumn,Economy,SkyMind,2986,0.99,1488,0,632
SYD,CDG,62,autumn,Economy,EuroWings,8841,0.38,842,1,1665
CDG,FRA,206,autumn,Business,AeroGulf,1409,0.46,939,0,239
SYD,NRT,101,autumn,First,AeroGulf,12220,0.16,212,0,4406
LHR,CDG,119,spring,Economy,AsiaJet,1477,0.39,1372,1,666
SIN,DXB,179,autumn,Economy,AeroGulf,1134,0.73,1593,1,178
DXB,LAX,132,summer,Economy,AeroGulf,6489,0.22,1572,0,412
LHR,DXB,342,winter,First,PacificAir,5217,0.18,1171,0,969
SYD,SIN,75,summer,Business,PacificAir,2690,0.38,1474,1,212
NRT,JFK,290,summer,First,AeroGulf,13735,0.82,1207,1,5074
FRA,SIN,45,spring,First,PacificAir,5689,0.62,775,1,504
JFK,DXB,144,summer,Economy,AsiaJet,12841,0.96,1722,1,924
LHR,FRA,137,summer,Economy,AeroGulf,5439,0.9,272,0,524
JFK,SIN,208,summer,Business,PacificAir,7581,0.15,244,0,521
SIN,SIN,231,winter,First,EuroWings,3974,0.04,861,0,322
FRA,JFK,272,spring,Business,PacificAir,7195,0.4,1574,0,1315
FRA,BOM,95,summer,First,PacificAir,12472,0.52,644,0,2414
NRT,SYD,261,summer,Economy,EuroWings,7694,0.52,420,1,2819
BOM,LAX,127,spring,Business,AsiaJet,2365,0.13,1271,0,420
LAX,LHR,167,autumn,First,EuroWings,798,0.12,805,0,80
LHR,FRA,18,summer,Economy,AsiaJet,3239,0.05,225,1,542
JFK,JFK,148,winter,Economy,EuroWings,7201,0.85,1011,0,2706
SIN,CDG,247,winter,First,AsiaJet,4225,0.95,1764,1,908
SYD,LHR,130,autumn,Economy,AsiaJet,12083,0.12,774,1,4408
CDG,LHR,296,summer,First,SkyMind,5040,0.21,1589,0,1764
CDG,FRA,266,spring,First,SkyMind,8789,0.09,1252,0,3084
FRA,LHR,320,autumn,First,PacificAir,11889,0.88,782,0,690
SYD,LHR,42,winter,First,EuroWings,10797,0.96,1116,0,4102
DXB,NRT,203,winter,Economy,AsiaJet,12964,0.26,1960,1,2352
BOM,DXB,181,spring,First,SkyMind,5314,0.3,1198,1,1060
LAX,SYD,349,autumn,First,PacificAir,6634,0.36,1609,1,1171
LHR,DXB,181,spring,First,PacificAir,4022,0.5,1891,0,1607
DXB,DXB,296,autumn,Economy,PacificAir,4918,0.68,315,1,1725
SIN,NRT,144,autumn,Business,SkyMind,7318,0.5,842,0,512
LHR,SYD,61,autumn,First,AeroGulf,8624,0.95,336,1,3381
CDG,JFK,209,summer,Business,PacificAir,8662,0.1,195,1,1614
JFK,SYD,166,winter,Business,AeroGulf,5989,0.8,1306,0,473
LAX,LAX,300,winter,First,AeroGulf,6585,0.33,1011,1,1253
BOM,SIN,143,winter,Business,AeroGulf,9537,0.38,1756,0,682
SYD,NRT,351,autumn,Business,PacificAir,4685,0.71,1318,1,1660
SYD,BOM,61,autumn,First,AsiaJet,4726,0.93,1373,1,531
SYD,LAX,263,summer,Economy,AeroGulf,8596,0.72,1746,0,3190
NRT,NRT,124,winter,Business,SkyMind,4381,0.78,1570,1,1701
BOM,NRT,238,winter,First,SkyMind,8192,0.75,171,1,1637
SIN,LHR,30,summer,First,AeroGulf,9744,0.32,1017,1,3554
NRT,LAX,255,winter,Business,AeroGulf,12540,0.76,1051,0,4590
JFK,CDG,90,spring,Business,AeroGulf,4115,0.78,151,0,1595
JFK,NRT,139,spring,Business,SkyMind,7305,0.53,1619,0,1418
LHR,NRT,362,summer,First,EuroWings,3657,0.54,1076,0,1264
NRT,SIN,348,winter,First,AsiaJet,2605,0.76,254,1,464
LHR,DXB,207,summer,Economy,EuroWings,5676,0.82,419,1,367
FRA,CDG,93,summer,Economy,SkyMind,1493,0.34,400,0,384
SIN,DXB,134,summer,First,SkyMind,3596,0.8,294,0,816
FRA,FRA,204,winter,Economy,PacificAir,689,0.81,1149,1,409
DXB,LHR,307,summer,Business,EuroWings,10815,0.23,1350,0,1940
LHR,SYD,336,winter,Economy,AeroGulf,11110,0.72,1520,0,740
DXB,DXB,110,spring,Economy,AeroGulf,13686,0.19,308,0,2505
LHR,BOM,38,summer,First,SkyMind,3398,0.09,1537,0,1253
SIN,BOM,22,summer,First,PacificAir,6356,0.57,832,1,647
DXB,SYD,225,winter,Business,EuroWings,13293,0.91,945,1,4865
CDG,SYD,346,spring,Economy,PacificAir,10658,0.04,897,0,3898
DXB,DXB,168,winter,First,AsiaJet,12970,0.83,1096,0,2492
JFK,JFK,135,autumn,First,PacificAir,4749,0.51,352,1,1777
LHR,LAX,110,winter,First,AsiaJet,5888,0.86,1551,1,467
LHR,NRT,224,spring,Business,EuroWings,7546,0.84,1043,0,498
SIN,NRT,168,spring,Business,AeroGulf,3911,0.88,713,1,433
LAX,SYD,107,summer,Economy,AsiaJet,12638,0.77,1388,1,1008
JFK,FRA,24,winter,Business,AeroGulf,9738,0.84,1299,1,1992
CDG,BOM,297,winter,Economy,PacificAir,11265,0.18,1475,1,693
FRA,CDG,307,autumn,Economy,PacificAir,1105,0.3,283,1,252
JFK,NRT,358,spring,Economy,EuroWings,1866,0.24,1447,1,676
FRA,DXB,211,winter,First,AeroGulf,11618,0.74,598,0,4331
NRT,FRA,171,autumn,First,EuroWings,6982,0.15,1316,1,1295
LAX,FRA,69,winter,First,AsiaJet,10650,0.18,956,1,3884
JFK,FRA,222,spring,Business,PacificAir,9756,0.88,1099,0,3580
BOM,LAX,153,summer,First,PacificAir,6295,0.71,585,0,454
CDG,CDG,350,winter,Economy,PacificAir,1017,0.88,294,0,219
BOM,JFK,281,spring,Business,PacificAir,11146,0.14,1144,0,4083
LHR,FRA,201,spring,Business,PacificAir,12925,0.4,1457,0,2373
LAX,SYD,219,spring,First,AsiaJet,5718,0.28,897,0,356
DXB,SIN,104,autumn,First,AsiaJet,4307,0.01,1692,0,1455
JFK,JFK,299,autumn,First,EuroWings,5935,0.28,1178,0,2119
SIN,SYD,315,summer,First,SkyMind,11281,0.38,1125,0,2007
CDG,CDG,310,winter,Business,PacificAir,2772,0.09,403,1,962
SIN,SIN,335,autumn,Business,PacificAir,2808,0.57,1657,0,199
LHR,FRA,230,autumn,Economy,SkyMind,9794,0.38,1264,0,635
JFK,BOM,54,autumn,Business,EuroWings,5292,0.05,188,1,262
JFK,LHR,189,winter,Business,AsiaJet,1310,0.7,979,1,272
CDG,CDG,222,summer,First,PacificAir,12455,0.73,1934,0,768
