origin,destination,distance_km,avg_passengers,avg_revenue_usd,avg_delay_min,fuel_cost_usd,competition_score,demand_score,profitability_score
SYD,FRA,10084,207,427602,71,34724,0.7,0.22,0.7148
CDG,LHR,13306,90,468033,98,61920,0.67,0.16,0.7142
DXB,SYD,10630,71,145883,83,36763,0.08,0.16,0.1352
LAX,BOM,8101,472,116326,76,90007,0.17,0.88,0.0
CDG,SYD,10138,72,353872,8,41050,0.77,0.92,0.6176
BOM,BOM,12583,361,204639,6,30700,0.72,0.4,0.3419
DXB,SIN,4912,203,141950,118,15049,0.9,0.68,0.1358
SIN,FRA,7945,382,411347,14,43509,0.04,0.82,0.7217
JFK,LAX,3554,138,23402,30,76786,0.27,0.99,0.0
DXB,LAX,2143,453,358584,107,39574,0.83,0.74,0.531
FRA,CDG,3325,319,291440,85,54469,0.34,0.94,0.3889
LAX,JFK,9512,418,39917,62,96159,0.17,0.65,0.0
BOM,LHR,8237,169,465828,40,38231,0.33,0.03,0.8152
LAX,SYD,4441,487,475296,45,15408,0.67,0.65,0.8748
CDG,LHR,1574,429,438027,103,79245,0.32,0.56,0.6146
CDG,SIN,9365,312,437207,79,8827,0.72,0.59,0.7778
LAX,LAX,9541,50,195604,17,92917,0.95,0.04,0.1884
LAX,DXB,3183,309,350502,94,19764,0.69,0.25,0.5675
LAX,FRA,6366,331,286880,74,54227,0.9,0.39,0.3913
SYD,NRT,2583,413,65180,81,82418,0.46,0.93,0.0
CDG,FRA,9465,207,68958,66,65443,0.93,0.5,0.0
CDG,LHR,12019,172,332022,92,59847,0.72,0.15,0.4524
SIN,FRA,2898,276,488225,63,14988,0.08,0.65,0.8835
JFK,SIN,11724,80,430683,97,99618,0.2,0.2,0.5651
FRA,JFK,11740,131,100261,85,56722,0.4,0.87,0.0021
DXB,JFK,5186,325,118952,7,93531,0.47,0.73,0.0438
SYD,FRA,7813,143,97368,16,66874,0.62,0.22,0.045
DXB,SYD,13611,105,380358,73,74194,0.73,0.65,0.5393
CDG,SIN,11921,140,132267,52,36860,0.03,0.86,0.1388
LAX,BOM,5799,72,177251,54,10927,0.22,0.67,0.2786
NRT,DXB,11360,326,31080,100,33742,0.01,0.37,0.0
SYD,FRA,11824,252,301216,115,73689,0.53,0.96,0.3401
LAX,CDG,1019,102,498028,107,93010,0.92,0.01,0.703
LHR,SYD,4870,178,213435,35,95277,0.16,0.08,0.2013
NRT,FRA,9347,434,363128,28,42834,0.03,0.3,0.6126
DXB,JFK,3991,231,44085,33,90435,0.06,0.35,0.0
NRT,BOM,9395,370,370798,46,70747,0.49,0.63,0.5541
LHR,LAX,10825,104,205200,56,97763,0.92,0.38,0.1589
SYD,CDG,12229,128,198624,74,87142,0.29,0.75,0.149
JFK,LAX,4199,145,123135,26,92616,0.13,0.26,0.035
CDG,DXB,11737,175,425869,4,87379,0.38,0.15,0.673
DXB,SYD,1086,348,147837,30,41286,0.89,0.62,0.1831
BOM,NRT,7057,475,482754,74,8212,0.12,0.21,0.8751
BOM,CDG,10516,55,380969,1,44342,0.12,0.34,0.6723
LHR,SIN,13048,386,492769,68,5916,0.18,0.1,0.9057
SYD,BOM,13738,366,447406,67,53135,0.04,0.89,0.7215
JFK,LAX,10636,169,353318,103,49514,0.21,0.14,0.5046
LHR,NRT,2261,186,430285,36,30032,0.98,0.81,0.7645
JFK,FRA,5050,273,18607,63,60741,0.79,0.16,0.0
FRA,NRT,2060,267,181743,108,48205,0.75,0.47,0.1591
LAX,DXB,4262,203,248912,118,21479,0.68,0.46,0.3369
LAX,LHR,3412,105,423595,11,75276,0.87,0.57,0.6856
NRT,LAX,2281,382,431919,97,46964,0.09,0.09,0.6729
LAX,JFK,11396,51,79364,9,36481,0.33,0.57,0.0768
LAX,LHR,13136,408,173538,53,82976,0.7,0.04,0.1281
NRT,LHR,8547,270,66146,32,74504,0.8,0.98,0.0
LHR,NRT,1645,431,209097,6,90286,0.83,0.74,0.2316
BOM,SYD,8915,190,359443,108,46170,0.98,0.75,0.5185
JFK,BOM,3179,274,106080,25,7832,0.56,0.23,0.1715
SIN,DXB,7995,395,208145,23,26648,0.22,0.74,0.34
LHR,BOM,13872,246,352965,22,34055,0.22,0.08,0.6158
NRT,LAX,668,374,219204,71,25603,0.59,0.26,0.3162
BOM,LAX,1660,102,337561,116,29114,0.7,0.04,0.5009
NRT,FRA,685,316,77077,110,82031,0.58,0.32,0.0
LHR,DXB,3946,380,294805,111,83404,0.72,0.11,0.3118
LAX,SYD,10959,287,302798,32,35409,0.31,0.16,0.5028
SIN,SYD,11137,483,324326,71,79199,0.46,0.49,0.4193
FRA,SIN,9774,438,408570,84,17497,0.38,0.23,0.6981
DXB,SIN,11540,491,27335,84,69409,0.52,0.13,0.0
CDG,CDG,1627,69,28562,2,51491,0.57,0.1,0.0
JFK,SIN,9859,440,47428,87,32965,0.69,0.3,0.0
SIN,LAX,2412,137,113707,6,29429,0.04,0.05,0.1626
DXB,SYD,1014,398,22700,103,31099,0.77,0.39,0.0
CDG,SYD,2526,323,416018,108,85142,0.89,0.43,0.5538
LAX,SYD,13886,261,282974,73,67378,0.9,0.26,0.3582
NRT,DXB,12403,205,210219,44,41202,0.57,0.4,0.294
LAX,LAX,12202,279,280879,95,63398,0.64,0.08,0.34
SIN,FRA,8290,59,230613,34,16487,0.56,0.12,0.3943
BOM,NRT,7021,158,345044,11,65046,0.43,0.65,0.549
CDG,CDG,13940,212,348823,93,88705,0.1,0.17,0.4272
NRT,LHR,7900,459,445242,28,16227,0.16,0.2,0.83
BOM,CDG,12767,105,203008,69,11076,0.2,0.75,0.3149
JFK,LAX,9323,433,142239,54,42949,0.24,0.32,0.1446
CDG,SIN,7263,310,196852,56,43451,0.77,0.49,0.2508
SYD,FRA,7534,361,91677,52,92323,0.39,0.97,0.0
NRT,SIN,9560,66,177041,78,39011,0.14,0.5,0.1981
JFK,FRA,9122,497,285722,19,74532,0.65,0.39,0.4034
FRA,BOM,980,99,286362,107,22351,0.32,0.42,0.421
FRA,FRA,5603,183,468932,8,59455,0.65,0.56,0.811
JFK,JFK,12493,342,412451,27,8713,0.09,0.7,0.7805
LHR,FRA,9806,122,389337,41,97274,0.02,0.66,0.5431
SIN,DXB,9045,178,268423,102,18382,0.96,0.66,0.3981
DXB,NRT,10143,70,469319,103,11771,0.12,0.33,0.8121
LHR,JFK,11159,176,115296,39,20988,0.01,0.98,0.1496
JFK,LHR,2123,326,304869,37,27602,0.89,0.32,0.5175
LAX,JFK,5938,439,181002,34,21208,0.79,0.45,0.2856
BOM,CDG,12750,304,423805,91,47943,0.16,0.05,0.6607
NRT,DXB,1653,57,350979,79,17950,0.29,0.98,0.5871
DXB,SIN,1846,355,366147,2,66532,0.93,0.61,0.5972
LHR,NRT,10555,74,432535,38,81908,0.78,0.39,0.6633
NRT,SYD,3886,164,441066,88,34409,0.96,0.82,0.7253
LAX,SIN,4183,382,25951,67,21569,0.87,0.05,0.0
CDG,LAX,8484,443,35500,21,89025,0.17,0.83,0.0
JFK,LHR,4200,427,48943,77,12860,0.66,0.22,0.0
SIN,LAX,8920,169,68505,18,39622,0.96,0.78,0.0398
SIN,BOM,3902,140,494719,8,79399,0.18,0.42,0.8226
LAX,SYD,13469,259,55945,76,82047,0.11,0.81,0.0
CDG,CDG,5673,302,250646,44,43225,0.57,0.08,0.3708
JFK,SIN,2175,393,328638,87,12914,0.96,0.31,0.5444
LAX,LHR,7862,451,449065,9,16488,0.56,0.5,0.8562
DXB,SIN,11174,289,233347,99,91638,0.44,0.47,0.1844
NRT,FRA,7240,481,255534,10,79324,0.36,0.35,0.3424
BOM,LAX,11320,230,75626,72,48650,0.87,0.31,0.0
LHR,NRT,4258,294,260499,86,5871,0.46,0.36,0.4233
SYD,BOM,11330,87,328740,118,67041,0.24,0.13,0.4054
FRA,BOM,1425,405,189273,82,10875,0.43,0.6,0.2748
DXB,SYD,13018,152,482545,51,72467,0.36,0.08,0.7692
SIN,CDG,4986,179,17870,49,9871,0.41,0.8,0.0
LAX,SIN,7315,498,237379,16,38848,0.12,0.7,0.3811
DXB,BOM,7744,126,359113,43,14917,0.56,0.31,0.6454
LHR,SIN,12535,347,460415,22,55384,0.55,0.12,0.7881
SYD,LAX,13716,347,69103,69,97715,0.79,0.74,0.0
FRA,LAX,1944,296,454218,113,80592,0.0,0.96,0.6343
BOM,SYD,11709,256,147529,74,26613,0.03,0.68,0.1678
LAX,BOM,3030,465,273111,70,35159,0.75,0.17,0.4059
SYD,SIN,2551,449,498203,32,79643,0.36,0.2,0.8051
SIN,BOM,514,199,356923,108,80013,0.09,0.48,0.4458
JFK,SYD,11146,290,381992,50,79468,0.72,0.71,0.555
DXB,LHR,8082,398,344742,38,86556,0.88,0.42,0.4784
FRA,SYD,2644,236,98859,34,35951,0.5,0.82,0.0918
CDG,SIN,13084,192,249401,13,28196,0.38,0.06,0.4294
DXB,BOM,1152,267,376386,80,23552,0.15,0.6,0.6257
LHR,FRA,7948,208,424296,32,43846,0.15,1.0,0.7289
LHR,LHR,1054,166,358244,84,29305,0.66,0.35,0.5739
CDG,LAX,9205,317,306950,115,32137,0.34,0.38,0.4346
LAX,CDG,10826,453,149820,92,19177,0.92,0.01,0.1693
LAX,DXB,7178,93,126266,111,57179,0.06,0.88,0.0272
CDG,BOM,504,289,440907,9,50904,0.06,0.19,0.771
SIN,BOM,6720,115,298322,112,31832,0.98,0.55,0.421
SIN,NRT,3047,483,464971,73,72843,0.95,0.62,0.7113
FRA,SYD,4973,95,310593,34,21677,0.18,0.3,0.5438
BOM,CDG,12329,259,41049,110,81124,0.86,0.63,0.0
BOM,LAX,12570,113,237411,57,27682,0.88,0.22,0.3625
FRA,FRA,772,105,291380,94,42266,0.92,0.39,0.4042
SYD,BOM,8284,314,161601,70,67420,0.15,0.38,0.1184
LHR,JFK,1804,436,425926,18,84372,0.05,0.74,0.6651
CDG,NRT,596,494,267974,37,53824,0.09,0.04,0.3913
NRT,JFK,1585,273,85807,44,89868,0.91,0.35,0.0
DXB,LHR,11472,323,59673,10,7609,0.8,0.55,0.0941
DXB,NRT,12027,342,183781,117,6311,0.38,0.3,0.2379
DXB,LHR,13429,362,191498,11,89700,0.86,0.23,0.1926
DXB,FRA,2386,183,68330,116,42609,0.91,0.62,0.0
NRT,JFK,8653,50,304433,64,23506,0.51,0.72,0.4979
FRA,CDG,6914,175,264233,114,53438,0.21,0.74,0.3076
JFK,CDG,765,141,248339,6,78376,0.96,0.84,0.3339
LHR,SIN,10841,319,495740,86,69026,0.14,0.92,0.7674
SYD,FRA,12105,237,196753,5,74178,0.75,0.12,0.2402
BOM,DXB,12894,363,343559,90,82526,0.71,0.02,0.4321
FRA,BOM,5619,196,340929,118,63712,0.03,0.15,0.4364
LAX,SIN,13376,388,131734,33,36494,0.63,0.3,0.1575
BOM,NRT,8658,453,101351,29,79616,0.78,0.78,0.0145
BOM,SYD,11866,66,474913,86,29795,0.19,0.92,0.8042
DXB,LHR,2224,72,134230,8,36356,0.65,0.06,0.1877
CDG,SIN,10545,116,318356,70,58136,0.1,0.08,0.4504
CDG,SYD,12022,285,470148,99,33140,0.71,0.01,0.775
LHR,FRA,3459,51,53895,59,64297,0.98,0.53,0.0
BOM,NRT,558,466,82676,114,20957,0.75,0.28,0.0094
BOM,LAX,1489,364,327847,101,8263,0.21,0.62,0.5382
SYD,NRT,1832,251,169262,76,70203,0.6,0.7,0.1221
LAX,LHR,13035,80,381576,116,65169,0.55,0.31,0.5168
BOM,SYD,8463,489,194099,5,5961,0.12,0.89,0.3713
DXB,SYD,4635,128,287337,36,80339,0.6,0.97,0.378
BOM,SIN,10654,251,200491,106,91981,0.55,0.47,0.111
LHR,LHR,6613,199,359094,84,52249,0.12,0.88,0.5297
SYD,SYD,13673,280,458991,85,87405,0.31,0.31,0.6582
FRA,FRA,5858,302,389124,34,23902,0.83,0.35,0.6964
FRA,FRA,5964,293,374623,77,27184,0.78,0.12,0.6179
NRT,SIN,13141,156,170184,94,31129,0.04,0.45,0.1841
LAX,CDG,2200,379,427657,55,93269,0.46,0.2,0.6138
DXB,SYD,12655,462,258229,69,14396,0.95,0.11,0.4187
DXB,BOM,4341,158,273715,88,6459,0.75,0.11,0.4465
BOM,DXB,9825,451,172559,54,27399,0.12,0.81,0.2363
SIN,DXB,13437,168,253203,23,21873,0.88,0.89,0.4397
JFK,BOM,13408,295,256649,82,82739,0.09,0.96,0.2658
LAX,SYD,8417,64,374370,113,47308,0.45,0.29,0.5411
SYD,SYD,2114,191,223456,49,64790,0.79,0.87,0.2683
LHR,JFK,578,464,87556,108,5232,0.41,0.48,0.0566
NRT,SIN,2969,140,224881,14,85599,0.48,0.83,0.2646
DXB,NRT,3187,291,441217,99,52053,0.71,0.66,0.6793
NRT,BOM,8408,178,122696,21,87408,0.17,0.67,0.0496
SYD,LHR,2729,296,432812,118,49132,0.77,0.44,0.6494
FRA,SYD,1279,332,142459,65,48880,0.52,0.01,0.1222
LAX,SYD,12652,190,452562,16,18761,0.36,0.89,0.8516
LAX,SYD,3150,244,431209,38,48466,0.09,0.27,0.7275
DXB,FRA,7086,303,67173,99,90046,0.49,0.46,0.0
BOM,LAX,4883,451,431373,92,48595,0.99,0.98,0.6736
NRT,NRT,4828,277,95622,83,44265,0.39,0.77,0.0197
NRT,SYD,4637,412,84958,44,72961,0.57,0.08,0.0
NRT,BOM,12290,489,285823,117,11150,0.55,1.0,0.4323
SYD,CDG,10267,289,113018,40,54538,0.62,0.98,0.077
SIN,DXB,5499,235,128815,102,65803,0.0,0.66,0.024
SYD,DXB,9182,95,134337,45,7643,0.23,0.75,0.2084
BOM,CDG,8641,419,48026,39,15993,0.71,0.42,0.0251
DXB,NRT,7697,327,251808,115,67453,0.61,0.81,0.2537
LHR,NRT,10331,173,293055,110,79596,0.17,0.23,0.3169
LAX,CDG,5250,252,61607,98,41589,0.24,0.31,0.0
CDG,FRA,5268,77,150288,98,93558,0.53,0.71,0.0155
FRA,CDG,12079,110,324107,104,53208,0.62,0.06,0.4378
SYD,NRT,9624,456,134273,52,11775,0.22,0.05,0.193
NRT,LHR,3038,59,452683,12,8745,0.07,0.96,0.8759
JFK,LAX,5748,238,90919,30,11645,0.85,0.08,0.1285
NRT,JFK,13788,178,370084,116,19938,0.16,0.73,0.5843
BOM,LHR,5580,202,203580,47,80098,0.13,0.09,0.2
LAX,JFK,4793,490,133897,25,56808,0.68,0.27,0.1292
SIN,SYD,2808,474,109486,99,96122,0.29,0.53,0.0
BOM,DXB,11587,238,442709,86,66400,0.1,0.74,0.6666
FRA,DXB,6873,168,185442,119,50535,0.94,0.36,0.1508
LAX,NRT,7905,323,201635,0,56045,0.18,0.4,0.2912
BOM,LHR,12411,423,409431,116,94845,0.66,0.06,0.5132
SYD,JFK,4576,460,74791,33,54328,0.47,0.85,0.0079
FRA,LAX,2866,454,177901,37,80489,0.08,0.66,0.1578
CDG,LHR,8960,476,240442,56,51343,0.22,0.09,0.3222
NRT,NRT,9523,417,155705,52,23654,0.53,0.17,0.2121
BOM,CDG,6524,474,199925,56,27427,0.22,0.27,0.289
JFK,LHR,8624,386,158302,50,46656,0.42,0.02,0.1733
DXB,CDG,6744,111,109219,34,52529,0.32,0.26,0.0794
LAX,CDG,10118,310,396624,37,92850,0.82,0.93,0.5705
LAX,NRT,5271,200,87666,1,57440,0.89,0.38,0.0595
DXB,BOM,10532,225,333839,37,49889,0.45,0.49,0.5309
NRT,SYD,9095,300,376283,4,36769,0.71,0.89,0.675
CDG,CDG,5377,355,443906,73,15102,0.23,0.33,0.7846
JFK,JFK,2766,321,147560,10,79549,0.47,0.79,0.126
BOM,LAX,5022,186,452929,9,50286,0.17,0.1,0.7963
JFK,SIN,10336,127,132123,13,20798,0.36,0.2,0.2096
SIN,SYD,9260,90,39869,65,54433,0.08,0.08,0.0
LHR,SYD,12181,417,103916,103,44143,0.49,0.73,0.0165
SIN,NRT,10491,84,167786,0,74726,0.31,0.06,0.1861
SIN,CDG,11770,185,456611,100,30232,0.09,0.41,0.7528
LHR,JFK,1716,315,112658,47,9761,0.81,0.87,0.1588
DXB,BOM,11113,93,461427,41,77170,0.76,0.56,0.7275
LAX,FRA,2614,377,479882,5,91303,0.73,0.58,0.7722
LHR,SIN,12019,318,73578,111,71110,0.95,0.1,0.0
LAX,NRT,649,224,177575,83,95154,0.81,0.29,0.0818
NRT,LAX,7627,82,457598,67,9627,0.65,0.16,0.8289
FRA,BOM,1154,207,87239,51,35757,0.22,0.5,0.052
FRA,LHR,10787,64,125401,110,86166,0.08,0.75,0.0
SYD,BOM,9729,129,88175,102,12585,0.01,0.24,0.0492
LAX,FRA,12929,69,414775,66,75638,0.09,0.84,0.6123
NRT,SIN,12142,341,309619,10,9439,0.01,0.28,0.5904
NRT,BOM,4355,154,274702,42,44183,0.09,0.46,0.419
NRT,LHR,5994,372,36696,72,60320,0.57,0.02,0.0
BOM,CDG,3599,352,86840,0,70882,0.07,0.15,0.0319
NRT,CDG,2281,257,289695,7,63225,0.32,0.87,0.4459
NRT,CDG,776,105,97177,5,62520,0.88,0.43,0.0643
SYD,SIN,7188,110,228164,65,47069,0.95,0.03,0.2972
NRT,FRA,4110,381,285660,99,5422,0.71,0.56,0.4615
JFK,BOM,9020,229,181236,30,7847,0.79,0.27,0.3168
LAX,DXB,2534,65,458610,43,99751,0.6,0.68,0.6747
JFK,SIN,5590,440,193309,102,27068,0.94,0.28,0.2305
LAX,JFK,6117,339,290564,7,66411,0.57,0.7,0.4413
SIN,SIN,8398,98,345108,36,71057,0.71,0.53,0.5121
LHR,NRT,13648,290,231072,78,26660,0.47,0.1,0.3308
CDG,NRT,12461,358,293744,80,69501,0.21,0.25,0.3685
DXB,SYD,8731,205,463198,52,44821,0.71,0.82,0.7848
SYD,LAX,3778,278,432742,0,20507,0.24,0.56,0.8245
DXB,FRA,12610,147,170962,7,73858,0.12,0.52,0.1872
LHR,BOM,10250,414,321948,111,33788,0.85,0.1,0.4653
NRT,DXB,8925,462,336220,10,31726,0.47,0.65,0.599
JFK,CDG,5882,51,398123,41,5252,0.26,0.66,0.7447
FRA,CDG,5462,310,390492,6,60856,0.61,0.78,0.6533
LHR,FRA,3890,264,230441,55,41695,0.91,0.41,0.3225
LHR,FRA,8538,422,298775,37,57777,0.27,0.81,0.445
CDG,SIN,11970,310,213010,75,32377,0.9,0.51,0.2863
FRA,LAX,1812,99,135121,71,14732,0.34,0.68,0.1698
SYD,SYD,12628,94,375225,78,18641,0.26,0.31,0.6352
LHR,SYD,1425,151,374366,113,30098,0.07,0.01,0.5755
LHR,LAX,8947,486,403806,43,23644,0.85,0.26,0.7173
BOM,LAX,7210,428,274110,31,49873,0.22,0.09,0.4175
JFK,CDG,1186,167,111622,79,14183,0.26,0.3,0.1159
FRA,JFK,3579,174,221869,52,45828,0.78,0.01,0.3001
JFK,LAX,4545,406,454873,0,47118,0.88,0.57,0.8155
CDG,LHR,4446,220,188868,117,87519,0.93,0.14,0.0857
LHR,DXB,756,73,190182,26,88284,0.65,0.04,0.1778
SIN,NRT,7324,144,68140,90,61424,0.89,0.57,0.0
SYD,FRA,11608,331,55830,32,5858,0.42,0.67,0.0679
DXB,FRA,2710,450,250622,8,54743,0.86,0.46,0.3838
LHR,SYD,11304,463,268729,86,41177,0.89,0.25,0.3691
JFK,FRA,13094,394,141064,71,25258,0.6,0.5,0.1606
FRA,LHR,11242,428,17616,22,51221,0.42,0.61,0.0
NRT,JFK,6005,390,195221,34,52119,0.08,0.31,0.2522
LAX,SIN,6592,445,390306,54,47225,0.9,0.11,0.6322
FRA,FRA,6497,386,343459,84,87222,0.85,0.87,0.4285
JFK,DXB,6470,64,52103,65,13358,0.4,0.44,0.0125
DXB,FRA,1900,459,256821,93,86338,0.39,0.91,0.248
FRA,LAX,11947,361,417100,33,73619,0.36,0.88,0.654
LAX,DXB,8911,139,156755,25,39923,0.14,0.33,0.2087
LHR,FRA,11418,199,203231,93,87984,0.81,0.19,0.1375
FRA,SYD,2520,421,302540,102,29182,0.41,0.23,0.4447
JFK,DXB,5147,147,262068,117,56033,0.34,0.73,0.2951
SYD,SYD,7834,489,121554,48,74410,0.75,0.29,0.0463
LAX,NRT,12962,208,63699,18,93423,0.94,0.72,0.0
LHR,SIN,8060,103,154874,38,77415,0.41,0.7,0.1169
DXB,JFK,6161,382,273751,108,31305,0.68,0.59,0.3769
BOM,SIN,12729,219,453531,93,7734,0.09,0.61,0.7986
SIN,JFK,7022,70,130104,72,86884,0.88,0.99,0.0144
LHR,LHR,7797,320,47608,2,73245,0.94,0.55,0.0
FRA,LAX,844,145,410335,53,79570,0.13,0.44,0.6085
LHR,BOM,8647,78,319467,29,43242,0.61,0.24,0.5234
LHR,CDG,13285,352,488556,15,97190,0.48,0.93,0.7677
NRT,NRT,13374,327,22048,105,13185,0.65,0.86,0.0
LHR,LHR,11141,384,301254,52,83897,0.15,0.01,0.3827
SYD,LHR,1454,388,235161,0,53834,0.72,0.48,0.3627
LHR,LAX,13218,340,40968,74,79278,0.35,0.45,0.0
LAX,JFK,12191,132,133616,52,28568,0.62,0.9,0.1581
DXB,LHR,9596,464,307633,51,59640,0.56,0.05,0.445
DXB,SIN,9419,211,128461,115,39279,0.89,0.88,0.0634
SYD,FRA,936,404,84290,76,53809,0.48,0.46,0.0
DXB,FRA,5296,72,229073,70,43562,0.95,0.14,0.301
CDG,BOM,5737,54,417290,19,86225,0.03,0.08,0.6431
SIN,DXB,632,214,304210,57,38211,0.36,0.93,0.475
LHR,DXB,11471,82,268307,38,71168,0.51,0.04,0.3563
SIN,LHR,5493,382,169465,23,32348,0.04,0.82,0.2512
CDG,SYD,8654,236,37149,38,8297,0.69,0.6,0.0197
FRA,JFK,4654,307,55634,99,95994,0.24,0.03,0.0
SIN,CDG,9418,168,425839,112,27445,0.01,0.74,0.6848
LAX,SYD,13952,111,357541,54,96277,0.38,0.08,0.4685
BOM,DXB,8949,297,49376,12,67445,0.44,0.81,0.0
FRA,FRA,2002,189,43871,55,60144,0.97,0.76,0.0
CDG,LHR,3840,446,165429,67,46518,0.13,0.09,0.1708
CDG,LHR,2752,367,427919,69,61284,0.26,0.07,0.6643
CDG,SYD,521,131,336495,71,39571,0.97,0.05,0.5228
NRT,JFK,11643,430,306695,24,66178,0.76,0.4,0.457
LHR,DXB,846,352,266676,45,84958,0.33,0.0,0.3184
CDG,SYD,5639,351,390760,67,83914,0.49,0.29,0.5467
LAX,SYD,3931,190,420037,74,68047,0.88,0.35,0.63
SIN,DXB,5086,359,159723,74,47580,0.81,0.71,0.1503
BOM,FRA,1909,379,292164,16,63777,0.39,0.36,0.4408
NRT,FRA,10859,498,109404,23,11452,0.08,0.55,0.1729
FRA,BOM,13476,470,112812,13,70991,0.15,0.35,0.0706
SIN,NRT,10596,396,310448,15,99301,0.51,0.26,0.4073
SYD,CDG,7001,279,485054,88,36906,0.74,0.91,0.8083
SYD,SYD,5772,367,239879,67,58269,0.44,0.27,0.2962
FRA,SIN,12469,165,42894,13,51116,0.65,0.86,0.0
LHR,LHR,2730,383,145428,86,5118,0.66,0.84,0.1946
FRA,DXB,7112,261,230997,98,99600,0.58,0.66,0.1648
SIN,SYD,10407,212,331824,83,61300,0.52,0.56,0.458
FRA,JFK,8989,454,106015,111,12335,0.23,0.91,0.0764
DXB,NRT,8264,74,435405,95,76880,0.15,0.0,0.622
NRT,FRA,2161,467,117188,24,47392,0.91,0.46,0.1156
BOM,BOM,10115,181,301298,77,70275,0.41,0.59,0.385
NRT,CDG,6115,492,29853,79,66671,0.79,0.21,0.0
DXB,NRT,13902,112,14629,85,36033,0.3,0.42,0.0
SIN,JFK,13769,290,280781,110,25943,0.59,0.78,0.3997
FRA,FRA,5965,329,220470,50,45477,0.15,0.97,0.3
CDG,BOM,1441,166,166747,67,12752,0.49,0.89,0.241
DXB,SIN,7497,414,472710,72,30912,0.36,0.14,0.8116
CDG,JFK,7468,338,188454,2,76704,0.29,0.31,0.2215
JFK,DXB,5246,95,257864,86,74913,0.14,0.78,0.2799
FRA,LAX,13318,72,292806,97,38990,0.86,0.57,0.4106
CDG,SIN,3034,381,49158,20,16237,0.99,0.86,0.0458
JFK,FRA,3568,479,112126,37,94810,0.75,0.79,0.0
SIN,SYD,1001,456,172267,48,46186,0.79,0.67,0.2042
JFK,LAX,9988,410,442699,42,77709,0.28,0.35,0.688
LHR,BOM,9896,443,136171,47,80952,0.66,0.53,0.0634
FRA,BOM,5471,341,451341,35,84643,0.07,0.06,0.6984
SIN,LHR,3875,142,378485,59,74487,0.63,0.79,0.549
NRT,LAX,8908,446,493221,69,57110,0.77,0.72,0.8032
BOM,CDG,1035,230,420615,13,27437,0.04,0.36,0.7734
BOM,SYD,3204,226,235416,37,89235,0.25,0.87,0.2554
BOM,SYD,8214,291,391744,3,36090,0.57,0.68,0.7083
DXB,JFK,8335,302,336430,1,81407,0.39,0.74,0.509
BOM,DXB,6630,144,397700,104,23595,0.55,0.48,0.6442
SYD,FRA,5184,408,370708,106,66213,0.67,0.57,0.503
CDG,LHR,5854,362,480858,30,64308,0.83,0.7,0.8031
JFK,SYD,13450,321,409669,93,68710,0.1,0.05,0.5889
BOM,FRA,11521,161,122003,89,92815,0.97,0.71,0.0
JFK,SYD,4111,380,76268,52,62267,0.57,0.58,0.0
NRT,SYD,1718,205,311016,88,95345,0.07,0.01,0.3433
CDG,BOM,12761,103,254339,99,58165,0.31,0.66,0.2933
LAX,JFK,12048,412,26612,89,57736,0.16,0.88,0.0
SIN,DXB,2048,176,377719,100,93941,0.33,0.61,0.4676
FRA,SYD,5525,238,285739,46,25699,0.18,0.29,0.4741
JFK,BOM,3053,95,174383,116,23555,0.2,0.24,0.1857
JFK,FRA,10579,462,138646,2,95341,0.11,0.31,0.0846
LHR,LHR,10421,451,27819,1,10847,0.27,0.71,0.0329
FRA,JFK,9563,415,184524,68,91513,0.5,0.5,0.118
LAX,LHR,8806,337,369077,46,42067,0.06,0.62,0.608
LAX,CDG,3175,446,424645,105,80371,0.85,0.66,0.5835
SIN,LHR,8873,490,199963,57,98250,0.29,0.62,0.1464
JFK,DXB,5048,297,85305,100,32480,0.37,0.27,0.0056
LHR,SYD,12700,411,34147,20,52100,0.5,0.12,0.0
LAX,SIN,10111,340,250118,33,61142,0.64,0.25,0.345
DXB,LHR,5890,283,483470,55,97441,0.81,0.05,0.7171
FRA,NRT,6405,433,74708,35,68120,0.56,0.83,0.0
JFK,NRT,4144,463,169934,66,61107,0.68,0.82,0.1517
NRT,CDG,4682,159,32650,49,41956,0.58,0.93,0.0
NRT,LAX,4201,259,207234,15,76287,0.73,0.07,0.2469
FRA,BOM,4343,150,495255,101,22376,0.48,0.91,0.8448
LAX,NRT,10102,93,421300,78,56527,0.09,0.41,0.6515
BOM,SYD,595,281,250515,38,56981,0.66,0.46,0.3491
DXB,NRT,5432,107,455061,99,96544,0.28,0.46,0.618
FRA,FRA,13039,206,446054,56,87142,0.36,0.98,0.6618
FRA,SIN,10958,414,120532,42,17054,0.53,0.02,0.165
LHR,LAX,6368,405,45285,29,24954,0.43,0.61,0.0117
DXB,FRA,8517,231,420696,80,37031,0.67,0.26,0.6873
LAX,NRT,4108,272,321891,11,25238,0.48,0.99,0.5823
SYD,JFK,11150,440,464773,12,78151,0.05,0.62,0.7612
JFK,NRT,5819,73,474628,83,24767,0.52,0.02,0.8167
SYD,CDG,859,485,25815,24,27213,0.86,0.69,0.0
DXB,LHR,9408,377,121981,107,49752,0.4,0.51,0.0375
FRA,DXB,11312,116,268780,108,77527,0.67,0.9,0.2745
SIN,JFK,13696,289,427798,90,12348,0.07,0.78,0.7409
LAX,FRA,7356,71,307481,34,42351,0.55,0.73,0.4963
