origin,season,budget_usd,trip_type,duration_days,past_destinations,recommended_dest
DXB,spring,2411,family,12,4,CDG
SYD,spring,4502,business,18,13,LHR
SYD,summer,6832,family,13,3,NRT
LHR,autumn,2559,family,28,14,CDG
NRT,spring,7994,leisure,11,18,NRT
NRT,spring,3770,leisure,25,14,LHR
CDG,summer,2726,business,26,11,CDG
JFK,autumn,4977,business,16,13,LHR
JFK,summer,7966,leisure,17,16,NRT
BOM,winter,3360,family,5,16,LHR
JFK,autumn,4570,leisure,21,11,LHR
DXB,summer,6187,family,12,1,NRT
JFK,winter,6004,leisure,15,14,NRT
FRA,spring,5128,business,3,10,NRT
DXB,summer,2455,business,19,7,CDG
CDG,autumn,6499,business,5,19,NRT
SYD,spring,735,leisure,29,10,BOM
FRA,spring,6539,leisure,15,3,NRT
SYD,autumn,2311,family,24,5,CDG
BOM,spring,4766,business,10,6,LHR
BOM,winter,5721,leisure,10,16,NRT
LHR,winter,6614,leisure,14,10,NRT
JFK,autumn,5437,leisure,11,13,NRT
DXB,summer,1973,business,19,17,SIN
DXB,autumn,409,family,10,8,BOM
SIN,summer,2473,leisure,10,5,CDG
SYD,spring,6012,leisure,18,14,NRT
NRT,autumn,6898,family,6,15,NRT
CDG,winter,375,business,16,19,BOM
LAX,spring,5169,business,29,16,NRT
CDG,summer,5583,business,29,10,NRT
NRT,summer,5907,business,25,5,NRT
SIN,spring,7343,leisure,6,10,NRT
NRT,spring,1684,family,18,11,SIN
SIN,winter,4383,leisure,2,12,LHR
CDG,winter,2440,business,20,18,CDG
CDG,autumn,7826,family,22,16,NRT
JFK,winter,1619,family,24,5,SIN
LAX,winter,471,business,5,12,BOM
FRA,spring,5225,family,28,3,NRT
SYD,summer,7220,business,13,12,NRT
BOM,autumn,3415,leisure,2,13,LHR
NRT,spring,4221,family,29,14,LHR
LAX,autumn,1628,family,7,6,SIN
FRA,summer,4999,leisure,26,9,LHR
LHR,summer,1005,business,27,4,SIN
FRA,spring,3584,leisure,24,19,LHR
CDG,winter,546,family,25,16,BOM
LAX,summer,4502,family,24,8,LHR
DXB,autumn,7255,family,5,18,NRT
BOM,winter,760,business,22,9,BOM
FRA,autumn,3102,business,26,5,LHR
JFK,winter,7402,business,25,4,NRT
CDG,spring,6752,family,3,16,NRT
BOM,spring,3526,business,27,18,LHR
LHR,summer,5539,leisure,20,16,NRT
BOM,autumn,5314,business,10,10,NRT
CDG,spring,4083,family,18,1,LHR
JFK,summer,1631,leisure,1,12,SIN
LHR,autumn,587,leisure,7,2,BOM
SYD,winter,3633,family,14,15,LHR
SIN,winter,2957,family,28,12,CDG
LHR,autumn,2645,family,22,7,CDG
LAX,autumn,4746,leisure,11,2,LHR
BOM,spring,2588,leisure,5,2,CDG
FRA,spring,873,family,20,2,BOM
JFK,autumn,5293,leisure,16,19,NRT
NRT,spring,841,family,20,16,BOM
LAX,winter,5811,business,1,18,NRT
BOM,winter,3534,leisure,23,4,LHR
JFK,autumn,3690,business,8,2,LHR
NRT,autumn,3806,family,28,12,LHR
NRT,summer,4123,leisure,16,8,LHR
DXB,spring,1448,leisure,9,6,SIN
LAX,spring,3808,family,10,7,LHR
FRA,spring,2374,family,25,1,CDG
DXB,autumn,4012,business,18,9,LHR
JFK,spring,5442,family,10,19,NRT
LAX,summer,4659,leisure,24,19,LHR
LAX,spring,4107,leisure,4,19,LHR
JFK,autumn,2347,business,6,16,CDG
SIN,autumn,1102,leisure,26,12,SIN
FRA,winter,729,business,7,11,BOM
CDG,winter,4992,family,20,18,LHR
JFK,autumn,5885,leisure,18,6,NRT
FRA,winter,1149,family,6,15,SIN
SYD,spring,1495,business,2,19,SIN
JFK,autumn,6482,family,15,9,NRT
BOM,spring,6548,leisure,10,14,NRT
CDG,autumn,7109,leisure,10,18,NRT
FRA,autumn,2505,family,13,13,CDG
NRT,spring,6132,leisure,16,4,NRT
NRT,summer,891,leisure,15,19,DXB
BOM,summer,5189,business,15,19,NRT
JFK,autumn,5305,leisure,20,2,NRT
CDG,spring,7967,business,14,18,NRT
NRT,winter,2927,business,3,3,CDG
DXB,spring,3115,leisure,22,3,LHR
NRT,summer,4877,leisure,23,12,LHR
JFK,summer,6383,leisure,26,12,NRT
JFK,spring,5987,leisure,23,10,NRT
LHR,autumn,7776,business,14,15,NRT
NRT,spring,796,family,21,13,BOM
BOM,autumn,5267,family,7,13,NRT
FRA,spring,2231,family,3,12,CDG
DXB,winter,7535,family,15,11,NRT
LHR,spring,4530,business,19,18,LHR
DXB,spring,1429,business,29,14,SIN
CDG,winter,2355,business,15,13,CDG
CDG,autumn,4572,business,3,19,LHR
SYD,autumn,7452,business,28,8,NRT
SIN,spring,5026,family,19,19,NRT
FRA,winter,3706,business,12,15,LHR
LAX,winter,4792,family,19,14,LHR
BOM,autumn,2172,leisure,27,18,CDG
DXB,winter,6573,business,24,19,NRT
LHR,summer,1312,family,26,13,SIN
NRT,spring,2446,family,11,8,CDG
NRT,spring,454,business,10,14,BOM
FRA,summer,338,family,28,4,DXB
JFK,autumn,4562,business,11,2,LHR
LHR,winter,7969,leisure,18,4,NRT
LHR,spring,5763,leisure,21,19,NRT
JFK,winter,5344,leisure,29,16,NRT
BOM,winter,2639,family,16,19,CDG
JFK,autumn,7137,family,24,14,NRT
LAX,summer,2881,business,28,19,CDG
LHR,autumn,2865,business,27,12,CDG
LHR,winter,4943,business,3,10,LHR
LAX,autumn,7573,leisure,12,13,NRT
SIN,autumn,5407,business,15,11,NRT
BOM,spring,5562,family,1,1,NRT
LAX,winter,6737,business,7,3,NRT
LHR,spring,691,leisure,17,9,BOM
LHR,summer,3129,leisure,13,2,LHR
FRA,winter,6020,business,15,14,NRT
BOM,autumn,3959,family,29,1,LHR
CDG,spring,6685,business,26,15,NRT
LAX,spring,7318,business,23,3,NRT
FRA,autumn,2796,leisure,9,16,CDG
NRT,summer,1444,business,16,19,SIN
LHR,spring,6412,business,28,5,NRT
NRT,summer,6451,business,16,10,NRT
JFK,spring,2697,leisure,28,14,CDG
DXB,summer,925,leisure,23,5,DXB
JFK,spring,1297,leisure,25,15,SIN
DXB,spring,6807,business,12,8,NRT
SYD,winter,3597,family,23,19,LHR
SIN,summer,1017,business,11,12,SIN
DXB,summer,1133,business,8,19,SIN
SIN,summer,3758,business,23,3,LHR
CDG,spring,2895,leisure,5,4,CDG
SIN,summer,1525,leisure,21,17,SIN
SIN,spring,3199,leisure,9,14,LHR
FRA,winter,4390,leisure,24,3,LHR
SYD,autumn,289,leisure,16,7,BOM
LHR,winter,7720,family,7,10,NRT
JFK,autumn,2554,business,18,3,CDG
SYD,summer,1377,leisure,6,10,SIN
NRT,spring,1735,family,22,3,SIN
JFK,autumn,6799,family,24,19,NRT
LHR,winter,1299,family,3,16,SIN
JFK,autumn,1933,leisure,9,6,SIN
LHR,winter,7385,leisure,18,1,NRT
FRA,autumn,795,family,22,16,BOM
FRA,summer,3690,business,5,19,LHR
NRT,winter,6772,business,22,12,NRT
LHR,summer,6306,family,1,5,NRT
JFK,spring,1390,business,29,11,SIN
CDG,winter,7189,business,13,13,NRT
LHR,autumn,1703,leisure,7,17,SIN
JFK,summer,7141,family,23,9,NRT
JFK,summer,6138,leisure,2,19,NRT
NRT,spring,1516,business,9,13,SIN
CDG,spring,4851,family,22,3,LHR
SYD,winter,7988,family,29,6,NRT
LAX,summer,2015,business,29,9,CDG
JFK,spring,792,family,1,9,BOM
CDG,autumn,608,family,21,19,BOM
SYD,autumn,1162,business,10,2,SIN
SIN,spring,3821,family,14,3,LHR
JFK,winter,442,family,29,9,BOM
FRA,summer,5463,family,7,19,NRT
LAX,autumn,514,business,10,3,BOM
JFK,spring,5233,family,12,2,NRT
LHR,autumn,6092,family,15,13,NRT
JFK,winter,5293,family,13,17,NRT
SYD,summer,6197,family,16,2,NRT
SYD,winter,5196,business,24,2,NRT
LAX,autumn,4616,business,4,10,LHR
BOM,spring,3552,leisure,25,16,LHR
CDG,autumn,4904,business,12,13,LHR
NRT,summer,4682,leisure,5,8,LHR
LAX,autumn,6849,family,19,18,NRT
CDG,autumn,5070,family,1,11,NRT
SYD,winter,3340,leisure,25,9,LHR
SYD,summer,1516,business,19,2,SIN
SIN,spring,1711,business,15,5,SIN
JFK,summer,3141,leisure,27,10,LHR
LHR,summer,5367,business,26,6,NRT
FRA,summer,2851,family,3,19,CDG
LAX,summer,5044,leisure,23,14,NRT
LAX,autumn,1184,leisure,12,16,SIN
LHR,autumn,4374,leisure,19,12,LHR
CDG,winter,450,family,16,18,BOM
SIN,spring,3366,leisure,28,16,LHR
LHR,autumn,2922,family,22,2,CDG
FRA,summer,5435,business,21,14,NRT
JFK,summer,724,family,15,1,DXB
DXB,winter,3290,family,9,6,LHR
CDG,summer,3861,leisure,14,12,LHR
LAX,winter,7279,family,8,7,NRT
FRA,spring,7195,family,18,4,NRT
LAX,spring,571,business,18,1,BOM
SIN,summer,4417,family,17,1,LHR
JFK,spring,6081,family,1,14,NRT
DXB,summer,7725,business,16,6,NRT
DXB,summer,7483,leisure,27,11,NRT
LHR,winter,6279,leisure,1,5,NRT
SIN,autumn,854,family,22,4,BOM
FRA,spring,1797,leisure,7,19,SIN
SYD,autumn,5028,leisure,25,3,NRT
BOM,winter,7330,business,1,7,NRT
SYD,spring,610,business,4,2,BOM
NRT,autumn,1655,leisure,28,1,SIN
LHR,autumn,7024,family,7,1,NRT
JFK,autumn,4110,family,23,7,LHR
CDG,spring,1520,leisure,29,2,SIN
SIN,autumn,3648,family,19,12,LHR
DXB,summer,2164,business,5,16,CDG
DXB,winter,5740,leisure,27,15,NRT
DXB,winter,3190,business,8,1,LHR
JFK,winter,3623,business,14,7,LHR
JFK,winter,3331,leisure,21,1,LHR
SIN,autumn,2987,business,2,9,CDG
NRT,spring,6634,business,24,9,NRT
SIN,spring,2650,business,2,2,CDG
DXB,autumn,816,family,28,17,BOM
CDG,autumn,4387,business,18,14,LHR
SIN,autumn,7374,family,22,17,NRT
SYD,autumn,3099,family,28,19,LHR
LHR,autumn,5237,business,26,11,NRT
SYD,winter,1327,leisure,9,14,SIN
BOM,winter,6457,leisure,21,5,NRT
CDG,summer,3679,business,18,6,LHR
NRT,autumn,3108,leisure,7,9,LHR
NRT,autumn,469,family,11,7,BOM
BOM,winter,2146,family,23,11,CDG
JFK,autumn,2239,family,21,6,CDG
CDG,spring,1194,business,5,11,SIN
LAX,autumn,3647,business,6,17,LHR
NRT,summer,2989,leisure,5,13,CDG
CDG,summer,3836,family,25,8,LHR
LAX,autumn,7308,business,21,19,NRT
JFK,summer,3672,business,8,14,LHR
LAX,autumn,1325,leisure,15,11,SIN
FRA,spring,3091,business,20,3,LHR
DXB,summer,4422,business,25,9,LHR
LAX,summer,2635,leisure,15,6,CDG
CDG,winter,1044,business,12,16,SIN
BOM,autumn,5070,business,22,10,NRT
LAX,autumn,379,business,16,15,BOM
JFK,summer,7238,leisure,14,5,NRT
SIN,spring,1788,business,3,11,SIN
LHR,summer,6188,business,24,13,NRT
NRT,autumn,7091,leisure,8,3,NRT
LAX,autumn,7724,family,10,16,NRT
DXB,spring,4403,leisure,1,6,LHR
DXB,autumn,1000,leisure,8,4,BOM
DXB,autumn,1917,leisure,15,14,SIN
NRT,autumn,5053,leisure,19,5,NRT
SIN,summer,7236,business,14,19,NRT
LHR,spring,4054,leisure,12,16,LHR
DXB,spring,6086,business,15,18,NRT
SIN,spring,1114,family,16,8,SIN
DXB,autumn,4064,leisure,5,19,LHR
JFK,summer,7001,family,1,14,NRT
CDG,summer,7065,leisure,26,17,NRT
CDG,autumn,1972,family,21,14,SIN
JFK,summer,6404,family,18,14,NRT
SIN,autumn,6566,business,22,18,NRT
LHR,spring,698,leisure,22,16,BOM
LAX,winter,6192,business,2,2,NRT
DXB,autumn,1012,business,28,8,SIN
NRT,winter,312,family,13,2,BOM
JFK,spring,3722,leisure,20,9,LHR
DXB,spring,4810,leisure,7,1,LHR
JFK,autumn,4356,family,24,1,LHR
CDG,winter,5769,family,16,2,NRT
SIN,summer,5370,leisure,9,15,NRT
FRA,winter,2763,family,17,4,CDG
SYD,autumn,2131,family,23,4,CDG
LHR,winter,3460,family,27,17,LHR
LHR,summer,3982,business,15,17,LHR
CDG,autumn,7970,business,23,18,NRT
SYD,autumn,3525,leisure,12,8,LHR
BOM,winter,1780,family,14,8,SIN
BOM,winter,3114,leisure,16,4,LHR
JFK,autumn,1654,family,20,14,SIN
LAX,winter,2513,leisure,13,15,CDG
SYD,winter,2504,family,25,7,CDG
NRT,winter,4134,leisure,3,8,LHR
BOM,autumn,5236,family,15,17,NRT
JFK,autumn,2303,leisure,25,15,CDG
CDG,summer,5136,leisure,6,13,NRT
CDG,autumn,6471,family,20,19,NRT
LAX,summer,7456,leisure,27,11,NRT
JFK,autumn,4260,family,24,13,LHR
SYD,autumn,2345,family,18,15,CDG
JFK,autumn,7803,leisure,24,5,NRT
NRT,spring,3579,family,1,1,LHR
NRT,autumn,580,leisure,15,8,BOM
LAX,summer,580,family,28,16,DXB
NRT,spring,3140,business,12,8,LHR
JFK,autumn,255,family,19,1,BOM
LHR,spring,779,business,12,3,BOM
NRT,spring,558,leisure,3,3,BOM
LHR,winter,7970,business,8,3,NRT
LAX,winter,5423,leisure,7,11,NRT
DXB,winter,2217,business,27,9,CDG
CDG,autumn,3507,business,13,4,LHR
LHR,autumn,2012,family,16,11,CDG
DXB,summer,6172,family,17,6,NRT
JFK,winter,2310,family,3,18,CDG
LHR,spring,6058,leisure,28,14,NRT
NRT,winter,4072,family,2,11,LHR
CDG,spring,7171,family,29,14,NRT
JFK,spring,3663,leisure,22,7,LHR
JFK,spring,4655,business,8,3,LHR
LHR,spring,7623,leisure,27,14,NRT
CDG,summer,2153,family,1,16,CDG
BOM,spring,2215,family,23,13,CDG
FRA,winter,318,business,7,19,BOM
SIN,spring,2297,leisure,7,7,CDG
CDG,autumn,1567,leisure,29,13,SIN
NRT,winter,2530,business,3,14,CDG
FRA,spring,7733,family,2,18,NRT
LAX,spring,6087,business,29,13,NRT
DXB,autumn,1546,family,17,8,SIN
NRT,summer,5287,business,15,4,NRT
LAX,winter,1777,business,18,1,SIN
LAX,winter,6402,business,20,2,NRT
LAX,spring,4664,business,10,13,LHR
SIN,summer,4604,business,4,9,LHR
LHR,spring,5056,leisure,25,16,NRT
LAX,autumn,588,family,22,19,BOM
SIN,autumn,5375,business,8,13,NRT
SIN,winter,6124,family,3,9,NRT
BOM,autumn,4492,business,6,17,LHR
CDG,winter,2977,leisure,2,8,CDG
BOM,spring,2098,leisure,8,19,CDG
SIN,autumn,4670,family,17,10,LHR
JFK,spring,7034,leisure,10,12,NRT
NRT,summer,5919,business,19,8,NRT
JFK,spring,2741,business,13,16,CDG
FRA,autumn,4956,family,10,1,LHR
CDG,spring,1691,family,6,7,SIN
DXB,summer,4560,business,27,19,LHR
BOM,summer,5718,family,22,10,NRT
JFK,winter,7609,business,7,13,NRT
CDG,autumn,6346,business,14,19,NRT
LAX,spring,930,family,3,17,BOM
SYD,winter,6731,business,8,8,NRT
SIN,spring,7385,business,7,14,NRT
LHR,winter,5620,leisure,22,11,NRT
SIN,autumn,7526,family,8,7,NRT
FRA,winter,2691,leisure,5,17,CDG
NRT,summer,5107,business,10,16,NRT
SYD,summer,3553,business,10,7,LHR
SYD,autumn,2588,family,6,16,CDG
NRT,autumn,2287,family,22,8,CDG
BOM,winter,3420,family,19,11,LHR
JFK,autumn,2673,family,16,9,CDG
LAX,winter,2113,family,18,14,CDG
DXB,winter,4657,business,13,4,LHR
LHR,spring,4906,business,7,15,LHR
FRA,winter,545,leisure,10,10,BOM
LAX,spring,5240,business,6,8,NRT
DXB,summer,4787,leisure,2,10,LHR
FRA,summer,5671,business,16,16,NRT
JFK,summer,4034,family,4,6,LHR
LHR,winter,1797,family,3,3,SIN
SYD,spring,5240,leisure,3,10,NRT
BOM,summer,7488,leisure,8,17,NRT
DXB,summer,5718,leisure,12,16,NRT
NRT,spring,6883,family,2,11,NRT
CDG,winter,1665,leisure,14,5,SIN
SYD,spring,2576,family,23,16,CDG
FRA,autumn,7436,leisure,18,18,NRT
LHR,summer,2894,family,7,1,CDG
JFK,summer,6581,leisure,13,4,NRT
LAX,spring,7005,leisure,9,5,NRT
SYD,spring,4608,business,15,11,LHR
LHR,winter,2844,family,9,13,CDG
CDG,autumn,6042,family,11,3,NRT
LHR,autumn,280,business,4,8,BOM
SYD,spring,6290,leisure,5,9,NRT
DXB,summer,2617,business,8,6,CDG
LAX,winter,5185,family,10,18,NRT
BOM,winter,806,leisure,23,6,BOM
SIN,autumn,7175,family,20,3,NRT
FRA,spring,3151,business,29,11,LHR
LAX,winter,5865,leisure,18,1,NRT
LAX,autumn,2058,business,18,18,CDG
FRA,winter,3503,business,22,13,LHR
DXB,summer,3190,business,25,6,LHR
LHR,winter,4355,leisure,18,5,LHR
JFK,summer,4802,business,11,6,LHR
BOM,summer,4569,family,21,14,LHR
LHR,autumn,4395,business,19,6,LHR
SIN,spring,2542,business,20,1,CDG
NRT,winter,924,family,12,18,BOM
CDG,summer,3147,family,18,12,LHR
LAX,winter,1451,leisure,29,6,SIN
CDG,spring,6963,leisure,6,2,NRT
SYD,spring,4287,leisure,18,4,LHR
FRA,winter,3000,family,3,19,CDG
BOM,autumn,290,family,16,4,BOM
JFK,autumn,2896,leisure,9,6,CDG
SYD,autumn,2809,leisure,27,15,CDG
DXB,spring,6224,leisure,6,12,NRT
FRA,spring,7011,family,13,6,NRT
LAX,summer,6453,business,27,16,NRT
SIN,autumn,2176,family,10,18,CDG
SIN,winter,5293,leisure,6,3,NRT
DXB,spring,1741,family,17,16,SIN
BOM,autumn,443,business,5,1,BOM
LAX,winter,7494,family,7,8,NRT
NRT,winter,2616,leisure,11,14,CDG
BOM,summer,7919,business,21,4,NRT
SIN,winter,1693,business,25,14,SIN
SIN,summer,453,leisure,26,1,DXB
LHR,autumn,4536,family,12,7,LHR
LAX,winter,6851,family,15,2,NRT
FRA,summer,7594,business,9,19,NRT
SIN,summer,2242,family,2,1,CDG
SYD,winter,3366,leisure,24,13,LHR
NRT,winter,6264,business,9,15,NRT
CDG,winter,5217,family,20,10,NRT
LHR,spring,2079,business,28,6,CDG
LAX,autumn,5644,business,16,3,NRT
NRT,summer,2972,business,29,3,CDG
BOM,autumn,892,family,2,16,BOM
FRA,summer,1715,leisure,25,6,SIN
CDG,spring,3266,family,20,13,LHR
JFK,autumn,5981,business,2,2,NRT
NRT,spring,4383,business,20,2,LHR
NRT,spring,5504,business,6,18,NRT
DXB,autumn,7210,business,5,16,NRT
NRT,winter,7692,leisure,11,14,NRT
SYD,winter,1720,leisure,6,14,SIN
SIN,summer,214,family,26,2,DXB
JFK,summer,2414,leisure,8,19,CDG
DXB,autumn,3437,family,12,14,LHR
CDG,summer,461,business,25,7,DXB
JFK,summer,5850,business,8,7,NRT
DXB,spring,4888,business,24,19,LHR
NRT,winter,3905,business,6,11,LHR
NRT,winter,713,business,29,2,BOM
FRA,spring,6650,business,13,4,NRT
JFK,winter,3300,leisure,1,6,LHR
DXB,autumn,5856,family,19,2,NRT
LHR,summer,5866,leisure,13,11,NRT
CDG,spring,3116,business,5,15,LHR
JFK,winter,1140,leisure,26,14,SIN
FRA,summer,4827,family,17,3,LHR
FRA,spring,1430,leisure,13,14,SIN
SIN,spring,311,leisure,17,3,BOM
BOM,spring,657,business,23,3,BOM
FRA,spring,6567,family,27,14,NRT
BOM,winter,3599,family,18,16,LHR
SIN,summer,1320,business,21,17,SIN
LAX,summer,4232,business,14,13,LHR
JFK,spring,6455,business,4,2,NRT
SYD,autumn,5473,business,8,12,NRT
BOM,autumn,1713,family,27,14,SIN
SIN,autumn,2359,family,28,4,CDG
SIN,winter,5068,leisure,27,5,NRT
CDG,summer,643,leisure,17,4,DXB
SIN,winter,7805,family,9,3,NRT
LHR,autumn,7111,business,25,6,NRT
JFK,winter,7561,leisure,4,4,NRT
DXB,autumn,263,business,18,12,BOM
BOM,spring,872,leisure,7,16,BOM
LAX,spring,6993,leisure,21,16,NRT
DXB,summer,4685,business,18,15,LHR
NRT,winter,1208,leisure,12,12,SIN
CDG,autumn,1902,leisure,16,15,SIN
JFK,summer,7662,business,29,2,NRT
LHR,winter,1428,leisure,6,17,SIN
JFK,winter,1733,business,24,1,SIN
SIN,spring,4336,leisure,22,15,LHR
NRT,summer,2418,family,23,16,CDG
BOM,summer,3392,leisure,25,19,LHR
LAX,spring,1811,business,13,19,SIN
LAX,autumn,6022,family,3,5,NRT
NRT,autumn,5436,family,25,19,NRT
DXB,summer,5664,business,10,12,NRT
BOM,spring,2377,leisure,20,12,CDG
SYD,spring,1597,family,27,4,SIN
FRA,summer,7946,business,16,19,NRT
SYD,autumn,3576,business,7,12,LHR
SYD,spring,4082,leisure,3,8,LHR
FRA,spring,794,business,5,9,BOM
SIN,spring,2225,leisure,16,13,CDG
DXB,winter,6217,family,21,1,NRT
FRA,autumn,644,leisure,8,11,BOM
BOM,autumn,2042,family,27,6,CDG
LHR,summer,2004,leisure,21,10,CDG
JFK,winter,688,business,15,18,BOM
SYD,autumn,6595,business,7,2,NRT
CDG,autumn,5981,business,20,12,NRT
LHR,winter,1560,leisure,6,8,SIN
LHR,summer,6369,business,14,2,NRT
DXB,winter,2305,family,10,7,CDG
LAX,summer,5355,business,11,8,NRT
LHR,winter,1460,family,20,10,SIN
CDG,autumn,6846,family,5,6,NRT
NRT,winter,2059,family,28,9,CDG
SIN,winter,4007,leisure,23,11,LHR
SIN,summer,5994,leisure,27,19,NRT
LAX,summer,1002,leisure,6,18,SIN
SIN,autumn,724,business,14,16,BOM
NRT,autumn,6578,family,11,2,NRT
DXB,spring,5755,leisure,27,1,NRT
BOM,spring,436,family,16,14,BOM
FRA,autumn,3103,leisure,16,1,LHR
JFK,winter,3608,family,16,17,LHR
BOM,autumn,7764,business,4,12,NRT
SYD,summer,522,business,26,19,DXB
CDG,winter,2412,leisure,15,4,CDG
NRT,winter,3475,family,13,13,LHR
SIN,spring,1240,family,27,18,SIN
DXB,summer,3608,leisure,27,1,LHR
BOM,spring,4943,business,22,8,LHR
CDG,spring,4117,business,21,19,LHR
LHR,summer,1648,business,28,14,SIN
JFK,winter,7727,family,26,8,NRT
LAX,winter,4224,family,17,17,LHR
CDG,spring,6150,leisure,29,3,NRT
BOM,winter,2261,business,7,14,CDG
DXB,summer,5593,business,26,18,NRT
LAX,autumn,4775,leisure,27,14,LHR
LHR,summer,7069,business,14,7,NRT
SYD,summer,2007,business,16,4,CDG
BOM,spring,6500,family,11,13,NRT
CDG,autumn,7370,business,29,6,NRT
LAX,winter,3061,leisure,8,9,LHR
NRT,autumn,6011,family,13,18,NRT
CDG,winter,6491,leisure,19,10,NRT
NRT,spring,2925,business,21,18,CDG
LAX,summer,5203,leisure,15,8,NRT
SYD,autumn,6634,leisure,18,7,NRT
LAX,winter,3673,family,1,19,LHR
JFK,winter,4642,business,1,13,LHR
JFK,winter,6605,business,11,1,NRT
JFK,autumn,6396,business,6,3,NRT
BOM,autumn,3574,leisure,8,11,LHR
NRT,winter,4655,family,1,10,LHR
NRT,spring,3870,family,25,10,LHR
LHR,autumn,5262,family,24,2,NRT
FRA,spring,6328,business,19,14,NRT
LHR,autumn,4939,family,28,16,LHR
LHR,autumn,3354,business,22,13,LHR
NRT,autumn,7751,leisure,21,10,NRT
NRT,summer,3299,leisure,22,12,LHR
DXB,summer,1031,business,23,13,SIN
DXB,autumn,350,leisure,22,19,BOM
SIN,summer,5406,business,19,18,NRT
DXB,spring,5429,family,17,9,NRT
NRT,spring,5643,business,8,2,NRT
JFK,winter,4839,business,4,8,LHR
SYD,winter,1016,leisure,7,3,SIN
LAX,autumn,2769,leisure,5,5,CDG
NRT,summer,7619,business,16,17,NRT
SIN,winter,2030,business,29,2,CDG
JFK,winter,7331,leisure,10,2,NRT
LHR,summer,2792,family,21,2,CDG
LHR,autumn,6031,business,19,6,NRT
BOM,summer,7768,business,22,7,NRT
BOM,spring,938,business,14,4,BOM
DXB,summer,1885,leisure,6,5,SIN
FRA,winter,1258,leisure,11,11,SIN
DXB,winter,755,family,16,18,BOM
SYD,autumn,7681,business,24,3,NRT
CDG,autumn,2092,family,4,18,CDG
SYD,spring,1881,family,6,4,SIN
LHR,summer,2079,leisure,22,10,CDG
FRA,winter,4637,business,18,15,LHR
SIN,winter,3315,family,18,15,LHR
BOM,summer,2375,leisure,1,2,CDG
LHR,winter,4736,leisure,10,13,LHR
CDG,autumn,2028,leisure,14,13,CDG
FRA,autumn,7089,leisure,1,12,NRT
JFK,autumn,5387,leisure,26,15,NRT
LHR,summer,6352,business,24,13,NRT
DXB,winter,5192,leisure,27,18,NRT
NRT,summer,1091,family,14,1,SIN
NRT,summer,3004,family,17,8,LHR
BOM,spring,5715,business,27,7,NRT
NRT,winter,2891,leisure,2,7,CDG
FRA,winter,2187,leisure,19,16,CDG
FRA,spring,6288,family,9,15,NRT
LHR,spring,7193,family,11,17,NRT
SIN,spring,2005,leisure,21,12,CDG
NRT,autumn,4113,family,18,3,LHR
SIN,autumn,6273,business,3,15,NRT
JFK,summer,217,leisure,29,12,DXB
DXB,autumn,7425,business,19,14,NRT
JFK,autumn,951,family,24,5,BOM
LHR,spring,3169,leisure,19,6,LHR
SYD,autumn,6818,family,27,19,NRT
DXB,summer,3546,family,1,12,LHR
DXB,winter,6143,leisure,19,15,NRT
BOM,autumn,7701,leisure,22,1,NRT
SYD,summer,2181,business,23,9,CDG
SYD,autumn,4750,family,18,7,LHR
LAX,winter,1288,leisure,4,17,SIN
SYD,spring,5926,business,7,2,NRT
FRA,winter,3483,business,6,9,LHR
FRA,autumn,2674,business,24,4,CDG
FRA,spring,542,family,24,9,BOM
SIN,winter,2466,business,11,5,CDG
BOM,spring,1904,family,3,10,SIN
SYD,autumn,742,family,29,9,BOM
JFK,summer,801,business,14,9,DXB
NRT,spring,1081,family,6,1,SIN
LHR,autumn,7115,business,24,9,NRT
FRA,autumn,7239,leisure,26,6,NRT
LAX,spring,6833,family,22,7,NRT
CDG,autumn,3173,business,13,5,LHR
SYD,autumn,6938,family,1,17,NRT
LHR,summer,7206,business,17,6,NRT
LHR,autumn,4885,leisure,26,11,LHR
LAX,summer,2994,leisure,28,5,CDG
DXB,autumn,7614,business,20,8,NRT
SIN,summer,3182,family,4,11,LHR
LAX,summer,2421,family,14,14,CDG
NRT,summer,3575,leisure,23,13,LHR
SIN,autumn,3946,family,29,16,LHR
JFK,autumn,1284,family,5,5,SIN
CDG,winter,6297,business,25,14,NRT
DXB,winter,1484,family,20,13,SIN
DXB,winter,5209,family,5,14,NRT
LAX,autumn,1053,family,10,17,SIN
FRA,spring,4714,family,11,17,LHR
FRA,summer,2455,business,13,2,CDG
CDG,summer,3323,leisure,6,7,LHR
NRT,winter,5750,family,19,19,NRT
NRT,spring,6963,leisure,13,10,NRT
DXB,spring,7611,business,14,17,NRT
FRA,summer,980,business,5,13,DXB
DXB,spring,7221,leisure,7,18,NRT
NRT,spring,6838,leisure,12,1,NRT
LHR,spring,4828,family,19,17,LHR
CDG,summer,1896,business,23,14,SIN
BOM,autumn,3865,leisure,22,11,LHR
LAX,spring,7652,business,26,4,NRT
DXB,summer,1694,business,18,18,SIN
CDG,spring,4734,family,8,18,LHR
SIN,summer,7423,family,18,7,NRT
LAX,spring,5870,family,2,2,NRT
NRT,winter,575,business,10,13,BOM
JFK,autumn,6979,family,25,16,NRT
NRT,winter,493,leisure,4,18,BOM
SIN,summer,6393,family,2,12,NRT
NRT,autumn,2477,leisure,6,14,CDG
DXB,autumn,3111,business,29,2,LHR
LHR,summer,1916,leisure,15,4,SIN
SIN,summer,2971,business,27,10,CDG
SIN,spring,7822,family,27,8,NRT
