airport,hour_of_day,day_of_week,month,flights_per_hour,gate_utilization_pct,runway_utilization_pct,avg_taxi_time_min,weather_score,congestion_level
SYD,14,4,10,40,29,86,40,0.06,medium
JFK,7,4,1,26,26,56,27,0.98,low
SYD,17,2,8,64,42,74,46,0.92,high
LHR,3,4,5,74,70,69,51,0.73,high
SIN,15,0,2,34,52,74,12,0.32,medium
NRT,4,1,6,23,91,48,52,0.9,medium
BOM,19,3,2,46,71,40,16,0.15,medium
JFK,6,1,11,50,67,42,21,0.99,medium
SIN,9,4,6,11,20,92,9,0.16,low
FRA,19,2,9,42,70,46,6,0.28,medium
CDG,18,1,8,61,88,25,11,0.04,medium
DXB,2,1,1,55,60,36,30,0.11,medium
SIN,9,3,10,48,84,44,51,0.81,medium
SIN,21,0,5,13,82,43,17,0.82,medium
SYD,10,3,4,33,81,55,17,0.25,medium
SIN,11,5,1,70,84,97,54,0.03,high
CDG,5,1,12,12,69,48,22,0.24,medium
BOM,11,2,11,36,60,63,42,0.12,medium
FRA,1,6,7,5,56,84,20,0.72,medium
SIN,21,3,8,48,48,43,45,0.15,medium
JFK,22,2,7,10,21,61,20,0.22,low
BOM,5,2,7,36,64,98,23,0.13,high
NRT,17,0,8,54,36,83,58,0.5,medium
LAX,23,0,7,33,85,45,16,0.33,medium
JFK,7,4,7,12,54,78,50,0.38,medium
SIN,18,6,2,19,67,71,59,0.94,medium
BOM,19,6,7,73,56,20,30,0.73,medium
JFK,7,1,8,54,50,81,59,0.58,high
FRA,23,1,9,21,94,70,18,0.3,medium
CDG,8,3,6,72,36,65,31,0.64,high
CDG,14,3,6,43,37,76,56,0.1,medium
LHR,5,4,7,63,73,58,49,0.9,high
LAX,23,4,7,55,87,67,51,0.92,high
CDG,13,0,6,69,57,23,10,0.98,medium
JFK,18,2,12,65,79,50,36,0.89,high
SIN,0,6,8,23,73,37,21,0.33,medium
SIN,6,3,9,50,29,51,31,0.81,medium
LHR,4,6,2,56,78,90,8,0.18,high
CDG,16,3,7,62,86,45,22,0.34,high
BOM,2,6,7,35,28,96,41,0.19,medium
SIN,21,5,1,60,43,29,22,0.47,medium
LHR,14,2,12,15,93,84,13,0.18,medium
LHR,10,6,10,18,22,87,24,0.31,medium
BOM,23,6,6,41,98,37,30,0.83,medium
JFK,18,2,4,54,57,80,18,0.15,high
NRT,13,5,4,39,51,29,44,0.97,medium
JFK,15,3,1,77,81,64,54,0.67,high
SIN,17,4,8,26,50,44,52,0.44,medium
NRT,5,3,12,19,30,73,28,0.69,medium
NRT,8,2,7,11,46,78,35,0.82,medium
LAX,3,0,5,25,53,99,33,0.06,medium
NRT,6,4,7,13,20,69,55,0.07,low
LAX,13,3,2,77,61,87,22,0.74,high
FRA,13,3,10,36,59,96,9,0.56,medium
BOM,21,6,9,13,79,88,29,0.52,medium
DXB,23,5,9,43,94,83,26,0.65,high
LHR,16,5,4,5,44,52,5,0.64,low
JFK,9,1,8,27,45,96,20,0.58,medium
SYD,13,0,1,61,45,68,50,0.92,medium
DXB,15,1,6,54,69,50,18,0.1,medium
LHR,9,1,7,49,39,63,49,0.1,medium
CDG,10,0,8,75,70,30,59,0.8,high
DXB,9,4,6,40,36,39,21,0.32,medium
NRT,9,2,8,61,93,25,30,0.42,high
NRT,2,5,5,35,48,60,18,0.73,medium
SIN,19,6,9,49,45,87,18,0.18,medium
JFK,11,3,8,33,85,31,19,0.9,medium
LHR,19,0,3,68,56,28,41,0.75,medium
BOM,7,3,9,22,65,59,15,0.01,medium
BOM,16,5,8,21,22,94,18,0.71,medium
LHR,12,4,8,45,45,22,42,0.31,medium
BOM,18,4,8,75,68,64,26,0.03,high
DXB,18,3,10,8,90,91,27,0.67,medium
CDG,9,6,12,30,74,25,25,0.85,medium
SIN,23,2,6,58,63,79,55,0.77,high
DXB,1,4,3,11,49,89,30,0.74,medium
SYD,2,3,9,43,37,56,46,0.43,medium
DXB,3,6,6,75,50,36,15,0.26,medium
SIN,3,6,12,62,58,71,28,0.27,high
NRT,14,5,2,45,73,49,12,0.17,medium
CDG,22,5,4,42,68,69,42,0.34,medium
LAX,21,2,12,66,58,71,5,0.75,high
SYD,13,4,6,32,38,89,19,0.24,medium
JFK,0,3,10,72,83,92,53,0.82,high
SIN,10,5,6,63,45,66,36,0.84,medium
CDG,23,6,10,38,42,87,13,0.47,medium
NRT,15,3,5,57,31,63,30,0.48,medium
SIN,16,5,1,21,82,77,56,0.74,medium
BOM,0,6,11,51,60,34,54,0.89,medium
LAX,14,3,8,14,60,47,14,0.53,low
SIN,8,2,4,44,84,28,54,0.04,medium
FRA,0,0,2,75,86,77,58,0.47,high
CDG,22,1,9,62,31,80,13,0.8,medium
NRT,6,5,4,19,45,75,19,0.12,medium
DXB,9,2,12,63,39,43,33,0.18,medium
LAX,16,6,1,66,26,75,53,0.39,medium
SYD,1,4,12,13,70,81,46,0.59,medium
BOM,19,6,6,61,77,31,12,0.15,medium
LAX,21,2,10,15,38,94,19,0.76,medium
SYD,20,4,2,32,28,33,10,0.2,low
JFK,1,6,4,22,30,91,27,0.27,medium
LAX,6,2,9,50,48,37,13,0.66,medium
LHR,5,1,2,9,53,57,39,0.76,low
FRA,16,4,7,25,63,40,16,0.76,medium
LAX,5,6,5,58,51,52,36,0.91,medium
LHR,10,1,3,59,40,51,24,0.83,medium
SIN,16,2,9,18,32,93,10,0.43,medium
SIN,12,6,5,77,53,73,11,0.29,high
JFK,9,5,10,63,93,54,54,0.73,high
SIN,2,3,8,32,58,86,27,0.26,medium
JFK,0,3,8,9,69,34,50,0.56,low
LHR,3,0,1,54,25,33,36,0.66,medium
LAX,13,4,7,50,44,85,43,0.06,medium
SIN,19,3,5,46,20,70,17,0.76,medium
CDG,14,3,8,28,75,49,50,0.6,medium
JFK,5,3,6,74,35,86,5,0.65,high
SYD,6,5,11,53,54,62,58,0.22,medium
JFK,12,6,11,9,81,66,13,0.67,medium
SIN,19,6,1,78,88,57,13,0.02,high
BOM,20,0,8,7,91,59,42,0.98,medium
DXB,4,2,8,64,35,94,43,0.75,high
CDG,19,6,9,59,97,97,28,0.75,high
SYD,0,3,5,69,32,40,20,0.48,medium
NRT,3,0,2,48,89,86,5,0.79,high
CDG,14,4,3,43,95,74,22,0.12,high
LAX,19,2,6,79,66,26,17,0.18,high
CDG,19,0,5,21,47,77,38,0.28,medium
BOM,23,6,8,72,90,91,20,0.18,high
CDG,6,2,1,11,60,29,59,0.07,low
SYD,20,2,5,61,60,47,59,0.79,medium
NRT,16,2,1,74,42,45,45,0.74,medium
LAX,14,2,7,36,50,33,53,0.96,medium
SYD,7,0,1,35,21,74,16,0.57,medium
LAX,6,4,7,37,72,56,34,0.22,medium
SIN,20,1,4,46,76,63,23,0.27,medium
JFK,11,2,11,53,67,76,12,0.46,high
SYD,21,5,1,60,95,24,14,0.31,high
JFK,8,1,3,76,32,91,57,0.72,high
SYD,7,6,12,56,69,91,24,0.65,high
NRT,9,2,11,30,92,48,22,0.63,medium
BOM,17,1,5,50,59,46,41,0.41,medium
JFK,17,1,1,68,94,75,15,0.43,high
JFK,0,5,5,31,26,74,8,0.61,medium
CDG,19,0,12,59,89,51,31,0.14,high
LHR,18,1,1,47,57,77,33,0.41,medium
LAX,6,1,11,72,69,65,45,0.16,high
LAX,6,3,9,56,98,41,46,0.05,high
JFK,23,3,6,22,90,87,17,1.0,medium
LHR,6,4,5,41,69,80,42,0.27,high
DXB,5,4,8,16,59,21,37,0.04,low
FRA,2,1,4,47,56,44,8,0.3,medium
FRA,20,0,9,77,34,65,57,0.31,high
DXB,8,5,2,48,83,35,57,0.42,medium
SIN,12,0,1,43,83,62,51,0.1,medium
SIN,17,2,4,28,85,52,9,0.1,medium
NRT,14,6,5,38,88,20,47,0.1,medium
SIN,18,4,4,52,73,45,26,0.51,medium
SIN,15,3,9,50,73,50,29,0.73,medium
LHR,3,5,6,47,31,29,48,0.97,medium
CDG,23,3,7,53,78,57,44,0.33,high
DXB,8,1,9,14,85,31,23,0.17,medium
SYD,19,3,12,73,97,61,57,0.33,high
LHR,13,5,9,70,43,38,54,0.88,medium
CDG,6,6,7,79,72,39,44,0.34,high
CDG,16,0,11,27,72,58,41,0.17,medium
CDG,4,1,3,16,51,63,16,0.71,medium
FRA,13,3,1,55,75,64,37,0.48,high
SIN,15,1,5,47,96,97,32,0.07,high
SYD,11,5,12,15,98,49,11,0.79,medium
CDG,18,2,12,70,25,59,23,0.74,medium
BOM,11,6,4,65,32,53,20,0.2,medium
CDG,23,5,4,64,28,47,35,0.37,medium
SIN,4,6,6,61,62,61,27,0.73,high
FRA,10,6,9,62,98,26,38,0.66,high
SYD,6,6,1,15,99,79,59,0.05,medium
SIN,23,1,6,38,46,32,17,0.16,medium
SYD,4,2,10,71,76,39,44,0.92,high
NRT,23,4,10,30,60,78,15,0.88,medium
NRT,5,4,10,24,22,75,46,0.41,medium
CDG,13,6,4,23,94,94,28,0.47,high
LAX,22,2,7,62,49,42,39,0.33,medium
JFK,3,4,7,29,66,56,12,0.18,medium
FRA,17,2,9,65,23,72,7,0.06,medium
CDG,12,5,6,77,56,59,10,0.8,high
JFK,15,2,1,13,54,70,58,0.69,medium
JFK,21,1,5,35,28,68,11,0.98,medium
FRA,1,1,2,11,79,46,7,0.04,medium
SYD,14,4,1,50,85,49,9,0.11,high
NRT,22,0,4,10,49,53,33,0.7,low
LHR,17,1,9,47,57,94,36,0.8,high
FRA,4,1,8,57,98,55,59,0.58,high
LAX,7,2,9,22,75,64,25,0.47,medium
NRT,16,0,10,67,78,78,24,0.34,high
LAX,12,2,7,56,84,39,23,0.71,medium
SIN,9,5,2,45,84,33,15,0.7,medium
LAX,15,4,5,33,70,37,53,0.33,medium
BOM,12,0,4,59,49,41,59,1.0,medium
FRA,6,1,1,9,67,32,43,0.79,low
SYD,15,2,5,34,66,30,21,0.41,medium
NRT,2,6,8,70,49,28,17,0.34,medium
FRA,22,6,2,54,60,83,35,0.15,high
LHR,9,3,6,19,23,41,42,0.96,low
NRT,7,2,12,46,51,83,54,0.26,medium
FRA,11,2,11,10,80,33,33,0.96,low
FRA,9,3,6,60,97,48,20,0.94,high
SYD,20,5,2,16,36,31,29,0.94,low
DXB,2,1,9,47,26,60,14,0.5,medium
JFK,21,3,12,50,44,75,13,0.07,medium
DXB,11,3,9,54,86,87,25,0.22,high
SIN,22,4,2,24,68,61,47,0.18,medium
SYD,16,3,4,74,34,25,46,0.69,medium
NRT,14,0,9,29,47,62,37,0.31,medium
DXB,19,6,10,78,52,83,29,0.74,high
SYD,3,3,2,6,32,97,34,0.72,medium
SYD,10,3,1,20,46,99,27,0.0,medium
SIN,18,2,2,74,61,65,34,0.2,high
LHR,18,6,10,70,61,28,39,0.15,medium
BOM,19,3,4,65,35,84,53,0.49,high
JFK,5,1,9,64,76,80,59,0.16,high
DXB,11,3,2,66,71,51,38,0.91,high
BOM,4,6,10,69,71,95,31,0.65,high
SYD,9,0,6,41,39,23,35,0.05,low
LHR,5,3,6,15,59,68,55,0.84,medium
SYD,6,6,11,10,92,26,56,0.38,medium
SIN,21,1,7,61,54,41,46,0.24,medium
CDG,19,3,2,32,43,61,7,0.87,medium
LHR,17,6,12,9,50,97,48,0.05,medium
DXB,14,0,2,13,38,79,26,0.02,medium
LHR,10,2,5,30,59,29,12,0.96,medium
SYD,19,6,1,41,95,68,39,0.16,high
LAX,21,1,12,28,45,68,35,0.44,medium
LAX,19,3,10,5,85,66,43,0.25,medium
CDG,23,2,5,21,25,38,57,0.54,low
NRT,0,0,12,74,41,54,37,0.73,high
JFK,22,5,10,68,51,53,29,0.23,high
DXB,5,0,12,23,24,65,37,0.59,low
LHR,15,1,4,73,76,67,40,0.63,high
SIN,19,0,3,56,28,92,14,0.88,medium
CDG,0,4,1,57,39,42,42,0.34,medium
JFK,21,3,6,75,50,55,55,0.15,high
LAX,17,5,1,43,90,20,31,0.84,medium
JFK,11,4,4,60,23,75,36,0.36,medium
LAX,2,0,11,50,26,29,35,0.46,medium
NRT,5,6,4,72,45,69,48,0.77,high
LAX,4,5,4,14,47,34,9,0.3,low
LHR,18,1,11,28,55,93,24,0.73,medium
DXB,10,2,4,19,57,51,36,0.1,medium
LHR,20,4,4,39,95,79,37,0.4,high
DXB,20,2,12,62,66,93,51,0.2,high
LAX,2,0,1,26,32,88,56,0.64,medium
NRT,8,6,2,54,95,23,53,0.49,medium
JFK,6,1,12,30,72,27,21,0.97,medium
DXB,20,0,2,68,65,52,13,0.95,high
FRA,2,2,7,48,26,56,5,0.16,medium
JFK,1,1,1,38,75,86,39,0.69,high
FRA,7,0,1,61,81,82,6,0.07,high
DXB,21,6,2,22,32,93,34,1.0,medium
DXB,22,4,8,76,52,96,28,0.22,high
FRA,5,4,6,27,58,93,13,0.99,medium
FRA,4,2,5,55,97,82,33,0.64,high
SYD,18,6,2,49,76,96,18,0.64,high
SYD,17,6,5,44,64,54,59,0.48,medium
CDG,3,1,3,68,23,98,26,0.59,high
SYD,22,2,2,50,37,59,55,0.26,medium
NRT,8,1,1,35,66,91,55,0.56,medium
FRA,20,4,2,22,70,54,13,0.84,medium
LHR,12,6,6,62,51,49,17,0.68,medium
SIN,16,6,1,19,59,49,31,0.39,medium
JFK,22,0,8,43,27,32,32,0.49,low
LAX,12,0,12,59,99,74,39,0.34,high
LHR,11,4,2,45,92,48,32,0.58,medium
BOM,8,0,7,52,25,50,13,0.48,medium
JFK,0,1,6,52,30,41,52,0.29,medium
NRT,17,2,4,59,75,38,22,0.39,medium
LHR,21,5,7,36,26,60,57,0.7,medium
NRT,21,1,1,74,63,99,43,0.23,high
DXB,8,6,5,12,78,39,44,0.46,medium
LAX,21,2,2,69,72,89,56,0.63,high
FRA,5,5,4,20,92,20,17,0.28,medium
LAX,2,2,1,45,47,20,42,0.11,medium
CDG,5,5,3,72,82,31,24,0.01,high
DXB,15,2,10,75,45,99,6,0.2,high
DXB,6,6,11,78,51,87,54,0.29,high
JFK,13,3,9,40,48,35,33,0.81,medium
SYD,19,5,8,34,36,21,46,0.12,low
LAX,1,0,10,56,90,96,41,0.74,high
SIN,14,2,10,79,58,70,15,0.11,high
BOM,23,3,12,25,85,74,39,0.28,medium
NRT,11,3,11,29,33,41,35,0.15,low
CDG,14,6,2,73,52,56,38,0.78,high
CDG,5,0,10,67,23,44,36,0.41,medium
BOM,5,2,12,70,54,43,21,0.63,medium
DXB,2,0,4,51,20,82,11,0.81,medium
LHR,1,0,9,64,87,52,14,0.77,high
LHR,4,2,2,42,41,32,34,0.34,medium
NRT,22,6,3,48,67,82,38,0.5,high
SIN,17,3,3,75,98,31,26,0.08,high
LAX,6,6,4,72,27,69,39,0.4,medium
BOM,1,0,12,69,45,89,50,0.21,high
SIN,2,6,5,40,81,83,25,0.1,high
CDG,4,6,2,49,71,41,6,0.63,medium
NRT,12,6,10,39,77,62,37,0.72,medium
FRA,4,6,10,49,84,80,58,0.54,high
NRT,17,0,3,32,75,74,37,0.03,medium
FRA,0,1,2,49,87,64,40,0.81,high
SYD,19,4,1,19,98,69,39,0.68,medium
SIN,13,4,11,39,66,60,26,0.71,medium
SIN,9,2,10,5,89,72,17,0.6,medium
LAX,14,2,10,20,33,83,34,0.44,medium
JFK,4,5,8,40,73,85,20,0.35,high
DXB,1,4,8,24,49,76,40,0.98,medium
LAX,8,0,7,45,29,27,58,0.81,low
SIN,8,5,1,5,81,44,13,0.99,low
LHR,15,5,11,6,33,70,8,0.92,low
DXB,5,0,5,29,70,73,17,0.71,medium
FRA,14,0,7,44,30,82,54,0.29,medium
SYD,13,4,6,63,94,88,26,0.37,high
NRT,0,1,4,46,26,75,54,0.23,medium
SYD,1,3,7,13,40,77,14,0.68,medium
FRA,20,1,2,41,59,84,54,0.48,medium
LHR,11,4,6,19,83,44,44,0.9,medium
LHR,4,6,4,48,23,22,47,0.6,low
JFK,21,6,3,69,97,73,33,0.62,high
NRT,11,2,6,11,70,28,7,0.42,low
LAX,20,5,5,78,22,29,51,0.35,medium
LAX,7,5,2,17,31,29,58,0.26,low
JFK,15,5,10,73,38,21,32,0.81,medium
JFK,13,3,10,43,79,34,8,0.24,medium
NRT,11,5,5,5,84,31,51,0.81,low
DXB,15,6,7,32,22,50,37,1.0,low
SIN,23,6,12,58,44,90,47,0.38,high
CDG,8,0,5,44,27,23,50,0.95,low
FRA,6,2,3,61,33,46,6,0.28,medium
BOM,19,0,2,34,64,91,19,0.08,medium
LAX,10,0,5,11,67,31,6,0.7,low
SYD,1,5,5,73,84,35,42,0.78,high
FRA,11,6,4,77,64,94,27,0.82,high
NRT,15,1,6,7,77,20,40,0.46,low
SYD,3,3,3,17,76,60,45,0.57,medium
SIN,18,0,5,21,38,63,34,0.15,medium
SYD,13,6,5,48,65,70,49,0.95,medium
DXB,23,0,7,51,57,57,21,0.7,medium
LHR,9,3,2,25,46,56,56,0.16,medium
CDG,7,4,7,49,61,57,56,0.13,medium
DXB,6,6,3,56,52,78,15,0.98,high
SYD,12,2,4,79,39,98,8,0.99,high
LHR,4,3,6,62,22,27,28,0.16,medium
FRA,17,5,10,29,75,92,20,0.91,medium
JFK,0,5,5,29,30,73,24,0.6,medium
SYD,7,2,4,40,21,73,14,0.63,medium
SIN,15,5,9,44,41,27,16,0.23,medium
CDG,22,0,1,37,85,75,35,0.99,high
BOM,2,1,2,9,57,20,34,0.58,low
CDG,18,1,5,31,51,89,24,0.41,medium
NRT,6,1,7,17,48,79,11,0.58,medium
SYD,4,0,3,30,55,59,32,0.34,medium
NRT,21,4,6,5,44,43,13,0.23,low
LHR,19,0,1,65,55,91,13,0.9,high
BOM,22,4,2,72,79,62,39,0.89,high
CDG,5,6,4,20,78,21,38,0.62,low
LHR,4,1,10,22,29,77,50,0.61,medium
NRT,12,3,6,6,31,69,52,0.3,low
CDG,2,5,10,41,84,90,38,0.16,high
SYD,20,0,9,56,62,59,14,0.66,medium
JFK,8,6,7,45,90,61,39,0.23,high
BOM,2,0,11,68,71,58,20,0.73,high
BOM,22,4,9,58,61,29,51,0.08,medium
NRT,7,4,7,26,33,31,6,0.38,low
DXB,23,1,2,36,21,22,44,0.88,low
CDG,13,1,2,28,71,92,51,0.63,medium
FRA,8,5,10,20,94,23,33,0.25,medium
CDG,13,0,12,61,22,36,53,0.32,medium
NRT,22,4,6,16,43,85,25,0.94,medium
SYD,12,5,3,10,45,55,37,0.21,low
CDG,21,5,6,14,22,50,16,0.96,low
LAX,20,3,12,74,32,65,8,0.17,high
SIN,12,3,3,29,64,88,19,0.1,medium
LAX,19,1,2,16,30,78,33,0.18,medium
DXB,23,4,12,30,51,84,36,0.94,medium
DXB,12,4,9,52,52,55,20,0.72,medium
LHR,1,1,9,59,21,66,53,0.22,medium
BOM,16,6,3,47,94,56,6,0.38,high
CDG,19,1,2,56,31,31,35,0.19,medium
BOM,20,3,3,25,26,67,26,0.81,medium
LHR,22,2,12,31,36,87,17,0.68,medium
LAX,12,2,7,72,94,73,15,0.47,high
LAX,10,4,3,64,65,90,39,0.77,high
SIN,7,1,11,7,81,30,41,0.35,low
BOM,16,4,5,46,39,69,27,0.49,medium
NRT,22,1,7,47,29,88,49,0.84,medium
LHR,19,4,6,68,35,48,58,0.86,medium
SYD,2,1,9,12,71,86,56,0.81,medium
BOM,22,3,3,47,51,68,49,0.12,medium
CDG,16,2,6,38,21,95,35,0.77,medium
BOM,3,1,7,49,87,90,27,0.15,high
SIN,17,0,11,6,39,78,21,0.87,low
SIN,3,1,1,66,87,62,47,0.0,high
NRT,13,2,12,61,51,31,15,0.87,medium
DXB,5,1,4,63,28,55,32,0.39,medium
BOM,23,5,3,10,96,83,20,0.73,medium
LHR,19,4,2,55,37,97,7,0.48,high
SIN,1,5,8,22,58,59,5,0.55,medium
SIN,7,6,11,27,36,59,28,0.07,medium
LHR,21,3,9,78,84,54,32,0.59,high
LHR,12,4,9,39,52,50,22,0.39,medium
SYD,12,0,12,24,47,83,55,0.56,medium
DXB,20,3,2,51,41,27,21,0.69,medium
BOM,23,1,9,10,44,99,8,0.48,medium
JFK,16,3,10,79,25,59,11,0.62,medium
NRT,22,2,7,30,67,75,41,0.2,medium
FRA,13,2,4,12,23,48,43,0.01,low
FRA,11,5,5,76,85,44,5,0.56,high
JFK,11,5,11,76,30,29,32,0.11,medium
LHR,3,2,10,12,21,46,7,0.41,low
DXB,3,5,4,50,30,87,7,0.96,medium
FRA,3,6,11,44,84,98,10,0.9,high
LHR,0,2,5,61,96,88,45,0.01,high
JFK,17,6,10,24,87,36,7,0.53,medium
BOM,2,0,3,41,54,51,34,0.35,medium
JFK,6,1,2,73,97,40,57,0.8,high
SYD,9,0,12,70,94,98,42,0.64,high
NRT,16,1,6,69,98,74,36,0.4,high
BOM,14,3,10,13,51,54,47,0.69,low
SIN,6,5,4,43,98,67,35,0.42,high
SIN,19,5,8,44,22,24,12,0.78,low
JFK,18,2,3,48,95,43,38,0.52,high
JFK,9,4,12,47,59,22,46,0.34,medium
BOM,2,6,2,7,79,96,8,0.53,medium
LAX,1,6,2,73,79,61,44,0.67,high
JFK,20,4,11,27,93,36,19,0.98,medium
DXB,19,3,9,48,35,71,21,0.45,medium
BOM,16,2,10,47,96,41,13,0.29,medium
LAX,3,0,9,6,65,36,42,0.27,low
SIN,11,3,5,47,45,82,45,0.1,medium
FRA,21,5,3,76,85,59,5,0.35,high
CDG,8,1,2,77,46,61,44,0.36,high
SIN,1,4,2,25,57,85,54,0.54,medium
JFK,23,0,9,5,28,46,30,0.33,low
CDG,20,0,2,15,83,58,59,0.91,medium
LAX,17,1,3,29,25,65,21,0.26,medium
SYD,21,1,9,31,75,29,55,0.61,medium
DXB,6,4,8,6,85,75,13,0.43,medium
SIN,12,1,5,8,98,54,42,0.0,medium
NRT,7,2,7,58,83,33,27,0.71,medium
BOM,15,3,5,55,99,95,34,0.03,high
CDG,0,1,2,74,57,50,44,0.9,high
JFK,0,2,11,33,20,48,46,0.0,low
FRA,18,2,1,37,66,33,14,0.91,medium
DXB,10,1,2,62,70,78,39,0.29,high
NRT,10,3,3,67,62,51,56,0.02,high
BOM,1,4,9,11,62,21,7,0.53,low
JFK,22,5,11,6,63,42,7,0.09,low
LAX,21,1,7,37,78,41,26,0.09,medium
DXB,1,4,12,19,99,66,5,0.49,medium
BOM,17,1,4,37,47,50,41,0.66,medium
BOM,22,5,9,79,72,68,19,0.69,high
BOM,18,3,3,60,60,41,16,0.04,medium
NRT,3,5,12,64,71,50,19,0.73,high
LHR,23,4,10,70,38,63,13,0.69,high
LHR,17,0,12,52,38,35,7,0.37,medium
JFK,7,2,10,59,56,57,52,0.08,medium
LHR,16,0,7,28,33,96,6,0.23,medium
CDG,17,4,10,27,21,57,5,0.65,low
JFK,10,2,7,45,75,84,44,0.11,high
SIN,16,6,4,58,74,91,29,0.08,high
SIN,9,5,1,72,56,46,53,0.39,high
NRT,19,3,4,61,90,61,26,0.44,high
SIN,17,1,1,47,89,24,45,0.28,medium
LHR,3,5,2,16,52,48,48,0.86,low
JFK,10,0,3,36,77,70,9,0.11,medium
DXB,19,4,5,70,72,33,49,0.64,high
SIN,0,6,7,64,96,91,31,0.49,high
SYD,0,4,8,31,84,22,15,0.41,medium
FRA,16,6,1,30,75,59,16,0.83,medium
SIN,6,2,4,72,26,30,50,0.2,medium
LHR,16,0,10,24,95,86,23,0.94,high
CDG,21,6,4,23,73,21,21,0.11,low
BOM,14,1,5,34,25,62,55,0.49,medium
CDG,20,2,7,73,37,57,42,0.14,medium
LAX,20,1,8,67,46,55,39,0.76,medium
LAX,21,3,6,30,57,73,16,0.05,medium
DXB,18,2,7,13,25,21,58,0.42,low
CDG,5,4,10,18,80,68,7,0.32,medium
SYD,17,3,4,46,65,77,36,0.16,high
LAX,19,4,2,41,29,90,14,0.16,medium
DXB,2,0,10,27,79,39,13,0.02,medium
SIN,15,3,1,68,53,45,11,0.91,medium
CDG,4,1,3,27,64,20,6,0.15,low
SIN,18,4,4,46,29,26,29,0.77,low
LHR,6,5,4,26,72,66,45,0.6,medium
DXB,17,0,12,32,42,23,51,0.53,low
FRA,16,4,5,72,99,86,25,0.47,high
FRA,19,3,10,47,24,34,37,0.35,medium
FRA,9,2,10,41,21,22,14,0.28,low
JFK,18,5,7,17,54,58,36,0.39,medium
LHR,13,5,6,79,78,66,27,0.62,high
FRA,22,2,4,28,34,98,37,0.27,medium
SIN,2,3,4,59,49,95,16,0.35,high
NRT,19,1,7,46,26,70,22,0.92,medium
DXB,5,3,6,21,49,35,35,0.12,low
JFK,12,5,7,7,86,76,58,0.69,medium
NRT,21,1,6,55,97,82,45,0.24,high
FRA,5,5,7,76,96,53,11,0.11,high
JFK,7,0,6,29,68,32,50,0.36,medium
NRT,16,3,12,23,28,30,56,0.84,low
CDG,4,6,2,71,43,98,7,0.6,high
CDG,7,5,2,66,20,66,54,0.99,medium
DXB,6,2,5,66,44,38,43,0.15,medium
LHR,19,6,1,63,90,83,37,0.41,high
SYD,6,1,10,11,69,65,29,0.97,medium
SIN,23,3,4,68,63,23,54,0.52,medium
BOM,16,5,12,65,97,29,11,0.57,high
LAX,4,0,1,37,87,94,31,0.4,high
NRT,8,2,7,39,38,80,43,0.72,medium
LHR,18,1,11,40,44,25,52,0.13,medium
LHR,0,1,2,24,34,59,6,0.93,low
DXB,0,2,4,9,55,29,18,0.77,low
LAX,17,6,11,49,59,27,24,0.7,medium
LAX,15,4,10,21,97,20,49,0.96,medium
FRA,23,4,9,5,56,83,18,0.84,medium
SYD,3,6,6,60,64,53,18,0.68,high
DXB,13,0,8,52,23,31,56,0.99,medium
JFK,1,5,4,7,97,64,8,0.87,medium
NRT,17,4,12,42,28,88,17,0.5,medium
NRT,3,1,7,63,91,61,57,0.61,high
SYD,16,2,11,16,42,88,28,0.81,medium
NRT,20,6,5,23,51,81,50,0.17,medium
SIN,20,3,8,67,89,40,28,0.53,high
LHR,16,6,11,15,52,74,58,0.22,medium
LAX,2,1,11,40,59,50,15,0.31,medium
CDG,5,1,6,46,25,67,25,0.43,medium
JFK,21,3,10,8,57,35,44,0.34,low
FRA,21,3,3,52,21,84,9,0.74,medium
LAX,2,6,5,32,22,36,36,0.52,low
FRA,1,1,6,45,97,56,52,0.02,high
LHR,5,5,3,13,88,47,45,0.5,medium
BOM,11,2,10,48,35,74,30,0.92,medium
SYD,2,5,1,6,38,85,7,0.64,low
CDG,20,4,2,14,35,41,8,0.75,low
SIN,6,0,3,77,95,69,49,0.68,high
NRT,3,6,1,75,55,53,17,0.1,high
NRT,18,0,10,30,66,36,32,0.81,medium
DXB,18,6,10,48,63,35,36,0.93,medium
CDG,3,5,7,73,81,95,52,0.26,high
NRT,22,5,5,18,75,45,41,0.09,medium
BOM,3,0,8,29,71,48,52,0.74,medium
LAX,14,6,3,20,45,60,14,0.11,medium
BOM,20,6,11,73,35,21,57,0.51,medium
BOM,5,6,8,36,67,24,8,0.46,medium
FRA,6,0,9,79,33,23,31,0.77,medium
DXB,2,0,4,14,31,71,5,0.16,low
SYD,3,0,5,59,89,75,18,0.04,high
FRA,1,1,9,50,32,77,59,0.35,medium
NRT,21,5,4,15,21,56,20,0.42,low
CDG,10,2,1,22,49,68,25,0.1,medium
CDG,20,3,11,43,27,24,35,0.78,low
DXB,6,6,12,50,79,85,19,0.91,high
JFK,18,2,11,13,76,35,18,0.86,low
SIN,9,4,7,37,87,23,35,0.22,medium
FRA,20,1,5,11,97,46,13,0.06,medium
LHR,8,4,9,26,42,50,46,0.83,medium
SYD,22,5,11,34,81,26,8,0.72,medium
SYD,4,5,4,41,80,26,44,0.64,medium
NRT,21,5,1,58,99,76,22,0.56,high
FRA,2,0,9,44,28,46,44,0.8,medium
LHR,16,1,6,20,89,24,31,0.73,medium
