weather_score,aircraft_age_years,crew_availability,atc_restrictions,season,route_distance_km,airline,prev_cancellations,is_international,cancelled
0.81,20,0.6,1,autumn,2022,PacificAir,3,1,0
0.66,12,0.56,1,autumn,11293,SkyMind,2,1,1
0.42,13,0.97,0,spring,1360,AsiaJet,2,0,0
0.99,17,0.69,0,spring,10319,EuroWings,8,1,0
0.31,15,0.96,0,autumn,10131,AsiaJet,2,1,0
0.51,16,0.94,0,autumn,10299,EuroWings,1,0,0
0.52,13,0.52,1,spring,9763,PacificAir,1,0,1
0.43,22,0.64,0,winter,10176,AeroGulf,7,0,0
0.12,11,0.65,1,autumn,2389,PacificAir,9,1,0
0.35,3,0.64,1,autumn,4834,AeroGulf,2,0,1
0.22,22,0.71,1,autumn,4236,AeroGulf,9,1,0
0.9,23,0.75,1,autumn,702,AeroGulf,9,1,1
0.66,1,0.88,0,autumn,5875,PacificAir,8,1,0
0.29,6,0.63,0,spring,2059,PacificAir,2,1,0
0.57,8,0.65,1,winter,11191,AsiaJet,9,1,0
0.85,21,0.8,0,spring,4374,EuroWings,1,0,0
0.93,5,0.59,0,summer,10135,AeroGulf,7,0,0
0.08,7,0.74,0,autumn,1745,SkyMind,5,0,0
0.79,24,0.63,0,summer,13467,SkyMind,3,1,1
0.97,23,0.6,0,summer,1721,AeroGulf,0,1,1
0.47,3,0.9,0,spring,6365,EuroWings,9,1,0
1.0,22,0.85,1,winter,7268,PacificAir,5,0,0
0.96,9,0.62,1,autumn,11514,AsiaJet,6,1,0
0.66,14,0.71,1,summer,9767,SkyMind,7,1,1
0.85,2,0.58,1,summer,1344,EuroWings,6,0,1
0.3,3,0.53,0,summer,6430,PacificAir,1,1,0
0.92,19,0.79,1,spring,2247,AeroGulf,2,1,1
0.59,10,0.68,1,winter,5496,PacificAir,0,0,0
0.51,2,0.6,1,autumn,10478,PacificAir,3,0,1
0.84,13,0.56,0,autumn,1931,PacificAir,4,1,0
0.89,14,0.84,1,spring,4637,AsiaJet,8,1,1
0.7,19,0.64,0,winter,11285,SkyMind,0,1,0
0.03,13,0.95,1,autumn,11068,SkyMind,6,1,0
0.6,7,0.6,1,spring,7154,AsiaJet,3,0,0
0.82,3,0.62,0,autumn,13803,EuroWings,7,0,1
0.55,1,0.93,1,summer,2317,PacificAir,9,1,1
0.93,20,0.79,0,autumn,837,AeroGulf,1,1,0
0.9,23,0.55,1,summer,5527,AsiaJet,4,1,1
0.53,13,0.77,0,winter,13060,PacificAir,1,0,0
0.4,6,0.65,0,winter,12775,PacificAir,1,0,0
0.06,12,0.87,1,autumn,8376,SkyMind,6,0,1
0.63,10,0.54,1,summer,9749,AsiaJet,3,0,1
0.27,3,0.96,1,winter,12072,AeroGulf,8,0,1
0.67,1,0.74,0,autumn,3154,AsiaJet,9,0,1
0.8,24,0.87,0,summer,3207,AeroGulf,1,1,0
0.41,13,0.85,0,winter,9195,PacificAir,6,0,0
0.02,2,0.59,0,winter,13741,AeroGulf,7,1,1
0.87,21,0.94,1,autumn,11950,PacificAir,0,0,1
0.55,19,0.62,0,spring,10321,AeroGulf,0,0,0
0.31,20,0.6,1,winter,2661,SkyMind,6,0,0
0.63,3,0.76,0,autumn,7361,AsiaJet,4,0,0
0.67,19,0.99,1,summer,12587,SkyMind,6,0,0
0.15,15,0.66,0,winter,3571,EuroWings,0,0,0
0.65,19,0.98,0,winter,13399,AsiaJet,8,1,0
0.29,10,0.72,1,spring,7352,AsiaJet,1,0,0
0.8,11,0.92,1,winter,5089,AeroGulf,4,1,0
0.94,15,0.76,1,winter,2870,PacificAir,3,0,0
0.1,8,0.6,0,spring,915,AeroGulf,4,0,0
0.92,11,0.94,0,summer,12791,AsiaJet,8,0,1
0.9,17,0.54,1,spring,7527,SkyMind,4,1,1
0.34,2,0.84,1,winter,5082,PacificAir,3,1,1
0.03,18,0.92,1,summer,8077,AeroGulf,3,1,0
0.66,9,0.92,1,spring,5229,SkyMind,4,0,0
0.34,7,0.83,0,autumn,8466,AeroGulf,9,0,0
0.19,10,0.63,0,summer,3901,AsiaJet,0,1,0
0.11,23,0.77,1,spring,2239,AeroGulf,8,1,0
0.2,8,0.81,1,spring,3760,SkyMind,0,1,0
0.24,13,0.94,1,summer,6788,SkyMind,6,1,1
0.8,2,0.58,0,summer,9706,SkyMind,3,0,1
0.78,10,0.73,1,summer,11816,AeroGulf,8,1,1
0.49,17,0.67,0,winter,3489,AsiaJet,9,0,0
0.55,16,0.71,1,winter,3067,EuroWings,0,1,0
0.92,12,0.59,1,spring,12603,EuroWings,3,1,0
0.91,6,0.61,0,spring,13969,EuroWings,6,1,1
0.83,15,0.88,1,autumn,13289,PacificAir,1,0,0
0.37,15,0.74,1,summer,9286,AsiaJet,4,0,0
0.37,16,0.76,0,autumn,4997,AsiaJet,9,1,0
0.89,3,0.95,0,summer,9516,PacificAir,6,1,0
0.93,13,0.62,1,spring,8187,EuroWings,9,1,0
0.8,18,0.66,1,winter,11203,EuroWings,9,1,0
0.76,3,0.65,0,summer,2573,PacificAir,2,0,0
0.56,4,0.83,0,winter,8840,SkyMind,7,1,1
0.34,5,0.78,0,autumn,6691,AsiaJet,3,1,0
0.24,20,0.74,1,autumn,11302,EuroWings,4,0,1
0.14,24,0.83,1,winter,10161,EuroWings,4,0,0
0.73,6,0.74,1,spring,4410,PacificAir,6,0,0
0.78,7,0.91,0,autumn,3976,AeroGulf,7,1,0
0.36,20,0.71,1,winter,5169,AsiaJet,0,0,0
0.01,13,0.95,0,autumn,4599,AsiaJet,9,0,0
0.94,14,0.56,0,spring,4392,AsiaJet,6,1,0
0.44,7,0.55,1,autumn,10637,SkyMind,7,1,0
0.97,21,0.83,0,spring,13512,AeroGulf,1,0,1
0.68,11,0.69,0,spring,9764,AsiaJet,0,1,0
0.12,12,0.73,1,autumn,12782,SkyMind,8,1,1
0.33,18,0.85,1,winter,12863,SkyMind,8,1,0
0.66,18,0.61,0,spring,6685,SkyMind,2,1,1
0.65,2,0.52,0,summer,9023,AsiaJet,9,0,0
0.23,3,0.72,1,spring,11663,AsiaJet,8,1,1
0.18,20,0.95,1,autumn,13979,PacificAir,0,1,0
0.28,7,0.73,1,summer,10021,PacificAir,0,1,0
0.79,21,0.79,1,winter,6304,AeroGulf,1,0,1
0.24,23,0.6,1,summer,9089,PacificAir,6,0,0
0.7,1,0.73,0,summer,988,AsiaJet,3,0,0
0.87,20,0.74,0,summer,2927,PacificAir,8,1,1
0.39,2,0.62,0,winter,3655,AeroGulf,5,0,0
0.01,22,0.58,1,winter,7440,AsiaJet,7,1,0
0.14,18,0.68,1,winter,7963,EuroWings,6,0,0
0.31,20,0.52,1,spring,2621,EuroWings,8,1,0
0.19,14,0.58,0,winter,10854,EuroWings,9,0,1
0.29,5,0.87,0,spring,12584,AeroGulf,8,0,0
0.54,24,0.82,1,spring,5646,AeroGulf,1,0,0
0.02,21,0.66,0,winter,9428,AsiaJet,0,0,0
0.06,12,0.78,0,autumn,2331,EuroWings,8,1,0
0.86,2,0.91,1,winter,13271,SkyMind,8,0,1
0.52,10,0.92,1,winter,708,PacificAir,2,1,1
0.94,13,0.83,0,autumn,6579,EuroWings,6,1,1
0.0,14,0.56,0,summer,6046,EuroWings,7,1,0
0.0,24,0.58,0,autumn,1630,EuroWings,1,0,0
0.74,24,0.65,1,spring,942,EuroWings,2,1,1
0.48,1,0.84,1,spring,3055,AsiaJet,6,1,0
0.91,9,0.63,1,spring,6157,PacificAir,2,1,1
0.79,24,0.73,1,winter,10797,EuroWings,8,0,1
0.5,1,0.91,0,winter,12642,AsiaJet,6,0,0
0.48,9,0.95,1,spring,7265,EuroWings,8,1,0
0.81,24,0.92,1,spring,4921,SkyMind,6,1,0
0.8,11,0.56,0,summer,2223,AsiaJet,5,0,1
0.28,7,0.96,1,spring,9965,SkyMind,4,0,0
0.67,22,0.84,1,spring,12379,EuroWings,1,1,1
0.64,21,0.81,0,spring,8307,PacificAir,7,0,0
0.86,22,0.62,1,summer,5669,AsiaJet,3,0,0
0.87,1,0.96,1,spring,12755,SkyMind,7,0,1
0.27,1,0.51,1,winter,12089,SkyMind,5,0,1
0.88,9,0.54,1,autumn,7631,PacificAir,9,1,1
0.92,15,0.58,1,summer,12569,AsiaJet,5,0,1
0.11,22,0.85,1,winter,7929,AeroGulf,2,0,1
0.57,16,0.81,1,summer,10173,SkyMind,6,0,1
0.44,3,0.97,1,spring,8064,AsiaJet,6,1,0
0.4,3,0.67,1,spring,13530,AeroGulf,4,1,0
0.7,14,0.67,1,spring,6337,AsiaJet,5,0,0
0.13,5,0.83,0,summer,10708,EuroWings,5,0,0
0.82,17,0.59,1,summer,9619,SkyMind,7,1,1
0.03,21,0.73,1,autumn,4164,AeroGulf,8,1,0
0.58,10,0.51,0,spring,5444,PacificAir,5,0,1
0.23,16,0.8,0,spring,3608,PacificAir,2,0,0
0.67,18,0.89,0,winter,13556,EuroWings,4,0,0
0.53,13,0.6,1,spring,5094,EuroWings,0,0,1
1.0,18,0.65,0,summer,12404,AeroGulf,0,1,1
0.86,17,0.57,1,summer,10794,SkyMind,9,0,0
0.34,4,0.81,0,summer,11403,SkyMind,9,0,0
0.53,4,0.78,1,summer,13639,PacificAir,0,1,0
0.32,21,0.91,0,summer,10460,EuroWings,8,0,0
0.73,15,0.99,1,autumn,9179,PacificAir,9,0,0
0.42,4,0.99,0,summer,8410,AeroGulf,1,0,0
0.12,13,0.55,1,summer,3838,PacificAir,9,1,1
0.66,18,0.78,0,autumn,9485,PacificAir,0,1,1
0.01,21,0.89,0,summer,10966,EuroWings,4,1,0
0.3,24,0.83,0,autumn,10639,EuroWings,7,1,0
0.91,6,0.95,0,spring,13864,SkyMind,4,0,0
0.09,5,0.72,1,winter,9379,SkyMind,4,0,0
0.5,23,0.71,1,autumn,1549,SkyMind,9,1,0
0.8,1,0.51,1,winter,7026,PacificAir,1,0,1
0.9,6,0.51,0,spring,5164,PacificAir,6,1,0
0.56,2,0.85,0,winter,1093,AsiaJet,0,1,1
0.15,5,0.74,0,autumn,13384,AeroGulf,1,1,0
0.94,16,0.83,0,spring,12979,AsiaJet,4,1,0
0.75,4,0.62,0,winter,4380,AeroGulf,6,0,0
0.4,13,0.93,0,autumn,2669,EuroWings,6,0,0
0.28,7,0.95,0,spring,3479,PacificAir,7,1,0
0.05,9,0.83,0,summer,7759,AsiaJet,5,0,0
0.19,1,0.64,0,autumn,3908,PacificAir,2,1,0
0.78,23,0.61,0,winter,1596,AsiaJet,7,1,0
0.11,23,0.81,0,winter,4234,SkyMind,0,1,1
0.13,5,0.97,0,summer,3020,AeroGulf,2,1,0
0.2,24,0.79,1,autumn,5709,SkyMind,7,1,1
0.4,20,0.92,1,summer,2536,PacificAir,2,0,1
0.19,11,0.78,0,spring,3849,EuroWings,4,0,0
0.9,17,0.84,0,spring,3044,EuroWings,4,0,1
0.26,13,0.78,0,spring,7941,SkyMind,6,0,1
0.92,20,0.79,1,winter,9138,AsiaJet,3,0,1
0.98,2,0.87,0,summer,10212,SkyMind,9,1,1
0.75,16,0.7,0,winter,9268,EuroWings,1,1,0
0.01,19,0.95,0,autumn,2778,SkyMind,1,1,0
0.24,20,0.93,0,summer,7169,AeroGulf,6,0,0
0.27,23,0.86,0,winter,6224,SkyMind,2,1,0
0.54,9,0.87,0,autumn,12582,AsiaJet,9,0,0
0.16,4,0.71,1,spring,5570,PacificAir,1,1,0
0.08,18,0.92,1,autumn,1763,SkyMind,4,1,1
0.18,10,0.97,1,spring,7458,AeroGulf,1,1,1
0.33,15,0.9,0,winter,7426,AsiaJet,4,1,0
0.05,13,0.57,0,spring,9313,AeroGulf,7,0,0
0.2,16,0.89,1,winter,11396,AsiaJet,5,0,0
0.17,10,0.73,0,summer,13636,EuroWings,0,1,1
0.77,4,0.8,0,summer,8666,EuroWings,9,0,1
0.17,16,1.0,1,spring,8495,PacificAir,6,0,1
0.79,24,0.68,1,spring,13394,PacificAir,3,1,0
0.51,11,0.67,0,winter,1112,AsiaJet,3,0,0
0.76,2,0.63,1,winter,8416,AeroGulf,8,1,1
0.45,12,0.56,0,autumn,8323,AeroGulf,9,0,1
0.9,8,0.58,1,winter,3380,SkyMind,5,1,1
0.28,21,0.76,0,spring,7275,EuroWings,9,1,0
0.77,13,0.95,0,winter,9602,SkyMind,6,0,1
0.16,2,0.9,0,autumn,9145,PacificAir,1,1,0
0.88,24,0.59,1,summer,915,EuroWings,2,1,0
0.03,2,0.78,0,spring,11544,AeroGulf,9,1,0
0.46,4,0.92,1,winter,8771,EuroWings,0,0,0
0.42,18,0.77,0,summer,5497,PacificAir,4,0,0
0.62,22,0.96,1,winter,13555,EuroWings,6,0,0
0.44,3,0.95,0,autumn,11371,PacificAir,5,1,0
0.59,7,0.67,0,autumn,5727,AeroGulf,5,1,0
0.86,6,0.94,1,spring,12268,AsiaJet,5,1,0
0.14,1,0.79,0,spring,1534,EuroWings,3,1,0
0.24,9,0.74,1,winter,2238,AsiaJet,6,1,0
0.8,12,0.89,0,spring,4030,PacificAir,5,0,0
0.23,7,0.89,0,autumn,2621,EuroWings,4,1,0
0.91,1,0.84,1,winter,7033,AeroGulf,6,0,1
0.54,20,0.91,0,summer,1810,EuroWings,6,0,0
0.08,4,0.98,0,spring,2538,AeroGulf,1,0,0
0.02,6,0.94,0,winter,6659,PacificAir,4,0,0
0.76,16,0.54,1,summer,8793,AsiaJet,6,0,1
0.86,15,0.93,1,winter,4128,SkyMind,7,1,1
0.24,3,0.89,1,spring,7645,SkyMind,8,1,1
0.24,18,0.96,1,summer,1534,EuroWings,3,0,1
0.95,19,0.87,1,autumn,13816,AsiaJet,4,1,1
0.66,13,0.94,1,spring,3711,AeroGulf,7,0,0
0.17,20,0.51,0,autumn,12993,SkyMind,7,1,0
0.45,14,0.99,1,winter,9085,AsiaJet,1,1,0
0.91,14,0.6,0,autumn,12790,AsiaJet,0,0,0
0.62,8,0.93,0,summer,839,PacificAir,9,0,0
0.41,11,0.96,1,summer,4737,SkyMind,9,0,1
0.15,12,0.5,0,autumn,4390,PacificAir,3,0,1
0.73,24,0.96,1,spring,11532,AsiaJet,1,1,1
0.28,1,0.91,0,summer,1265,SkyMind,9,1,0
0.57,9,0.96,1,autumn,13062,AeroGulf,2,1,0
0.6,20,0.59,1,autumn,7010,EuroWings,1,1,0
0.56,14,0.89,0,autumn,6319,AsiaJet,3,0,1
0.25,20,0.74,0,winter,10152,AeroGulf,7,0,0
0.71,14,0.63,0,spring,10409,EuroWings,8,0,1
0.57,13,0.88,1,winter,7403,SkyMind,6,1,1
0.4,12,0.74,0,summer,2653,AeroGulf,1,1,1
0.05,12,0.95,0,summer,2105,AeroGulf,6,0,0
0.33,20,0.86,1,autumn,13369,EuroWings,9,1,1
0.35,7,0.57,0,spring,2281,AeroGulf,5,1,0
0.79,2,0.63,1,winter,12989,SkyMind,3,0,0
0.51,23,0.63,0,autumn,3401,SkyMind,0,1,0
0.93,11,0.67,1,summer,13956,AsiaJet,9,0,0
0.75,16,0.83,0,spring,6965,EuroWings,9,1,1
0.54,13,0.95,1,winter,9867,PacificAir,0,1,0
0.17,18,0.8,1,autumn,7563,SkyMind,5,1,1
0.22,19,0.88,0,summer,13077,PacificAir,6,1,0
0.16,11,0.66,1,summer,8066,AeroGulf,0,0,0
0.44,21,0.76,0,summer,2918,EuroWings,1,1,0
0.72,1,0.75,0,spring,6953,EuroWings,8,0,0
0.76,13,0.85,0,spring,9799,SkyMind,9,1,1
0.1,8,0.76,1,summer,4940,SkyMind,3,1,0
0.5,22,0.67,1,summer,8506,EuroWings,3,1,1
0.48,20,0.62,0,spring,5709,PacificAir,9,1,0
0.44,14,0.63,1,autumn,2524,EuroWings,5,0,0
0.3,14,0.99,1,autumn,13690,AsiaJet,4,0,0
0.48,16,0.68,1,autumn,5283,EuroWings,8,0,1
0.52,19,0.9,0,summer,13545,PacificAir,2,0,0
0.6,7,0.54,1,winter,9201,AeroGulf,7,0,1
0.38,6,0.54,0,summer,11419,PacificAir,0,0,0
0.95,9,0.84,1,winter,6639,EuroWings,6,1,1
0.34,18,0.73,1,winter,10991,EuroWings,7,0,0
0.9,6,0.94,1,spring,11933,AeroGulf,8,0,0
0.8,17,0.93,1,summer,10536,AsiaJet,9,0,1
0.47,4,0.88,0,winter,8032,SkyMind,0,0,0
0.5,20,0.91,0,autumn,11017,PacificAir,0,0,0
0.87,9,0.94,1,summer,6335,PacificAir,7,0,1
0.49,8,0.89,1,autumn,9680,EuroWings,1,0,0
0.68,15,0.76,0,spring,5833,PacificAir,5,1,1
0.81,8,0.63,1,spring,10917,AeroGulf,7,1,0
0.91,21,0.89,1,winter,7309,AsiaJet,9,1,1
0.22,11,0.66,1,spring,1660,EuroWings,5,1,0
0.98,19,0.62,0,spring,5851,SkyMind,8,1,1
0.97,13,0.59,0,spring,9524,AeroGulf,7,1,0
0.3,15,0.81,1,summer,975,SkyMind,6,1,0
0.61,5,0.62,1,autumn,10604,PacificAir,4,1,1
0.05,7,0.69,1,autumn,11534,PacificAir,0,0,0
0.17,13,0.85,1,autumn,9282,AsiaJet,1,0,0
0.58,16,0.9,1,summer,11434,SkyMind,1,0,1
0.65,24,0.66,1,autumn,9385,AeroGulf,0,0,1
0.53,16,0.92,1,winter,5664,SkyMind,4,0,1
0.7,24,0.53,1,autumn,6627,SkyMind,2,0,1
0.79,2,0.99,0,summer,2588,SkyMind,7,0,0
0.17,7,0.71,1,autumn,3262,SkyMind,1,1,0
0.66,4,0.66,0,summer,13813,PacificAir,2,0,1
0.56,20,0.96,0,winter,5497,AsiaJet,8,0,1
0.12,13,0.57,1,autumn,12494,AeroGulf,1,0,0
0.23,23,0.68,1,spring,3321,EuroWings,8,1,0
0.42,21,0.68,1,spring,10459,PacificAir,8,1,0
0.86,5,0.71,1,summer,2017,PacificAir,2,1,0
0.22,23,0.92,0,summer,8901,AeroGulf,4,0,1
0.18,12,0.92,1,summer,6956,AeroGulf,9,0,1
0.72,13,0.8,1,summer,9487,AsiaJet,1,1,0
0.98,9,1.0,1,spring,13001,EuroWings,0,0,1
0.45,16,0.92,0,spring,12474,PacificAir,2,1,0
0.35,6,0.84,1,winter,2021,AsiaJet,7,0,0
0.25,23,0.6,0,winter,5827,PacificAir,1,0,1
0.05,13,0.77,1,winter,11421,AsiaJet,4,0,0
0.18,14,0.61,0,spring,13595,AsiaJet,3,0,1
0.09,4,0.65,0,winter,5372,EuroWings,8,0,0
0.49,24,0.84,1,summer,12054,SkyMind,9,1,0
0.98,9,0.59,0,winter,7665,PacificAir,4,1,1
0.79,5,0.55,1,spring,3063,AsiaJet,0,0,0
0.6,11,0.77,0,spring,10530,AsiaJet,6,0,0
0.49,16,0.5,1,winter,8000,AeroGulf,8,0,0
0.62,12,0.8,1,summer,3518,SkyMind,5,0,0
0.38,17,0.95,0,summer,13465,AeroGulf,9,1,0
0.18,8,0.6,1,autumn,801,SkyMind,7,0,0
0.59,12,0.69,0,spring,9218,EuroWings,8,1,0
0.53,8,0.96,0,summer,7008,EuroWings,6,0,0
0.94,13,0.85,1,winter,9238,AeroGulf,4,1,0
0.65,23,0.57,0,spring,845,AeroGulf,2,1,0
0.77,23,0.69,0,spring,8111,SkyMind,3,0,1
0.09,5,0.88,1,spring,8746,SkyMind,3,1,1
0.76,8,0.83,1,spring,3171,AeroGulf,6,0,0
0.98,3,0.58,0,summer,13851,AeroGulf,8,0,1
0.66,11,0.53,1,winter,1848,AsiaJet,1,1,1
0.74,5,0.84,0,winter,5496,PacificAir,9,0,0
0.98,16,0.8,1,autumn,9222,AeroGulf,1,0,1
0.39,10,0.53,0,spring,8807,SkyMind,3,1,0
0.82,10,0.99,1,autumn,6230,AsiaJet,7,1,0
0.4,16,0.63,1,spring,11568,EuroWings,9,0,1
0.43,11,0.69,0,winter,4991,EuroWings,0,0,0
0.66,24,0.59,1,winter,2539,EuroWings,5,0,1
0.26,9,0.91,1,winter,7078,AsiaJet,0,1,0
0.99,24,0.98,1,autumn,9749,AeroGulf,8,1,0
0.33,22,0.61,0,winter,10009,PacificAir,4,0,1
0.12,7,0.64,0,summer,6859,EuroWings,2,1,1
0.32,14,0.85,0,spring,12319,AeroGulf,0,1,0
0.86,14,0.76,1,winter,2754,EuroWings,3,1,0
0.31,22,0.55,1,spring,7947,EuroWings,9,0,1
0.61,18,0.96,1,winter,9683,EuroWings,5,1,0
0.94,17,0.81,1,autumn,3635,SkyMind,7,1,1
0.26,1,0.65,1,summer,8537,AsiaJet,8,0,1
0.13,12,0.74,1,spring,11167,AsiaJet,3,1,0
0.1,23,0.75,1,autumn,3841,SkyMind,4,0,0
0.44,8,0.76,1,winter,7826,EuroWings,7,1,0
0.1,1,0.75,1,summer,3545,AsiaJet,2,0,1
0.45,12,0.78,0,summer,9769,AsiaJet,3,0,0
0.86,17,0.7,1,autumn,4728,AsiaJet,9,0,0
0.78,7,0.57,1,summer,7767,EuroWings,5,1,1
0.58,11,0.83,1,spring,3301,EuroWings,4,1,0
0.85,13,0.9,0,winter,10926,AsiaJet,7,1,1
0.1,21,0.92,1,summer,2753,PacificAir,9,1,1
0.61,9,0.51,0,winter,4210,AeroGulf,1,1,1
0.12,23,0.7,0,summer,8424,AeroGulf,8,0,0
0.48,7,0.99,1,spring,9237,EuroWings,0,1,1
0.46,18,0.53,1,winter,3372,PacificAir,1,1,0
0.27,18,0.89,0,spring,7911,PacificAir,7,0,0
0.83,10,0.56,1,summer,10356,PacificAir,7,0,1
0.23,1,0.91,1,autumn,1437,SkyMind,7,0,0
0.55,14,0.84,1,winter,12696,SkyMind,1,1,1
0.48,23,0.86,1,winter,12046,AsiaJet,7,1,1
0.43,21,0.99,1,spring,5035,PacificAir,4,1,1
0.03,1,0.97,1,spring,6618,AeroGulf,3,0,0
0.7,23,0.65,0,autumn,1146,SkyMind,1,0,0
0.01,7,0.69,1,spring,6556,EuroWings,8,1,0
0.82,19,0.7,0,autumn,10328,EuroWings,2,0,0
0.27,19,0.59,1,spring,5076,PacificAir,4,0,1
0.12,4,0.69,0,summer,4136,AsiaJet,3,0,1
0.42,7,0.99,1,summer,12433,PacificAir,8,1,0
0.56,16,0.74,1,autumn,12545,EuroWings,3,1,0
0.31,7,0.98,1,summer,2258,EuroWings,4,0,0
0.12,11,0.54,0,autumn,2607,AsiaJet,7,1,0
0.02,8,0.52,0,summer,3110,SkyMind,3,0,0
0.7,13,0.79,0,autumn,1681,AsiaJet,1,1,0
0.89,9,0.87,1,winter,8888,AeroGulf,9,1,0
0.1,5,0.61,0,autumn,5516,EuroWings,1,0,0
0.23,10,0.75,1,summer,9618,AeroGulf,9,1,0
0.02,11,0.94,0,spring,2493,EuroWings,8,1,0
0.89,24,0.88,0,winter,7044,EuroWings,9,1,1
0.44,17,0.62,0,spring,4815,PacificAir,5,1,1
0.93,15,0.67,1,winter,7140,EuroWings,0,0,0
0.47,11,0.65,0,winter,12614,EuroWings,9,0,1
0.86,2,0.86,0,autumn,10887,EuroWings,1,0,1
0.95,24,0.98,1,autumn,7680,EuroWings,8,0,1
0.34,8,0.64,0,winter,7777,PacificAir,7,0,0
0.64,12,0.79,1,summer,6719,PacificAir,8,1,0
0.67,7,0.99,0,winter,13728,AeroGulf,5,0,0
0.02,24,0.58,0,summer,7298,AeroGulf,2,0,0
0.44,2,0.83,1,winter,9901,AeroGulf,3,0,1
0.86,8,0.67,0,summer,6641,AsiaJet,6,0,1
0.95,15,1.0,0,autumn,13751,PacificAir,7,0,0
0.9,12,0.55,0,winter,3220,PacificAir,9,1,1
0.97,3,0.73,1,winter,2839,SkyMind,8,0,0
0.65,4,0.63,1,summer,10063,SkyMind,9,1,0
0.23,12,0.52,1,summer,8584,SkyMind,7,1,0
0.58,23,0.98,0,winter,2041,AeroGulf,1,1,1
0.42,7,0.78,1,summer,13481,EuroWings,1,0,0
0.26,16,0.85,1,autumn,2668,AsiaJet,4,1,0
0.77,22,0.81,1,autumn,6262,PacificAir,1,0,1
0.63,17,0.57,1,winter,4495,AeroGulf,0,0,0
0.79,19,0.59,0,winter,7321,AsiaJet,9,0,0
0.27,15,0.81,0,summer,12963,PacificAir,3,1,1
0.9,20,0.89,1,autumn,4306,AsiaJet,0,0,1
0.24,18,0.81,0,spring,13340,AsiaJet,3,0,1
0.6,5,0.79,0,autumn,2859,PacificAir,3,0,0
0.06,22,0.87,1,summer,10122,AsiaJet,5,0,1
0.54,22,0.62,0,summer,3383,SkyMind,9,0,0
0.1,14,0.87,1,winter,10392,SkyMind,4,1,0
0.33,14,0.71,1,autumn,3242,AsiaJet,8,0,0
0.86,14,0.84,0,winter,7470,AeroGulf,9,0,1
0.89,17,0.64,1,summer,9118,EuroWings,7,1,1
0.77,14,0.57,0,winter,8440,PacificAir,5,1,0
0.37,4,0.51,1,winter,12716,AeroGulf,5,1,1
0.58,10,0.9,1,winter,2751,EuroWings,5,1,0
0.22,4,0.6,1,winter,624,PacificAir,3,0,0
0.68,3,0.68,1,spring,2992,EuroWings,4,1,1
0.35,7,0.88,1,summer,4521,PacificAir,3,1,1
0.22,20,0.73,0,autumn,7469,SkyMind,1,0,0
0.58,7,0.61,1,winter,11886,AeroGulf,4,1,1
0.11,3,0.6,0,autumn,9809,EuroWings,0,1,1
0.69,13,0.7,1,autumn,9458,SkyMind,8,0,0
0.19,4,0.78,0,autumn,11029,AeroGulf,9,1,0
0.55,19,0.7,1,summer,12440,AsiaJet,8,1,1
0.39,4,0.95,0,winter,1097,AeroGulf,8,0,0
0.57,15,0.5,1,autumn,10786,AeroGulf,1,1,1
0.25,20,0.7,1,winter,13639,SkyMind,2,0,1
0.31,12,0.87,0,winter,8481,SkyMind,7,1,1
0.14,14,0.95,0,autumn,4933,EuroWings,1,0,0
0.78,4,0.68,1,spring,1338,EuroWings,5,1,0
0.07,3,0.84,0,summer,11285,AsiaJet,8,0,0
0.38,6,0.79,1,winter,11105,SkyMind,6,0,1
0.45,15,0.6,0,winter,7167,SkyMind,2,0,0
0.2,5,0.84,1,spring,6933,AeroGulf,7,0,0
0.38,6,0.62,0,summer,11105,AeroGulf,8,0,1
0.42,12,0.89,0,autumn,13000,AsiaJet,4,0,0
0.22,7,0.93,1,summer,3033,AeroGulf,7,1,1
0.64,20,0.74,1,autumn,11413,AeroGulf,7,1,1
0.03,11,0.53,0,autumn,8481,EuroWings,0,1,0
0.2,17,0.87,1,spring,10434,AsiaJet,1,0,1
0.62,12,0.73,1,winter,1297,EuroWings,6,1,0
0.63,8,0.55,1,summer,6897,AsiaJet,0,1,0
0.27,13,0.67,0,summer,10940,EuroWings,3,0,0
0.68,18,0.65,0,autumn,4869,EuroWings,6,0,1
0.47,19,0.86,0,spring,13255,AsiaJet,9,1,1
0.53,18,0.71,1,spring,8693,AeroGulf,4,1,0
0.33,10,0.79,0,autumn,12311,PacificAir,1,1,1
0.98,6,0.75,0,spring,867,SkyMind,2,0,1
0.74,5,0.86,1,winter,3125,AsiaJet,7,1,1
0.25,13,0.86,0,spring,2669,PacificAir,0,1,0
0.24,23,0.72,1,spring,6760,EuroWings,4,1,1
0.77,7,0.57,0,winter,6560,AeroGulf,2,0,1
0.39,11,0.7,0,autumn,10017,EuroWings,8,1,0
0.09,13,0.58,0,spring,13127,AsiaJet,5,0,0
0.04,5,0.98,0,autumn,8238,PacificAir,4,0,0
0.41,19,0.98,1,autumn,2996,EuroWings,2,1,1
0.41,19,0.73,0,autumn,1483,AeroGulf,3,1,1
0.71,4,0.51,0,winter,13899,AsiaJet,7,0,1
0.57,12,0.69,0,summer,11667,AsiaJet,0,0,0
0.77,18,0.95,0,autumn,10973,EuroWings,6,0,1
0.32,3,0.64,0,summer,6653,AeroGulf,0,1,0
0.62,11,0.81,0,summer,9384,AsiaJet,0,1,0
