aircraft_type,flight_hours,cycles,engine_temp_c,vibration_level,oil_pressure_psi,hydraulic_pressure,age_years,last_maintenance_days,needs_maintenance
B787,48870,3473,618.3,0.527,66.6,3073.1,13,243,1
A380,1876,4308,640.9,0.937,43.7,3125.5,7,229,1
A350,34375,8440,720.0,0.019,66.1,2470.5,9,308,1
B787,40144,5260,537.8,0.525,61.7,3211.2,6,28,1
B737,31659,17113,609.9,0.679,53.0,2797.1,12,85,1
B777,13157,13690,646.7,0.921,71.0,3207.4,3,183,1
A320,25231,9614,639.6,0.851,70.8,3084.7,5,188,1
B777,48719,10088,511.2,0.699,57.0,2994.1,12,271,1
A380,48750,16266,657.4,0.917,58.8,3035.1,14,73,1
B787,44659,697,595.0,0.095,47.4,2953.4,10,292,1
B777,28156,15165,675.6,0.784,73.7,3283.7,1,208,1
B777,35977,3527,656.3,0.674,59.5,2902.4,20,227,1
B737,49977,2643,684.4,0.8,76.4,2861.2,13,206,1
B787,30091,12151,672.6,0.252,74.6,3178.1,17,43,1
A320,26095,19732,616.6,0.857,58.2,2574.2,8,51,1
A380,4796,1144,678.6,0.858,44.1,2988.8,4,248,1
B737,17868,7123,714.7,0.005,60.8,3036.1,2,286,1
B787,49884,17409,677.8,0.311,52.0,2881.9,21,86,1
B787,26416,6649,621.4,0.303,58.3,2723.1,13,158,1
B777,7233,17638,581.8,0.607,68.4,2827.6,2,44,1
A350,31243,14566,542.4,0.87,75.4,3117.2,10,149,1
A350,46379,11164,587.7,0.015,55.4,2701.5,11,326,1
B777,5489,743,739.8,0.232,86.9,2720.9,16,39,0
B787,44898,4852,610.5,0.494,49.2,2806.6,3,65,1
B737,32104,17315,681.0,0.992,54.8,3067.3,13,93,1
A380,44172,10932,605.1,0.068,72.0,2768.4,22,26,1
A380,46852,18947,631.7,0.821,50.2,3046.3,11,289,1
B777,6088,8604,591.1,0.373,71.2,3186.4,12,267,1
B737,406,12191,645.8,0.767,62.1,3073.2,2,60,1
B737,33695,6620,667.3,0.424,55.5,2860.0,21,103,1
A380,13490,16363,601.6,0.273,73.0,3357.0,1,234,1
B737,26308,11139,644.3,0.429,52.1,3456.8,14,330,1
A350,27307,12503,705.8,0.434,63.5,2878.9,22,114,1
B777,5849,6995,715.0,0.813,76.5,2562.6,4,146,1
B777,2033,4832,713.2,0.773,43.2,3070.5,14,279,1
A380,36639,6420,674.6,0.071,59.2,3190.9,24,305,1
A380,23359,6180,756.3,0.809,77.4,2498.7,7,331,1
B787,7811,15320,658.6,0.173,58.9,3090.7,15,358,1
A380,6456,4646,671.0,0.012,49.4,2759.2,18,20,1
B777,46970,1177,596.7,0.194,80.1,3195.7,3,149,1
A380,30288,2820,702.0,0.095,69.1,2717.7,5,44,1
B737,36218,5458,692.1,0.309,61.3,3086.6,7,335,1
A350,6691,6453,695.8,0.92,61.7,3060.9,18,110,1
A350,29368,19615,534.2,0.528,50.4,2969.0,8,274,1
B777,11879,17625,617.0,0.104,63.9,2376.2,11,298,1
B777,40591,14883,699.7,0.764,78.9,2871.2,7,332,1
B787,1405,17297,609.0,0.585,55.1,2833.4,18,162,1
B777,44294,7179,675.9,0.044,63.6,2699.6,19,179,1
B787,31544,6480,642.6,0.536,70.2,2897.4,11,357,1
A350,2644,9859,688.2,0.698,60.0,3028.7,22,322,1
A320,34979,11563,740.5,0.198,51.3,3157.0,18,5,1
A350,34062,15766,598.4,0.985,55.1,3297.6,14,213,1
B737,48496,8294,684.1,0.752,56.9,3205.1,18,174,1
B777,43974,18486,661.2,0.134,53.5,3232.7,18,320,1
A380,47305,15204,625.2,0.426,66.2,3025.5,21,203,1
A380,24991,11439,689.7,0.458,35.3,3201.7,20,189,1
B787,42935,5494,669.0,0.553,65.4,2550.8,6,160,1
A320,48717,12264,629.4,0.069,52.7,3297.3,3,196,1
B737,34889,9940,658.0,0.155,52.4,3310.6,11,140,1
A350,26866,5080,603.3,0.843,55.9,3067.7,10,197,1
B777,7050,19783,705.4,0.284,41.9,2864.1,5,151,1
A380,25210,16851,619.2,0.98,55.0,3214.5,5,300,1
A350,11865,19627,602.3,0.174,56.0,3394.0,8,117,1
A320,3353,9119,715.6,0.087,67.4,3567.1,4,222,1
A380,38311,18795,567.5,0.004,57.4,3023.0,13,137,1
B737,33330,11184,669.6,0.699,48.4,2975.6,20,240,1
A320,23566,18638,683.0,0.706,59.9,2811.5,11,161,1
B777,39298,5533,618.0,0.007,62.2,3125.0,6,250,1
A350,28197,14878,633.6,0.567,54.7,3003.0,6,107,1
A350,2677,9813,635.2,0.923,71.8,3131.6,12,102,1
B787,28005,16567,653.9,0.164,49.1,2915.8,10,41,1
A380,4245,17515,647.1,0.299,60.0,3081.2,6,24,1
B787,10709,5879,623.9,0.004,64.6,3157.2,17,248,1
B787,23333,1514,607.8,0.981,69.2,3017.3,8,364,1
B777,22276,19726,715.1,0.21,49.0,3020.5,5,45,1
A350,38851,357,690.4,0.051,64.8,3276.1,22,353,1
A350,15403,18747,624.1,0.424,63.0,2963.8,11,6,1
A380,31919,3330,586.4,0.043,50.3,3200.2,10,146,1
A350,18619,12575,749.3,0.188,67.8,3117.0,4,154,0
B737,13198,2564,717.6,0.335,56.6,3325.5,10,43,1
A380,30873,7388,625.5,0.435,56.7,3189.8,13,70,1
A320,20587,4457,744.3,0.388,63.6,3182.1,22,178,1
B787,15906,9587,594.8,0.317,62.5,3274.9,11,42,1
B777,6941,9874,588.3,0.366,52.7,2798.2,4,196,1
A350,15757,1944,729.8,0.746,42.2,3149.2,17,58,1
A380,39335,10033,631.7,0.987,61.0,3321.6,8,280,1
B737,30257,5486,672.5,0.168,54.5,2736.5,22,180,1
B737,1709,19875,624.8,0.718,59.8,3106.1,14,47,1
A320,3961,11441,667.9,0.724,56.7,3348.6,20,328,1
B737,40401,8088,637.3,0.686,61.1,2836.8,13,341,1
A350,8353,10203,696.0,0.47,46.0,3214.2,20,177,1
B787,20048,19622,668.8,0.011,58.1,3032.8,23,7,1
A320,21490,19512,643.4,0.257,55.2,2863.4,24,311,1
A350,29036,10390,669.7,0.067,61.1,3187.3,10,335,1
B737,46358,9132,716.9,0.636,57.2,3096.7,2,132,1
B777,11049,5616,695.9,0.768,63.5,3217.0,14,133,1
B777,12891,12244,722.0,0.348,35.8,2969.4,4,29,1
B737,32137,8213,660.0,0.41,50.6,2956.5,23,263,1
B737,35342,99,740.7,0.334,64.4,2441.3,19,218,1
A320,38541,11725,620.4,0.611,55.0,3036.9,19,104,1
B787,32924,9347,776.3,0.18,74.9,3217.8,22,194,1
A380,46920,1310,633.6,1.0,66.7,2794.3,23,163,1
B777,35992,15214,645.7,0.231,62.2,2845.1,23,19,1
A350,19498,13343,723.5,0.318,42.0,3104.7,3,208,1
B787,13136,16078,645.0,0.681,75.5,3143.3,4,307,1
B787,25655,6784,599.5,0.554,53.3,3170.0,7,173,1
B787,35818,11916,682.5,0.619,63.7,2999.3,3,23,1
B787,21928,14901,673.2,0.991,47.1,2880.9,3,126,1
A380,14370,8922,665.8,0.223,68.9,2824.5,9,183,1
A380,11060,19018,726.8,0.334,61.0,2835.5,9,34,0
A320,26500,19884,580.5,0.32,66.4,2823.0,4,318,1
A350,11967,13341,689.2,0.818,69.1,2813.8,24,263,1
B737,28315,8267,656.6,0.425,66.9,2990.7,19,68,1
B787,2672,13793,603.1,0.571,55.3,2859.7,21,244,1
B777,10805,3718,756.3,0.045,56.7,3127.7,20,342,1
B737,42224,14622,639.7,0.798,55.3,2750.0,24,242,1
B777,26110,10623,600.2,0.272,68.5,3110.8,20,70,1
B787,39672,6913,677.0,0.286,61.3,2940.0,6,208,1
B787,4689,93,637.8,0.476,49.9,3084.8,1,91,1
B777,46036,5629,536.4,0.011,77.0,3042.3,17,53,1
B737,25854,15466,636.6,0.108,62.7,3107.2,18,208,1
B787,22867,17635,773.2,0.793,70.0,2907.9,5,34,0
A320,49724,7940,632.1,0.96,50.6,2966.9,7,95,1
A380,19840,12288,612.4,0.758,68.2,3183.6,15,24,1
A350,29400,4402,694.8,0.007,68.4,2929.8,17,288,1
A350,2514,6732,670.3,0.508,73.7,2720.6,1,27,1
A380,9801,2197,639.3,0.743,49.2,3042.6,15,33,1
B737,5350,10392,555.5,0.58,47.8,2949.7,2,231,1
B777,47743,248,562.1,0.851,66.1,2904.3,21,201,1
B737,614,11457,614.4,0.196,54.0,3089.7,19,160,1
B787,37714,11014,688.0,0.951,71.1,3094.1,6,126,1
B787,44850,5158,672.6,0.862,81.0,3238.6,21,196,1
B787,19129,97,627.4,0.916,56.4,3168.9,2,37,0
A350,42457,4935,736.4,0.137,55.7,3152.9,15,278,1
A350,13584,714,566.5,0.526,52.3,2933.4,21,317,1
B777,11953,10516,649.0,0.298,58.7,2796.5,15,179,1
B787,7857,14386,610.0,0.595,66.9,2881.9,6,68,0
A380,3974,15537,642.4,0.631,57.5,2724.8,20,352,1
B737,37423,15273,549.2,0.285,78.4,2994.1,3,63,1
B777,13198,15537,595.8,0.583,71.7,2646.1,17,100,1
B777,42893,7943,676.2,0.864,63.8,3253.5,6,324,1
A350,33802,4564,712.8,0.908,59.4,3093.7,22,6,1
B777,44789,18941,643.1,0.628,40.5,3093.5,1,65,1
B787,44088,10199,606.3,0.601,74.7,3436.2,2,267,1
B777,31967,7469,628.9,0.642,57.4,2926.0,2,301,1
A320,3249,14772,611.0,0.526,69.9,2729.9,13,173,1
A380,4674,540,648.2,0.506,58.0,3158.2,14,144,1
A320,36992,18389,636.0,0.368,40.2,2950.9,22,78,1
A320,48484,4305,633.1,0.396,56.9,2739.8,17,246,1
B777,19301,6341,663.2,0.17,66.7,3303.8,9,178,1
A320,2699,18383,682.5,0.057,45.5,3213.2,9,225,1
A320,34078,18176,640.1,0.613,65.6,3275.5,3,183,1
B737,21177,13697,632.0,0.395,62.3,2901.8,7,324,1
A320,17788,193,636.4,0.492,46.2,2907.9,21,82,1
B787,28587,1899,741.5,0.614,55.5,3215.1,1,312,1
B787,26332,8141,617.1,0.544,49.0,2888.1,13,255,1
B777,10458,17379,610.7,0.424,60.7,2942.0,12,203,1
A320,4575,15563,558.0,0.758,46.4,3105.1,19,147,1
A350,11576,332,626.2,0.212,77.5,3333.2,13,270,1
B787,16904,16018,637.2,0.078,58.8,2525.3,18,9,1
B777,26259,4740,702.5,0.749,60.9,2928.8,8,292,1
B777,29904,15751,744.9,0.138,68.3,2803.6,5,73,1
B777,10914,13372,642.1,0.97,53.3,3187.4,14,211,1
A380,34642,11365,563.0,0.302,61.4,2741.0,24,313,1
A350,27983,4970,618.4,0.561,61.5,3093.4,18,234,1
B737,21111,7530,695.7,0.515,51.9,2587.4,12,11,1
A320,20341,19369,632.6,0.415,53.6,3159.2,2,234,1
B737,13101,4842,691.6,0.607,67.4,3177.7,10,26,1
A380,44136,6889,635.1,0.879,56.8,3014.9,19,291,1
A350,49000,4546,686.5,0.641,56.5,2653.3,3,264,1
B737,28024,5244,743.1,0.04,76.9,3033.2,21,358,1
A380,29357,2258,645.8,0.449,75.9,3033.3,12,160,1
B737,10805,8751,636.2,0.026,52.3,3018.3,6,236,0
B787,10892,18182,645.6,0.869,56.4,3126.4,3,324,1
A350,35561,12301,625.9,0.838,73.6,2671.7,12,322,1
A320,33973,18387,634.4,0.469,76.7,3189.4,14,110,1
A320,40551,4895,635.5,0.981,69.6,3229.7,18,72,1
A350,22148,2294,620.8,0.716,67.9,2558.2,9,344,1
A350,24447,17653,701.4,0.299,57.0,2661.8,19,31,1
B787,46238,2097,679.5,0.016,48.6,2997.4,18,109,1
B787,28587,5147,644.7,0.737,55.3,2732.6,21,78,1
B787,4222,7747,658.9,0.19,63.3,3097.5,19,179,1
B787,34113,10315,583.0,0.977,58.0,3118.6,15,231,1
B777,46185,14586,682.9,0.591,39.4,3134.0,7,121,1
A350,25394,13131,621.6,0.369,60.5,2629.7,19,304,1
A380,8987,2781,583.6,0.112,70.8,2872.1,2,278,1
B787,45656,5476,719.4,0.691,84.4,2987.3,15,207,1
A380,2475,12977,628.8,0.111,51.0,2730.4,17,98,0
B777,41913,3343,601.2,0.449,63.3,2856.1,11,337,1
A320,41957,1202,562.2,0.934,53.0,3040.5,3,242,1
B737,25412,11819,695.0,0.801,64.1,2968.4,10,18,1
A350,22093,13296,641.2,0.705,46.2,3127.7,24,205,1
B787,11218,10837,728.2,0.189,46.3,2626.3,18,88,1
A320,21736,9852,668.9,0.522,57.6,3028.8,24,295,1
A380,5199,14787,637.7,0.974,65.9,2959.6,16,44,1
A350,47334,7637,632.5,0.572,48.3,2979.0,18,213,1
A350,22571,19469,663.7,0.081,40.5,2943.3,17,326,1
A380,17005,16576,733.9,0.521,72.8,2867.2,15,73,1
A320,34649,17644,599.7,0.182,57.0,2937.7,7,309,1
A380,36117,7079,659.7,0.052,50.5,2921.1,7,259,1
B787,29272,16944,659.2,0.906,58.9,2810.3,12,302,1
A320,5016,8768,626.7,0.598,48.3,3013.9,7,203,1
A350,8832,3657,638.5,0.159,44.4,3067.9,20,337,1
B737,2227,4856,660.9,0.2,72.1,2660.3,10,269,1
A380,15802,2593,658.9,0.163,57.7,3026.6,6,140,1
B777,35485,19147,690.1,0.696,61.2,2829.9,19,143,1
B777,43310,2734,560.3,0.66,53.6,2855.2,18,179,1
B787,41176,12516,687.7,0.097,71.0,3215.0,3,222,1
B787,7982,16673,689.4,0.469,58.2,2523.0,5,20,0
A320,29335,14343,638.6,0.268,72.8,2948.8,11,217,1
B777,16081,6657,589.1,0.155,53.7,3238.5,12,105,1
B787,8943,10242,652.2,0.422,51.5,2866.8,5,354,1
B777,14739,9570,639.5,0.545,49.8,3166.3,14,243,1
A380,8225,1722,637.2,0.015,65.7,3041.0,20,16,1
A380,20354,8612,560.3,0.454,69.8,2620.2,6,348,1
B787,18559,2278,654.7,0.583,54.6,3108.1,13,181,1
B777,18258,11941,565.6,0.619,61.8,2907.9,24,302,1
B787,6835,14842,703.5,0.22,57.1,2970.7,22,164,1
A350,47030,9339,571.8,0.128,72.1,2956.3,4,305,1
A350,18165,5387,656.0,0.933,56.1,3029.5,17,182,1
B787,6034,14781,657.4,0.904,62.9,3357.3,8,164,1
B737,38330,19677,600.8,0.217,71.8,2990.8,3,92,1
A350,41009,15548,628.0,0.727,58.8,2908.2,19,191,1
B777,21938,18639,619.0,0.529,54.1,2952.9,17,350,1
B737,41813,11565,655.6,0.745,57.4,2762.0,20,196,1
A320,30628,12032,606.7,0.79,59.6,2755.4,7,346,1
A380,20334,5754,767.2,0.462,64.3,3105.9,7,80,1
A380,2772,10341,597.4,0.92,61.1,2718.6,1,136,0
B737,42447,11330,629.0,0.532,69.4,2899.0,12,139,1
A380,49072,18470,629.7,0.119,57.1,2798.7,4,239,1
A350,3907,10665,595.9,0.759,46.6,2937.9,5,276,1
A380,24591,6659,621.0,0.801,56.1,2707.4,3,264,1
A350,47370,3302,631.8,0.898,69.7,3038.9,10,65,1
B787,12581,12331,588.8,0.914,72.8,3103.8,12,361,1
B777,49930,11614,738.5,0.629,69.5,3164.3,6,73,1
A320,22924,12124,639.8,0.125,79.9,3011.9,22,203,1
A380,12146,411,675.8,0.518,52.8,3023.4,4,247,1
A380,43813,929,729.1,0.415,74.5,2898.6,8,187,1
A380,34450,4673,642.4,0.797,69.6,2989.0,21,357,1
B737,38140,10503,630.2,0.222,59.6,3020.6,13,182,1
A350,28224,3679,639.6,0.141,37.3,3220.2,1,180,1
A380,40858,17355,811.2,0.36,57.3,3002.9,4,263,1
A350,47050,5381,692.6,0.096,59.5,2499.8,8,150,1
A350,3653,7273,676.7,0.306,47.5,2939.7,20,68,1
A350,14785,4027,730.9,0.697,58.9,3129.5,20,119,1
A350,28746,9772,664.7,0.598,59.1,2791.0,8,176,1
A350,39938,7555,659.7,0.164,62.9,2896.3,20,336,1
B737,2554,7812,690.8,0.452,50.2,2815.3,16,85,1
B737,33770,8849,680.5,0.252,57.7,2906.6,8,318,1
B737,29963,15675,625.4,0.415,50.6,3077.1,19,29,1
A380,2843,12955,626.3,0.285,59.6,2990.3,11,343,1
B737,8548,4540,602.2,0.052,46.9,3096.1,20,156,1
A350,43184,16564,635.9,0.711,56.1,3132.7,17,160,1
A380,15876,16880,771.0,0.598,62.8,3318.2,22,40,1
B737,14863,3996,685.3,0.677,54.5,3138.2,1,201,1
A350,38916,116,684.4,0.718,58.5,3161.2,16,212,1
A350,37238,8054,687.2,0.705,60.2,2784.2,6,169,1
B787,43633,2606,588.1,0.939,68.5,2918.4,8,88,1
B737,48337,15098,682.7,0.838,60.3,2976.0,5,148,1
A350,49606,15716,625.9,0.564,57.0,3074.8,22,192,1
A320,4669,16728,628.7,0.123,63.0,3285.6,8,214,1
B737,15688,14171,619.8,0.002,65.1,3154.6,2,237,1
A350,351,7440,710.2,0.08,51.3,2887.5,4,144,1
B787,2358,15484,658.2,0.864,51.8,3117.2,16,205,1
B787,35517,7534,644.2,0.893,60.9,3116.5,22,227,1
A350,1385,11684,620.8,0.624,70.4,3060.9,1,289,1
B777,8491,11866,567.2,0.845,57.4,2850.1,9,340,1
B777,17192,5626,641.3,0.916,67.8,2769.3,9,210,1
B777,48968,13518,576.2,0.102,69.7,2984.5,5,64,1
B737,43579,16887,713.4,0.178,70.6,3017.5,3,254,1
A320,8742,6219,789.0,0.519,48.4,3020.3,9,27,1
B777,41739,4251,709.8,0.112,71.0,3256.5,22,121,1
B787,41796,2933,648.5,0.308,70.2,2905.6,1,41,1
B737,32048,12877,665.8,0.258,64.8,3217.6,17,235,1
B737,44562,9368,671.1,0.732,57.5,3039.7,18,283,1
A320,25555,10559,605.3,0.233,59.0,2821.7,13,181,1
A380,2698,17680,696.5,0.065,61.9,2814.2,4,92,0
A380,21077,17293,637.9,0.9,64.8,2733.2,4,216,1
B787,45191,2741,630.4,0.124,51.5,2926.2,17,116,1
A380,43247,7945,638.3,0.604,50.8,2753.7,3,55,1
A380,21378,4354,677.0,0.85,71.9,3116.1,10,283,1
A350,46178,7176,706.9,0.742,64.8,2850.0,16,302,1
B737,26791,12080,764.9,0.42,59.6,2917.6,9,89,1
B737,2510,15400,627.8,0.67,60.1,2946.8,20,353,1
B777,12784,18427,643.3,0.717,67.4,3101.1,17,119,1
A380,3808,5766,634.3,0.544,60.4,2952.1,4,98,1
A380,27916,968,579.3,0.948,46.8,2733.6,12,205,1
B777,20497,754,629.4,0.936,69.3,2934.3,9,256,1
A320,42267,5889,699.4,0.727,78.9,2929.1,16,340,1
B737,47916,19110,671.0,0.834,62.6,2665.0,24,354,1
B777,34510,1356,767.1,0.833,72.0,3088.8,17,217,1
A380,26895,7917,609.7,0.782,43.4,2955.5,12,39,1
A350,8169,17097,635.0,0.797,65.1,3312.0,21,52,1
B787,48515,17726,650.3,0.333,43.7,2851.2,17,171,1
B787,42517,1132,667.9,0.412,57.4,2499.0,14,317,1
A350,43515,11803,627.0,0.444,64.4,2997.5,7,76,1
A350,3319,16309,637.3,0.567,49.3,2827.9,20,341,1
A350,7786,15706,724.5,0.805,54.7,2867.5,18,351,1
A380,11564,429,706.5,0.699,53.2,3024.4,3,124,1
B787,40313,5487,674.2,0.12,67.8,2565.7,15,111,1
B737,29061,1658,697.8,0.18,56.9,3189.0,6,232,1
A350,43995,7285,678.7,0.107,56.9,2791.2,9,170,1
A320,2254,10557,624.9,0.126,65.6,3013.3,3,296,1
A320,39409,4505,686.0,0.957,67.9,2902.6,16,267,1
A380,18124,902,717.8,0.05,50.0,3138.5,10,176,1
A320,37530,12184,651.0,0.509,80.1,3060.6,12,184,1
B787,46773,16989,654.4,0.018,72.8,2671.8,6,271,1
B737,312,10092,730.9,0.401,77.0,2836.8,2,231,1
B787,39432,1918,720.4,0.644,57.5,3149.7,14,78,1
A380,8835,14321,679.5,0.812,66.6,3073.7,19,28,1
A320,298,18340,652.9,0.655,61.4,3056.8,10,199,1
A350,8223,2350,664.9,0.89,75.0,3237.3,19,343,1
B737,1011,15269,677.5,0.255,48.0,2872.7,2,142,1
B787,1242,16735,632.4,0.498,79.2,3075.7,23,141,1
B737,45997,2166,708.7,0.444,65.0,3000.5,24,362,1
A380,47843,17504,649.4,0.347,60.7,2911.4,19,1,1
B777,15560,17892,682.5,0.043,53.9,3044.6,21,23,1
B787,27658,1391,656.8,0.181,68.2,2979.5,21,223,1
B787,49785,11093,744.2,0.18,63.0,2633.2,7,335,1
B777,5489,4509,619.1,0.284,65.3,3323.7,18,253,1
B787,40637,713,699.3,0.457,71.1,2918.6,8,50,1
A380,22174,10105,666.2,0.266,63.8,3173.2,22,84,1
B777,29796,12942,696.9,0.556,73.1,2653.3,15,322,1
A320,9839,6114,674.4,0.285,43.7,2922.9,5,39,0
A350,43282,10651,695.4,0.607,70.9,2964.6,8,241,1
A320,4378,12564,647.6,0.238,48.9,3004.3,2,176,0
B737,31203,211,707.4,0.668,60.3,3123.9,6,195,1
B737,31162,10371,635.7,0.799,37.5,2888.7,5,201,1
A320,33614,2748,651.6,0.499,59.9,3064.5,23,58,1
B777,15658,3634,631.1,0.722,68.5,3163.1,13,189,1
A350,8629,1857,663.2,0.718,52.2,3038.4,16,128,1
B737,25099,18397,598.5,0.466,75.3,3062.4,6,322,1
B777,26111,5822,755.8,0.384,43.6,3046.1,21,168,1
A320,2599,19748,647.3,0.289,53.1,3025.7,12,153,1
A320,29818,18527,657.9,0.255,42.2,3006.7,14,186,1
B737,19461,11260,694.9,0.149,58.0,2567.7,4,13,0
B737,9701,11772,685.4,0.219,45.0,3225.3,19,69,1
B787,43185,19631,620.4,0.747,50.1,2833.3,8,47,1
B737,10991,7225,711.6,0.081,77.4,3190.2,18,98,1
A320,20581,10006,692.5,0.687,37.1,2969.5,21,329,1
B777,11018,19410,536.3,0.272,48.2,3144.8,16,118,1
B787,40456,3996,683.3,0.849,40.1,3212.2,11,138,1
B777,8963,18290,533.0,0.734,68.3,2818.6,3,125,1
A320,9976,18968,601.3,0.199,66.9,2968.0,1,183,1
A350,20938,7072,648.6,0.735,45.4,2985.2,23,347,1
A380,17873,18756,705.4,0.553,64.7,2832.3,12,62,1
A320,47960,11981,701.1,0.694,67.7,2970.8,22,57,1
B787,29277,1347,598.8,0.077,62.7,2974.5,15,132,1
B737,10312,17174,623.1,0.526,40.1,3018.1,22,280,1
B737,30094,15772,605.0,0.249,48.7,3219.9,11,360,1
A380,5304,18118,675.6,0.913,58.6,3202.2,3,47,1
B777,46323,9503,655.4,0.477,50.4,3255.4,21,229,1
A320,10066,18497,721.8,0.952,43.5,2761.1,21,172,1
B737,14954,15544,645.2,0.711,69.4,2783.1,22,104,1
A320,30739,11992,634.8,0.013,60.4,2862.7,10,182,1
A380,31729,14467,660.7,0.093,71.0,3175.3,19,215,1
B787,28782,8336,682.7,0.958,75.1,2888.6,3,233,1
B777,25774,17159,670.1,0.339,52.2,2974.3,22,153,1
A350,16206,10247,679.5,0.391,37.5,3066.5,21,131,1
B737,48458,10912,633.2,0.182,63.9,2605.7,7,158,1
A350,38087,16680,657.6,0.014,47.3,2943.6,4,45,1
A350,40204,5766,536.4,0.097,60.3,2954.7,1,248,1
A320,31430,3206,681.9,0.006,64.9,2968.1,3,220,1
A350,37676,16325,546.2,0.936,57.6,3192.9,1,107,1
B737,38373,18093,675.3,0.709,68.1,2632.4,5,123,1
A350,20678,1955,636.2,0.258,65.4,2796.4,22,122,1
B737,23669,6186,668.3,0.247,52.5,3018.0,18,132,1
B737,38757,4600,690.1,0.407,47.7,3114.8,24,53,1
B787,49235,18308,672.8,0.307,57.2,3258.8,15,302,1
B777,6132,18694,715.2,0.827,63.1,3212.7,22,69,1
A380,12366,8625,675.4,0.068,59.3,2921.7,2,140,0
A320,6016,18411,588.9,0.168,59.2,2706.9,18,272,1
B777,30230,7128,796.0,0.58,70.6,3009.5,3,24,1
B777,48854,6212,591.4,0.322,49.8,2989.0,14,71,1
B737,46271,6440,699.4,0.139,62.7,3164.4,7,363,1
B787,2003,8068,634.2,0.787,56.0,3198.7,22,190,1
A320,22626,3292,684.7,0.221,65.6,2925.5,3,70,0
B737,32861,4332,657.0,0.953,68.4,2816.8,10,96,1
B737,29674,13131,634.8,0.298,59.2,3195.3,21,112,1
A350,25600,17322,639.2,0.15,86.6,2857.8,1,312,1
A350,814,17018,685.9,0.581,58.3,2818.8,13,187,1
B777,34131,11876,639.5,0.85,52.4,2765.3,8,228,1
A350,2822,11226,570.9,0.738,80.5,2764.2,5,249,1
A320,37895,2880,665.8,0.088,59.5,3498.7,22,312,1
A320,12217,4458,701.6,0.356,49.5,3015.0,12,59,1
B737,22504,15982,680.4,0.75,58.5,2917.4,10,88,1
A350,8772,14342,652.7,0.12,49.3,2678.8,21,184,1
B737,45098,19019,575.8,0.417,65.9,2897.6,3,276,1
A380,23658,17756,647.7,0.552,60.6,3383.5,8,159,1
A320,43841,2554,643.2,0.263,67.3,2869.6,19,219,1
A350,41037,7910,555.7,0.962,58.5,3020.2,18,147,1
B787,4767,9983,571.0,0.493,57.6,2918.6,5,270,1
B787,23378,7024,559.2,0.893,60.2,3255.2,22,333,1
B777,45929,12469,674.3,0.543,39.2,2955.0,19,7,1
A350,38274,3147,642.8,0.84,69.7,3230.8,7,265,1
A350,13457,7965,667.0,0.953,48.9,2805.2,12,94,1
B737,17240,9081,727.9,0.934,77.6,3047.9,5,56,1
B787,31319,19516,629.4,0.435,61.2,2594.3,10,136,1
B787,24953,1211,599.9,0.969,52.9,3018.0,12,69,1
B737,37424,7635,688.9,0.296,69.3,3069.7,1,7,1
A350,8917,17397,638.9,0.632,60.3,2958.5,7,57,1
B777,13553,1187,688.6,0.803,54.2,3226.1,9,172,1
A350,8998,5946,675.0,0.079,62.6,2919.8,19,103,1
A380,23167,17071,602.2,0.764,75.5,3104.9,20,114,1
B787,2378,6574,621.7,0.989,55.4,3127.8,9,225,1
B787,48902,16906,606.5,0.212,62.7,2786.2,19,262,1
A350,21218,4610,657.2,0.819,67.6,3281.1,15,17,1
B787,41436,1888,726.5,0.562,59.1,3092.4,4,82,1
A320,23558,11926,665.7,0.916,57.9,2994.5,17,15,1
B787,42029,8686,684.2,0.447,47.2,3124.6,15,284,1
B777,37372,14481,744.7,0.793,68.9,2769.2,24,213,1
B777,10563,10454,682.7,0.719,51.0,2862.1,10,267,1
B787,25460,874,597.5,0.509,65.9,3101.3,24,15,1
B737,48150,15589,599.3,0.884,65.0,2770.1,12,105,1
A380,6271,110,608.7,0.889,57.3,2997.7,13,342,1
A380,46448,8618,612.1,0.984,65.7,3500.3,15,272,1
B777,30232,12681,577.8,0.267,70.9,3195.7,15,223,1
A350,7090,9863,644.7,0.572,81.7,3001.2,11,328,1
A320,21454,19641,614.1,0.262,54.3,2746.8,18,21,1
B777,24079,2158,714.0,0.87,47.1,3142.4,9,111,1
A320,8894,12673,726.9,0.692,63.3,3024.2,15,83,1
A320,17862,17441,640.9,0.795,58.7,3149.3,5,130,1
A350,47383,12998,621.8,0.896,56.0,3023.7,1,210,1
A350,15809,9008,599.5,0.528,52.5,3066.1,14,307,1
B737,26419,8216,645.2,0.975,60.8,2989.8,17,323,1
A380,38439,6276,719.6,0.61,43.8,3326.7,5,155,1
B777,147,16208,687.4,0.648,66.8,3036.1,3,138,1
A320,21169,8837,702.1,0.057,59.4,3054.4,17,6,1
A320,13544,8734,676.6,0.147,51.7,2942.7,20,255,1
A350,31277,6979,649.6,0.714,71.9,2718.4,16,302,1
A380,15703,476,703.2,0.598,73.5,3319.7,19,94,1
B777,38879,2689,581.9,0.97,50.4,2922.2,22,57,1
B787,43596,842,587.5,0.374,47.2,3116.1,22,147,1
A320,44883,5653,643.9,0.821,58.6,3240.4,5,25,1
B777,20497,3591,639.4,0.733,61.4,2971.6,23,9,1
B787,11886,12018,676.7,0.187,58.2,3302.5,24,101,1
