booking_lead_days,seat_class,is_business_traveler,prior_no_shows,checked_in_online,has_baggage,route_distance_km,is_connecting,fare_paid_usd,no_show
336,Economy,0,3,0,1,8406,1,3335,1
115,Business,1,2,0,1,11699,0,2979,0
11,First,0,1,0,0,9854,0,2534,0
0,Economy,1,2,1,1,8476,0,495,0
76,Business,0,1,0,0,2782,1,4918,1
29,First,0,1,0,0,1273,0,3494,0
201,Business,0,1,1,1,9565,0,2510,1
328,First,0,0,1,0,3549,0,4259,0
49,Economy,0,0,1,0,9701,1,4666,0
129,First,1,1,0,0,6432,1,2941,0
5,Economy,1,2,1,0,2244,1,2678,0
74,Economy,0,2,1,1,2775,1,698,0
345,First,1,2,1,0,10412,0,1566,0
347,Economy,0,0,0,1,8773,0,676,0
332,First,1,1,0,0,1172,1,3408,1
165,First,0,3,0,1,10928,1,1269,1
331,Economy,1,2,0,1,4613,0,4017,1
338,Economy,1,0,0,1,1530,0,1004,0
273,Economy,1,4,0,1,1720,0,1809,1
155,Economy,0,1,0,0,13187,1,1339,1
267,Economy,1,2,0,0,5330,1,962,0
307,Business,1,0,0,0,11704,1,924,0
204,Business,0,4,0,0,573,0,2186,1
243,Business,1,1,1,0,12786,0,2879,0
86,Business,0,3,1,0,9104,1,1498,0
99,Business,1,1,0,1,9104,1,2470,1
185,First,0,1,0,1,13827,1,2675,1
221,Economy,0,2,0,0,8951,0,4459,1
277,Business,0,1,1,0,1588,1,160,0
357,First,0,4,0,0,5691,1,2711,1
172,First,0,4,1,1,1487,1,515,0
317,Business,0,1,1,0,13428,0,850,0
41,Business,0,1,0,0,13293,0,1372,1
66,Business,0,4,1,0,6351,1,1968,1
191,Business,1,4,0,0,9846,1,2406,1
142,First,1,2,0,0,8243,1,806,1
153,Economy,1,3,1,0,3301,1,1769,0
93,Economy,1,4,1,0,565,1,3924,0
196,First,0,3,1,1,6220,1,2007,0
94,Business,1,3,1,0,7468,1,3020,1
248,Economy,0,4,0,1,1880,1,4646,1
21,Business,1,2,1,0,6078,0,4614,0
53,Economy,0,1,1,0,9569,1,1643,0
124,Economy,0,0,0,1,12037,0,2097,0
313,Economy,1,1,1,1,13917,1,3927,0
206,First,0,0,1,0,1562,1,1850,0
180,Business,0,4,0,1,13275,0,3019,1
354,Economy,0,1,0,1,7279,1,1378,1
274,Economy,1,1,1,0,9836,1,2268,0
161,Economy,1,0,1,1,5191,1,4073,0
277,Business,1,2,0,1,6852,0,3458,1
140,Economy,1,4,1,0,3322,0,2396,1
122,First,1,4,1,0,13738,1,3648,0
191,Economy,1,4,1,0,12899,0,2179,0
55,Economy,0,1,1,1,1924,0,2632,0
297,First,1,3,1,0,11319,0,4422,1
246,Business,1,0,1,0,6423,0,2982,0
321,Business,1,1,1,1,9583,1,2163,1
190,Economy,0,2,1,0,9425,1,4041,0
169,Business,1,2,0,1,500,1,4282,1
218,First,0,1,1,1,13546,1,4064,0
33,Business,0,0,0,1,7743,1,2114,1
284,Economy,0,4,0,1,13188,1,3292,1
35,First,0,4,1,1,4163,1,171,1
264,Economy,1,3,1,1,7311,0,1286,1
340,First,1,1,0,1,5345,0,4381,1
297,First,1,3,1,0,13738,1,3007,1
227,Economy,0,2,0,1,3350,1,3764,1
66,Economy,0,4,0,0,1395,1,2168,1
6,Business,0,4,1,1,11270,1,782,1
22,Business,1,3,1,0,12368,0,3489,1
22,Economy,0,1,0,1,11331,1,2648,0
271,Economy,1,3,1,0,8177,0,2869,1
68,Business,0,2,1,0,3172,1,4835,0
12,Economy,1,1,0,1,4710,1,693,1
265,First,1,2,1,0,4255,0,3688,1
247,Business,0,1,1,1,2164,0,1850,1
58,Business,1,3,0,1,7974,0,4113,1
257,First,0,0,1,1,9933,0,2413,1
207,First,1,3,1,0,13503,0,663,1
128,Economy,1,1,0,0,8324,0,3688,0
197,Economy,0,2,1,1,8728,1,173,1
309,First,0,3,1,0,10775,0,749,1
274,First,1,1,0,1,12688,0,1564,1
96,Business,0,2,0,0,11064,1,4206,1
27,Business,1,2,1,1,4185,1,687,0
132,Business,1,2,1,1,9334,1,1395,0
331,Economy,1,1,1,1,2946,0,4748,1
274,Business,1,2,0,0,11702,0,1004,1
103,First,1,2,1,0,13120,1,2111,0
41,Business,1,3,1,0,7352,0,2900,0
152,First,0,2,0,1,4488,1,2787,1
290,First,0,0,1,0,12834,0,1338,0
8,Economy,1,1,0,0,6428,1,4460,0
223,Economy,0,2,0,0,6434,0,4690,1
38,Business,1,2,1,0,8726,0,4515,1
37,Business,1,4,0,0,2426,0,4712,1
270,Business,0,3,0,1,7131,1,312,1
108,Economy,0,2,0,0,2259,0,4500,1
345,First,0,3,0,0,5105,1,4812,1
59,First,0,3,0,1,3176,0,1400,1
61,Economy,0,0,1,1,3465,1,209,0
30,Business,1,1,0,1,8290,0,307,1
29,Economy,1,0,0,0,12601,0,4362,0
65,First,0,1,1,1,11400,1,4010,0
262,Economy,0,4,0,0,9952,1,1468,1
157,Economy,0,0,1,1,1882,1,3252,1
160,First,0,3,0,0,10276,1,2699,1
358,Economy,1,2,1,1,11810,0,1661,1
110,Economy,0,4,1,0,11864,0,4450,0
37,Economy,0,1,1,1,10638,0,814,0
211,Business,1,0,1,1,7421,1,4193,0
136,First,0,4,0,0,3145,1,4032,1
341,Business,0,0,0,0,3999,1,4591,1
157,First,0,3,0,0,7590,1,2354,1
133,First,1,0,0,1,4997,0,1327,0
188,First,1,1,1,0,6583,0,2442,1
164,Economy,0,1,0,1,10464,1,2192,0
78,Business,1,2,1,0,7510,1,1072,0
251,First,1,2,0,0,11737,0,859,1
205,Business,1,1,1,1,6937,0,2300,0
147,Business,1,1,0,0,11287,1,4613,1
285,Business,0,1,0,1,12079,1,3923,1
17,Business,1,4,0,0,8928,1,3230,1
190,Economy,1,0,0,0,13651,0,3431,1
184,Economy,1,4,0,0,5437,1,2150,1
216,First,1,3,0,1,7390,0,4520,1
87,First,1,2,0,0,4000,0,4905,1
94,Economy,1,0,1,0,13117,1,1813,0
273,First,0,2,0,1,9150,1,2761,0
60,Economy,0,3,1,0,10364,1,2236,1
81,Business,0,1,1,0,8876,1,3894,0
77,Business,0,2,1,1,13789,0,2842,1
195,Economy,0,1,1,1,4677,1,1908,0
320,First,0,2,0,0,812,0,2413,1
39,First,1,3,1,1,3490,0,3438,1
23,Economy,0,2,1,1,5118,0,3440,0
159,Economy,0,3,1,1,10639,0,4251,1
265,Business,1,0,1,0,6137,0,2377,0
136,First,1,4,0,0,8596,0,2894,1
38,Business,1,3,0,1,5505,1,3024,1
107,Economy,1,2,0,0,11426,1,3260,1
226,First,1,0,1,1,2320,1,1984,0
68,Business,1,3,1,1,4698,0,3479,0
262,First,0,2,0,1,6315,1,1335,0
278,First,0,3,0,0,6456,0,2665,1
344,Economy,1,3,1,1,3913,0,507,1
16,Business,1,1,1,1,10727,1,2682,0
333,Economy,1,2,1,1,5778,1,128,1
226,Business,0,4,1,1,11526,1,259,1
191,Economy,1,3,0,1,6374,1,4502,1
320,Economy,1,0,1,1,11909,1,4847,0
341,Economy,1,2,0,1,11949,0,1721,1
27,Business,0,4,0,0,5305,0,4288,1
313,Economy,0,2,0,0,3772,0,609,1
214,First,1,4,1,1,8721,0,3274,1
17,Economy,0,4,0,1,4306,1,4106,1
109,First,1,3,1,1,11926,1,4357,1
120,Business,1,1,1,1,1028,0,4672,0
299,First,1,2,1,0,3293,0,2723,1
63,First,0,0,0,1,7555,1,2810,0
36,First,1,0,0,0,2002,1,760,0
2,First,0,1,0,0,8433,0,3123,0
269,First,1,0,1,1,9492,1,3074,0
134,Business,0,2,0,1,7149,1,4311,1
82,Business,0,0,0,1,1253,1,3741,0
206,Business,1,2,1,0,5863,0,4720,0
166,Business,1,4,0,0,4375,1,393,1
132,Business,0,3,0,0,8299,1,3373,1
78,Business,0,1,0,0,1271,1,429,1
307,Economy,0,1,1,1,7858,1,4258,1
108,First,1,0,0,1,5862,0,2778,0
25,Business,1,2,1,1,8535,0,4660,1
166,Economy,0,3,1,1,13304,1,409,0
172,Business,1,0,0,0,9907,1,3007,0
332,Business,0,3,0,1,11592,0,2032,1
30,Economy,0,2,0,0,7360,0,524,0
150,Business,1,0,0,1,10717,1,1191,0
39,First,1,0,0,1,11365,1,3422,1
287,First,1,3,1,0,4886,1,1644,0
356,Economy,0,0,0,0,11789,0,1846,0
259,Business,1,3,1,0,5261,0,2141,1
80,First,0,2,0,1,12824,0,588,1
339,Economy,0,3,0,0,9342,0,628,1
173,First,1,2,0,1,2613,0,1319,1
74,Economy,1,2,1,1,10099,0,1152,0
41,Economy,1,4,0,1,13842,1,4083,1
96,First,0,3,0,1,9093,0,2889,0
166,Business,1,1,1,0,2750,1,2092,0
197,Economy,0,4,0,0,13811,0,596,1
102,First,0,4,1,0,3843,1,3132,1
46,First,0,3,0,1,3501,0,1916,1
165,First,1,4,0,1,8181,1,4465,1
17,Economy,1,4,0,0,4142,1,1079,1
1,Business,1,0,1,1,12009,1,3144,0
104,First,0,2,0,1,6099,0,4311,1
101,First,0,1,1,0,7149,0,4135,0
181,Economy,0,3,0,1,5795,0,317,1
208,Business,1,0,1,0,10211,0,3717,1
343,Economy,1,1,1,1,3529,1,166,0
215,Business,0,1,0,0,5271,0,2355,0
259,Economy,0,0,0,0,5883,0,2932,0
6,Business,0,3,0,0,3678,1,4605,1
206,First,0,2,0,1,10764,0,3425,1
56,Economy,0,0,0,0,13211,0,4938,0
29,Business,0,4,1,1,12144,1,1683,1
250,First,1,1,1,1,8415,0,677,1
220,First,0,4,1,0,12535,1,2618,1
240,Business,1,3,1,0,3546,1,3559,0
171,Economy,0,2,0,1,11422,1,2164,1
244,First,0,2,1,0,8637,1,4375,0
204,Business,1,2,1,0,9870,0,1571,0
230,Economy,1,4,0,0,988,0,2170,1
345,First,1,3,1,1,4036,0,1384,1
35,Business,1,4,1,1,608,1,2881,1
98,First,0,1,0,0,3993,1,2785,0
257,Economy,0,2,1,1,4019,1,4939,1
141,Economy,0,3,1,0,7372,1,4477,0
207,First,0,4,1,0,3716,0,2842,1
112,Economy,1,4,0,0,9544,1,413,1
99,Economy,0,4,0,0,2882,0,1357,1
103,Business,1,4,0,1,12387,0,933,1
239,First,0,4,1,0,13416,1,4412,0
240,First,0,1,1,1,7179,0,2462,0
290,Business,1,2,1,0,12538,0,2900,0
148,Economy,0,4,0,1,5043,0,192,1
219,First,0,1,1,0,4712,1,468,0
81,First,1,3,0,1,9696,0,4865,1
287,Business,0,3,0,1,6383,1,1506,1
150,Economy,0,1,0,0,7385,0,2801,1
133,Business,0,1,1,0,9179,0,4127,0
284,First,1,1,0,1,11913,0,1124,1
318,Economy,1,3,1,0,11357,0,2052,1
224,Economy,0,4,1,1,4776,1,3682,1
124,Business,0,2,1,0,6973,1,2930,0
95,Economy,0,4,1,0,8660,0,1953,1
336,First,0,0,1,0,1791,0,93,0
239,First,1,1,1,0,12219,0,694,0
313,First,1,4,1,0,11867,1,2349,1
84,Economy,1,2,0,0,12144,0,4864,1
83,Economy,0,4,0,1,13577,0,3629,1
342,First,1,0,0,1,8666,1,3154,0
271,Business,1,0,1,1,13978,0,2231,0
5,First,0,4,0,1,3106,1,3818,1
6,Business,1,2,0,1,2483,1,811,0
13,First,0,4,0,0,2079,0,4164,1
2,Business,0,1,1,0,1539,0,4840,0
224,Business,0,2,0,1,2581,0,2879,1
304,Economy,1,3,0,0,12705,0,3934,1
291,Business,1,2,1,1,11459,1,2285,1
284,Economy,0,4,1,0,1473,0,2826,1
167,First,1,4,1,1,1465,1,2044,1
131,Business,1,3,0,1,3114,0,1284,1
120,Business,0,0,1,1,13675,1,2717,0
235,First,1,4,0,0,2288,0,4476,1
22,First,1,0,1,0,2621,1,4011,0
101,Business,0,0,1,1,6155,0,3351,0
131,Business,0,1,0,1,5218,1,4442,1
273,Economy,1,0,0,0,9957,0,4253,1
0,Economy,0,2,1,0,13244,1,2750,1
31,Business,0,0,1,1,13858,0,1829,0
148,Business,0,1,0,0,7922,0,4403,1
165,First,1,4,0,0,3078,0,3574,1
296,First,0,4,1,1,4139,0,2672,1
176,Economy,0,3,0,0,7678,1,2533,1
340,Economy,1,0,0,1,4425,1,3162,1
92,First,1,2,0,1,8144,0,1168,1
116,First,1,3,0,0,7020,0,3513,1
95,First,1,3,0,1,2427,1,1536,1
58,First,0,1,0,0,573,0,1169,0
140,First,1,4,0,0,10873,1,2772,1
316,First,0,0,1,0,4242,1,758,1
50,Economy,0,0,1,0,10470,0,158,0
254,First,1,4,0,0,6230,0,4908,1
90,Business,1,1,0,1,4901,1,1538,0
320,Business,1,1,0,0,5869,1,2532,1
304,Business,0,1,0,1,3088,1,3317,1
176,Business,0,2,0,1,6920,1,3933,1
102,Economy,1,0,0,1,7836,1,2544,1
141,Business,0,1,1,1,5432,0,4247,0
29,Economy,0,1,0,0,1720,1,245,0
141,Business,1,4,0,1,3147,0,3966,1
202,First,1,3,0,0,12098,1,2558,1
222,First,1,3,0,1,9131,1,848,1
347,First,1,3,0,1,3343,0,2937,1
317,First,0,0,0,0,3733,0,4499,1
2,Economy,1,2,0,0,10795,1,2077,1
38,First,1,0,0,0,8874,1,1640,0
274,First,0,4,0,1,12179,1,4543,1
360,Economy,1,1,1,0,11792,0,264,1
97,Business,0,0,0,0,13112,0,2307,0
127,Economy,0,3,1,0,8688,1,830,1
166,Business,0,2,0,1,11749,1,3593,1
265,First,0,4,0,1,11518,1,4293,1
344,Economy,1,1,1,1,10481,0,729,0
150,Business,0,2,1,0,6819,0,755,0
247,Economy,1,0,1,1,11356,1,4038,0
58,Business,0,0,0,1,8488,1,722,0
217,First,0,2,0,0,7979,1,2460,1
82,First,1,2,0,0,1448,0,4572,0
101,First,0,1,0,0,9869,0,3113,1
147,Business,1,3,1,0,892,1,2770,1
243,First,0,2,1,1,10079,0,1678,1
299,Economy,0,1,1,0,2905,1,3166,0
273,Business,0,2,1,0,2528,0,2112,1
47,Economy,0,2,0,0,13867,0,1745,0
330,Business,1,3,0,1,9999,0,2058,1
249,Business,1,1,1,1,2450,0,858,1
216,Economy,0,0,1,0,6581,0,2962,0
234,First,1,1,1,0,5808,1,3942,1
0,Economy,1,1,1,1,5635,0,687,0
96,First,0,1,1,0,9437,1,830,1
262,Economy,1,3,0,0,4548,1,620,1
350,Business,0,3,0,0,11939,1,224,1
89,Economy,1,4,0,0,8214,0,1070,1
198,Economy,0,0,0,0,11346,0,2802,0
99,Business,1,3,1,1,6614,0,1791,1
151,First,0,3,1,1,4014,0,3492,0
68,First,1,1,0,1,4811,1,3148,1
213,Business,1,1,1,1,2204,0,1190,0
107,First,1,2,0,0,5912,0,4142,1
163,First,1,2,1,1,10769,1,1096,0
305,First,0,2,0,1,1742,0,3972,1
247,Business,1,3,1,1,12163,1,1360,1
301,Business,0,2,1,0,9671,1,3384,1
197,Economy,1,0,0,1,4444,1,4549,1
278,Economy,1,2,1,0,11810,1,1699,0
11,Economy,1,4,0,0,2319,1,1984,1
155,First,1,4,0,1,3464,0,1685,1
185,Economy,0,1,1,1,12828,0,690,0
235,First,0,3,0,0,9968,0,4341,1
316,First,1,4,1,1,10528,1,4674,1
223,First,1,0,1,1,13140,0,4485,0
33,Economy,0,1,1,0,13411,0,2094,0
349,Economy,1,4,1,1,700,1,2015,1
100,Economy,1,2,1,1,1971,0,3767,1
253,First,1,4,0,0,11392,0,1375,1
273,First,0,4,1,1,13009,0,2410,0
162,Business,0,1,0,1,6625,0,2739,1
36,Business,0,3,0,1,11934,1,1893,1
296,First,1,2,1,1,724,1,1149,1
210,Business,0,2,0,0,2666,1,4677,0
85,First,1,2,1,0,5729,1,3763,0
90,Business,0,2,0,1,6504,0,4488,1
250,First,0,3,0,1,3117,0,4501,1
207,Business,1,2,0,0,7115,1,1811,1
294,First,1,3,0,1,3847,1,4691,1
259,Economy,0,1,1,1,7781,1,854,0
307,Business,0,0,0,1,7858,1,1066,1
112,First,0,3,1,1,2036,1,2440,0
274,Economy,0,2,0,1,7690,0,3029,0
91,First,1,1,1,1,2068,0,4595,1
272,Economy,1,1,0,0,11436,1,3524,1
172,First,0,4,1,1,11433,1,3480,1
129,First,0,4,1,0,5202,0,4119,1
87,First,1,0,1,1,8302,1,3852,0
245,Business,0,0,1,0,4242,0,1113,0
54,Economy,0,4,1,1,13225,1,529,0
346,Economy,1,4,1,0,8937,0,743,0
3,Economy,0,1,0,1,13699,0,3057,0
355,Business,0,3,0,1,7832,0,2561,1
315,Business,1,4,1,1,13656,1,3482,1
28,Economy,1,2,1,1,4843,1,3779,0
188,Business,1,3,0,1,13178,0,3668,1
45,Business,1,3,1,0,2519,0,4586,0
96,Economy,1,2,0,1,8657,0,2134,0
48,First,1,2,1,0,1669,1,3252,0
119,First,1,2,1,1,11546,0,4675,0
145,Economy,0,1,0,1,6413,0,309,0
331,Business,1,4,1,0,7998,1,1872,1
248,Business,1,4,0,1,9328,0,736,1
73,Economy,1,1,1,0,624,1,353,0
272,Economy,1,3,1,0,6188,0,3712,1
106,Economy,1,1,1,1,10201,1,1001,0
351,Economy,1,4,0,0,696,0,1427,1
183,Business,0,0,1,0,2761,1,3796,1
344,First,1,1,0,0,3008,1,1677,1
307,Economy,0,0,0,0,11268,1,152,1
70,Business,1,0,0,1,5093,1,2345,0
19,Economy,0,2,0,1,13178,0,3741,1
156,First,0,2,1,1,13657,1,2373,0
338,Economy,0,2,0,0,12474,0,2817,1
224,Business,1,0,0,0,8959,1,4088,1
177,Economy,0,4,1,1,10009,0,4669,1
117,First,0,2,1,1,1738,1,2959,1
158,Business,1,2,1,0,4259,0,643,1
12,Business,1,3,1,1,5034,0,4724,1
55,First,1,0,0,0,5417,0,4241,1
239,Economy,0,0,0,1,10299,0,4151,1
274,Economy,1,2,0,1,5634,1,1195,1
325,Business,0,3,1,1,5649,0,1287,1
155,First,0,3,1,1,7210,1,3942,0
79,Business,1,1,0,0,11360,0,2326,1
113,Business,1,1,1,0,11912,1,4919,0
32,First,0,2,0,1,5855,1,451,0
113,First,0,0,1,0,6959,1,2439,0
62,First,1,3,1,0,9339,0,3527,0
25,Economy,0,3,1,0,5794,1,499,0
86,Business,1,3,0,0,8427,0,976,1
256,Business,1,0,1,1,10603,1,3411,0
92,Economy,0,1,1,0,7575,0,2226,0
199,First,1,2,0,1,5436,0,4334,1
361,Economy,0,1,0,1,4109,0,1100,1
204,Business,0,3,0,0,4167,0,506,1
83,Economy,1,3,1,1,7385,1,3386,1
106,Business,0,0,1,1,3694,1,474,0
246,Economy,1,0,0,1,3385,0,1135,0
4,Economy,1,0,1,1,12437,0,3518,0
267,Business,1,2,0,0,7818,0,3925,1
303,Business,1,4,1,1,12528,0,2731,0
13,Economy,1,4,1,0,13524,0,961,1
308,Economy,1,2,1,0,5232,1,362,1
217,Economy,1,2,0,1,4168,1,1179,1
233,Economy,1,2,0,1,12525,1,3164,1
44,Business,1,1,1,0,7850,1,430,1
159,First,0,2,0,0,9276,1,626,1
157,Business,1,1,0,1,916,1,4141,1
267,First,1,0,1,0,11212,0,883,0
99,Business,0,3,1,1,6311,0,740,1
82,First,0,4,0,0,7010,1,3263,0
43,Business,0,3,0,0,836,0,2438,1
152,First,1,4,1,1,8947,1,3306,1
169,Economy,1,0,1,0,9051,0,1499,0
20,Economy,0,4,1,0,11362,0,1305,1
249,First,1,0,1,0,10758,0,2665,0
188,Economy,0,3,1,1,8377,1,4140,1
321,First,0,1,0,1,1145,0,1276,1
356,First,1,4,0,0,9403,0,4053,1
20,Economy,0,2,0,0,7084,1,1623,1
281,Economy,1,1,0,0,7755,0,3356,1
159,Business,1,1,0,1,10287,1,1784,0
218,First,1,0,1,0,4458,0,1502,0
16,Business,0,3,1,1,13190,1,2722,0
3,First,1,2,1,0,2672,1,4249,0
38,First,1,3,1,1,11943,0,875,0
270,Business,1,3,0,1,9628,1,564,1
288,Economy,0,1,0,1,5063,0,3304,0
188,Business,0,2,0,0,8523,1,3486,1
141,Economy,0,4,1,1,1177,0,4850,0
345,Economy,0,2,0,0,11064,0,3999,1
302,First,0,0,1,0,3203,1,1140,1
129,Business,0,1,1,0,9242,0,4842,0
345,Business,0,2,0,0,7508,1,2900,1
321,Economy,1,0,1,1,5158,0,4106,1
175,Economy,0,4,0,1,11640,1,2833,1
193,First,0,3,0,1,8807,1,1975,1
336,First,0,3,1,1,8774,0,836,1
273,Economy,0,0,1,0,11185,1,1742,1
178,First,1,1,1,1,9830,1,3147,0
239,Economy,0,3,0,1,1308,0,3658,1
131,Business,1,1,0,0,4654,1,3013,0
80,First,0,1,0,0,2280,0,1583,1
160,Business,0,3,0,0,9948,0,907,0
180,Economy,1,4,1,0,8515,0,3599,0
268,First,0,2,1,0,10289,0,1647,0
326,Economy,0,3,1,1,2485,1,2527,1
57,Business,0,2,0,0,8443,1,4028,1
190,First,1,1,0,1,5409,1,1318,1
320,Business,0,4,0,0,13145,1,2249,1
359,Business,1,1,1,1,7295,1,3988,0
41,Economy,0,4,1,0,12875,0,2454,1
94,Business,1,0,0,1,11828,1,753,1
355,Business,0,4,1,1,7621,0,2369,1
88,Business,0,4,0,0,5130,0,1049,1
108,Economy,1,1,0,0,2842,1,711,1
232,Business,1,3,1,1,1583,0,1701,0
295,Economy,0,3,0,0,2476,1,4452,1
349,First,0,2,0,0,1055,0,3042,1
101,First,1,0,1,1,5343,1,4089,0
20,Economy,1,4,1,1,9785,1,3964,1
82,First,0,2,0,0,3471,1,1448,1
160,Business,0,4,0,1,2442,1,4858,1
197,Business,1,4,1,1,12647,0,4002,1
41,Economy,0,0,1,0,7189,0,453,0
36,Business,1,0,0,0,6156,0,1582,1
199,First,0,2,0,0,7550,1,1297,1
332,First,0,3,1,0,12323,0,1211,1
153,Economy,0,4,0,0,13620,0,1747,1
38,First,0,1,0,0,637,0,835,1
46,First,0,2,1,0,12476,1,3262,0
311,First,1,4,0,0,7053,0,1999,1
109,Economy,1,0,1,0,1405,0,1409,1
185,Economy,1,0,1,1,12773,1,422,1
184,Business,0,0,0,1,3759,0,3454,1
326,First,1,0,1,1,2876,1,96,0
215,First,0,3,1,0,4640,0,4005,1
109,Economy,0,3,1,1,13453,0,2695,1
199,First,0,4,0,1,7517,0,1803,1
172,Business,0,4,1,0,2583,1,3334,1
320,First,1,2,0,0,4226,1,4438,1
3,Economy,0,0,1,1,7051,0,4456,0
60,First,0,0,1,0,6555,1,578,0
170,Business,1,1,1,0,13550,1,1452,0
360,Business,0,1,1,1,7285,1,3454,1
146,Economy,1,0,1,0,8055,1,4348,0
341,Business,1,1,0,1,5337,1,2540,1
355,First,1,1,0,1,13138,0,2610,0
128,Business,1,0,1,0,11418,0,2262,0
146,Business,0,3,1,0,4384,1,238,0
50,Economy,1,3,0,1,6797,1,700,1
63,Business,0,4,1,1,10159,1,321,1
62,Economy,0,3,1,0,696,1,3339,1
284,First,1,0,0,1,567,0,3335,0
42,Business,0,1,1,0,11833,0,2733,0
69,First,0,0,0,1,2264,0,2316,1
255,First,1,2,1,0,13929,1,3739,0
294,Business,1,1,0,1,3346,0,4623,0
22,Business,0,0,0,0,7026,1,345,0
256,Economy,1,4,0,0,10424,0,1513,1
60,Business,0,4,0,0,12023,1,1172,1
206,Economy,1,1,1,1,8398,0,4774,0
280,Business,1,3,1,0,3772,1,3480,1
131,Business,0,4,0,1,13336,0,2381,1
364,Business,0,2,1,1,12905,0,2932,0
363,Business,0,1,1,0,1013,1,1005,1
0,Business,1,2,1,0,13476,0,3665,1
39,Economy,1,1,1,1,7622,1,2323,0
276,Business,0,3,0,1,1754,0,1965,1
246,Economy,1,0,1,1,12548,0,4825,0
137,Economy,0,1,1,1,5636,1,3694,0
321,Business,1,0,1,0,6115,1,3669,0
16,Business,0,1,1,1,4507,1,3865,0
123,Business,0,3,1,0,2854,1,977,1
90,Economy,1,2,0,0,4965,1,3655,0
245,First,1,0,1,1,1995,1,1496,0
112,First,1,2,1,1,6080,0,4768,0
125,Economy,0,1,1,1,6671,1,1951,0
265,Business,0,1,1,1,5485,0,2463,1
240,Business,1,3,0,1,4129,0,3722,1
137,Economy,0,1,1,1,7282,0,4907,0
245,Business,0,3,1,0,13405,1,4828,1
237,Economy,1,1,0,0,12225,0,341,1
302,Business,1,2,1,1,8906,1,1550,1
8,Business,1,1,0,1,7513,1,1290,1
45,Economy,0,0,1,1,4132,0,4918,0
358,First,0,4,1,1,12164,0,3753,1
123,First,0,0,0,1,4273,1,1021,1
67,First,0,0,0,0,5886,0,2373,1
364,Business,0,3,0,0,6112,1,4832,1
323,First,1,1,1,0,12959,0,4558,0
131,First,0,2,1,1,6495,0,4085,1
360,First,0,1,1,1,2254,1,1837,0
236,First,1,4,0,1,6640,0,2704,1
212,First,0,1,0,0,9495,1,3512,0
58,First,0,4,1,1,13103,0,927,1
152,Economy,1,4,1,1,13258,0,3368,1
280,First,1,0,0,0,10324,0,4799,0
81,Business,0,4,0,1,7689,1,1085,1
237,Economy,1,4,1,0,6849,0,2889,1
311,Business,0,2,1,0,5696,0,1190,1
48,First,1,3,1,1,11977,0,369,1
64,First,0,1,1,1,10170,0,991,0
188,First,1,2,0,1,2073,0,1460,0
8,Business,1,3,1,0,2100,0,1727,1
95,First,0,0,0,0,10196,1,4116,1
84,First,0,2,1,0,9545,1,3904,1
35,First,1,2,1,1,11122,0,4089,0
82,First,0,0,1,0,6794,1,1371,0
162,First,0,4,0,1,4959,0,3092,1
213,First,0,0,1,0,2882,0,1702,1
220,Economy,1,1,0,0,2834,1,4759,1
317,First,0,0,1,0,3471,0,4154,0
318,Economy,1,2,1,1,13110,1,1842,1
118,First,0,0,0,1,7069,0,3279,0
75,Economy,0,1,1,0,1300,1,2207,0
68,Business,0,4,0,1,5002,1,4259,1
93,Business,1,4,0,1,2895,0,1517,1
318,Economy,1,3,0,1,13608,1,3969,1
316,First,0,3,1,0,6787,0,2630,1
354,Business,1,1,1,0,920,0,2650,1
292,Business,0,3,0,1,6008,1,436,1
253,First,1,4,1,0,6878,0,240,1
3,Business,0,4,1,1,1150,0,3146,0
55,Economy,1,3,1,0,5375,0,2002,0
42,First,0,0,0,1,6920,0,1600,0
276,Economy,1,4,0,1,7045,1,3395,1
57,Economy,0,3,1,0,3860,0,643,1
249,First,0,3,0,1,3208,0,3340,1
143,Business,0,1,1,1,10125,1,4071,0
308,Economy,1,1,1,1,3035,1,89,0
17,Business,0,4,1,1,3606,1,761,0
312,Economy,1,2,1,1,5682,1,606,1
350,First,0,3,1,1,5733,0,756,1
165,First,1,0,1,0,2920,0,272,0
31,First,0,2,0,0,9578,0,3207,0
111,Business,1,3,1,0,9863,0,567,1
224,Economy,0,2,0,1,6962,0,365,1
274,First,0,3,0,0,12469,1,1347,1
339,Economy,0,3,1,1,5212,1,914,1
303,Economy,1,2,0,1,11506,0,1379,1
73,First,0,1,1,1,742,0,1202,1
153,Economy,1,3,0,0,1407,1,3661,1
109,Economy,1,4,1,1,1043,1,3291,1
337,First,1,2,1,0,7262,0,2236,0
172,Economy,0,1,0,1,12884,0,2370,1
270,First,1,0,1,0,803,0,1144,0
145,Business,1,3,1,1,13778,0,3871,0
286,Economy,1,3,0,1,10708,0,2178,1
101,First,1,4,1,0,7921,1,1456,0
14,Business,0,1,0,1,8043,1,2207,1
248,Economy,0,3,1,0,9902,1,426,1
64,First,1,1,1,0,5895,1,1838,0
360,Economy,1,3,0,1,9560,0,1418,1
173,Business,1,0,1,0,7448,0,4775,0
330,Economy,1,4,0,0,2075,1,2776,1
357,First,1,0,0,1,618,0,4147,1
29,Economy,1,0,0,1,5552,1,533,0
40,Economy,1,2,1,0,10283,1,1389,0
66,Economy,1,0,0,1,11927,1,169,0
272,Business,0,4,0,1,703,1,1399,1
25,Business,1,4,1,1,3065,0,1622,1
