seat_class,flight_delay_min,seat_comfort,food_quality,staff_service,entertainment,cleanliness,wifi_quality,checkin_ease,flight_distance_km,satisfaction
Business,83,2,2,4,4,4,5,5,11276,dissatisfied
First,3,2,4,5,3,1,4,2,9188,neutral
Business,0,2,3,2,4,2,2,5,7159,dissatisfied
Business,62,3,2,2,2,5,4,3,3066,dissatisfied
First,32,5,1,1,1,3,2,1,4895,dissatisfied
First,0,3,3,1,3,2,4,3,4555,dissatisfied
Economy,75,2,4,1,5,5,1,5,8493,dissatisfied
Business,3,5,4,4,3,2,1,4,4805,neutral
Business,70,2,3,1,1,4,5,2,10875,dissatisfied
Economy,18,5,3,2,1,4,4,1,5548,neutral
First,0,2,2,3,2,1,5,3,9026,dissatisfied
Business,17,5,4,4,1,3,3,1,5523,neutral
First,34,1,1,4,5,2,5,4,2077,dissatisfied
Economy,43,5,4,3,3,1,4,1,3997,neutral
Economy,2,2,3,4,3,3,4,1,10985,neutral
First,0,4,1,3,3,4,5,1,13851,dissatisfied
Economy,18,2,3,4,4,2,3,5,11451,neutral
Business,0,4,4,3,3,4,1,3,13448,neutral
Economy,0,3,2,3,1,4,2,2,12382,dissatisfied
Business,13,5,1,2,4,5,1,5,2198,dissatisfied
Business,0,5,2,3,3,3,4,5,11000,neutral
First,0,2,5,3,3,5,2,3,3655,neutral
First,0,3,1,5,4,3,3,2,2044,neutral
Business,62,2,4,4,2,2,4,1,13171,dissatisfied
Business,0,1,2,4,3,1,1,2,7138,dissatisfied
Economy,36,1,2,1,2,4,2,3,12705,dissatisfied
Business,34,4,4,3,5,5,2,1,5169,neutral
Business,47,5,3,3,3,4,3,5,12021,neutral
Business,34,4,5,4,4,3,1,4,936,neutral
Business,0,4,4,1,4,4,2,5,3572,dissatisfied
Business,44,5,2,2,5,1,2,2,8384,dissatisfied
Economy,0,1,1,3,4,2,3,2,6021,dissatisfied
Economy,64,4,5,5,1,5,4,5,11368,neutral
Economy,45,5,4,4,2,4,4,4,2196,neutral
First,0,1,2,1,1,1,3,2,9639,dissatisfied
First,25,5,5,3,3,1,5,5,9464,neutral
First,14,5,3,1,1,2,4,2,9837,dissatisfied
First,34,2,5,5,2,3,2,5,2008,neutral
Economy,0,1,4,1,5,3,5,2,1647,dissatisfied
Economy,0,4,1,4,5,3,4,4,10229,neutral
Economy,35,5,2,2,5,2,3,2,3801,dissatisfied
Business,58,2,4,2,5,1,1,3,2454,dissatisfied
Economy,2,3,1,2,3,1,5,4,5316,dissatisfied
First,1,3,2,1,4,2,4,2,9724,dissatisfied
Economy,13,2,4,3,5,2,4,2,12626,dissatisfied
First,0,1,3,3,1,5,5,3,11066,dissatisfied
First,0,3,1,3,1,5,3,4,13571,dissatisfied
First,8,4,1,5,4,4,3,3,4241,neutral
Business,74,2,5,3,2,5,2,5,10491,dissatisfied
Business,0,5,3,4,2,2,3,3,7074,neutral
First,0,2,2,1,5,2,1,5,10571,dissatisfied
First,78,4,5,4,1,2,1,4,12546,neutral
Business,71,2,3,2,4,1,4,1,11776,dissatisfied
First,19,4,4,4,2,2,4,5,11628,neutral
Economy,40,4,1,4,5,1,3,2,10498,dissatisfied
Economy,20,2,5,4,5,1,3,2,7272,neutral
Economy,0,2,1,5,4,1,4,3,10429,neutral
Economy,40,2,3,1,1,5,4,3,3318,dissatisfied
First,48,5,1,3,2,3,2,2,6804,dissatisfied
Economy,30,5,5,4,2,2,4,1,6862,neutral
Economy,0,4,4,2,1,1,5,4,4354,neutral
Economy,0,3,5,1,1,2,4,3,13435,dissatisfied
Business,0,2,2,1,5,5,4,4,2478,dissatisfied
Economy,0,3,1,4,1,2,3,5,1658,dissatisfied
First,0,1,5,1,3,3,4,1,2577,dissatisfied
First,13,1,5,1,4,3,3,3,6918,dissatisfied
Business,108,2,4,1,4,2,5,2,8465,dissatisfied
First,7,1,1,1,1,2,5,1,8003,dissatisfied
First,0,3,1,2,4,3,1,4,12585,dissatisfied
Business,25,1,2,2,5,1,1,5,11147,dissatisfied
Economy,19,2,3,2,2,1,2,2,7667,dissatisfied
Business,63,4,3,3,2,1,3,2,6279,dissatisfied
First,0,5,1,2,4,1,1,5,1151,dissatisfied
Business,0,5,5,3,1,4,5,4,7201,neutral
First,52,5,3,4,4,1,5,3,13356,neutral
Business,68,4,3,1,3,4,3,1,8527,dissatisfied
Economy,40,1,5,2,5,1,1,4,3493,dissatisfied
First,16,5,2,4,4,4,5,3,8090,neutral
First,96,3,2,1,5,1,4,5,4614,dissatisfied
Business,60,1,1,4,1,1,3,4,4334,dissatisfied
Economy,42,4,3,5,1,3,2,1,640,neutral
Economy,66,5,5,1,5,5,5,2,9675,dissatisfied
Economy,4,1,2,1,4,3,3,1,7447,dissatisfied
Economy,40,4,5,3,1,5,3,4,6613,neutral
Business,0,2,1,1,3,2,4,4,12811,dissatisfied
Business,62,5,1,4,3,4,5,3,3165,dissatisfied
Business,28,2,2,5,5,5,2,1,5062,neutral
Business,20,2,3,5,3,5,2,4,9866,neutral
First,71,5,5,2,5,3,3,1,3046,dissatisfied
First,16,3,3,2,4,3,1,4,2140,dissatisfied
Business,33,2,2,4,2,2,5,3,6608,dissatisfied
Business,7,4,1,2,1,4,2,2,12824,dissatisfied
Economy,10,3,1,5,1,4,2,4,11783,neutral
Economy,0,2,2,5,4,1,5,3,2061,neutral
Economy,56,2,1,3,4,3,1,4,9457,dissatisfied
Business,49,5,4,1,4,4,4,1,9835,dissatisfied
Economy,48,5,1,1,1,3,4,2,5956,dissatisfied
First,0,1,4,2,5,2,5,2,1848,dissatisfied
First,9,5,4,4,3,3,2,5,12255,neutral
Economy,0,5,4,1,1,2,1,5,8746,neutral
Economy,0,1,3,1,2,2,2,5,8749,dissatisfied
First,19,3,2,5,5,5,3,1,1244,neutral
Economy,49,1,2,2,4,5,5,1,8959,dissatisfied
Business,15,5,2,4,2,2,5,1,2970,neutral
First,0,3,4,3,3,4,2,5,10166,neutral
First,48,1,4,4,3,5,3,4,534,dissatisfied
Business,21,1,4,2,1,4,1,4,4457,dissatisfied
First,0,1,1,4,5,1,1,2,13043,dissatisfied
Economy,9,5,5,1,2,3,4,1,12082,neutral
First,15,2,5,4,4,3,5,1,10242,neutral
Business,42,1,1,2,4,5,3,4,10274,dissatisfied
Economy,42,3,5,4,2,3,4,3,11189,neutral
Economy,55,5,5,2,1,4,3,5,3877,neutral
Business,0,3,3,1,2,3,5,3,3291,dissatisfied
First,23,2,5,5,5,1,3,2,3699,neutral
Economy,23,3,1,4,4,2,4,4,2992,dissatisfied
Economy,84,1,4,1,4,3,2,4,7792,dissatisfied
Economy,5,3,3,5,2,5,2,2,5728,neutral
First,26,3,5,1,1,2,2,2,3981,dissatisfied
Economy,42,5,1,5,1,4,4,1,5348,neutral
Business,0,3,2,5,3,2,5,3,4170,neutral
Business,11,4,2,3,3,4,5,2,630,dissatisfied
Business,18,4,3,5,2,5,2,1,12388,neutral
Economy,0,5,2,5,2,5,1,2,3067,neutral
Business,0,4,1,1,4,5,5,4,9837,dissatisfied
First,33,5,2,2,4,4,4,3,6356,dissatisfied
First,14,3,2,5,2,1,5,1,12205,neutral
First,15,5,5,5,3,2,4,4,11935,neutral
Business,46,4,1,2,1,2,2,3,2085,dissatisfied
Business,0,1,1,5,4,4,4,3,11189,dissatisfied
First,40,1,1,4,4,2,3,5,3620,dissatisfied
Business,29,4,4,4,3,5,4,1,2950,neutral
Business,0,1,1,1,3,3,3,2,10293,dissatisfied
Business,37,5,5,3,1,2,5,1,10395,neutral
First,38,4,2,4,1,3,2,3,12215,neutral
Business,30,2,2,4,4,5,1,2,4227,dissatisfied
Business,42,3,2,5,2,2,3,4,6618,neutral
Economy,0,2,1,5,5,2,3,3,1522,neutral
Business,0,5,1,4,3,3,1,4,4827,neutral
First,53,4,3,4,2,1,5,5,5119,neutral
First,0,3,3,5,5,4,2,1,8947,neutral
Economy,20,2,3,2,5,1,1,2,2799,dissatisfied
First,23,5,4,4,4,4,3,3,8642,neutral
Business,0,5,3,3,3,2,2,5,11662,neutral
Economy,4,1,5,2,5,2,2,3,1912,dissatisfied
First,18,3,1,3,2,1,1,1,3746,dissatisfied
Economy,0,3,4,3,3,3,2,3,4092,neutral
First,31,2,5,1,5,1,4,1,4874,dissatisfied
Economy,26,3,2,5,5,3,2,2,7730,neutral
First,18,2,3,3,2,5,3,5,890,dissatisfied
First,0,4,3,4,4,2,1,5,4453,neutral
First,0,4,1,4,1,1,4,2,6085,neutral
Business,64,4,5,2,4,1,2,2,11944,dissatisfied
Economy,0,2,5,4,4,2,4,5,6186,neutral
First,0,2,3,4,1,4,1,1,1990,neutral
First,0,4,3,1,3,3,3,4,10739,dissatisfied
Business,26,4,5,3,5,1,4,5,10482,neutral
Business,10,3,5,5,3,2,1,3,1425,neutral
Business,38,3,2,2,1,1,5,2,2913,dissatisfied
Business,76,2,3,1,1,4,3,3,1446,dissatisfied
Economy,24,1,3,3,4,3,5,2,8801,dissatisfied
Business,0,1,5,3,3,3,4,3,838,neutral
First,45,3,1,4,5,3,1,2,9032,dissatisfied
Economy,53,5,5,4,2,4,4,3,9340,neutral
Economy,0,1,3,2,4,1,4,3,11869,dissatisfied
Business,27,2,2,5,3,2,5,3,8338,neutral
Business,0,5,3,4,4,2,4,5,2808,neutral
Business,26,2,4,5,1,3,3,1,8112,neutral
Economy,0,3,3,4,2,1,3,4,5713,neutral
Economy,23,2,3,5,1,5,4,3,13418,neutral
Business,7,1,3,4,4,2,4,3,2894,dissatisfied
Economy,84,4,5,4,5,2,3,3,10824,neutral
Business,0,2,1,4,3,1,3,1,4304,dissatisfied
Business,5,1,3,4,3,2,4,3,6823,dissatisfied
Economy,81,4,3,5,5,5,2,5,13972,neutral
First,71,2,3,1,3,4,3,5,7085,dissatisfied
Economy,17,5,3,2,2,3,2,3,9412,neutral
First,0,2,3,1,5,4,2,1,1896,dissatisfied
Economy,28,2,2,5,4,3,5,1,1028,neutral
First,7,2,5,2,4,3,3,5,10238,dissatisfied
First,35,5,5,4,2,3,3,2,4570,neutral
Economy,32,2,3,1,3,4,3,3,13744,dissatisfied
Business,24,5,2,2,1,5,3,2,5739,dissatisfied
First,8,2,4,1,4,2,5,1,5356,dissatisfied
First,7,4,4,5,5,2,5,1,9323,neutral
Business,48,4,2,2,3,5,1,2,12178,dissatisfied
Economy,0,5,4,4,5,2,5,2,3379,neutral
Economy,46,4,5,3,3,5,3,4,6138,neutral
Business,20,2,4,4,4,4,2,1,12071,neutral
Business,0,1,3,3,5,3,3,3,13904,dissatisfied
First,63,1,1,4,5,2,3,5,6193,dissatisfied
Business,0,2,2,5,2,1,2,2,601,neutral
Business,8,4,1,2,3,4,2,1,6407,dissatisfied
Economy,56,3,2,1,4,5,4,4,9263,dissatisfied
First,14,1,2,4,2,4,5,3,3806,dissatisfied
First,30,4,2,3,2,3,1,2,798,dissatisfied
Economy,41,5,5,2,1,3,5,1,4648,neutral
Economy,62,4,5,1,4,3,5,5,11693,dissatisfied
First,0,1,2,3,1,1,1,1,2940,dissatisfied
Economy,50,3,3,3,3,1,2,5,12372,dissatisfied
Economy,28,3,4,2,2,1,2,5,8685,dissatisfied
Business,43,1,3,5,4,4,3,4,8589,dissatisfied
Business,47,2,5,5,5,3,1,1,10081,neutral
First,0,1,2,5,2,2,3,1,5942,neutral
Business,56,5,5,2,4,5,4,4,3018,neutral
First,24,4,4,3,2,2,2,2,3806,neutral
Economy,17,1,1,2,3,4,4,4,9096,dissatisfied
First,0,5,1,5,4,5,5,3,12704,neutral
Business,0,2,3,4,3,4,5,3,8414,neutral
Business,21,3,2,2,4,3,1,4,7062,dissatisfied
First,26,2,5,4,3,5,1,4,9365,neutral
First,18,1,3,5,1,3,2,5,7408,neutral
First,67,3,3,2,4,4,1,2,2504,dissatisfied
First,29,4,3,2,3,3,2,2,13655,dissatisfied
Business,9,1,4,4,4,2,4,3,2102,neutral
First,41,3,3,1,5,3,1,4,4537,dissatisfied
Business,3,1,2,4,5,2,5,3,9054,dissatisfied
First,0,4,4,5,3,2,2,4,12658,neutral
Business,50,1,1,4,5,3,4,1,2777,dissatisfied
Economy,0,5,1,1,3,4,3,5,1761,dissatisfied
First,73,2,1,5,5,3,2,3,7264,dissatisfied
Business,0,1,2,2,2,4,5,4,9877,dissatisfied
First,0,5,2,2,2,2,1,1,10105,dissatisfied
First,16,5,4,1,4,5,4,5,13726,dissatisfied
Business,23,1,1,5,3,1,3,5,2338,dissatisfied
First,73,3,4,5,5,1,1,5,6518,neutral
Economy,48,3,1,2,4,1,2,3,2678,dissatisfied
Business,38,2,1,4,2,2,5,5,5783,dissatisfied
Business,1,3,1,4,2,5,3,1,7975,dissatisfied
Economy,72,4,1,5,3,3,3,1,838,dissatisfied
Economy,91,1,4,1,2,4,1,3,5827,dissatisfied
Business,0,3,2,1,4,3,4,3,2749,dissatisfied
Economy,0,4,1,2,4,1,5,3,8340,dissatisfied
Economy,67,4,3,3,4,5,4,1,12916,dissatisfied
Economy,26,5,5,1,1,2,4,2,9019,neutral
First,47,3,2,3,3,1,4,5,5584,dissatisfied
First,82,2,2,4,2,4,1,3,10015,dissatisfied
Economy,87,4,4,2,1,1,4,5,3989,dissatisfied
Business,47,3,5,4,4,4,3,2,7320,neutral
First,53,1,4,1,3,1,5,4,12906,dissatisfied
First,33,2,2,4,1,5,3,3,2686,dissatisfied
Business,84,3,1,5,2,3,2,1,3366,dissatisfied
Business,43,1,1,4,2,2,4,5,1008,dissatisfied
First,26,4,4,3,5,1,4,4,6910,neutral
Economy,61,4,2,3,3,2,1,2,9179,dissatisfied
Business,0,1,2,4,5,3,1,2,5477,dissatisfied
Business,0,3,2,1,4,4,2,1,7690,dissatisfied
Economy,10,4,3,3,2,3,5,1,8743,neutral
Business,0,3,1,2,4,3,3,5,12384,dissatisfied
Business,0,4,4,5,5,5,5,1,7767,neutral
First,15,5,4,1,2,3,2,1,8723,dissatisfied
Economy,0,4,1,2,3,4,5,2,5346,dissatisfied
Economy,12,4,4,1,1,3,1,1,1340,dissatisfied
First,14,5,4,3,4,1,3,2,7463,neutral
Business,60,2,4,1,4,1,3,3,3671,dissatisfied
Business,0,5,4,2,2,2,4,2,3280,neutral
Economy,21,2,4,1,2,5,4,1,13809,dissatisfied
First,16,4,2,3,5,2,1,2,3368,dissatisfied
First,44,2,3,4,4,1,4,2,13303,dissatisfied
Business,0,1,5,2,4,3,4,2,8341,dissatisfied
Business,24,1,2,4,4,4,1,4,13608,dissatisfied
First,67,1,2,3,1,4,5,3,8493,dissatisfied
First,37,5,2,2,4,5,5,4,4533,dissatisfied
Business,31,1,2,4,5,3,2,3,2216,dissatisfied
First,0,3,4,2,4,2,3,4,5192,dissatisfied
Business,52,1,5,5,5,2,5,1,4785,neutral
First,30,4,5,4,2,3,1,2,4429,neutral
Economy,0,1,4,4,5,1,3,4,12083,neutral
Economy,5,2,4,5,4,2,2,2,13181,neutral
Economy,35,4,5,3,3,3,3,5,6828,neutral
Economy,22,4,2,5,2,4,4,1,4030,neutral
Economy,14,1,4,2,1,5,1,2,4557,dissatisfied
Economy,70,2,2,2,1,5,2,2,2049,dissatisfied
First,0,4,2,2,3,5,2,3,11592,dissatisfied
Economy,3,4,4,3,3,1,2,1,12763,neutral
Economy,3,3,4,5,2,5,1,5,607,neutral
Business,43,5,5,1,4,4,2,4,6902,dissatisfied
Business,20,2,4,4,2,2,4,1,5576,neutral
Business,0,1,1,5,1,5,4,3,8952,dissatisfied
Economy,13,4,2,2,2,3,5,2,11165,dissatisfied
First,30,4,2,5,4,1,2,2,2213,neutral
First,26,5,3,5,4,1,3,2,10715,neutral
Business,0,1,2,3,1,5,2,2,9155,dissatisfied
Economy,0,3,1,4,5,4,3,3,4914,dissatisfied
Business,0,3,2,3,1,1,4,3,8278,dissatisfied
Business,33,2,2,3,5,1,4,4,11326,dissatisfied
Business,57,5,3,2,4,4,4,4,1594,dissatisfied
Business,28,5,2,3,4,1,1,5,7287,neutral
Business,0,4,1,4,4,4,3,1,13103,neutral
First,32,4,4,2,3,1,5,1,2329,dissatisfied
Economy,56,4,4,3,2,1,2,5,731,dissatisfied
Economy,40,4,2,2,5,2,3,3,719,dissatisfied
Economy,68,1,4,5,2,3,3,1,13607,dissatisfied
Business,0,1,5,4,2,1,4,1,12118,neutral
First,0,2,5,1,1,5,1,4,10813,dissatisfied
First,63,3,1,1,1,2,3,5,7607,dissatisfied
First,46,2,2,1,5,1,1,5,10095,dissatisfied
Economy,66,4,4,5,1,4,1,4,4321,neutral
Economy,32,5,4,3,1,5,1,2,6321,neutral
Economy,0,1,1,5,5,3,2,1,13654,dissatisfied
Business,0,1,5,1,2,1,3,3,3152,dissatisfied
Economy,17,1,2,3,3,1,4,5,2624,dissatisfied
First,0,1,5,5,2,3,3,3,7983,neutral
Economy,34,5,1,3,5,1,1,2,7174,dissatisfied
Business,0,2,2,1,2,4,3,1,1062,dissatisfied
First,0,1,1,4,1,4,4,2,7357,dissatisfied
First,53,4,1,1,3,1,4,3,2025,dissatisfied
First,38,4,4,1,4,3,1,5,12418,dissatisfied
First,0,2,5,2,1,1,4,2,11255,dissatisfied
First,3,2,1,3,5,1,1,4,13318,dissatisfied
First,1,2,1,2,5,2,3,2,3019,dissatisfied
First,48,2,2,5,2,3,5,4,9011,dissatisfied
Business,45,5,2,5,4,5,3,3,2807,neutral
First,0,1,5,1,4,3,5,4,3448,dissatisfied
Economy,8,5,5,2,2,4,3,2,4879,neutral
Business,64,5,5,2,1,4,4,4,2296,dissatisfied
Business,34,1,4,4,3,1,3,4,6803,dissatisfied
First,37,5,4,4,4,1,3,3,13849,neutral
Business,75,2,1,1,2,4,3,1,4444,dissatisfied
Business,32,3,2,5,3,3,2,1,13643,neutral
First,9,4,4,4,2,4,2,3,12904,neutral
Business,7,2,3,2,3,4,5,3,4622,dissatisfied
Business,4,2,5,2,3,1,2,2,4010,dissatisfied
Economy,53,1,2,1,1,4,2,4,10373,dissatisfied
Economy,47,3,1,3,5,3,4,5,10577,dissatisfied
First,36,1,2,3,5,1,4,2,1428,dissatisfied
Business,28,2,2,5,4,5,5,3,7453,neutral
First,45,5,1,1,5,2,4,3,11988,dissatisfied
Business,0,4,4,4,4,1,5,3,13348,neutral
Business,20,4,3,5,4,1,4,5,8497,neutral
Business,12,2,4,4,3,4,5,5,4037,neutral
Business,0,1,5,1,4,3,5,1,11953,dissatisfied
First,46,3,3,5,2,1,3,2,4296,neutral
Business,23,3,3,5,2,4,5,3,12896,neutral
Business,30,2,4,4,3,5,5,5,2400,neutral
Business,22,3,4,3,1,1,5,4,9477,neutral
Business,0,1,5,3,3,5,1,4,10649,neutral
Economy,0,3,5,4,3,3,5,3,13359,neutral
First,0,1,2,2,5,1,3,1,10307,dissatisfied
Business,0,2,1,2,5,1,1,5,7659,dissatisfied
Business,25,3,4,5,3,1,3,5,11868,neutral
Business,70,1,1,4,2,3,3,4,6798,dissatisfied
First,0,5,4,3,3,2,3,1,3582,neutral
First,0,3,3,1,2,2,4,2,13712,dissatisfied
Economy,0,4,5,2,1,4,5,3,3577,neutral
Economy,44,3,3,1,5,4,4,3,10589,dissatisfied
Business,37,3,4,3,4,5,3,5,1526,dissatisfied
Business,12,5,5,4,2,1,5,2,10858,neutral
Business,0,3,2,2,2,4,3,4,11514,dissatisfied
Business,0,3,5,5,1,5,4,1,1014,neutral
Business,58,2,5,1,5,5,2,4,6459,dissatisfied
Business,30,2,4,2,5,3,1,2,4045,dissatisfied
Business,53,1,1,3,5,5,3,2,1938,dissatisfied
Economy,47,4,5,2,2,4,4,5,12878,dissatisfied
Business,93,3,4,2,5,4,4,2,4643,dissatisfied
Economy,4,2,5,4,5,2,5,1,7321,neutral
First,7,1,4,4,4,3,4,4,2292,neutral
Business,32,5,3,5,2,2,2,2,3348,neutral
Business,59,4,4,4,2,1,3,4,13252,neutral
First,0,5,3,3,5,2,5,5,4947,neutral
First,0,1,3,5,3,1,3,5,11100,neutral
First,14,5,1,1,5,1,2,5,6940,dissatisfied
First,22,3,3,5,2,4,5,4,1259,neutral
First,44,5,4,4,2,4,2,1,5784,neutral
Economy,68,2,1,5,4,1,4,3,5192,dissatisfied
First,49,2,1,5,1,5,2,5,10184,dissatisfied
First,23,5,1,2,5,2,4,3,3151,dissatisfied
Business,25,4,3,2,1,3,1,1,10680,dissatisfied
Economy,23,2,4,2,5,5,5,3,11995,dissatisfied
Economy,85,5,5,5,4,2,5,2,6485,neutral
First,48,3,5,4,1,1,1,3,1579,neutral
Economy,0,2,1,3,3,5,3,4,2409,dissatisfied
Business,14,2,2,3,5,5,3,4,8297,dissatisfied
First,0,5,5,1,5,5,4,4,9622,neutral
Business,58,5,4,3,4,4,5,4,11944,neutral
First,0,5,1,4,5,4,1,5,8061,neutral
First,0,4,2,3,4,5,4,2,11496,neutral
Economy,3,2,4,5,5,4,4,1,7312,neutral
Business,4,3,2,5,5,3,1,2,9962,neutral
Economy,0,3,5,2,3,4,5,3,13475,neutral
Economy,9,1,2,1,2,4,2,3,5441,dissatisfied
First,55,5,3,3,5,1,2,4,3897,dissatisfied
Business,30,1,3,5,5,3,2,4,8679,neutral
Business,36,1,1,3,1,1,4,4,4937,dissatisfied
Business,53,4,3,2,4,4,4,4,11654,dissatisfied
Economy,46,4,2,1,5,2,3,4,4714,dissatisfied
Business,0,5,3,2,3,5,4,1,13758,neutral
Business,21,5,1,3,5,1,3,5,2095,dissatisfied
First,19,5,5,3,4,5,1,4,8977,neutral
Business,0,3,1,2,5,3,1,5,4259,dissatisfied
Business,72,5,1,4,1,4,5,3,10199,dissatisfied
First,0,3,2,2,4,4,5,4,10234,dissatisfied
First,2,1,2,5,2,4,4,4,7234,neutral
Business,14,5,4,4,1,3,5,3,8759,neutral
First,51,2,3,4,3,1,3,1,7731,dissatisfied
Business,10,3,5,3,4,5,1,1,1174,neutral
Economy,0,5,4,2,3,1,3,4,8364,neutral
Economy,73,3,2,2,5,5,3,5,8037,dissatisfied
First,31,3,5,5,1,5,2,2,1848,neutral
First,0,5,2,3,5,4,5,5,10731,neutral
First,24,1,3,5,2,2,3,4,4080,neutral
First,44,5,1,4,2,4,2,1,8000,dissatisfied
Business,31,1,5,3,1,5,4,5,4436,dissatisfied
Business,42,1,5,3,2,3,2,1,2375,dissatisfied
Business,32,5,4,3,3,3,1,1,10214,neutral
First,0,2,5,2,5,4,2,1,1250,dissatisfied
Economy,0,2,5,3,5,1,4,5,3387,neutral
Business,63,1,2,5,4,5,1,5,11682,dissatisfied
Economy,15,3,3,5,2,3,2,5,5380,neutral
Business,31,2,4,5,1,5,2,4,2482,neutral
Business,13,5,2,4,1,2,3,4,3251,neutral
First,10,2,4,4,1,4,3,2,1490,neutral
First,53,3,4,4,5,4,3,3,11497,neutral
Economy,14,2,3,2,5,3,5,4,10926,dissatisfied
Economy,44,5,3,3,5,5,3,3,3771,neutral
First,0,5,1,2,5,4,3,1,4340,dissatisfied
First,0,1,2,4,4,1,4,2,3322,dissatisfied
Economy,0,4,3,2,4,2,3,4,9983,dissatisfied
First,0,3,4,3,3,3,2,1,7820,neutral
Business,24,2,4,5,5,3,3,3,12503,neutral
Business,0,1,4,5,3,3,1,3,1801,neutral
First,7,4,2,4,5,2,1,5,3597,neutral
First,4,4,5,2,5,2,3,4,4720,neutral
Economy,0,1,1,5,1,1,2,3,619,dissatisfied
First,0,5,4,2,2,4,5,4,8524,neutral
First,36,5,1,5,3,1,3,1,7068,neutral
Business,42,3,5,2,2,4,1,2,5003,dissatisfied
First,39,3,1,5,2,5,2,4,10034,dissatisfied
First,10,5,2,2,3,2,5,2,3399,dissatisfied
Business,14,3,2,1,4,4,3,2,10105,dissatisfied
First,0,3,4,3,1,4,5,1,12172,neutral
Economy,11,2,1,2,4,3,4,4,3714,dissatisfied
First,8,3,3,2,3,4,4,2,12711,dissatisfied
Economy,28,5,5,4,4,4,2,1,13505,neutral
Business,0,1,2,2,3,2,5,1,8568,dissatisfied
Business,18,4,2,2,4,5,4,3,13164,dissatisfied
Business,9,5,5,4,5,1,3,1,3412,neutral
First,42,3,3,1,5,3,3,1,13938,dissatisfied
Business,70,5,3,2,3,5,5,5,1448,dissatisfied
First,45,5,4,4,2,2,4,1,11844,neutral
Economy,16,4,5,3,1,4,2,4,4835,neutral
First,7,3,3,5,2,1,3,2,6578,neutral
First,33,1,3,3,4,2,5,2,13460,dissatisfied
First,0,1,2,1,5,4,4,4,13138,dissatisfied
Business,3,2,1,3,1,1,2,2,4094,dissatisfied
First,32,4,5,5,1,5,3,5,10189,neutral
First,0,5,5,1,5,4,5,3,7133,neutral
Business,17,4,2,3,5,5,1,2,11328,dissatisfied
Economy,42,4,4,3,1,4,5,2,5841,neutral
Economy,42,1,2,2,5,2,5,3,8028,dissatisfied
First,0,4,4,1,1,5,5,3,8148,dissatisfied
Economy,0,4,1,3,5,5,3,1,13565,dissatisfied
Economy,1,5,2,5,4,5,3,4,3833,neutral
First,52,2,5,3,5,4,3,3,9941,dissatisfied
Economy,2,5,3,2,2,1,5,5,13337,neutral
Economy,20,4,1,5,5,2,5,3,9297,neutral
Business,21,2,2,4,2,4,4,1,8299,dissatisfied
Business,22,4,5,2,3,4,4,3,13153,neutral
First,26,3,5,3,2,2,2,1,1722,neutral
Business,57,3,5,2,1,1,1,1,8029,dissatisfied
First,16,3,3,2,3,1,3,1,6461,dissatisfied
Economy,0,2,5,5,5,2,1,4,9637,neutral
Economy,29,5,3,1,2,5,3,2,9722,dissatisfied
Business,0,2,2,4,5,1,4,1,5564,dissatisfied
Business,11,4,4,4,4,1,2,4,10873,neutral
Economy,0,5,1,1,2,2,1,3,13047,dissatisfied
Economy,9,1,1,2,5,4,5,2,13458,dissatisfied
Economy,52,5,2,4,1,5,4,1,2748,neutral
Economy,0,5,2,5,2,4,2,1,7476,neutral
Economy,0,2,5,3,1,1,3,1,12505,neutral
First,22,3,5,5,2,1,3,2,11840,neutral
Economy,42,2,2,5,2,3,2,1,2129,dissatisfied
Business,54,1,1,3,3,4,3,3,3656,dissatisfied
Economy,8,3,2,3,5,2,3,2,11758,dissatisfied
Business,0,5,5,5,5,4,5,5,12343,neutral
First,19,2,2,4,3,2,3,4,5051,dissatisfied
Business,12,1,5,4,4,1,1,3,3459,neutral
First,46,2,1,5,3,1,2,3,9660,dissatisfied
First,42,5,4,3,5,5,2,1,5167,neutral
First,23,4,1,5,4,4,5,4,13633,neutral
Economy,0,2,3,2,5,1,4,5,13500,dissatisfied
Economy,0,2,5,2,4,5,4,4,5203,dissatisfied
Economy,22,4,2,2,2,1,3,5,7183,dissatisfied
Economy,59,2,2,2,1,5,2,3,12611,dissatisfied
First,0,1,5,3,3,4,1,3,2239,neutral
Economy,31,3,3,2,4,2,1,4,3859,dissatisfied
First,43,1,5,2,5,5,3,2,8034,dissatisfied
Business,81,4,2,3,2,1,4,1,3239,dissatisfied
Economy,51,1,4,1,4,3,3,4,11881,dissatisfied
Business,4,1,3,4,5,3,4,2,7428,dissatisfied
First,0,5,2,4,2,4,5,4,509,neutral
Economy,0,4,1,2,5,2,5,4,9189,dissatisfied
Economy,0,3,3,2,3,3,5,2,4766,dissatisfied
Business,0,3,5,2,5,3,2,5,3627,neutral
First,0,2,1,1,1,5,4,1,5688,dissatisfied
First,0,4,4,5,3,2,4,5,7021,neutral
First,29,4,4,1,2,3,2,2,5260,dissatisfied
Business,20,3,5,3,1,2,5,2,8664,neutral
Business,0,2,5,4,2,5,2,5,8334,neutral
First,103,1,1,2,1,2,3,2,8478,dissatisfied
Economy,65,3,2,4,3,5,5,1,11259,dissatisfied
Economy,44,4,3,1,4,4,4,4,8096,dissatisfied
First,16,3,3,2,5,2,3,1,8009,dissatisfied
Business,11,5,1,4,5,2,3,2,5076,neutral
