airport,wind_speed_kmh,visibility_km,precipitation_mm,temperature_c,humidity_pct,lightning_risk,fog_level,season,risk_level
LHR,7.1,10.2,46.2,1.9,45,0,light,spring,medium
NRT,23.5,12.1,29.4,24.7,19,0,none,summer,medium
SIN,98.1,16.1,15.3,10.7,51,0,none,winter,medium
FRA,83.7,17.4,41.1,32.4,76,1,none,winter,medium
SIN,99.2,5.4,30.2,24.5,61,1,heavy,autumn,high
FRA,5.4,13.0,35.5,35.6,56,0,none,autumn,low
FRA,36.1,14.3,28.5,11.1,38,0,heavy,summer,medium
BOM,29.8,5.4,34.8,40.1,46,0,none,spring,medium
CDG,80.2,9.4,10.7,3.2,82,1,heavy,autumn,medium
DXB,20.8,8.4,11.3,15.9,19,0,none,autumn,medium
SIN,7.9,6.5,40.5,4.8,52,1,light,winter,medium
LAX,91.6,13.0,50.0,0.7,47,0,none,winter,high
DXB,70.3,3.9,17.4,6.5,10,1,heavy,winter,high
LAX,47.4,11.3,13.6,5.0,14,0,light,autumn,medium
LHR,52.3,9.9,2.9,51.9,43,0,light,spring,medium
FRA,53.8,5.5,23.5,15.4,50,0,heavy,winter,medium
JFK,48.0,2.9,44.9,23.9,61,1,heavy,winter,high
LHR,26.4,14.3,13.7,13.8,56,1,light,autumn,low
BOM,104.7,12.2,26.9,22.4,89,0,heavy,spring,high
BOM,7.6,5.4,24.8,23.3,38,1,none,spring,medium
CDG,51.9,1.1,30.7,5.4,42,0,none,summer,high
BOM,52.4,17.5,24.2,20.3,34,0,heavy,winter,medium
BOM,29.9,14.6,6.5,-2.7,29,1,heavy,spring,low
SIN,94.8,15.1,6.9,13.1,35,0,light,winter,medium
LAX,53.1,17.6,11.4,25.3,65,1,none,spring,low
DXB,28.4,5.4,11.7,33.8,60,1,light,summer,medium
DXB,78.5,12.7,28.6,8.4,27,1,heavy,autumn,medium
LHR,18.9,18.3,31.9,40.0,78,0,heavy,spring,low
SYD,38.2,12.2,4.8,36.6,76,1,heavy,autumn,medium
LAX,116.9,2.4,21.9,10.3,94,1,heavy,winter,high
NRT,105.9,17.7,27.6,5.2,92,0,heavy,autumn,medium
SIN,80.6,8.3,43.9,10.7,48,0,heavy,winter,high
JFK,30.5,6.7,18.6,-4.5,81,0,none,spring,medium
SYD,81.7,6.3,34.2,1.8,19,0,none,spring,high
DXB,44.5,11.2,39.0,1.1,66,1,light,autumn,medium
JFK,22.3,13.6,3.3,24.8,44,0,heavy,summer,low
CDG,29.4,5.0,45.8,28.8,66,0,none,spring,medium
LHR,30.2,13.2,17.4,51.2,96,1,none,autumn,medium
DXB,31.2,12.5,5.3,34.3,94,0,heavy,summer,low
NRT,25.8,15.5,43.2,19.9,66,0,none,spring,medium
DXB,110.7,1.4,49.2,13.8,33,0,light,autumn,high
FRA,60.3,17.6,13.2,40.0,77,1,none,spring,medium
LAX,34.2,13.3,7.6,1.7,59,0,none,spring,low
CDG,87.7,17.5,35.3,20.5,98,1,light,spring,medium
BOM,119.8,0.1,0.5,1.5,54,1,heavy,autumn,high
SYD,1.4,0.8,39.8,28.6,59,0,heavy,autumn,medium
BOM,81.4,10.8,29.7,40.1,31,1,none,spring,medium
SYD,75.6,10.9,48.8,-3.3,18,1,none,autumn,high
DXB,72.9,11.9,33.7,48.5,49,0,heavy,winter,medium
JFK,35.3,11.5,17.8,5.6,15,1,heavy,summer,medium
LHR,27.0,6.3,23.1,9.1,19,1,heavy,winter,medium
CDG,57.5,2.2,17.8,22.5,85,0,none,autumn,high
LAX,101.4,18.5,36.3,3.4,30,0,light,autumn,medium
DXB,70.8,15.9,39.0,50.6,63,0,light,spring,medium
JFK,8.4,12.2,11.0,-3.9,82,1,light,spring,low
DXB,83.6,10.6,23.0,8.1,34,0,heavy,spring,medium
FRA,88.8,8.1,14.1,7.3,16,0,none,spring,medium
LHR,59.5,6.2,15.2,34.0,67,1,light,spring,medium
JFK,107.7,3.2,39.4,8.8,85,1,heavy,summer,high
SIN,24.0,11.2,3.0,32.5,95,1,heavy,summer,low
LAX,90.4,13.9,28.7,22.5,42,1,light,winter,medium
BOM,46.3,12.7,20.7,19.1,59,1,light,spring,medium
SYD,72.9,0.1,22.4,-1.1,86,0,none,spring,high
LAX,35.8,1.1,32.3,10.7,22,1,light,spring,high
LAX,67.1,15.5,25.8,9.4,27,0,light,spring,medium
LHR,26.9,11.2,15.2,0.9,30,0,none,summer,medium
SIN,24.0,13.6,44.9,11.1,35,1,none,summer,medium
SYD,47.2,13.4,26.0,33.3,27,1,none,spring,medium
BOM,57.5,15.5,36.8,18.1,78,1,light,summer,medium
SIN,93.2,4.8,46.5,29.0,77,0,heavy,spring,high
SYD,113.3,7.5,49.7,13.3,56,0,none,autumn,high
DXB,4.1,17.5,20.2,13.9,27,1,heavy,winter,low
LAX,56.9,8.4,7.2,33.2,98,1,none,winter,medium
CDG,32.1,10.6,43.5,18.8,21,1,none,summer,medium
DXB,54.1,18.5,22.0,-5.3,41,1,none,spring,low
FRA,43.7,10.4,6.6,18.3,22,1,light,spring,medium
SYD,38.9,9.8,32.8,11.9,50,1,heavy,winter,medium
LHR,100.6,3.3,29.8,22.3,42,1,light,spring,high
NRT,108.8,8.8,6.9,36.3,66,1,light,autumn,high
CDG,109.0,17.2,5.8,30.5,44,1,heavy,winter,medium
NRT,43.0,3.5,47.2,9.1,52,1,none,autumn,high
SIN,25.9,6.3,33.4,9.7,50,0,heavy,summer,medium
JFK,98.2,18.0,46.1,18.5,63,0,heavy,summer,medium
NRT,86.1,19.3,15.4,33.7,38,0,light,summer,medium
SYD,98.9,8.8,30.3,-6.2,81,0,none,spring,high
FRA,115.2,0.3,15.3,14.5,55,1,light,summer,high
NRT,7.9,18.4,47.5,21.4,22,0,light,autumn,low
NRT,48.5,3.3,13.6,37.8,34,0,heavy,summer,medium
NRT,111.6,12.4,24.2,32.6,38,0,none,winter,high
JFK,103.0,10.3,35.4,33.4,22,0,light,spring,high
CDG,16.1,1.2,7.8,-13.6,20,0,heavy,winter,medium
LHR,69.0,9.4,30.9,37.8,50,1,light,summer,medium
BOM,119.1,7.7,21.1,31.7,88,0,heavy,spring,high
LAX,74.8,14.7,40.1,29.6,58,1,none,winter,medium
CDG,21.1,17.7,30.1,25.7,54,0,light,spring,low
JFK,75.5,2.6,5.0,26.4,13,0,light,spring,high
JFK,99.3,5.8,8.1,25.9,39,0,heavy,spring,high
NRT,2.5,7.6,12.9,25.9,65,1,heavy,summer,medium
SIN,70.7,8.0,17.3,15.7,54,1,heavy,spring,medium
DXB,16.9,9.3,21.5,35.8,15,0,heavy,autumn,medium
BOM,33.5,4.6,33.5,20.8,94,1,heavy,autumn,medium
BOM,100.1,8.7,18.0,12.8,92,0,heavy,autumn,high
LHR,76.5,7.7,23.0,21.2,30,0,light,winter,medium
FRA,84.1,3.1,45.0,12.6,97,1,heavy,autumn,high
SIN,12.4,0.5,9.6,24.9,84,0,none,spring,medium
JFK,33.5,13.0,24.2,26.5,80,0,none,autumn,medium
SIN,13.6,3.9,16.4,9.2,14,1,heavy,summer,medium
JFK,67.0,12.4,40.3,27.7,27,1,none,winter,medium
CDG,19.4,2.2,1.4,-12.2,23,1,none,summer,medium
SIN,3.3,3.3,8.1,33.1,98,1,heavy,summer,medium
SIN,64.6,18.9,14.7,28.7,14,0,none,winter,low
BOM,82.7,17.4,43.5,14.3,11,0,heavy,spring,medium
SYD,40.5,10.3,34.8,3.9,84,0,light,winter,medium
LHR,118.8,6.9,20.7,17.3,54,1,light,summer,high
LAX,44.9,13.8,45.8,11.5,13,0,light,summer,medium
BOM,85.6,16.1,23.2,26.8,15,0,heavy,winter,medium
SIN,59.3,15.2,6.9,52.5,65,0,heavy,summer,medium
LHR,92.0,13.6,35.1,26.6,34,0,heavy,autumn,medium
LHR,109.0,1.1,45.9,21.0,90,0,light,winter,high
SYD,98.3,15.5,4.7,36.6,46,0,none,autumn,medium
SYD,84.0,16.0,15.7,21.9,62,1,light,autumn,medium
SYD,83.9,2.2,35.2,14.9,36,0,light,summer,high
LHR,75.9,3.1,9.9,2.0,50,0,heavy,winter,high
BOM,86.9,6.1,16.6,2.7,12,0,none,winter,high
JFK,113.3,3.3,33.2,15.4,28,0,light,summer,high
FRA,45.9,3.3,1.6,3.3,95,1,heavy,summer,medium
NRT,32.1,5.7,42.0,29.1,50,0,none,spring,medium
JFK,10.6,11.6,0.1,21.3,78,1,heavy,autumn,low
LHR,102.3,12.9,16.5,9.9,54,0,none,winter,medium
NRT,16.9,6.1,12.5,39.3,94,0,heavy,autumn,medium
DXB,24.9,18.2,39.1,25.3,43,0,heavy,autumn,low
SIN,112.3,15.7,1.5,31.0,11,0,heavy,summer,medium
BOM,107.6,10.1,43.4,28.1,60,0,none,autumn,high
SIN,116.3,4.5,22.3,12.0,98,0,none,winter,high
CDG,32.4,12.4,36.1,17.8,22,1,light,winter,medium
LAX,64.4,0.8,12.0,47.1,13,0,heavy,winter,high
BOM,39.4,3.5,35.6,-3.7,92,1,none,winter,high
LAX,95.6,8.8,7.7,31.9,96,1,heavy,summer,medium
SYD,35.2,16.2,33.6,7.5,25,1,light,summer,medium
LAX,117.7,9.2,34.1,23.0,40,0,heavy,summer,high
FRA,22.1,4.9,47.7,29.9,25,1,heavy,spring,medium
SYD,117.9,5.3,35.4,18.7,93,1,none,autumn,high
DXB,51.3,7.4,42.1,26.9,96,1,heavy,summer,medium
LAX,25.0,11.8,3.3,-15.4,47,0,light,winter,low
SYD,57.6,1.3,29.9,20.7,12,1,light,spring,high
CDG,108.0,10.5,18.1,29.8,58,0,heavy,spring,high
DXB,69.9,6.5,14.8,2.1,63,1,none,summer,medium
LHR,50.8,16.5,8.1,13.8,21,1,none,summer,low
BOM,27.3,5.8,11.7,29.3,55,1,light,winter,medium
LAX,52.7,5.1,30.2,21.6,68,1,heavy,summer,medium
CDG,42.0,11.4,36.9,37.4,81,0,none,spring,medium
SIN,50.1,15.4,25.7,8.5,44,1,none,winter,medium
LHR,31.0,9.4,19.1,23.7,72,1,none,winter,medium
NRT,80.3,15.0,41.4,15.5,15,0,heavy,spring,medium
FRA,97.4,4.5,28.9,34.7,72,1,heavy,summer,high
NRT,4.6,10.9,40.4,13.4,71,0,light,summer,medium
CDG,67.8,19.1,18.9,17.2,18,0,light,spring,medium
CDG,56.9,15.7,31.8,28.0,92,1,light,autumn,medium
SYD,17.4,5.4,48.0,0.8,22,1,light,winter,medium
SYD,27.9,19.3,3.2,37.5,43,1,none,autumn,low
LAX,39.7,17.2,33.6,-7.2,62,0,heavy,winter,medium
LHR,64.0,3.2,36.4,4.2,76,0,heavy,spring,high
DXB,20.2,11.9,2.7,16.2,63,0,heavy,autumn,low
JFK,107.0,14.6,34.7,-10.3,94,1,none,autumn,high
CDG,50.8,6.1,28.5,3.2,61,0,none,autumn,medium
CDG,98.8,4.2,14.3,32.3,87,1,heavy,winter,high
NRT,55.8,9.7,16.7,8.6,75,0,heavy,autumn,medium
BOM,115.2,3.3,31.6,5.3,99,0,none,autumn,high
CDG,100.3,16.7,25.4,20.3,58,0,light,summer,medium
NRT,108.6,13.1,45.8,26.9,91,1,light,summer,high
DXB,31.9,1.9,48.6,11.0,82,1,light,autumn,high
LHR,97.9,0.1,29.9,26.4,90,1,none,autumn,high
BOM,81.5,2.2,25.0,34.3,98,0,none,winter,high
JFK,62.6,10.7,35.0,8.7,37,1,light,winter,medium
FRA,63.6,15.0,0.3,36.5,22,1,light,winter,medium
SYD,57.7,3.8,38.3,33.9,63,1,light,summer,high
FRA,45.3,8.4,0.6,40.3,97,0,light,autumn,medium
CDG,102.9,16.9,31.6,15.8,13,0,light,autumn,medium
LAX,19.1,3.9,11.3,31.1,19,1,none,spring,medium
LAX,115.1,14.8,45.4,42.4,12,1,none,spring,high
SYD,47.7,14.8,15.6,15.4,26,1,light,winter,medium
FRA,49.8,2.1,10.8,44.7,40,1,heavy,winter,medium
DXB,72.8,5.0,46.5,21.9,74,1,light,spring,high
NRT,23.0,1.2,13.8,18.4,19,1,light,spring,medium
SIN,10.5,18.7,23.3,0.6,39,1,none,spring,low
BOM,110.4,13.7,30.3,30.3,48,0,light,spring,high
BOM,95.5,19.2,37.8,47.8,40,0,heavy,summer,medium
FRA,17.4,10.7,33.8,-0.8,26,1,light,summer,medium
LAX,83.1,12.8,1.2,27.4,48,0,light,spring,medium
NRT,105.9,9.3,49.4,33.2,83,0,none,winter,high
NRT,110.4,12.2,38.7,10.5,66,1,light,autumn,high
LAX,97.8,16.5,31.1,18.3,79,0,light,autumn,medium
NRT,63.1,13.1,25.6,27.2,89,1,heavy,autumn,medium
BOM,27.3,19.2,49.8,-3.5,23,1,none,winter,medium
FRA,25.3,16.6,18.7,20.2,56,0,heavy,winter,low
SYD,62.4,9.3,36.1,1.2,27,0,none,autumn,medium
SYD,60.9,4.5,44.9,35.5,40,0,none,summer,high
LHR,45.1,16.2,5.2,30.4,52,0,none,winter,low
NRT,4.8,18.9,33.1,11.8,31,0,light,winter,low
JFK,79.3,11.8,39.4,22.5,87,1,heavy,spring,medium
SIN,46.2,2.6,21.0,-21.2,36,1,light,winter,medium
SIN,55.6,14.8,35.3,28.9,11,0,heavy,summer,medium
LAX,117.7,19.5,6.5,28.7,30,1,heavy,summer,medium
NRT,70.6,3.4,7.5,13.4,62,1,heavy,spring,medium
LHR,102.9,15.4,35.7,46.4,61,1,light,spring,medium
JFK,54.7,5.3,4.6,26.0,30,1,light,summer,medium
FRA,112.9,2.3,11.4,24.2,98,0,light,autumn,high
CDG,10.3,15.5,12.2,40.3,94,0,light,spring,low
SYD,59.7,10.8,28.4,35.7,48,1,none,spring,medium
LAX,11.1,12.4,36.6,15.0,52,1,heavy,autumn,medium
SYD,102.0,0.3,36.0,27.5,44,0,heavy,autumn,high
FRA,85.0,9.6,47.6,39.4,42,0,none,spring,high
NRT,7.6,14.0,11.0,34.6,32,1,light,winter,low
BOM,101.7,13.1,31.1,25.7,52,1,none,autumn,high
BOM,49.4,3.9,9.0,16.1,59,1,heavy,autumn,medium
BOM,9.5,5.5,45.2,24.3,37,1,heavy,autumn,medium
NRT,34.2,2.7,48.8,12.1,59,0,heavy,summer,high
LHR,106.8,16.5,4.1,19.1,44,1,heavy,spring,medium
BOM,106.6,7.2,42.5,14.2,83,1,heavy,summer,high
JFK,5.7,3.2,23.3,14.2,85,0,light,autumn,medium
SIN,44.9,4.8,35.8,17.5,24,0,light,winter,medium
SIN,77.0,3.5,37.0,40.1,60,0,light,spring,high
FRA,105.3,15.0,22.4,10.4,16,1,none,autumn,medium
JFK,98.0,15.4,28.5,32.6,48,0,light,spring,medium
BOM,60.4,9.6,7.5,18.4,89,1,none,summer,medium
CDG,20.3,10.9,49.0,47.0,84,0,heavy,spring,medium
DXB,15.1,2.4,47.8,45.1,13,1,heavy,summer,medium
DXB,25.0,19.8,49.4,16.2,86,0,heavy,summer,low
DXB,44.0,15.3,31.6,0.6,72,0,light,autumn,medium
LHR,26.4,13.3,44.5,7.6,16,1,none,spring,medium
SIN,74.6,8.1,17.9,51.2,94,1,light,autumn,medium
DXB,104.5,8.9,6.7,23.8,92,1,none,summer,medium
SIN,60.0,5.4,6.3,51.9,34,0,heavy,summer,medium
SIN,51.1,6.0,34.3,47.2,99,0,light,summer,medium
DXB,4.8,16.2,49.6,44.5,38,0,heavy,winter,low
FRA,101.3,8.0,13.8,13.0,53,0,heavy,summer,high
LAX,115.8,8.5,29.1,38.6,20,1,none,spring,high
SIN,100.0,4.4,40.4,30.4,47,0,heavy,summer,high
SIN,115.5,17.0,12.4,41.6,94,0,light,summer,medium
CDG,105.4,9.4,28.1,7.6,27,0,none,spring,high
SYD,25.8,18.3,5.1,21.2,88,1,none,autumn,low
LHR,79.4,14.9,35.2,34.3,28,1,light,summer,medium
CDG,64.0,3.0,26.9,45.6,46,0,none,autumn,high
SIN,23.3,15.0,3.9,-4.5,62,1,none,summer,low
DXB,100.9,19.5,38.3,53.3,85,0,light,spring,medium
CDG,104.5,11.9,28.4,17.3,36,0,light,spring,high
FRA,25.9,2.8,39.4,-1.2,91,0,heavy,autumn,medium
CDG,65.4,7.2,28.1,-0.3,86,1,light,winter,medium
JFK,5.8,2.9,30.0,-34.3,40,0,heavy,autumn,medium
FRA,26.2,15.7,8.7,3.6,20,0,light,spring,low
LHR,58.3,6.1,11.8,13.9,81,0,heavy,spring,medium
JFK,114.5,12.7,42.7,39.5,60,1,light,autumn,high
FRA,50.3,13.2,31.5,37.7,55,1,none,spring,medium
SIN,14.8,18.1,12.6,29.5,91,1,light,winter,low
LHR,26.7,4.2,32.3,33.4,65,0,heavy,winter,medium
LAX,75.4,12.6,42.2,36.5,19,0,heavy,spring,medium
FRA,111.4,15.4,2.5,38.5,99,1,none,summer,medium
CDG,104.3,6.7,21.3,34.0,39,0,heavy,summer,high
NRT,101.1,2.0,41.6,5.1,23,1,light,winter,high
SYD,4.8,3.9,27.8,23.0,73,0,none,summer,medium
SYD,70.5,18.1,17.0,37.2,74,0,none,autumn,medium
JFK,55.5,19.2,48.7,-12.3,24,0,light,autumn,medium
CDG,66.0,12.1,14.1,25.2,43,1,none,winter,medium
LAX,0.2,11.0,27.2,16.2,96,1,heavy,winter,low
NRT,59.1,17.8,48.5,4.6,70,1,heavy,winter,medium
SYD,114.7,16.2,22.3,22.9,70,0,none,winter,medium
NRT,52.2,13.1,43.2,18.9,24,0,none,summer,medium
JFK,44.0,18.7,19.1,7.3,45,1,none,spring,low
LAX,118.0,19.1,7.9,23.0,96,1,none,autumn,medium
NRT,76.7,14.8,14.5,11.1,85,0,light,spring,medium
DXB,46.3,18.7,13.4,27.3,25,1,light,winter,low
JFK,63.4,7.7,47.2,37.2,85,1,none,summer,high
JFK,38.8,19.3,30.9,22.1,57,0,none,winter,low
FRA,74.4,3.2,25.8,40.4,18,0,heavy,autumn,high
DXB,83.0,16.5,5.9,33.4,90,0,light,summer,medium
BOM,72.3,1.0,12.5,19.0,56,0,light,spring,high
CDG,36.4,16.1,12.0,29.9,61,1,light,autumn,low
NRT,98.7,7.3,18.2,2.6,35,0,light,spring,high
FRA,104.1,9.4,23.4,28.8,69,1,none,summer,high
SYD,83.4,3.9,7.1,29.4,89,0,heavy,winter,high
CDG,9.8,11.1,29.8,42.4,86,1,heavy,autumn,medium
JFK,38.1,4.6,15.3,32.6,63,1,light,summer,medium
SIN,61.3,16.2,29.1,15.4,20,0,none,spring,medium
SIN,107.2,15.7,29.9,14.3,22,0,none,summer,medium
DXB,34.0,13.5,1.8,22.9,85,0,heavy,summer,low
LAX,36.8,4.1,15.6,0.4,92,1,heavy,spring,medium
CDG,11.3,3.1,11.0,31.9,34,1,none,spring,medium
JFK,84.8,4.8,3.9,20.9,82,0,light,spring,high
BOM,69.9,6.6,45.4,9.9,59,0,light,autumn,high
DXB,112.4,7.1,13.4,28.2,17,1,heavy,autumn,high
FRA,118.7,4.1,36.0,12.2,57,1,none,spring,high
LHR,11.8,17.0,49.4,9.5,36,0,none,spring,low
FRA,34.2,5.5,21.0,-2.4,27,0,heavy,spring,medium
DXB,26.9,1.7,24.3,5.2,74,0,light,winter,medium
NRT,74.5,2.7,8.4,32.5,96,1,light,spring,high
FRA,26.9,10.7,37.8,29.3,96,0,none,autumn,medium
LAX,112.2,0.8,46.7,13.0,33,0,heavy,summer,high
FRA,77.7,11.5,46.4,29.6,56,1,heavy,autumn,high
JFK,58.8,11.5,23.5,21.5,33,1,none,winter,medium
LAX,80.2,14.3,30.1,33.7,37,0,none,spring,medium
SYD,118.0,7.4,41.0,22.6,72,1,light,autumn,high
LHR,54.4,10.2,35.2,9.4,61,0,heavy,winter,medium
SYD,40.6,0.8,16.7,21.6,19,1,none,spring,medium
LHR,39.7,15.7,45.7,5.7,90,0,none,autumn,medium
SIN,30.6,9.0,36.2,52.3,72,0,light,summer,medium
JFK,54.4,8.6,41.0,27.8,23,0,none,autumn,medium
DXB,80.3,11.0,9.7,20.3,74,1,heavy,summer,medium
BOM,114.3,12.3,25.1,18.4,57,1,heavy,winter,high
SYD,36.6,16.5,39.1,-17.6,22,1,light,summer,medium
CDG,42.6,18.2,30.6,14.3,35,0,heavy,spring,medium
NRT,116.0,17.8,35.4,11.1,91,0,light,spring,medium
FRA,7.1,9.1,34.9,14.0,52,1,heavy,winter,medium
BOM,118.3,15.3,0.3,16.3,52,1,heavy,autumn,medium
NRT,42.6,11.9,29.6,23.2,67,0,light,summer,medium
DXB,73.8,16.5,37.1,18.7,22,0,heavy,winter,medium
LAX,36.4,3.1,15.2,25.5,26,0,light,autumn,medium
CDG,49.4,1.8,25.3,53.6,69,0,none,summer,high
LHR,26.3,17.8,19.6,15.7,98,1,heavy,winter,low
DXB,18.3,18.6,25.3,14.4,39,1,none,summer,low
DXB,116.7,8.5,46.8,-9.1,18,0,heavy,winter,high
JFK,72.3,3.2,24.0,1.8,79,1,light,winter,high
NRT,10.0,16.6,16.2,22.3,41,1,heavy,autumn,low
CDG,35.1,14.8,38.1,12.7,53,1,heavy,winter,medium
LHR,97.1,17.1,35.5,16.0,18,0,light,autumn,medium
BOM,60.3,11.5,20.3,10.4,48,0,none,winter,medium
JFK,85.8,19.5,39.6,-16.6,40,1,none,autumn,medium
JFK,9.9,11.5,0.2,36.0,24,0,none,autumn,low
SYD,46.4,4.2,46.7,23.2,45,1,none,summer,high
JFK,108.2,9.1,33.5,21.8,39,1,none,summer,high
CDG,56.6,8.1,32.3,16.3,86,0,heavy,autumn,medium
LAX,30.3,7.0,37.8,12.7,77,0,heavy,autumn,medium
FRA,4.8,13.8,11.9,31.5,94,1,light,spring,low
DXB,62.5,15.1,8.3,-3.7,55,1,light,autumn,medium
DXB,84.2,11.5,43.0,2.2,76,1,heavy,autumn,high
SIN,53.0,16.7,46.0,27.6,96,0,heavy,summer,medium
LHR,15.9,16.8,29.2,40.5,91,0,light,summer,low
FRA,62.2,13.6,23.8,24.0,75,1,light,autumn,medium
CDG,53.2,7.2,40.5,18.9,53,0,heavy,spring,medium
NRT,100.6,19.3,34.1,33.0,74,0,heavy,spring,medium
LHR,99.5,7.9,17.9,-9.2,54,1,none,summer,high
LAX,42.8,2.3,2.3,7.2,42,0,none,summer,medium
CDG,49.6,13.3,20.2,24.5,74,1,none,winter,medium
JFK,25.1,15.4,35.0,5.0,62,1,none,winter,medium
LAX,32.2,18.7,41.2,28.3,49,1,light,summer,low
LHR,96.9,2.9,2.7,12.6,19,1,heavy,summer,high
LAX,113.5,2.6,29.6,30.6,49,0,heavy,spring,high
DXB,100.9,14.3,3.2,9.1,50,1,light,spring,medium
BOM,36.5,13.2,0.3,25.0,49,1,none,summer,low
LAX,74.9,8.1,45.5,1.8,52,1,none,autumn,high
CDG,62.9,11.4,14.0,22.0,85,0,none,autumn,medium
FRA,69.8,1.9,10.9,49.1,88,1,heavy,summer,high
FRA,18.8,9.0,5.7,7.6,43,0,heavy,autumn,medium
BOM,104.7,13.9,37.9,16.6,78,1,heavy,summer,high
LAX,63.8,13.8,12.3,5.3,32,1,light,autumn,medium
SIN,52.7,7.9,39.9,16.6,22,1,none,summer,medium
DXB,65.2,16.2,8.9,-3.2,78,0,none,autumn,medium
JFK,87.0,12.5,1.9,-1.5,43,0,heavy,winter,medium
NRT,69.1,15.6,26.2,20.5,63,0,light,spring,medium
NRT,82.1,16.1,25.7,4.9,11,1,heavy,summer,medium
DXB,11.2,9.5,35.2,21.5,17,1,none,summer,medium
BOM,36.2,7.3,30.7,31.2,45,1,none,summer,medium
CDG,62.2,11.1,21.6,15.8,73,1,light,autumn,medium
CDG,86.8,8.0,18.5,13.8,43,1,heavy,winter,high
DXB,74.5,5.3,40.6,10.0,18,1,light,summer,high
LHR,9.1,15.2,45.7,39.9,52,0,heavy,winter,medium
NRT,108.7,10.8,27.2,34.9,34,0,heavy,spring,high
LHR,60.9,3.8,41.3,11.3,10,0,heavy,winter,high
FRA,98.1,1.6,33.8,16.8,56,0,none,winter,high
BOM,115.9,9.1,2.0,5.7,49,1,heavy,winter,high
SYD,17.0,16.0,31.7,27.8,85,1,heavy,summer,low
NRT,80.1,3.6,6.4,8.4,26,0,heavy,spring,high
SIN,66.8,10.1,27.3,34.1,15,0,none,winter,medium
BOM,17.8,12.6,29.7,-2.7,19,1,light,autumn,medium
DXB,51.7,17.0,0.9,16.0,43,1,none,winter,low
FRA,9.4,1.2,36.1,25.1,20,0,none,autumn,medium
JFK,15.1,7.1,27.6,45.9,32,1,none,winter,medium
DXB,8.2,15.5,33.9,37.7,16,0,heavy,winter,low
FRA,73.4,16.5,19.5,36.4,51,0,light,winter,medium
JFK,76.9,12.4,19.3,20.4,96,0,none,autumn,medium
SYD,64.6,10.5,26.0,26.5,77,0,none,spring,medium
CDG,79.2,10.1,23.7,-4.2,21,0,light,winter,medium
JFK,99.2,18.7,41.8,24.8,19,1,none,winter,medium
LHR,26.8,18.5,20.3,21.1,17,1,light,autumn,low
LAX,87.3,18.2,36.8,33.4,81,0,heavy,summer,medium
CDG,14.7,17.9,48.0,-30.2,83,1,heavy,summer,low
FRA,70.8,16.6,37.1,25.8,33,0,light,spring,medium
BOM,97.3,7.9,5.9,-4.2,72,1,light,summer,medium
NRT,118.2,11.9,41.7,45.8,72,0,heavy,summer,high
SIN,66.1,12.2,43.5,34.4,47,1,none,summer,medium
LHR,10.5,16.7,15.9,9.6,59,1,heavy,spring,low
SYD,52.1,8.6,20.8,16.7,61,0,none,summer,medium
BOM,53.0,19.8,15.0,5.8,40,1,heavy,summer,low
LAX,60.5,1.4,47.1,18.6,29,0,heavy,autumn,high
NRT,76.6,1.5,10.1,1.1,18,1,light,autumn,high
LAX,99.4,0.9,19.0,13.2,68,1,light,summer,high
CDG,111.4,12.8,15.7,16.5,28,0,light,winter,medium
SIN,101.4,4.4,1.2,16.4,59,1,none,summer,high
BOM,80.8,9.6,37.6,23.1,84,1,none,spring,high
SIN,10.0,5.1,19.8,35.2,86,0,heavy,spring,medium
FRA,25.1,1.6,33.7,35.0,69,1,heavy,spring,medium
NRT,109.4,1.2,22.1,34.9,98,1,none,autumn,high
SYD,76.1,13.2,24.2,13.4,51,1,heavy,autumn,medium
NRT,101.8,10.3,23.0,30.8,79,0,none,autumn,high
LHR,72.1,16.9,24.6,7.7,66,1,light,winter,medium
NRT,93.4,3.2,44.7,27.9,66,0,heavy,spring,high
DXB,92.4,15.7,32.5,18.3,81,0,none,autumn,medium
SYD,103.4,15.4,12.2,52.3,41,1,light,winter,medium
NRT,10.4,0.2,28.7,2.5,14,0,heavy,winter,medium
SYD,108.9,19.4,48.5,24.0,63,1,light,winter,medium
DXB,119.6,9.2,21.5,25.5,66,1,heavy,autumn,high
LHR,27.5,13.6,9.8,36.3,68,0,none,summer,low
DXB,77.1,14.6,20.5,4.7,13,1,light,spring,medium
NRT,6.1,10.2,14.1,33.1,36,0,none,spring,low
DXB,102.7,1.5,33.5,26.0,13,1,light,spring,high
BOM,14.1,3.8,26.0,49.2,13,1,light,autumn,medium
LHR,28.1,12.7,48.6,25.2,98,0,none,autumn,medium
DXB,71.0,9.3,28.2,44.8,62,1,heavy,spring,medium
BOM,119.9,2.1,27.1,19.7,57,1,none,summer,high
NRT,103.8,11.9,10.3,11.1,74,0,heavy,spring,medium
SYD,103.8,9.5,17.9,19.9,37,1,none,winter,high
CDG,89.1,16.2,34.6,23.1,61,1,none,spring,medium
CDG,83.9,6.1,49.5,19.9,37,1,none,winter,high
FRA,24.7,15.0,31.0,13.8,11,1,heavy,summer,medium
SIN,78.5,16.8,49.1,20.5,43,1,none,summer,medium
FRA,12.3,0.1,9.7,4.7,19,1,heavy,winter,medium
CDG,51.7,0.5,37.4,14.6,68,1,light,spring,high
JFK,90.5,11.5,22.3,-13.4,88,0,light,summer,medium
