preferred_class,budget_usd,preferred_airline,avg_rating_given,trips_per_year,loyalty_tier,prefers_direct,recommended_airline
Business,542,SkyMind,2.6,29,Gold,0,EuroWings
Economy,3056,PacificAir,2.6,21,Gold,1,SkyMind
Business,2159,PacificAir,2.8,24,Silver,0,AeroGulf
First,1277,PacificAir,1.8,13,Platinum,1,PacificAir
Economy,4406,AeroGulf,1.6,27,Silver,1,SkyMind
Business,2329,PacificAir,4.1,2,Gold,1,AeroGulf
Economy,4942,PacificAir,3.4,22,Silver,0,SkyMind
First,1371,PacificAir,1.6,28,Silver,1,PacificAir
Economy,4625,PacificAir,3.0,29,Silver,1,SkyMind
First,2309,PacificAir,5.0,27,Bronze,0,AeroGulf
Economy,578,EuroWings,3.1,27,Platinum,0,EuroWings
Economy,4532,PacificAir,4.6,22,Silver,1,SkyMind
Economy,134,AeroGulf,4.3,26,Bronze,0,AsiaJet
First,4724,PacificAir,1.4,15,Bronze,1,SkyMind
Economy,3588,EuroWings,2.6,16,Bronze,0,SkyMind
Business,2202,AeroGulf,3.2,16,Gold,0,AeroGulf
Economy,4933,EuroWings,3.6,29,Bronze,1,SkyMind
Economy,3829,AsiaJet,2.2,18,Bronze,0,SkyMind
Economy,4869,SkyMind,1.0,1,Platinum,1,SkyMind
First,2537,AsiaJet,2.2,5,Gold,0,AeroGulf
Business,589,AsiaJet,3.3,12,Gold,0,EuroWings
Business,3541,AeroGulf,2.4,3,Platinum,0,SkyMind
Economy,1313,SkyMind,2.5,3,Bronze,1,PacificAir
Business,4135,SkyMind,4.3,21,Gold,1,SkyMind
Business,1633,AsiaJet,2.7,9,Bronze,1,PacificAir
Economy,1570,SkyMind,4.9,12,Gold,0,PacificAir
Business,3065,AsiaJet,1.7,6,Silver,0,SkyMind
First,3063,SkyMind,1.4,3,Platinum,1,SkyMind
Business,4412,EuroWings,1.9,8,Gold,0,SkyMind
Economy,3738,EuroWings,1.4,24,Gold,1,SkyMind
Economy,564,AsiaJet,2.0,26,Bronze,1,EuroWings
Business,4123,PacificAir,3.2,18,Bronze,0,SkyMind
Economy,3398,AsiaJet,2.0,2,Bronze,0,SkyMind
First,4823,EuroWings,4.3,24,Platinum,0,SkyMind
Business,2487,AeroGulf,2.4,3,Silver,1,AeroGulf
First,3008,PacificAir,2.6,2,Silver,0,SkyMind
Business,4661,SkyMind,1.3,27,Silver,0,SkyMind
Business,3071,AeroGulf,2.1,5,Bronze,1,SkyMind
Economy,3379,AeroGulf,1.5,26,Platinum,1,SkyMind
Economy,543,SkyMind,1.9,10,Bronze,1,EuroWings
Economy,540,AsiaJet,3.6,11,Gold,1,EuroWings
Economy,1198,EuroWings,2.5,27,Bronze,1,PacificAir
Business,626,PacificAir,1.1,27,Platinum,1,EuroWings
First,1941,EuroWings,2.1,20,Gold,1,PacificAir
First,2195,PacificAir,4.5,16,Platinum,0,AeroGulf
First,2385,EuroWings,2.5,13,Platinum,1,AeroGulf
First,3395,EuroWings,3.3,10,Silver,1,SkyMind
Economy,4273,AsiaJet,2.9,19,Gold,1,SkyMind
Economy,4745,AsiaJet,4.9,19,Silver,0,SkyMind
Economy,822,SkyMind,2.1,7,Bronze,0,EuroWings
Business,2312,AeroGulf,3.8,24,Silver,1,AeroGulf
Business,2545,AsiaJet,3.4,27,Platinum,1,AeroGulf
First,161,PacificAir,3.5,26,Platinum,1,AsiaJet
Economy,2857,PacificAir,4.2,3,Platinum,0,AeroGulf
First,2142,EuroWings,1.7,12,Silver,0,AeroGulf
Economy,4143,AeroGulf,4.4,28,Platinum,1,SkyMind
Economy,4835,EuroWings,1.4,11,Platinum,1,SkyMind
Economy,835,AeroGulf,3.7,5,Gold,1,EuroWings
Economy,169,EuroWings,1.8,12,Platinum,0,AsiaJet
Business,2954,AeroGulf,3.6,2,Platinum,1,AeroGulf
First,2986,AsiaJet,1.5,25,Gold,0,AeroGulf
Business,4706,AsiaJet,3.8,16,Silver,1,SkyMind
Economy,3028,AsiaJet,2.3,9,Gold,0,SkyMind
Business,3716,AsiaJet,3.7,20,Gold,0,SkyMind
Economy,2181,SkyMind,3.2,5,Platinum,1,AeroGulf
First,4242,PacificAir,1.9,12,Gold,0,SkyMind
Economy,1103,AsiaJet,3.1,18,Bronze,0,PacificAir
First,4232,AsiaJet,1.6,16,Bronze,0,SkyMind
First,230,SkyMind,5.0,5,Bronze,0,AsiaJet
First,3623,PacificAir,3.4,18,Bronze,1,SkyMind
Business,2992,EuroWings,3.0,27,Bronze,0,AeroGulf
First,1901,PacificAir,4.7,23,Platinum,1,PacificAir
First,2808,AeroGulf,2.2,19,Gold,0,AeroGulf
Economy,566,EuroWings,1.9,19,Platinum,0,EuroWings
Business,171,EuroWings,3.5,11,Gold,1,AsiaJet
Business,3289,AeroGulf,4.6,19,Platinum,1,SkyMind
Economy,4006,AsiaJet,3.6,23,Platinum,0,SkyMind
Business,357,PacificAir,1.1,13,Bronze,0,AsiaJet
First,3722,AeroGulf,4.5,26,Bronze,0,SkyMind
Economy,1439,PacificAir,2.2,5,Silver,0,PacificAir
Economy,1968,EuroWings,4.5,4,Gold,1,PacificAir
Economy,3074,EuroWings,4.9,21,Gold,1,SkyMind
First,1219,AsiaJet,3.6,7,Gold,0,PacificAir
Economy,3554,AsiaJet,2.1,3,Gold,1,SkyMind
First,806,AeroGulf,1.9,19,Gold,0,EuroWings
First,4413,PacificAir,3.8,23,Platinum,1,SkyMind
Economy,1130,AsiaJet,1.2,17,Silver,0,PacificAir
Business,797,PacificAir,3.6,13,Silver,1,EuroWings
Economy,4074,SkyMind,2.2,18,Silver,1,SkyMind
Economy,4325,AeroGulf,1.0,8,Platinum,1,SkyMind
Business,774,PacificAir,3.5,22,Platinum,0,EuroWings
Business,3463,AsiaJet,3.3,9,Gold,0,SkyMind
First,4172,AsiaJet,3.1,21,Gold,0,SkyMind
Business,1534,PacificAir,2.0,23,Silver,0,PacificAir
Business,2813,EuroWings,4.7,10,Platinum,1,AeroGulf
Business,1907,SkyMind,1.1,8,Bronze,0,PacificAir
Economy,2795,AeroGulf,1.4,24,Bronze,1,AeroGulf
First,2270,PacificAir,2.6,8,Gold,0,AeroGulf
Business,1124,AsiaJet,2.6,17,Bronze,1,PacificAir
First,2612,AeroGulf,1.5,17,Platinum,1,AeroGulf
First,3275,PacificAir,4.9,9,Platinum,0,SkyMind
First,2521,AsiaJet,4.9,21,Silver,1,AeroGulf
Economy,697,SkyMind,4.1,8,Bronze,1,EuroWings
Economy,1611,PacificAir,2.2,1,Gold,0,PacificAir
First,131,PacificAir,2.4,27,Platinum,1,AsiaJet
Economy,2431,AeroGulf,4.6,16,Bronze,0,AeroGulf
First,4247,AeroGulf,1.0,29,Platinum,0,SkyMind
Business,4810,AsiaJet,1.6,9,Platinum,1,SkyMind
Business,2513,EuroWings,2.1,20,Silver,1,AeroGulf
Business,333,SkyMind,5.0,26,Bronze,1,AsiaJet
Economy,3605,AsiaJet,1.2,23,Platinum,0,SkyMind
First,4593,AsiaJet,3.6,18,Platinum,1,SkyMind
Economy,2345,AeroGulf,4.2,6,Platinum,1,AeroGulf
First,2250,AsiaJet,1.4,9,Gold,0,AeroGulf
First,2390,SkyMind,1.5,28,Platinum,1,AeroGulf
Economy,3249,PacificAir,2.1,26,Platinum,0,SkyMind
Business,4352,EuroWings,3.4,14,Gold,0,SkyMind
Economy,2928,EuroWings,2.0,16,Bronze,1,AeroGulf
Economy,4747,PacificAir,3.0,12,Platinum,0,SkyMind
Economy,2262,AeroGulf,1.8,19,Bronze,1,AeroGulf
Business,1529,AsiaJet,4.0,8,Platinum,0,PacificAir
Economy,677,EuroWings,2.6,5,Gold,1,EuroWings
Business,143,AeroGulf,1.8,28,Bronze,1,AsiaJet
Business,1307,AsiaJet,4.2,16,Gold,0,PacificAir
Business,1079,EuroWings,2.0,9,Gold,1,PacificAir
Business,250,EuroWings,3.1,7,Silver,1,AsiaJet
Business,378,PacificAir,1.1,9,Platinum,1,AsiaJet
Business,1309,AeroGulf,2.2,17,Platinum,0,PacificAir
Economy,595,SkyMind,1.7,16,Bronze,0,EuroWings
Business,2320,EuroWings,2.0,4,Platinum,1,AeroGulf
Business,887,AsiaJet,4.9,18,Gold,0,EuroWings
Economy,1087,AeroGulf,2.5,21,Platinum,1,PacificAir
First,1087,EuroWings,1.6,28,Gold,0,PacificAir
Business,2032,SkyMind,5.0,18,Silver,0,AeroGulf
First,4818,SkyMind,2.2,27,Gold,0,SkyMind
Business,2406,EuroWings,4.0,19,Gold,0,AeroGulf
Economy,295,PacificAir,4.5,28,Bronze,0,AsiaJet
Economy,4883,EuroWings,2.4,5,Gold,1,SkyMind
First,4661,EuroWings,3.6,5,Silver,0,SkyMind
Business,814,AsiaJet,1.2,26,Bronze,0,EuroWings
Economy,971,AsiaJet,2.6,4,Silver,1,EuroWings
Economy,3499,PacificAir,4.6,6,Bronze,0,SkyMind
Economy,2260,AsiaJet,4.2,29,Platinum,1,AeroGulf
First,615,EuroWings,2.0,9,Silver,1,EuroWings
Economy,458,PacificAir,1.1,25,Gold,0,AsiaJet
First,2420,AsiaJet,3.5,15,Bronze,0,AeroGulf
Economy,4081,AsiaJet,1.5,24,Gold,1,SkyMind
Economy,1067,EuroWings,4.3,6,Platinum,0,PacificAir
Business,1250,PacificAir,2.9,24,Silver,1,PacificAir
Economy,3112,AsiaJet,2.6,12,Platinum,1,SkyMind
Economy,4035,AeroGulf,2.0,14,Platinum,1,SkyMind
First,3865,EuroWings,3.2,17,Platinum,0,SkyMind
Business,4020,AeroGulf,4.3,27,Gold,1,SkyMind
Business,3607,SkyMind,2.9,12,Silver,0,SkyMind
Business,3206,AsiaJet,1.4,21,Bronze,1,SkyMind
Economy,661,AeroGulf,3.2,9,Bronze,1,EuroWings
Business,3532,SkyMind,2.3,8,Bronze,1,SkyMind
Economy,2012,EuroWings,3.1,22,Bronze,1,AeroGulf
Business,2704,AeroGulf,1.3,14,Gold,1,AeroGulf
First,1815,PacificAir,1.3,27,Gold,0,PacificAir
Economy,2752,EuroWings,3.9,10,Gold,0,AeroGulf
Economy,1349,EuroWings,3.0,12,Gold,0,PacificAir
First,3457,PacificAir,2.6,13,Gold,0,SkyMind
Business,3764,EuroWings,4.8,12,Platinum,0,SkyMind
Business,949,SkyMind,1.8,24,Bronze,0,EuroWings
First,3932,AsiaJet,4.6,15,Silver,1,SkyMind
First,4826,EuroWings,4.3,12,Bronze,1,SkyMind
First,2400,AeroGulf,3.1,28,Bronze,0,AeroGulf
Business,807,EuroWings,2.8,27,Gold,0,EuroWings
Business,2160,PacificAir,1.5,4,Platinum,0,AeroGulf
Economy,1902,AeroGulf,2.5,15,Bronze,0,PacificAir
First,2257,PacificAir,3.2,9,Platinum,0,AeroGulf
Economy,4374,EuroWings,2.4,18,Platinum,0,SkyMind
Economy,3865,SkyMind,4.7,28,Gold,0,SkyMind
Economy,445,AeroGulf,1.2,8,Gold,0,AsiaJet
Economy,3958,EuroWings,2.2,27,Gold,0,SkyMind
Economy,2104,EuroWings,4.7,24,Silver,1,AeroGulf
Economy,1741,PacificAir,1.3,2,Platinum,1,PacificAir
First,2327,EuroWings,2.9,15,Platinum,0,AeroGulf
Business,1238,SkyMind,4.0,16,Bronze,0,PacificAir
Economy,910,AeroGulf,2.4,22,Platinum,0,EuroWings
Business,1945,EuroWings,4.2,9,Bronze,0,PacificAir
Economy,2335,PacificAir,1.6,29,Bronze,0,AeroGulf
Business,4168,SkyMind,4.9,16,Bronze,0,SkyMind
Business,565,AsiaJet,3.6,18,Bronze,1,EuroWings
Economy,1989,SkyMind,2.2,28,Gold,0,PacificAir
Business,3547,EuroWings,1.3,21,Gold,1,SkyMind
First,2037,EuroWings,3.2,3,Silver,1,AeroGulf
Economy,1748,AeroGulf,3.4,17,Gold,0,PacificAir
Economy,1801,EuroWings,2.8,23,Silver,1,PacificAir
Economy,1302,SkyMind,4.8,29,Gold,0,PacificAir
Business,4477,AsiaJet,2.3,5,Bronze,0,SkyMind
Economy,2363,SkyMind,3.3,4,Silver,0,AeroGulf
First,1864,EuroWings,1.3,10,Gold,1,PacificAir
Business,2040,EuroWings,2.8,20,Silver,0,AeroGulf
First,1571,AsiaJet,4.1,11,Platinum,0,PacificAir
Business,2401,AsiaJet,4.0,26,Silver,0,AeroGulf
Business,2111,AeroGulf,2.9,6,Bronze,1,AeroGulf
Economy,1219,AsiaJet,4.4,21,Platinum,0,PacificAir
Business,2901,PacificAir,4.8,13,Bronze,0,AeroGulf
Economy,4264,EuroWings,2.7,20,Silver,0,SkyMind
Economy,2913,AeroGulf,2.4,23,Gold,0,AeroGulf
First,2340,SkyMind,3.5,24,Gold,0,AeroGulf
First,825,AeroGulf,5.0,18,Platinum,0,EuroWings
Business,2759,EuroWings,1.2,14,Silver,1,AeroGulf
First,1139,EuroWings,2.5,28,Gold,1,PacificAir
Economy,4457,AsiaJet,3.0,6,Platinum,0,SkyMind
Business,1947,AsiaJet,4.9,26,Silver,1,PacificAir
Economy,3984,PacificAir,4.3,4,Bronze,1,SkyMind
First,4746,PacificAir,2.2,4,Gold,1,SkyMind
First,4147,EuroWings,4.1,2,Silver,1,SkyMind
Business,2029,EuroWings,1.8,23,Platinum,0,AeroGulf
Economy,1594,PacificAir,3.4,22,Silver,0,PacificAir
Business,4652,PacificAir,1.2,13,Gold,1,SkyMind
Economy,2213,AsiaJet,2.7,12,Platinum,0,AeroGulf
Economy,1514,AeroGulf,4.1,22,Platinum,1,PacificAir
Economy,3365,AsiaJet,2.1,3,Silver,1,SkyMind
First,2522,PacificAir,3.9,8,Platinum,0,AeroGulf
First,2743,SkyMind,2.3,25,Silver,0,AeroGulf
Economy,430,PacificAir,1.3,8,Platinum,1,AsiaJet
Economy,532,SkyMind,4.6,29,Gold,1,EuroWings
First,1714,AsiaJet,2.7,21,Silver,0,PacificAir
First,1745,AsiaJet,4.0,24,Gold,1,PacificAir
Business,2563,AsiaJet,3.4,22,Silver,0,AeroGulf
First,1550,EuroWings,3.7,25,Silver,1,PacificAir
First,3249,EuroWings,3.2,8,Silver,1,SkyMind
Economy,3065,AsiaJet,3.2,9,Silver,0,SkyMind
Business,3564,AeroGulf,4.5,13,Silver,0,SkyMind
First,2809,EuroWings,3.3,26,Gold,1,AeroGulf
First,2032,AeroGulf,4.2,1,Silver,0,AeroGulf
Business,2301,EuroWings,2.8,13,Gold,1,AeroGulf
First,1492,PacificAir,4.9,16,Bronze,1,PacificAir
First,4647,AsiaJet,1.2,11,Platinum,0,SkyMind
Economy,1710,EuroWings,2.5,14,Gold,0,PacificAir
Economy,2603,PacificAir,1.7,25,Bronze,0,AeroGulf
First,3824,AeroGulf,2.2,12,Silver,0,SkyMind
Business,4469,EuroWings,1.5,7,Platinum,0,SkyMind
Economy,4789,AeroGulf,3.0,5,Platinum,1,SkyMind
Business,4941,AsiaJet,1.1,1,Gold,1,SkyMind
Business,3605,EuroWings,3.3,19,Platinum,1,SkyMind
First,1193,AsiaJet,4.8,20,Gold,0,PacificAir
Business,2766,SkyMind,1.6,19,Bronze,1,AeroGulf
First,3804,AsiaJet,3.6,19,Platinum,0,SkyMind
Economy,764,AeroGulf,2.0,9,Platinum,0,EuroWings
Business,912,AeroGulf,1.6,26,Bronze,0,EuroWings
First,2148,AsiaJet,4.4,1,Bronze,1,AeroGulf
Economy,157,EuroWings,2.9,7,Platinum,0,AsiaJet
Economy,3572,EuroWings,1.3,20,Bronze,0,SkyMind
Business,1562,AeroGulf,3.2,10,Silver,0,PacificAir
Economy,574,AeroGulf,4.9,28,Bronze,1,EuroWings
First,3208,PacificAir,4.2,5,Gold,1,SkyMind
First,4937,EuroWings,3.2,20,Platinum,0,SkyMind
Economy,2551,PacificAir,4.8,4,Gold,0,AeroGulf
Business,283,AeroGulf,4.2,28,Platinum,1,AsiaJet
Economy,3205,AeroGulf,2.8,20,Bronze,1,SkyMind
Business,4218,PacificAir,2.9,17,Platinum,1,SkyMind
Business,4022,EuroWings,4.7,28,Bronze,0,SkyMind
Business,3459,EuroWings,1.2,2,Silver,1,SkyMind
Business,4005,AeroGulf,2.3,22,Platinum,0,SkyMind
First,2205,SkyMind,2.8,17,Gold,1,AeroGulf
Business,576,SkyMind,1.8,27,Bronze,0,EuroWings
Business,2519,AeroGulf,1.7,1,Platinum,0,AeroGulf
Economy,4618,SkyMind,3.0,18,Silver,1,SkyMind
Business,2588,AeroGulf,3.3,17,Platinum,0,AeroGulf
Economy,3640,EuroWings,2.8,7,Bronze,0,SkyMind
Business,1542,EuroWings,2.6,7,Silver,1,PacificAir
Economy,2661,SkyMind,3.8,5,Silver,0,AeroGulf
Economy,2293,SkyMind,4.0,6,Platinum,0,AeroGulf
Business,2218,EuroWings,1.7,29,Silver,0,AeroGulf
Business,3327,AsiaJet,1.3,19,Gold,0,SkyMind
Business,1553,AsiaJet,1.3,16,Silver,1,PacificAir
Business,197,PacificAir,3.9,4,Bronze,0,AsiaJet
First,118,PacificAir,1.1,14,Silver,0,AsiaJet
Business,4223,SkyMind,4.9,23,Platinum,1,SkyMind
Business,4955,PacificAir,3.8,15,Silver,1,SkyMind
Business,389,AsiaJet,3.4,17,Platinum,0,AsiaJet
Business,616,AeroGulf,1.1,24,Silver,0,EuroWings
First,3400,AeroGulf,1.1,26,Silver,1,SkyMind
First,3329,AsiaJet,2.8,8,Platinum,0,SkyMind
First,3528,AeroGulf,2.5,3,Silver,1,SkyMind
Business,1078,PacificAir,2.2,1,Platinum,0,PacificAir
Economy,2422,SkyMind,1.5,11,Bronze,0,AeroGulf
Economy,852,AsiaJet,2.1,15,Platinum,1,EuroWings
Business,4956,EuroWings,3.5,17,Gold,1,SkyMind
First,1648,EuroWings,2.6,26,Gold,0,PacificAir
Business,447,SkyMind,2.2,5,Silver,1,AsiaJet
Economy,2080,AeroGulf,4.7,25,Platinum,1,AeroGulf
Economy,3595,EuroWings,2.3,12,Silver,1,SkyMind
Business,2912,EuroWings,4.6,14,Silver,0,AeroGulf
Economy,2915,AsiaJet,1.3,13,Bronze,1,AeroGulf
First,2082,AeroGulf,4.3,28,Gold,1,AeroGulf
Business,1654,AeroGulf,3.0,10,Gold,1,PacificAir
Economy,1231,SkyMind,3.0,6,Silver,1,PacificAir
Business,2420,AsiaJet,3.4,27,Gold,1,AeroGulf
Business,3169,SkyMind,3.7,22,Silver,1,SkyMind
First,3302,PacificAir,4.3,24,Gold,0,SkyMind
Economy,2142,SkyMind,1.2,29,Silver,0,AeroGulf
Economy,1781,PacificAir,2.3,2,Silver,1,PacificAir
First,3553,AeroGulf,2.9,16,Platinum,0,SkyMind
Business,2417,SkyMind,4.9,5,Bronze,0,AeroGulf
First,3150,AsiaJet,1.2,28,Platinum,1,SkyMind
First,3023,EuroWings,2.6,1,Bronze,0,SkyMind
Economy,2410,AsiaJet,4.1,23,Platinum,0,AeroGulf
Business,4988,EuroWings,4.7,13,Platinum,0,SkyMind
Business,988,EuroWings,4.2,8,Platinum,1,EuroWings
First,2863,SkyMind,4.9,27,Gold,1,AeroGulf
Economy,3034,AsiaJet,3.1,6,Platinum,1,SkyMind
First,4799,AeroGulf,3.9,12,Platinum,0,SkyMind
Economy,3931,AsiaJet,4.5,11,Silver,0,SkyMind
First,276,EuroWings,2.7,17,Silver,0,AsiaJet
First,2518,AeroGulf,1.3,8,Platinum,0,AeroGulf
First,3359,AeroGulf,1.2,14,Bronze,1,SkyMind
First,3935,PacificAir,4.7,14,Gold,1,SkyMind
First,1568,PacificAir,1.0,25,Platinum,0,PacificAir
Business,2728,PacificAir,2.3,1,Gold,1,AeroGulf
Economy,3892,EuroWings,4.4,19,Platinum,0,SkyMind
Business,3462,PacificAir,2.6,19,Gold,0,SkyMind
First,2617,AeroGulf,1.8,5,Platinum,1,AeroGulf
First,291,SkyMind,1.5,17,Gold,0,AsiaJet
Business,4413,AsiaJet,1.1,22,Bronze,1,SkyMind
Economy,517,PacificAir,3.6,23,Platinum,0,EuroWings
Business,4614,AsiaJet,2.3,16,Platinum,0,SkyMind
First,256,EuroWings,1.0,12,Platinum,1,AsiaJet
First,4098,AeroGulf,1.3,14,Platinum,1,SkyMind
Economy,4293,EuroWings,4.4,25,Platinum,0,SkyMind
First,4734,SkyMind,1.5,10,Platinum,1,SkyMind
Economy,4080,EuroWings,3.0,23,Silver,1,SkyMind
Economy,2480,PacificAir,2.4,11,Bronze,0,AeroGulf
First,4493,AeroGulf,1.8,7,Silver,1,SkyMind
Economy,475,SkyMind,1.5,8,Bronze,0,AsiaJet
First,1561,PacificAir,3.6,14,Platinum,0,PacificAir
Business,4596,AsiaJet,4.5,9,Silver,0,SkyMind
First,2675,AsiaJet,3.4,11,Silver,0,AeroGulf
Economy,3209,PacificAir,2.5,5,Bronze,1,SkyMind
First,1526,PacificAir,2.2,7,Silver,1,PacificAir
Economy,2723,AsiaJet,2.5,8,Bronze,1,AeroGulf
First,2214,SkyMind,2.5,8,Platinum,1,AeroGulf
First,107,AeroGulf,3.0,15,Bronze,1,AsiaJet
Economy,4228,AsiaJet,2.5,12,Gold,1,SkyMind
First,4612,AsiaJet,3.3,5,Platinum,0,SkyMind
Economy,320,AeroGulf,1.4,18,Bronze,1,AsiaJet
Business,3273,AeroGulf,2.1,19,Platinum,1,SkyMind
Business,3937,PacificAir,3.9,26,Platinum,0,SkyMind
First,1237,EuroWings,4.0,19,Bronze,1,PacificAir
Economy,3944,AeroGulf,3.7,27,Silver,1,SkyMind
First,420,AeroGulf,2.4,24,Silver,0,AsiaJet
Economy,2447,EuroWings,2.8,22,Platinum,1,AeroGulf
Business,913,EuroWings,1.7,18,Silver,0,EuroWings
Economy,3506,EuroWings,4.9,10,Gold,0,SkyMind
First,3091,PacificAir,4.5,5,Platinum,0,SkyMind
First,2468,SkyMind,4.8,25,Bronze,0,AeroGulf
First,387,AsiaJet,3.3,7,Gold,1,AsiaJet
Economy,3566,AsiaJet,2.9,13,Platinum,1,SkyMind
First,2165,SkyMind,4.5,8,Platinum,0,AeroGulf
Economy,4029,SkyMind,2.6,11,Platinum,1,SkyMind
First,544,EuroWings,2.1,8,Silver,1,EuroWings
First,1882,EuroWings,3.0,7,Bronze,1,PacificAir
Business,4736,EuroWings,1.7,2,Gold,0,SkyMind
First,4340,PacificAir,4.1,21,Bronze,1,SkyMind
Economy,4672,SkyMind,2.8,12,Platinum,1,SkyMind
Economy,4564,SkyMind,3.6,21,Bronze,0,SkyMind
Business,4126,PacificAir,3.3,4,Gold,1,SkyMind
Economy,994,SkyMind,3.3,1,Gold,0,EuroWings
Business,2392,EuroWings,4.7,21,Gold,1,AeroGulf
Business,3307,EuroWings,1.2,12,Gold,1,SkyMind
Economy,2627,EuroWings,3.5,20,Platinum,1,AeroGulf
Business,3583,EuroWings,2.0,14,Gold,0,SkyMind
Business,930,EuroWings,1.5,7,Platinum,0,EuroWings
Business,796,AeroGulf,1.2,10,Platinum,1,EuroWings
Business,3225,EuroWings,4.3,12,Bronze,1,SkyMind
Economy,377,AeroGulf,2.6,16,Bronze,0,AsiaJet
First,942,PacificAir,3.8,1,Bronze,1,EuroWings
Business,3781,PacificAir,4.7,1,Silver,1,SkyMind
Economy,1891,AeroGulf,4.4,28,Bronze,1,PacificAir
First,1446,SkyMind,2.0,13,Bronze,0,PacificAir
First,2863,EuroWings,3.5,29,Silver,0,AeroGulf
First,4180,AsiaJet,2.2,16,Gold,0,SkyMind
First,3085,SkyMind,1.2,21,Platinum,0,SkyMind
Economy,1419,SkyMind,4.6,14,Silver,0,PacificAir
First,1049,AsiaJet,3.8,19,Silver,0,PacificAir
Economy,1131,AsiaJet,4.3,11,Silver,0,PacificAir
Business,2219,EuroWings,2.1,16,Silver,0,AeroGulf
Economy,4732,AeroGulf,2.1,20,Silver,0,SkyMind
Business,1969,EuroWings,1.8,17,Bronze,1,PacificAir
Business,3768,EuroWings,2.1,25,Gold,1,SkyMind
Business,361,EuroWings,1.4,4,Bronze,1,AsiaJet
First,3785,EuroWings,3.9,2,Platinum,0,SkyMind
Economy,4364,SkyMind,4.9,17,Platinum,1,SkyMind
Business,2434,SkyMind,4.6,16,Bronze,0,AeroGulf
First,1785,AeroGulf,1.6,8,Bronze,1,PacificAir
Business,1501,AsiaJet,1.8,22,Platinum,0,PacificAir
First,1078,PacificAir,2.4,23,Platinum,0,PacificAir
First,458,AeroGulf,1.8,14,Platinum,0,AsiaJet
Business,1456,EuroWings,3.7,28,Gold,1,PacificAir
Economy,1947,EuroWings,4.0,25,Silver,1,PacificAir
First,4217,SkyMind,4.0,6,Bronze,0,SkyMind
First,3282,AeroGulf,3.3,19,Silver,0,SkyMind
First,4600,AsiaJet,2.0,7,Silver,1,SkyMind
Business,1126,PacificAir,1.5,6,Platinum,0,PacificAir
First,2605,AeroGulf,3.0,12,Bronze,1,AeroGulf
First,2512,AsiaJet,4.6,22,Silver,0,AeroGulf
Economy,296,EuroWings,2.1,18,Gold,0,AsiaJet
Economy,1852,PacificAir,2.3,28,Bronze,0,PacificAir
Business,4689,PacificAir,3.9,13,Bronze,1,SkyMind
First,2665,AsiaJet,2.4,2,Platinum,0,AeroGulf
Economy,4480,AeroGulf,4.5,26,Platinum,1,SkyMind
Economy,4779,AeroGulf,4.5,25,Gold,0,SkyMind
First,2667,AeroGulf,4.6,7,Silver,0,AeroGulf
Economy,4135,PacificAir,4.1,10,Silver,0,SkyMind
Economy,3361,AsiaJet,1.2,8,Gold,0,SkyMind
Business,176,SkyMind,3.1,7,Bronze,0,AsiaJet
Business,2266,PacificAir,2.9,25,Bronze,0,AeroGulf
Economy,2048,PacificAir,2.8,28,Gold,0,AeroGulf
Business,2508,AeroGulf,3.6,19,Bronze,0,AeroGulf
First,1676,SkyMind,4.0,6,Bronze,1,PacificAir
Business,1266,SkyMind,3.2,5,Silver,0,PacificAir
First,1707,EuroWings,4.0,16,Silver,1,PacificAir
Business,2026,SkyMind,2.0,2,Silver,0,AeroGulf
Business,1623,AeroGulf,3.6,3,Bronze,0,PacificAir
First,4020,EuroWings,3.4,3,Platinum,0,SkyMind
First,2306,SkyMind,2.3,17,Bronze,1,AeroGulf
Economy,1599,AsiaJet,3.0,9,Silver,1,PacificAir
Economy,631,EuroWings,5.0,8,Silver,1,EuroWings
Business,2548,EuroWings,3.8,16,Platinum,1,AeroGulf
Economy,336,AeroGulf,2.8,5,Bronze,1,AsiaJet
Economy,4143,SkyMind,3.8,12,Platinum,0,SkyMind
Business,1253,SkyMind,2.5,14,Platinum,0,PacificAir
Business,4751,PacificAir,2.3,16,Bronze,1,SkyMind
First,2017,AeroGulf,3.0,1,Platinum,0,AeroGulf
First,1781,SkyMind,2.8,20,Silver,0,PacificAir
First,795,AsiaJet,4.8,12,Platinum,1,EuroWings
Economy,1852,PacificAir,4.9,22,Silver,1,PacificAir
Economy,2801,AsiaJet,2.3,16,Bronze,1,AeroGulf
First,4678,EuroWings,1.3,6,Silver,0,SkyMind
First,2631,AeroGulf,1.8,15,Silver,0,AeroGulf
Business,3717,AsiaJet,4.7,11,Bronze,0,SkyMind
First,2933,AeroGulf,1.6,24,Silver,0,AeroGulf
First,4069,EuroWings,3.5,2,Silver,0,SkyMind
Economy,2937,EuroWings,1.2,23,Gold,0,AeroGulf
Economy,1373,PacificAir,3.0,11,Bronze,1,PacificAir
First,3683,AsiaJet,2.6,5,Gold,1,SkyMind
First,2465,EuroWings,3.8,14,Silver,1,AeroGulf
First,2790,AsiaJet,3.0,14,Bronze,0,AeroGulf
Business,4509,AeroGulf,2.9,10,Gold,1,SkyMind
First,3810,PacificAir,3.5,22,Platinum,1,SkyMind
Business,2086,EuroWings,3.8,16,Bronze,0,AeroGulf
Economy,416,AsiaJet,3.6,11,Bronze,1,AsiaJet
First,1964,EuroWings,4.5,29,Gold,0,PacificAir
