iata,icao,name,country,callsign
NL,SAI,Shaheen Air International,Pakistan,SHAHEEN AIR
SK,SAS,Scandinavian Airlines System,Sweden,SCANDINAVIAN
S7,SBI,S7 Airlines,Russia,SIBERIAN AIRLINES
BB,SBS,Seaborne Airlines,United States,SEABORNE
UL,ALK,SriLankan Airlines,Sri Lanka,SRILANKAN
SY,SCX,Sun Country Airlines,United States,SUN COUNTRY
SG,SEJ,Spicejet,India,SPICEJET
7G,SFJ,Star Flyer,Japan,STARFLYER
N5,SGY,Skagway Air Service,United States,SKAGWAY AIR
SP,SAT,SATA Air Acores,Portugal,SATA
SQ,SIA,Singapore Airlines,Singapore,SINGAPORE
5M,SIB,Sibaviatrans,Russia,SIBAVIA
SI,SIH,Skynet Airlines,Ireland,BLUEJET
SJ,SJY,Sriwijaya Air,Indonesia,SRIWIJAYA
ZS,SMY,Sama Airlines,Saudi Arabia,NAJIM
FT,SRH,Siem Reap Airways,Cambodia,SIEMREAP AIR
DG,SRQ,South East Asian Airlines,Philippines,SEAIR
5G,SSV,Skyservice Airlines,Canada,SKYTOUR
FS,STU,Servicios de Transportes A,Argentina,FUEGUINO
SD,SUD,Sudan Airways,Sudan,SUDANAIR
SV,SVA,Saudi Arabian Airlines,Saudi Arabia,SAUDIA
WN,SWA,Southwest Airlines,United States,SOUTHWEST
A4,SWD,Southern Winds Airlines,Argentina,SOUTHERN WINDS
LX,SWR,Swiss International Air Lines,Switzerland,SWISS
SR,SWR,Swissair,Switzerland,Swissair
WV,SWV,Swe Fly,Sweden,FLYING SWEDE
XQ,SXS,SunExpress,Turkey,SUNEXPRESS
RB,SYR,Syrian Arab Airlines,Syrian Arab Republic,SYRIANAIR
AL,SYX,Skywalk Airlines,United States,SKYWAY-EX
SC,CDG,Shandong Airlines,China,SHANDONG
9S,CQH,Spring Airlines,China,AIR SPRING
3U,CSC,Sichuan Airlines,China,SI CHUAN
FM,CSH,Shanghai Airlines,China,SHANGHAI AIR
ZH,CSZ,Shenzhen Airlines,China,SHENZHEN AIR
7L,ERO,Sun D'Or,Israel,ECHO ROMEO
NE,ESK,SkyEurope,Slovakia,RELAX
JK,JKK,Spanair,Spain,SPANAIR
NK,NKS,Spirit Airlines,United States,SPIRIT WINGS
9R,NSE,SATENA,Colombia,SATENA
S3,BBR,Santa Barbara Airlines,Venezuela,SANTA BARBARA
H2,SKU,Sky Airline,Chile,AEROSKY
OO,SKW,SkyWest,United States,SKYWEST
JZ,SKX,Skyways Express,Sweden,SKY EXPRESS
BC,SKY,Skymark Airlines,Japan,SKYMARK
MI,SLK,SilkAir,Singapore,SILKAIR
PY,SLM,Surinam Airways,Suriname,SURINAM
NB,SNB,Sterling Airlines,Denmark,STERLING
6J,SNJ,Skynet Asia Airways,Japan,NEWSKY
IE,SOL,Solomon Airlines,Solomon Islands,SOLOMON
6W,SOV,Saratov Aviation Division,Russia,SARATOV AIR
HZ,SOZ,Sat Airlines,Kazakhstan,SATCO
S5,TCF,Shuttle America,United States,MERCURY
DV,VSV,Scat Air,Kazakhstan,VLASTA
EQ,TAE,TAME,Ecuador,TAME
JJ,TAM,TAM Brazilian Airlines,Brazil,TAM
TP,TAP,TAP Portugal,Portugal,AIR PORTUGAL
TU,TAR,Tunisair,Tunisia,TUNAIR
T2,TCG,Thai Air Cargo,Thailand,THAI CARGO
FQ,TCW,Thomas Cook Airlines,Belgium,THOMAS COOK
MT,TCX,Thomas Cook Airlines,United Kingdom,KESTREL
TR,TGW,Tiger Airways,Singapore,GO CAT
TT,TGW,Tiger Airways Australia,Australia,GO CAT
TG,THA,Thai Airways International,Thailand,THAI
FD,AIQ,Thai AirAsia,Thailand,THAI ASIA
TK,THY,Turkish Airlines,Turkey,TURKAIR
T7,TJT,Twin Jet,France,TWINJET
3P,TNM,Tiara Air,Aruba,TIARA
BY,TOM,Thomsonfly,United Kingdom,TOMSON
PM,TOS,Tropic Air,Belize,TROPISER
QT,TPA,TAMPA,Colombia,TAMPA
GE,TNA,TransAsia Airways,Taiwan,TransAsia
HV,TRA,Transavia Holland,Netherlands,TRANSAVIA
VR,TCV,TACV,Portugal,CABOVERDE
9T,ABS,Transwest Air,Canada,ATHABASKA
UN,TSO,Transaero Airlines,Russia,TRANSOVIET
T5,TUA,Turkmenistan Airlines,Turkmenistan,TURKMENISTAN
UG,TUI,Tuninter,Tunisia,
QS,TVS,Travel Service,Czech Republic,SKYTRAVEL
6B,BLX,TUIfly Nordic,Sweden,BLUESCAN
DT,DTA,TAAG Angola Airlines,Angola,DTA
PZ,LAP,TAM Mercosur,Paraguay,PARAGUAYA
AX,LOF,Trans States Airlines,United States,WATERSKI
RO,ROT,Tarom,Romania,TAROM
3T,URN,Turan Air,Azerbaijan,TURAN
8R,TIB,TRIP Linhas A,Brazil,TRIP
U5,GWY,USA3000 Airlines,United States,GETAWAY
UA,UAL,United Airlines,United States,UNITED
U6,SVR,Ural Airlines,Russia,SVERDLOVSK AIR
UF,UKM,UM Airlines,Ukraine,UKRAINE MEDITERRANEE
US,USA,US Airways,United States,U S AIR
UT,UTA,UTair Aviation,Russia,UTAIR
HY,UZB,Uzbekistan Airways,Uzbekistan,UZBEK
PS,AUI,Ukraine International Airlines,Ukraine,UKRAINE INTERNATIONAL
UH,,US Helicopter Corporation,United States,
VF,VLU,Valuair,Singapore,VALUAIR
VN,HVN,Vietnam Airlines,Vietnam,VIET NAM AIRLINES
NN,MOV,VIM Airlines,Russia,MOV AIR
Y4,VOI,Volaris,Mexico,VOLARIS
VI,VDA,Volga-Dnepr Airlines,Russia,VOLGA-DNEPR
VX,VRD,Virgin America,United States,REDWOOD
TV,VEX,Virgin Express,Belgium,VIRGIN EXPRESS
VK,VGN,Virgin Nigeria Airways,Nigeria,VIRGIN NIGERIA
VS,VIR,Virgin Atlantic Airways,United Kingdom,VIRGIN
ZG,VVM,Viva Macau,Macao,JACKPOT
VE,VLE,Volare Airlines,Italy,VOLA
XF,VLK,Vladivostok Air,Russia,VLADAIR
LC,VLO,Varig Log,Brazil,VELOG
VA,VOZ,Virgin Australia,Australia,VIRGIN
RG,VRN,VRG Linhas Aereas,Brazil,VARIG
VP,VSP,VASP,Brazil,VASP
VG,VLM,VLM Airlines,Belgium,RUBENS
7W,,Wayraper,Peru,WAYRAPER
WJ,WEB,WebJet Linhas A,Brazil,WEB-BRASIL
2W,WLC,Welcome Air,Austria,WELCOMEAIR
8O,,West Coast Air,Canada,
WS,WJA,WestJet,Canada,WESTJET
WF,WIF,Widerøe,Norway,WIDEROE
IV,JET,Wind Jet,Italy,GHIBLI
IW,WON,Wings Air,Indonesia,WINGS ABADI
W6,WZZ,Wizz Air,Hungary,WIZZ AIR
8Z,WVL,Wizz Air Hungary,Bulgaria,WIZZBUL
WO,WOA,World Airways,United States,WORLD
SE,SEU,XL Airways France,France,STARWAY
MF,CXA,Xiamen Airlines,China,XIAMEN AIR
YL,LLM,Yamal Airlines,Russia,YAMAL
IY,IYE,Yemenia,Yemen,YEMENI
Z4,OOM,Zoom Airlines,Canada,ZOOM
XW,SXR,Sky Express,Russia,SKYSTORM
VJ,RAC,Royal Air Cambodge,Cambodia,
6T,,Air Mandalay,Burma,Six Tango
BX,ABL,Air Busan,Republic of Korea,Air Busan
GH,GLP,Globus,Russia,
9Y,KZK,Air Kazakhstan,Kazakhstan,Kazakh
JD,JAS,Japan Air System,Japan,Air System
DS,,EasyJet (DS),Switzerland,
2I,,Star Peru (2I),Peru,
KW,,Carnival Air Lines,United States,Carnival Air
4H,UBD,United Airways,Bangladesh,UNITED BANGLADESH
5H,FFV,Fly540,Kenya,SWIFT TANGO
TO,TVF,Transavia France,France,FRENCH SUN
WP,MKU,Island Air (WP),United States,
B7,UIA,Uni Air,Taiwan,Glory
YD,,Gomelavia,Belarus,
WZ,RWZ,Red Wings,Russia,AIR RED
11,,TUIfly (X3),Germany,
FU,FXX,Felix Airways,Yemen,
K1,KOQ,Kostromskie avialinii,Russia,
XX,GFY,Greenfly,Spain,
7J,,Tajik Air,Tajikistan,
TM,,Air Mozambique,Mozambique,
--,ELK,ELK Airways,Estonia,
GY,GBK,Gabon Airlines,Gabon,GABON AIRLINES
ML,MAV,Maldivo Airlines,Maldives,Maldivo
VH,VNP,Virgin Pacific,Fiji,
Z2,,Zest Air,Philippines,
HK,,Yangon Airways,Burma,Hotel Kilo
ZE,ESR,Eastar Jet,South Korea,Eastar
LJ,JNA,Jin Air,South Korea,Jin Air
3O,,Air Arabia Maroc,Morocco,Air Arabia
B1,BA1,Baltic Air lines,Latvia,Baltic
YC,YCC,Ciel Canadien,Canada,Ciel
CN,YCP,Canadian National Airways,Canada,CaNational
FA,4AA,Epic Holiday,United States,Epic
3I,,Air Comet Chile,Chile,
L8,LBL,Line Blue,Germany,Bluebird
SZ,,Salzburg arrows,Austria,SZA
TQ,TXW,Texas Wings,United States,TXW
DH,DSY,Dennis Sky,Israel,DSY
ZZ,,Zz,Belgium,
A1,A1F,Atifly,United States,atifly
99,,Ciao Air,Italy,
5P,,Pal airlines,Chile,
C1,CA1,CanXpress,Canada,CAX
V5,,Danube Wings (V5),Slovakia,
SH,SHA,Sharp Airlines,Australia,SHARP
C2,CAP,CanXplorer,Canada,
QA,,Click (Mexicana),Mexico,
W1,WE1,World Experience Airline,Canada,WEA
J4,,ALAK,Russia,
3E,,Air Choice One,United States,
KN,,China United,China,
ZQ,LOC,Locair,United States,LOCAIR
4Q,,Safi Airlines,Afghanistan,
K5,SQH,SeaPort Airlines,United States,SASQUATCH
S6,,Salmon Air,United States,
01,,Bobb Air Freight,Germany,
V9,HCW,Star1 Airlines,Lithuania,
6D,,Pelita,Indonesia,
J5,,Alaska Seaplane Service,United States,
I6,MXI,MexicanaLink,Mexico,LINK
IP,ISX,Island Spirit,Iceland,
T0,,TACA Peru,Peru,TACA PERU
7Q,,Pan Am World Airways Dominicana,Dominican Republic,PAWA
PF,,Primera Air,Iceland,PRIMERA
3S,,Air Antilles Express,Guadeloupe,GREEN BIRD
P7,REP,Regional Paraguaya,Paraguay,REGIOPAR
V6,,VIP Ecuador,Ecuador,
P9,,Peruvian Airlines,Peru,
ЯП,,Polar Airlines,Russia,
OC,,Catovair,Mauritius,CATOVAIR
7Z,,Halcyonair,Cape Verde,CREOLE
4P,,Business Aviation,Congo (Kinshasa),AFRICAN BUSINESS
E9,,Compagnie Africaine d\\'Aviation,Congo (Kinshasa),AFRICOMPANY
K8,,Zambia Skyways,Zambia,ZAMBIA SKIES
UJ,LMU,AlMasria Universal Airlines,Egypt,ALMASRIA
6Y,,SmartLynx Airlines,Latvia,
K7,KBR,KoralBlue Airlines,Egypt,KORAL BLUE
E4,GIE,Elysian Airlines,Cameroon,
HT,IMP,Hellenic Imperial Airways,Greece,IMPERIAL
WD,AAN,Amsterdam Airlines,Netherlands,AMSTEL
Q9,NAK,Arik Niger,Niger,
DA,,Dana Air,Nigeria,DANACO
8F,STP,STP Airways,Sao Tome and Principe,SAOTOME AIRWAYS
7Y,,Med Airways,Lebanon,FLYING CARPET
UQ,SJU,Skyjet Airlines,Uganda,SKYJET
G6,,Air Volga,Russia,GOUMRAK
RL,RFJ,Royal Falcon,Jordan,
4L,MJX,Euroline,Georgia,GEO-LINE
ZF,,Athens Airways,Greece,ATHENSAIR
VQ,VKH,Viking Hellas,Greece,DELPHI
DZ,,Starline.kz,Kazakhstan,ALUNK
L7,,Lugansk Airlines,Ukraine,ENTERPRISE LUHANSK
6P,,Gryphon Airlines,United States,
GP,GDR,Gadair European Airlines,Spain,GADAIR
SM,MNP,Spirit of Manila Airlines,Philippines,MANILA SKY
OQ,CQN,Chongqing Airlines,China,CHONG QING
PN,CHB,West Air China,China,WEST CHINA
1C,1CH,OneChina,China,
Y7,,NordStar Airlines,Russia,
JR,JOY,Joy Air,China,JOY AIR
CD,,Air India Regional,India,ALLIED
9H,,MDLR Airlines,India,MDLR
Q2,,Maldivian,Maldives,ISLAND AVIATION
XN,,Xpressair,Indonesia,
VC,,Strategic Airlines,Australia,
JH,,Fuji Dream Airlines,Japan,FUJI DREAM
5E,,SGA Airlines,Thailand,SIAM
F8,,Air2there,New Zealand,
AO,,Avianova (Russia),Russia,Nova
PA,IPV,Parmiss Airlines (IPV),Iran,IPV
ES,EUV,EuropeSky,Germany,EuropeSky
GB,BZE,BRAZIL AIR,Brazil,BRAZIL AIR
MR,OME,Homer Air,Germany,
-+,--+,U.S. Air,United States,
;;,,Wilderness Air,Australia,
^^,,Whitaker Air,Australia,
WQ,PQW,PanAm World Airways,United States,
YY,VWA,Virginwings,Germany,
KY,KSY,KSY,Greece,KSY
BQ,BQB,Buquebus Líneas Aéreas,Uruguay,
CQ,KOL,SOCHI AIR,Russia,SLOW FROG
WU,WAU,Wizz Air Ukraine,Ukraine,WIZZAIR UKRAINE
47,VVN,88,Cyprus,
LQ,LMM,LCM AIRLINES,Russia,
K6,,Cambodia Angkor Air (K6),Cambodia,
69,,Royal European Airlines,United Kingdom,
&T,T&O,Tom\\'s & co airliners,France,T&
AD,AZU,Azul,Brazil,
PQ,LOO,LSM Airlines,Russia,slowbird
C4,LIX,LionXpress,Cameroon,LIX
GK,,Genesis,Pakistan,
XZ,,Congo Express,Congo (Kinshasa),EXPRESSWAYS
FZ,FDB,Fly Dubai,United Arab Emirates,
D1,MDO,Domenican Airlines,Dominican Republic,Domenican
JY,AXZ,Aereonautica militare,Italy,
YZ,YZZ,LSM AIRLINES ,Russia,Moscow frog 
UR,,UTair-Express,Russia,
G5,,Huaxia,China,
ZP,ZZZ,Zabaykalskii Airlines,Russia,Lakeair
M4,1QA,Marysya Airlines,Russia,MARSHAK AIR
N1,,N1,Peru,
4Z,,Airlink (SAA),South Africa,
3B,,JobAir,Czech Republic,
BZ,BSA,Black Stallion Airways,United States,Stallion
GM,GER,German International Air Lines,Germany,
TB,TBZ,TrasBrasil,Brazil,
TH,THS,TransBrasil Airlines,Brazil,
9C,,China SSS,China,
P8,MKG,Air Mekong,Vietnam,Air Mekong
H3,,Harbour Air (Priv),Canada,
HH,AHO,Air Hamburg (AHO),Germany,Air Hamburg
Z6,ZTT,ZABAIKAL AIRLINES,Russia,BAIKAL 
TI,THI,TransHolding,Brazil,
YT,,Yeti Airways,Nepal,
Y1,,Yellowstone Club Private Shuttle,United States,YCS
NS,,Caucasus Airlines,Georgia,
S1,SA1,Serbian Airlines,Serbia,
WM,,Windward Islands Airways,Netherlands Antilles,Winair
YO,TYS,TransHolding System,Brazil,
CB,CCC,CCML Airlines,Colombia,
F1,FBL,Fly Brasil,Brazil,FBL
1F,CIF,CB Airways UK ( Interliging Flights ),United Kingdom,
3F,3FF,Fly Colombia ( Interliging Flights ),Colombia,
T6,TP6,Trans Pas Air,United States,
МИ,,KMV,Russia,Air Minvody
HC,HYM,Himalayan Airlines,Nepal,Himalayan
G1,IG1,Indya Airline Group,India,Indya1
WG,,Sunwing,Canada,sunwing
ZX,ZXY,Japan Regio,Japan,
N0,,Norte Lineas Aereas,Argentina,
W7,,Austral Brasil,Brazil,
H9,,PEGASUS AIRLINES-,Turkey,
QC,,Camair-co,Cameroon,
RS,SKV,Sky Regional,Canada,Sky Regional
II,UWW,LSM International ,Russia,moose
BU,BUU,Baikotovitchestrian Airlines ,American Samoa,
L4,LJJ,Luchsh Airlines ,Russia,russian sky
6U,,Air Cargo Germany,Germany,Loadmaster
7M,ZTF,Mongolian International Air Lines ,Mongolia,Mongol_AIr 
TW,TWB,Tway Airlines,South Korea,TWAY AIR
HI,,Papillon Grand Canyon Helicopters,United States,
JX,JSR,Jusur airways,Egypt,
XB,NXB,NEXT Brasil,Brazil,XB
W4,WER,AeroWorld ,Russia,sovet
GN,,GNB Linhas Aereas,Brazil,
E1,ES2,Usa Sky Cargo,United States,USKY
HN,HNX,Hankook Airline,South Korea,HNX
Z7,,REDjet,Barbados,
PT,,Red Jet Andes,Peru,
QY,,Red Jet Canada,Canada,
4X,,Red Jet Mexico,Mexico,
Y8,MRS,Marusya Airways,Russia,snowball
7H,ERR,Era Alaska,United States,ERAH
R8,RRJ,AirRussia,Russia,russiancloud
H1,HA1,Hankook Air US,United States,
H5,RSY,I-Fly,Russia,RUSSIAN SKY
KT,VKJ,VickJet,France,Vickjet
XV,,BVI Airways,British Virgin Islands,
SO,SLC,Salsa d\\'Haiti,Haiti,SALSA
ZJ,,Zambezi Airlines (ZMA),Zambia,
YQ,,Polet Airlines (Priv),Russia,
12,N12,12 North,India,12N
L6,MAI,Mauritania Airlines International,Mauritania,
6F,MKD,MAT Airways,Macedonia,
AW,AWM,Asian Wings Airways,Burma,Asian Star
E5,RBG,Air Arabia Egypt,Egypt,
CT,,Alitalia Cityliner,Italy,
OI,ORC,Orchid Airlines,Australia,
Y5,AWA,Asia Wings,Kazakhstan,
XR,,Skywest Australia,Australia,
NP,NIA,Nile Air,Egypt,NILEBIRD
DN,SGG,Senegal Airlines,Senegal,
6I,,Fly 6ix,Sierra Leone,
S9,,Starbow Airlines,Ghana,
0X,CX0,Copenhagen Express,Denmark,Copex
8B,BCC,BusinessAir,Thailand,
YR,,SENIC AIRLINES,United States,
C7,CR7,Sky Wing Pacific,South Korea,
PP,AI0,Air Indus,Pakistan,AIPL
MM,,Peach Aviation,Japan,Air Peach
U1,ABI,Aviabus,Russia,
DF,MJG,Michael Airlines,Puerto Rico,MJG
ZC,KGO,Korongo Airlines,Congo (Kinshasa),KORONGO
I5,IDS,Indonesia Sky,Indonesia,
B0,666,Aws express,United States,aws
76,SJS,Southjet,United States,
77,ZCS,Southjet connect,United States,
78,XAN,Southjet cargo,United States,
I2,IBS,Iberia Express,Spain,
4O,,Interjet (ABC Aerolineas),Mexico,INTERJET
OG,,AirOnix,Ukraine,
NJ,NGB,Nordic Global Airlines,Finland,Nordic Global
TZ,SCO,Scoot,Singapore,
5K,,Hi Fly (5K),Portugal,
WH,,China Northwest Airlines (WH),China,
ZN,ZNA,Zenith International Airline,Thailand,ZENITH
O1,OAB,Orbit Airlines Azerbaijan,Azerbaijan,Orbitaz
A6,,Air Alps Aviation (A6),Austria,ALPAV
P4,,Patriot Airways,United States,
V2,RBY,Vision Airlines (V2),United States,RUBY
5Q,,BQB Lineas Aereas,Uruguay,
YE,YEL,Yellowtail,United States,
KG,RAW,Royal Airways,United States,RAW
FH,FHI,FlyHigh Airlines Ireland (FH),Ireland,FLYHIRELAND
2D,,Aero VIP (2D),Portugal,
YH,,Yangon Airways Ltd.,Burma,
TJ,TJA,T.J. Air,United States,T.J. Air
SX,,SkyWork Airlines ,Switzerland,SKYFOX
W2,,Maastricht Airlines,Netherlands,
24,,Euro Jet,Germany,
Q3,QER,SOCHI AIR CHATER,Russia,russian doll
J7,,Denim Air ,Norway,DNM
OD,MXD,Malindo Air,Malaysia,Malindo
Z9,,Flightlink Tanzania,Tanzania,
I8,,IzAvia,Russia,
M1,M1F,Maryland Air,United States,Maryland Flight
7I,,Insel Air (7I/INC) (Priv),Netherlands Antilles,
5Z,VVC,VivaColombia,Colombia,
ZM,IWA,Apache Air,United States,APACHE
M2,,MHS Aviation GmbH,Germany,
NR,JTO,Jettor Airlines,Hong Kong,JETHAPPY
SL,,Thai Lion Air,Thailand,
N8,NCR,National Air Cargo,United States,
13,EAV,Eastern Atlantic Virtual Airlines,United States,EAVA
QG,,Citilink Indonesia,Indonesia,SUPERGREEN
S8,SBD,Snowbird Airlines,Finland,
KH,KHK,Kharkiv Airlines,Ukraine,
XA,XAU,XAIR USA,United States,XAIR
LB,,Air Costa,India,
XP,XPT,XPTO,Portugal,XPTO
3W,,Malawian Airlines,Malawi,
..,...,Avilu,Switzerland,
JU,ASL,Air Serbia,Serbia,AIR SERBIA
LT,LTU,Air Lituanica,Lithuania,LITUANICA
RN,RAB,Rainbow Air (RAI),United States,Rainbow
RY,RAY,Rainbow Air Canada,Canada,Rainbow CAN
RX,RPO,Rainbow Air Polynesia,United States,Rainbow Air
RU,RUE,Rainbow Air Euro,United Kingdom,Rainbow Air
RM,RNY,Rainbow Air US,United States,Rainbow Air
QD,DOB,Dobrolet,Russia,DOBROLET
S0,SAL,Spike Airlines,United States,Spike Air
L1,AL1,All Argentina,Argentina,
A2,AL2,All America,United States,
L9,AL3,All Asia,China,
9A,99F,All Africa,South Africa,
N4,J88,Regionalia México,Mexico,
N9,N99,All Europe,United Kingdom,
N7,N77,All Spain,Spain,
9N,N78,Regional Air Iceland,Iceland,
8K,K88,Voestar,Brazil,
7O,7KK,All Colombia,Colombia,
2X,2K2,Regionalia Uruguay,Uruguay,
9X,9XX,Regionalia Venezuela,Venezuela,
9J,CR1,Regionalia Chile,Chile,
6C,6CC,Vuela Cuba,Cuba,
88,8K8,All Australia,Australia,
ER,RWW,Fly Europa,Spain,
PO,FPT,FlyPortugal,Portugal,FlyPortugal
IJ,SJO,Spring Airlines Japan,Japan,
KP,DWA,Dense Airways,United States,DENSE
KZ,DC2,Dense Connection,United States,DC2
4S,VI4,Vuola Italia,Italy,
1X,,Island Express Air,Canada,Abby Air
Z0,Z9H,All Argentina Express,Argentina,
WE,,Thai Smile Airways,Thailand,THAI SMILE
I4,,International AirLink,Jamaica,
RT,,Real Tonga,Tonga,
2R,M7A,All America AR,Argentina,
1R,R1R,All America CL,Chile,
Q4,SAE,SOCHI AIR EXPRESS,Russia,ADLER EXPRESS
1Y,A9B,All America BR,Brazil,
9V,VC9,Volotea Costa Rica,Costa Rica,
X5,OTJ,Fly Romania,Romania,TENDER AIR
E2,,Eagle Atlantic Airlines,Ghana,
0Y,7ZC,All America CO,Colombia,
0M,0MM,All America MX,Mexico,
FX,FOX,FOX Linhas Aereas,Brazil,
QP,,Air Kenya (Priv),Kenya,
6V,CZV,Via Conectia Airlines,Uruguay,
E8,GTA,City Airways,Thailand,CITY AIR
DU,NLH,Norwegian Long Haul AS,Norway,NORSTAR
M8,TNU,TransNusa Air,Indonesia,TRANSNUSA
ZT,T9P,Tomp Airlines,Chile,
J1,,OneJet,United States,
0G,GA0,Global Airlines,Argentina,
UK,VTI,Air Vistara,India,
1E,RGG,TransRussiaAirlines,Russia,
D2,,Severstal Air Company,Russia,
RR,RXR,REXAIR VIRTUEL,France,Rexair
WR,WEN,WestJet Encore,Canada,Encore
OP,PPL,Air Pegasus,India,
9I,INE,International Europe,Spain,
ZV,VAX,V Air,Taiwan,
4B,BTQ,Boutique Air (Priv),United States,
V7,VOE,VOLOTEA Airways,Spain,
Z5,IIR,INAVIA Internacional,Argentina,
LE,LTY,Liberty Airways,United States,
АЯ,,Аэросервис,Russia,
5B,BSX,Bassaka airlines,Cambodia,5B
Q7,,SkyBahamas Airlines,Bahamas,TROPICAL SKY
UW,,UVT Aero,Russia,
3M,,Silver Airways (3M),United States,Silver Wings
I3,,ATA Airlines (Iran),Iran,ATALAR
V1,VIA,VIA Líneas Aéreas,Argentina,
GX,GXG,GermanXL,Germany,
FF,FRF,Fly France,France,
EX,EU9,Europe Jet,France,
W3,WSS,World Scale Airlines,United States,
AG,SSA,All America US,United States,
1K,BG1,BudgetAir,Germany,
F5,FI5,Fly One,Moldova,
EE,,Nordica,Estonia,REVAL
0P,PYB,All America BOPY,Paraguay,BOPY
JG,,Jetgo Australia,Australia,
2S,,Air Carnival,India,
7R,SJM,Svyaz Rossiya,Russia,RussianConnecty
